AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
17.739946	8.203955	48.116573	5.686439	28.66092	10.513593	45.656395	13.721927	19.495237	26.3	2048	3.2607150077819824
31.124403	35.082455	199.45961	5.691924	71.79954	71.66344	204.01773	12.969219	26.921053	46.9	4096	6.50977635383606
56.340157	52.761597	205.02005	10.1735525	120.094604	69.96907	231.81158	15.730507	40.68	72.8	6144	10.06658935546875
105.796165	64.65426	248.17538	14.309731	162.70586	56.88953	244.22739	36.971535	62.9375	92.5	8192	13.88543438911438
134.82652	46.8655	218.65398	29.184458	161.37395	55.83309	235.89423	78.57929	76.84615	89.4	10240	17.886945724487305
145.41356	43.910843	213.872	90.71501	180.29887	37.500603	215.36444	86.998604	81.12	94.2	12288	21.832929849624634
165.48166	48.18111	234.82938	49.14353	198.43832	24.558302	242.28217	142.2255	88.565216	104.6	14336	25.82128071784973
185.49393	43.494358	222.53311	40.85493	181.45657	34.80025	211.00198	105.089516	97.75	94.1	16384	29.88773202896118
182.20886	40.298683	233.67596	47.585224	165.8951	54.94714	224.0748	81.07643	96.809525	90.4	18432	33.67240762710571
202.58357	6.83307	217.00615	190.19347	198.5863	10.386888	221.61346	181.4621	107.47369	103.9	20480	37.90231657028198
203.78058	17.28908	255.24937	182.40945	196.80682	19.780409	211.70772	141.32463	109.77778	101.5	22528	42.08717751502991
197.90572	28.195713	225.88927	88.578926	198.48337	11.604173	215.47713	178.07994	105.57895	104.8	24576	46.25909876823425
203.83588	10.703235	224.35193	185.53436	204.82083	11.247094	215.30707	175.08327	106.89474	107.6	26624	50.46730852127075
200.12332	14.484203	212.51144	148.1167	195.88876	32.918926	224.25768	100.00956	104.42105	109.7	28672	54.495466470718384
178.32126	48.596058	211.00331	69.24049	197.31448	8.820298	210.31297	183.8374	97.14286	102.9	30720	58.44428610801697
201.0707	14.830171	218.54396	146.00789	196.36337	10.828608	211.41896	169.35861	104.63158	102.5	32768	62.57634258270264
197.95195	11.930076	213.11752	161.34734	198.47745	6.2450204	205.4975	187.27586	103.1579	103.5	34816	66.73755073547363
192.83926	24.791508	213.10336	89.17595	202.74095	10.269972	218.0719	186.43929	101.6	105.0	36864	70.9200119972229
201.33304	8.389846	211.07545	174.64168	198.66048	15.212761	215.99213	168.57074	106.052635	106.4	38912	75.10628128051758
196.52968	18.880823	213.97006	124.765686	205.75204	6.858898	216.35147	193.17285	103.1579	110.2	40960	79.32886075973511
200.56117	10.847956	214.83995	176.62843	196.06914	7.2283387	215.50476	188.58437	106.052635	102.9	43008	83.48750805854797
