AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
121.69419	38.7973	259.07907	76.745674	102.72617	29.376724	163.45702	72.112785	24.790123	21.1	2048	4.165472745895386
119.379	38.508926	276.14297	76.587	116.693985	44.797176	225.72285	81.352425	24.380953	24.0	4096	8.147047758102417
116.00735	41.585987	254.36276	71.90367	113.652725	29.15539	176.54155	76.42935	23.651163	23.0	6144	12.092080354690552
122.31949	41.128036	235.72902	71.84931	111.84668	30.120451	159.76663	76.694855	24.804878	22.5	8192	16.014472007751465
119.9879	39.62626	243.49414	76.36864	137.13524	35.473526	194.08943	81.59523	24.357143	27.9	10240	20.01967716217041
115.94936	39.752464	311.18387	76.573524	115.04199	26.348675	157.63002	81.49099	23.66279	23.6	12288	23.96127200126648
127.0115	43.751812	287.12997	76.47466	134.81783	49.644745	277.53387	93.66807	25.70886	27.0	14336	27.963963508605957
134.90335	56.42337	359.61993	71.74462	137.18379	35.92757	181.27461	81.602264	27.324324	27.8	16384	32.01467847824097
139.87088	52.979275	290.4936	81.58892	150.88126	43.58083	224.26433	97.21503	28.13889	30.2	18432	36.08067750930786
141.55048	57.266888	346.05533	71.591286	146.47903	58.341026	275.07974	87.58573	28.402779	29.4	20480	40.16885709762573
137.16324	44.781593	269.2674	76.552025	161.71811	75.74358	304.77536	76.672264	27.662163	33.0	22528	44.31380867958069
147.86449	58.069233	340.63318	81.67604	160.09242	42.695168	253.81143	86.50774	29.652174	32.5	24576	48.45812129974365
155.44496	55.893017	385.2019	81.2402	180.90549	49.792995	267.1375	87.3645	31.153847	36.2	26624	52.67598867416382
151.32893	54.896614	286.55338	81.47954	155.29947	50.379505	246.83925	108.13472	30.268656	31.3	28672	56.8045449256897
150.4048	54.97889	282.66922	71.879456	195.67314	70.88986	304.30786	81.51503	30.102942	39.5	30720	61.108304023742676
160.0048	57.832264	341.96945	81.24486	177.31235	58.35295	275.21814	92.228546	32.38095	34.7	32768	65.29392075538635
160.76312	57.00284	337.4008	81.23786	182.15038	59.71833	289.52737	88.015945	32.04762	35.8	34816	69.51111555099487
185.35591	66.41938	368.1893	82.157875	157.87192	59.82567	291.8616	97.988365	36.78182	31.3	36864	73.69481706619263
184.93657	66.26117	378.5613	81.617966	189.0883	69.70165	300.78812	92.5361	36.745453	38.5	38912	77.9768717288971
192.06227	78.14	422.35886	86.285324	188.21107	55.863	279.393	122.69928	37.87037	36.8	40960	82.2458245754242
