AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
-13.7748995	2.2713194	-11.50358	-16.046219	13.2375765	14.209282	38.844532	-15.646843	1000.0	1000.0	2048	14.1479971408844
3.2517495	10.158724	13.410473	-6.906974	22.156918	9.336976	41.72505	2.9778452	1000.0	1000.0	4096	28.313997507095337
24.774042	11.076632	35.850674	13.697411	23.685268	2.425305	27.77751	19.995829	1000.0	1000.0	6144	42.48915123939514
19.254436	2.429412	21.683847	16.825024	21.283884	3.7201974	24.93636	11.212385	1000.0	1000.0	8192	56.918519496917725
22.625546	3.037403	25.662949	19.588142	22.500614	3.2909465	26.098206	15.775694	1000.0	1000.0	10240	71.33227729797363
23.254906	0.44292736	23.697834	22.81198	24.675245	2.2311597	27.963278	21.160284	1000.0	1000.0	12288	85.7888548374176
24.21976	0.25744438	24.477205	23.962317	25.20547	2.6633835	29.651808	20.7842	1000.0	1000.0	14336	100.07407259941101
26.925243	0.79302216	27.718266	26.132221	25.589367	2.4117355	28.9911	21.628885	1000.0	1000.0	16384	114.5823106765747
24.51583	0.120666504	24.636496	24.395163	25.37861	2.3873963	29.31663	21.091036	1000.0	1000.0	18432	129.06210231781006
23.792757	2.7879753	26.580732	21.004782	25.094746	1.3494627	27.153698	22.94551	1000.0	1000.0	20480	143.3250870704651
24.908155	0.77885056	25.687006	24.129305	23.909822	2.0451045	26.605513	19.769323	1000.0	1000.0	22528	157.78911638259888
21.730045	0.30473328	22.034779	21.425312	23.815535	2.0029583	27.182907	20.556341	1000.0	1000.0	24576	172.3493993282318
21.970524	0.89025784	22.86078	21.080265	23.399136	1.5159554	26.285995	21.454762	1000.0	1000.0	26624	186.74795627593994
22.99801	0.79410744	23.792118	22.203903	22.806528	1.9902807	25.60504	18.896519	1000.0	1000.0	28672	201.3309416770935
25.636162	1.0085812	26.644743	24.62758	22.434332	3.0963392	26.210266	17.715242	1000.0	1000.0	30720	215.89956974983215
21.270107	2.3867636	23.656872	18.883345	26.646078	2.728573	30.39411	22.663134	1000.0	1000.0	32768	230.27528953552246
28.094501	3.985139	32.07964	24.109362	30.00472	2.4249718	32.318375	25.910616	1000.0	1000.0	34816	244.6339545249939
29.14789	3.1340961	32.281986	26.013794	33.834835	1.9854318	37.41093	31.618307	1000.0	1000.0	36864	259.2075650691986
36.56193	0.6609268	37.22286	35.901005	33.1364	2.3160415	36.59957	30.092506	1000.0	1000.0	38912	273.783077955246
32.898727	3.5167856	36.415512	29.38194	30.338064	1.3219112	32.25875	28.382498	1000.0	1000.0	40960	288.1648736000061
30.685894	0.47592545	31.16182	30.209969	32.59675	2.7433052	37.790985	27.51992	1000.0	1000.0	43008	302.7382483482361
33.938633	0.26885223	34.207485	33.66978	31.634466	2.1189182	34.557182	27.94642	1000.0	1000.0	45056	317.1266257762909
30.81047	0.2045393	31.015009	30.60593	33.66316	1.9444113	37.901157	30.469786	1000.0	1000.0	47104	331.49327874183655
32.62809	1.2174892	33.84558	31.410603	35.972595	2.3542871	39.046177	31.570536	1000.0	1000.0	49152	345.8540110588074
34.837463	4.8288403	39.666306	30.008625	36.165512	1.9325697	40.08026	33.70487	1000.0	1000.0	51200	360.4221866130829
35.939026	0.8070011	36.746025	35.132023	35.23777	1.5621003	37.28089	32.880177	1000.0	1000.0	53248	374.8135221004486
34.686684	0.91404724	35.60073	33.772636	34.894203	1.8596607	38.50876	31.809559	1000.0	1000.0	55296	389.21196603775024
36.613495	0.50792885	37.121426	36.105568	32.261368	1.8044351	35.1319	29.384056	1000.0	1000.0	57344	403.7827169895172
32.64306	0.08184624	32.724907	32.561214	35.121044	2.5937219	38.205402	29.5632	1000.0	1000.0	59392	418.1816473007202
35.51765	2.2283554	37.746006	33.289295	34.00582	2.1829603	36.948635	30.02522	1000.0	1000.0	61440	432.5863699913025
35.107655	0.3834076	35.491062	34.724247	32.710392	2.0846107	38.27554	30.98254	1000.0	1000.0	63488	447.013463973999
32.87665	1.1216898	33.99834	31.754961	34.19323	1.9487789	37.018223	31.024258	1000.0	1000.0	65536	461.60741686820984
