AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
1.157802	5.753292	26.64412	-5.447682	5.61127	8.626426	27.629711	-1.9977243	15.105263	20.4	2048	3.081545114517212
3.1445446	6.1596217	25.686083	-4.823513	4.368104	6.716078	17.95496	-2.4674428	17.603449	19.8	4096	5.948035001754761
7.3092637	7.486459	30.212587	-5.4001217	11.759352	3.806719	18.550465	5.1074367	22.544445	32.6	6144	8.981523990631104
10.592586	7.8591776	30.864775	-4.146768	12.5793915	8.663011	27.68878	-1.8648453	25.97436	28.8	8192	11.948226928710938
14.614424	10.965257	45.00417	-4.201579	20.55496	15.915079	53.31385	5.8736186	29.955883	40.4	10240	15.065648317337036
19.97705	12.694358	75.23813	-0.22773297	26.081371	11.068438	45.085052	5.2414913	38.5	38.2	12288	18.17994499206543
29.24783	16.111858	81.50836	2.0032785	32.841957	11.726861	47.134274	11.929323	49.292683	45.0	14336	21.36718225479126
31.748442	17.498158	79.82117	-16.396357	50.138367	25.919127	112.00963	9.374765	59.85294	76.1	16384	24.955174684524536
36.700394	32.444088	154.22534	-29.153624	52.030098	26.198887	105.33268	19.813044	70.413795	71.9	18432	28.500784397125244
38.915718	39.43591	227.34044	2.3784616	62.199383	51.09388	154.63725	10.357958	66.0	83.8	20480	32.192171573638916
48.209805	27.997341	113.45003	-9.704049	53.218437	21.604683	101.87442	16.495289	76.65385	73.2	22528	35.75957107543945
39.207115	25.340485	98.17618	4.35724	48.245567	26.292578	95.07007	5.023993	76.76	87.1	24576	39.47841024398804
50.65614	29.904682	114.32634	5.8983083	63.725746	32.71049	128.1882	22.872278	82.75	85.7	26624	43.174776554107666
66.23618	35.57867	166.72577	10.198964	40.501537	31.046238	120.45428	8.216654	87.13043	83.1	28672	46.842018604278564
74.58865	45.236763	208.77815	-6.756906	119.13158	61.112064	194.22008	34.6712	92.86364	108.0	30720	50.7787606716156
58.18529	44.017853	165.70938	3.342646	63.902184	44.293385	156.17348	-4.206743	92.57143	99.3	32768	54.645339250564575
89.476395	45.148537	161.90315	-7.3689566	78.95627	38.813465	143.28198	20.858139	101.45	104.4	34816	58.595776081085205
98.27637	61.528694	246.51686	11.8141365	103.10033	57.427723	195.90746	24.624636	108.388885	110.2	36864	62.64077973365784
106.64794	64.546005	252.3706	11.59679	118.913795	39.745323	199.97491	61.81729	111.111115	112.4	38912	66.70684576034546
109.558815	75.414635	252.85796	16.720371	116.93935	73.50982	256.87613	34.879326	122.4	117.3	40960	70.81293725967407
129.78297	82.76012	286.58865	-3.3121424	174.58908	46.812447	277.89618	121.81604	133.53334	129.9	43008	75.04796886444092
144.29263	60.367035	265.73352	37.423256	162.82198	70.6508	264.78	50.79005	106.947365	124.1	45056	79.22355270385742
143.87643	90.00894	292.7016	-2.5791917	176.03339	73.26682	258.14362	31.898401	142.64285	149.4	47104	83.75126194953918
161.11595	68.472984	234.00137	26.547842	156.16733	46.661697	217.66139	83.90862	131.26666	143.8	49152	88.23507976531982
160.05246	77.854645	294.20572	13.69238	154.08769	84.95369	248.59782	-0.48937964	132.2	132.2	51200	92.52338480949402
163.55269	86.50033	323.56232	-6.6735587	152.8604	91.09132	310.42682	20.533222	139.5	166.2	53248	97.26421904563904
168.26917	69.69344	267.4695	40.849644	189.62772	86.19701	329.81952	50.527615	159.41667	190.1	55296	102.35165762901306
151.69478	68.50114	282.37854	8.665183	197.55978	35.965725	256.97827	159.18498	145.21428	128.0	57344	106.80801439285278
175.13445	58.651165	278.3012	10.771109	221.08366	68.96527	411.4706	126.75581	120.411766	156.2	59392	111.39379954338074
