AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
124.256714	36.13301	259.0092	78.61659	81.31047	4.3218265	87.3006	76.58056	24.737623	16.9	5000	3.959193706512451
124.4369	37.84131	284.85583	78.39589	80.2297	4.102191	87.2537	76.5104	24.781094	16.7	10000	7.994654417037964
120.6164	36.50114	257.36038	78.485146	84.837524	4.236435	92.37954	76.60763	24.08173	17.6	15000	12.099818229675293
118.039825	34.443703	266.64963	78.3269	80.30517	4.098832	87.25813	76.49967	23.589622	16.7	20000	16.09756112098694
124.36892	38.442455	276.30408	78.49464	79.67621	2.5254734	82.063225	76.535614	24.845772	16.6	25000	20.170994520187378
198.09636	89.19337	410.0002	83.19908	109.47752	1.7613358	110.74502	105.81537	37.721806	22.8	30000	96.46597385406494
314.4158	131.79832	608.1004	99.402176	422.04608	41.525776	490.20163	365.93652	60.97561	79.6	35000	174.48063921928406
397.57227	119.132904	861.0541	208.01653	379.51227	23.616293	424.93854	343.03345	78.09375	70.5	40000	249.0119388103485
426.82397	95.57255	681.2412	249.76927	387.1169	40.18847	465.82843	330.8226	85.22414	76.3	45000	326.60356044769287
435.30826	106.26001	875.9956	288.4382	471.16827	56.537895	551.1956	386.17142	89.96429	91.6	50000	402.7255902290344
479.7066	93.88779	806.1947	297.81992	467.29434	76.02765	630.2598	337.43045	95.96154	97.4	55000	479.5018916130066
490.05655	87.06707	700.43225	344.1243	656.437	176.1167	979.8745	447.3879	97.52941	130.6	60000	562.6747121810913
532.7147	116.37491	866.88245	329.9066	550.51263	86.88531	728.10834	442.62436	108.17391	115.2	65000	643.2309648990631
511.02313	124.00714	909.83795	325.25278	482.27563	78.7663	676.9558	417.47397	101.44	93.1	70000	724.3674604892731
543.6897	131.88004	952.33575	354.55374	570.3456	112.750824	732.8617	411.04898	107.021736	113.2	75000	803.072021484375
571.25745	134.10312	877.2988	323.4442	609.9477	143.88423	797.36816	374.39023	111.31111	124.6	80000	880.986941576004
541.9006	88.55044	753.2329	379.75488	621.8595	189.6148	1000.3715	437.3039	107.34042	127.6	85000	953.9832785129547
578.88965	149.12978	926.62573	356.28534	756.39624	138.09273	1038.8922	577.4863	115.16279	145.8	90000	1031.6044521331787
496.86246	102.22328	750.3422	288.59833	705.6515	154.0574	1003.55444	508.3617	101.46	141.3	95000	1110.112301826477
558.46906	112.088524	884.59814	331.2867	694.1495	172.32013	901.897	381.2548	110.44444	135.8	100000	1187.8526055812836
563.5478	126.64565	1032.607	386.12567	658.51544	71.91095	775.1333	507.96863	111.04444	134.1	105000	1263.1647896766663
586.70337	123.11873	913.9417	428.79688	617.9161	103.26021	884.0725	478.08508	113.22727	119.4	110000	1339.9231808185577
641.3612	129.59538	1034.8876	377.9314	549.71967	100.46576	744.75494	440.12827	124.6	112.8	115000	1418.3130338191986
615.173	130.10577	971.8629	412.2126	699.6724	78.365654	850.36096	601.2829	120.28571	134.5	120000	1493.1777882575989
611.8387	156.04337	1349.8973	423.43225	576.3705	76.936905	712.725	480.95358	118.54762	108.3	125000	1571.2286982536316
656.0392	130.93224	1038.8375	462.6145	691.3584	181.67595	1037.229	439.53824	127.10256	136.4	130000	1645.526794910431
700.3735	155.19087	1190.7174	397.61404	599.0516	83.961174	753.47314	496.16672	138.22223	117.4	135000	1727.0414702892303
629.6401	110.99346	900.6577	408.86252	662.5599	134.08228	930.90753	525.1861	123.12195	134.7	140000	1803.4964005947113
632.4977	130.85452	959.036	429.05612	858.4842	118.581314	1064.2909	630.16797	124.675	166.0	145000	1881.2153494358063
701.21606	160.12201	1250.1482	488.65344	684.8394	132.20944	900.1726	488.7457	138.02777	129.1	150000	1954.4815878868103
710.9244	172.89044	1112.3903	450.32684	753.05206	143.74425	1030.2762	546.9698	137.58333	147.9	155000	2027.6406409740448
722.15314	191.60081	1350.0948	358.6496	745.6916	160.62018	1160.378	572.67523	142.16667	148.9	160000	2103.6690707206726
822.1374	159.93246	1181.9747	488.3816	767.3697	113.60431	966.8519	594.62006	162.12903	147.7	165000	2181.897431373596
814.92755	235.80913	1636.5529	433.11722	724.33624	131.07083	921.90936	542.5252	160.66667	147.5	170000	2259.422792673111
1011.27216	329.46005	1757.494	546.4831	843.11066	141.53613	1071.2031	660.2675	199.46153	162.8	175000	2337.4634857177734
862.0711	275.7942	1613.3582	425.94998	964.743	296.0437	1744.0396	683.1525	169.96552	193.5	180000	2417.509780883789
894.09186	282.73886	1603.6407	405.71515	790.44257	151.43417	1177.5643	625.9481	176.82143	158.9	185000	2494.0489258766174
893.5697	350.87027	1914.974	440.7493	920.4289	136.8819	1218.4816	768.3326	176.41379	181.0	190000	2575.023679971695
1125.6644	388.95703	2062.2295	663.9732	713.92834	139.35678	1059.0417	539.68854	220.95454	136.3	195000	2649.1127598285675
1270.5087	744.8283	4185.011	521.72284	991.1058	255.89981	1619.4639	742.1212	250.73685	197.5	200000	2727.903701066971
1330.4094	576.9458	3070.6782	721.0327	959.9012	128.12573	1232.5137	816.00726	263.2	192.3	205000	2802.170207262039
1596.252	757.0425	3550.5269	900.02716	803.7125	181.19753	1157.717	597.9266	316.3125	166.7	210000	2880.1363513469696
1310.2944	497.69235	2521.1099	539.74677	563.459	34.90649	626.19617	499.15833	262.27777	122.1	215000	2958.2553918361664
1404.0518	659.56195	3307.6536	556.138	952.98846	131.1341	1317.8062	849.44794	278.94736	192.3	220000	3038.525626182556
1790.332	848.261	3470.2083	676.5884	1177.239	164.69542	1437.3158	965.2351	357.64285	225.4	225000	3120.1733808517456
1640.8986	986.49115	5019.18	577.688	1926.7006	1066.6469	4740.6616	734.12054	331.0	378.4	230000	3202.5615355968475
2715.8342	1186.3607	4691.733	1005.0059	1742.6895	526.2133	2607.0874	1031.0319	546.3333	339.1	235000	3282.9406657218933
3139.2852	1727.3068	4993.059	780.53613	3149.0618	1882.3801	5042.0474	920.6225	628.25	624.2	240000	3368.8029770851135
2374.8047	1220.7448	4897.6914	1262.1704	2501.5388	1834.0565	5094.712	609.26324	472.44446	491.6	245000	3450.6526415348053
3065.9302	1246.8849	5038.1587	1250.9833	2670.496	1514.3423	5147.0557	831.9765	605.44446	521.6	250000	3535.752727508545
3000.4702	1857.3392	5062.784	661.03064	1465.8759	220.23949	1886.7332	1179.4004	596.44446	284.1	255000	3617.601541042328
2984.7178	1646.3223	5058.0254	830.2416	4552.8	747.9386	5125.9365	3200.5771	597.125	891.1	260000	3711.3152544498444
3173.4976	1529.7235	5123.419	1123.6934	2736.8347	1723.2255	5155.941	990.89905	631.625	530.0	265000	3798.02233338356
2943.77	1423.5183	5003.937	1158.8201	2489.0735	1234.4023	5095.081	879.728	592.0	489.9	270000	3882.6999118328094
4037.884	1086.043	5034.758	2275.1921	3760.0125	1549.9176	5146.015	1285.0426	808.1667	737.1	275000	3970.535029888153
3381.938	1069.5756	5030.449	1934.0704	2326.9106	1042.9288	4224.898	974.43317	675.0	456.1	280000	4053.517087459564
3150.0376	1861.7075	5028.2476	931.571	4893.441	549.1368	5155.41	3358.9495	631.5714	952.8	285000	4148.573069810867
