AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
1.1425177	8.380353	8.760754	-14.385434	-16.613834	5.7784	-7.059795	-25.976473	1000.0	1000.0	5000	16.394787311553955
1.3441155	7.944779	10.237063	-8.4299965	-21.904514	3.8207948	-16.147837	-26.965954	1000.0	1000.0	10000	33.245519161224365
-1.7020286	5.564188	7.293111	-7.833978	-18.738642	6.5026884	-8.128871	-28.152088	1000.0	1000.0	15000	49.60959458351135
10.978718	20.937181	34.014404	-21.239931	-16.577312	8.31847	-4.055371	-26.666916	1000.0	1000.0	20000	67.2892849445343
3.7261856	6.0588627	12.585747	-3.8271813	-16.283901	8.447468	-2.085158	-27.133255	1000.0	1000.0	25000	85.52088046073914
20.366581	6.350413	30.850039	11.30023	25.718159	0.68281096	27.293251	24.845804	1000.0	1000.0	30000	192.43332147598267
13.3312	8.224125	21.978315	-2.2298496	17.444181	8.699304	30.993942	10.457272	1000.0	1000.0	35000	297.1101906299591
31.96178	8.213785	45.452362	22.119452	26.812704	2.7070577	29.88339	20.285294	1000.0	1000.0	40000	404.9249927997589
28.242859	3.960846	32.65876	21.864935	30.19582	1.3240957	31.964682	28.147562	1000.0	1000.0	45000	512.4132511615753
27.591381	3.959102	34.00732	21.537258	32.126865	5.131057	37.496983	23.748095	1000.0	1000.0	50000	620.9041786193848
31.383856	3.2606692	34.279606	25.703989	35.923725	2.6001034	40.072063	31.16171	1000.0	1000.0	55000	731.3502473831177
32.449085	2.6626859	36.2275	29.426384	41.99877	4.172241	45.327843	33.416603	1000.0	1000.0	60000	842.4459664821625
32.158806	2.1542706	34.057396	27.969275	37.09754	3.2694337	40.874374	30.716957	1000.0	1000.0	65000	947.153731584549
30.816044	2.6108181	33.783657	26.66573	40.511497	1.2840465	42.52125	38.63447	1000.0	1000.0	70000	1049.098613023758
30.06894	1.3256313	32.4947	28.947374	40.81356	1.1371392	43.217503	39.531128	1000.0	1000.0	75000	1150.2633843421936
34.27503	2.0840106	36.60486	30.575113	40.09283	2.77904	43.008846	36.323856	1000.0	1000.0	80000	1251.6326267719269
29.222815	4.37697	34.65447	22.24522	40.085007	1.1947153	41.879234	38.05745	1000.0	1000.0	85000	1353.6246140003204
32.465027	2.1911266	35.496323	28.87065	40.19938	1.5888091	43.728542	38.29263	1000.0	1000.0	90000	1455.1798326969147
31.31903	1.9909308	33.673515	28.31762	39.813683	1.4788305	41.920856	37.324825	1000.0	1000.0	95000	1554.3964569568634
29.680225	0.7413942	30.73655	28.58317	41.67977	1.1650658	43.652763	39.503536	1000.0	1000.0	100000	1648.8812975883484
27.78423	1.7042173	30.3243	25.573706	40.070545	1.4933848	42.81116	38.0096	1000.0	1000.0	105000	1744.5027027130127
30.35545	2.64091	34.28996	27.448994	40.65026	1.5256555	43.867687	38.900517	1000.0	1000.0	110000	1840.5374820232391
30.851665	1.756344	33.77929	28.386522	41.673557	1.4952722	43.480534	38.34416	1000.0	1000.0	115000	1935.3633513450623
31.266865	1.737249	34.114517	29.214048	34.943893	3.3592482	40.401424	31.092772	1000.0	1000.0	120000	2030.1036548614502
30.90125	2.188232	34.56871	28.350195	41.20896	1.6847605	44.552216	38.5211	1000.0	1000.0	125000	2125.486616373062
29.809393	1.1512674	30.75855	27.584967	39.60839	1.4152733	41.461987	37.453465	1000.0	1000.0	130000	2219.927910089493
31.77329	1.0247397	32.956326	30.249794	41.647957	1.0932534	43.641354	39.846767	1000.0	1000.0	135000	2311.475431203842
30.702183	1.8021458	32.99338	27.85243	41.727863	1.533274	43.899597	38.680557	1000.0	1000.0	140000	2402.53581905365
29.316525	2.8761325	32.68111	24.599005	42.400566	1.2071868	44.0672	40.486492	1000.0	1000.0	145000	2492.6290249824524
30.62186	1.6568441	32.35102	28.020107	31.639566	6.3285275	42.552345	26.534502	1000.0	1000.0	150000	2582.7072179317474
31.651596	1.7658827	33.702763	29.14811	41.031822	0.8401816	42.363987	39.12867	1000.0	1000.0	155000	2673.0024847984314
31.493511	0.51384825	32.10361	30.607761	39.755688	2.2622123	42.653168	34.456497	1000.0	1000.0	160000	2762.011664390564
33.07911	2.4347563	37.81165	30.931437	41.788235	1.8393568	44.077488	39.085953	1000.0	1000.0	165000	2858.0485956668854
30.940609	2.8004467	34.286633	26.450768	40.92976	1.7784255	43.06638	36.611195	1000.0	1000.0	170000	2960.546236038208
31.148407	1.3494356	32.899902	29.175013	41.923252	0.9966374	43.27964	40.33172	1000.0	1000.0	175000	3057.8809514045715
31.30783	2.8083024	34.635635	27.587578	42.09054	1.1459057	44.206036	40.31516	1000.0	1000.0	180000	3153.2725241184235
31.42342	2.5689607	34.877197	28.343523	40.93519	1.1837705	43.030895	38.82275	1000.0	1000.0	185000	3247.905719280243
30.83324	1.4365538	33.07109	29.241554	41.48201	1.3280574	44.07954	39.699905	1000.0	1000.0	190000	3342.4333641529083
32.156975	1.5003672	35.07018	30.863522	41.89941	1.7247816	45.084393	38.57868	1000.0	1000.0	195000	3437.250818490982
31.657394	2.0935686	34.936516	29.314478	41.615	0.9107602	43.494892	40.585022	1000.0	1000.0	200000	3533.639151573181
31.024174	2.4386995	34.38802	27.432222	40.96598	1.4801332	43.430317	38.81907	1000.0	1000.0	205000	3628.8561158180237
31.673615	1.5815337	34.087223	29.712967	41.237503	0.9662912	43.276157	39.827225	1000.0	1000.0	210000	3724.666097640991
29.584442	1.380409	31.07577	27.31852	40.334938	0.98488337	42.74248	39.034733	1000.0	1000.0	215000	3820.1535143852234
31.419403	2.7199786	35.00284	29.064966	40.917713	1.0726892	42.649746	39.18855	1000.0	1000.0	220000	3914.728628873825
31.437536	1.050197	32.375164	29.472755	41.287727	2.5435152	45.24662	37.429703	1000.0	1000.0	225000	4011.3732810020447
33.204765	1.5006318	35.386673	31.761839	41.433296	1.1862952	43.102905	38.86963	1000.0	1000.0	230000	4108.7557673454285
32.13687	0.8104928	33.161583	31.014397	41.18351	0.9444609	42.63147	39.933212	1000.0	1000.0	235000	4204.074481248856
30.639843	1.2183641	32.192165	28.864016	39.58448	2.0721223	42.86619	36.79853	1000.0	1000.0	240000	4299.6702835559845
31.574316	3.0498312	34.575424	26.37344	41.75586	1.5627849	43.947773	39.63805	1000.0	1000.0	245000	4394.6029353141785
30.856827	2.974404	36.215702	27.435366	41.772648	1.263306	43.510624	39.956993	1000.0	1000.0	250000	4490.513008117676
31.63573	1.4578432	33.358807	29.172543	40.434044	1.7321938	43.60133	38.20026	1000.0	1000.0	255000	4586.382137298584
31.979359	1.5948547	34.891617	30.489826	42.358612	1.4457587	43.839333	39.77379	1000.0	1000.0	260000	4681.006240606308
31.885462	1.7332342	34.506603	29.079332	38.634438	1.8016452	40.69921	35.314877	1000.0	1000.0	265000	4776.111075639725
30.089687	1.5776408	31.809263	27.860075	41.432076	1.623769	43.746193	37.60987	1000.0	1000.0	270000	4870.750514745712
31.103695	1.9918598	34.54073	28.942896	40.607037	2.6397283	45.049877	37.067642	1000.0	1000.0	275000	4965.602806806564
31.466146	1.1113756	32.944363	30.07164	40.98761	1.9488761	43.488712	37.855347	1000.0	1000.0	280000	5061.213994979858
30.159369	0.7632566	30.849068	28.983658	41.838005	1.5036447	44.533436	39.627884	1000.0	1000.0	285000	5155.478266716003
33.724407	1.852738	36.47204	31.468649	42.12748	1.7800248	44.684887	38.688644	1000.0	1000.0	290000	5250.4504725933075
31.453588	1.2124838	32.929558	30.079645	40.64526	2.4693446	44.57858	37.2527	1000.0	1000.0	295000	5345.305674791336
30.308426	0.72604936	31.263552	29.257801	41.32836	1.9211336	44.244602	37.504227	1000.0	1000.0	300000	5442.327211141586
30.236237	1.868401	32.41731	27.573946	41.408703	3.0135746	45.092632	36.422867	1000.0	1000.0	305000	5538.303936958313
31.88627	2.0645494	34.178024	28.470037	43.36118	2.475812	45.867725	38.190697	1000.0	1000.0	310000	5636.070147037506
31.755169	1.5243504	33.467876	29.625254	41.51809	1.986882	43.891666	38.07344	1000.0	1000.0	315000	5733.026175737381
31.297586	3.1843407	34.11908	25.077028	40.880104	3.261812	45.407745	36.70933	1000.0	1000.0	320000	5830.20321893692
32.711758	1.5120897	34.91361	30.76273	40.952778	2.064433	44.136	38.27979	1000.0	1000.0	325000	5926.194900035858
30.903406	0.81313866	31.667557	29.458126	42.66095	2.525379	45.44591	37.73568	1000.0	1000.0	330000	6022.357854604721
32.876534	2.4241579	36.7447	29.224022	41.635902	1.9108968	44.699986	38.85823	1000.0	1000.0	335000	6118.545669555664
33.19021	1.3334793	35.039265	31.687727	40.966698	1.9388292	43.724636	38.162197	1000.0	1000.0	340000	6215.496324539185
31.78889	2.6987047	35.533737	27.208406	41.597557	1.5385478	43.946453	38.806793	1000.0	1000.0	345000	6312.712860822678
31.731619	1.2425827	33.31045	30.074543	38.92527	2.4487393	41.620144	35.18309	1000.0	1000.0	350000	6409.812895774841
32.133488	3.7904356	38.195152	27.499063	42.29492	1.8565385	45.233017	38.3578	1000.0	1000.0	355000	6505.737208843231
32.24535	2.439688	35.12638	28.095821	40.649147	1.4786623	42.379345	37.66587	1000.0	1000.0	360000	6601.751089334488
29.887976	1.7764987	32.198803	26.965395	42.897057	2.1073532	45.37514	38.85014	1000.0	1000.0	365000	6696.669867277145
31.152018	2.553022	35.61504	28.02951	42.53784	2.893078	46.74417	38.127666	1000.0	1000.0	370000	6792.532874107361
30.550049	3.2003756	35.88974	27.17975	41.083878	2.4884458	43.885223	37.40902	1000.0	1000.0	375000	6889.6880650520325
30.46433	1.4648786	32.4317	28.614098	41.47915	2.3465168	44.98982	37.30128	1000.0	1000.0	380000	6986.25466966629
31.847488	2.1434467	35.426506	29.086597	40.467354	2.8868458	46.1162	36.86699	1000.0	1000.0	385000	7083.2916169166565
32.26095	1.7204868	33.951626	29.897606	42.902588	2.70347	47.12506	38.689724	1000.0	1000.0	390000	7181.083458185196
32.201225	1.2442893	34.056274	30.393667	40.955784	2.8460517	44.583923	37.292824	1000.0	1000.0	395000	7277.65011382103
33.896732	2.2842853	36.89943	30.815685	43.141407	1.3416749	45.34616	41.21561	1000.0	1000.0	400000	7373.752426624298
29.705017	2.697594	33.374794	26.010523	42.353596	1.8192217	44.924164	38.61074	1000.0	1000.0	405000	7470.137948989868
30.260656	2.4263823	33.2974	27.165482	40.606018	1.1276337	41.68131	37.76215	1000.0	1000.0	410000	7566.482657909393
31.694498	2.6677432	35.04618	26.880768	41.581882	2.0278926	45.681736	38.96804	1000.0	1000.0	415000	7662.158321142197
33.450737	2.1038353	36.913803	31.321133	42.316383	1.1088239	44.77115	40.701912	1000.0	1000.0	420000	7758.032915353775
29.838215	2.703475	34.907738	27.32403	42.45984	1.5716331	44.451416	39.673283	1000.0	1000.0	425000	7854.445967435837
32.381012	1.267198	34.56474	30.72229	43.03474	1.8640617	45.535534	38.54531	1000.0	1000.0	430000	7951.095668315887
32.8272	3.307004	37.647522	27.63315	42.489613	1.8151972	45.33081	39.666832	1000.0	1000.0	435000	8045.923673868179
32.022655	2.1803625	34.77268	29.429913	42.60727	0.8538671	43.91799	41.00963	1000.0	1000.0	440000	8142.670152902603
32.66912	2.0561152	35.317593	30.515455	40.99181	2.0526073	44.026848	38.070477	1000.0	1000.0	445000	8238.495902299881
32.919464	2.3529398	36.957603	30.880836	42.31649	2.3655984	44.68146	38.322037	1000.0	1000.0	450000	8335.223073482513
33.459255	0.5333524	34.39581	32.94765	43.031174	1.8367605	45.141182	38.84149	1000.0	1000.0	455000	8431.864665269852
32.303387	3.1827278	36.28579	27.527126	43.8496	1.5035369	45.660294	41.21446	1000.0	1000.0	460000	8528.629441738129
31.446802	2.2599392	35.51378	28.619629	42.99507	1.3044761	45.697323	41.147404	1000.0	1000.0	465000	8625.283439159393
31.980383	4.4717565	38.260338	26.057598	43.148888	1.5832685	45.5383	40.258938	1000.0	1000.0	470000	8721.482849359512
31.426	0.74820113	32.704784	30.545801	42.479046	2.2709658	45.64757	38.686516	1000.0	1000.0	475000	8818.845086574554
30.707586	1.7006236	33.243587	28.601414	43.525917	1.313989	45.34957	41.109127	1000.0	1000.0	480000	8915.461634159088
31.010168	1.9091048	33.26796	28.492369	42.516216	1.4282314	44.501892	40.088867	1000.0	1000.0	485000	9011.686477661133
32.01481	1.1988813	33.17119	29.78105	43.617558	1.2685694	45.402847	41.71976	1000.0	1000.0	490000	9107.24640917778
31.35997	2.1023412	33.87081	28.863007	44.024338	0.8712555	44.94659	42.376892	1000.0	1000.0	495000	9203.817190885544
33.654766	1.6458242	35.83705	31.286371	41.494087	2.0811636	44.77457	39.104755	1000.0	1000.0	500000	9300.512259960175
33.594265	1.8179564	35.940205	30.90069	43.18918	2.2110362	46.645775	40.25167	1000.0	1000.0	505000	9395.689546346664
32.416267	1.8325915	34.44271	29.954132	41.225494	2.0552032	44.829803	38.5036	1000.0	1000.0	510000	9491.506682872772
30.63158	1.8624173	33.122276	28.25385	40.971237	2.3762639	44.684753	37.985878	1000.0	1000.0	515000	9588.813436985016
32.53882	4.2810388	40.399986	28.149042	42.229473	1.1426367	44.36452	39.83392	1000.0	1000.0	520000	9686.17164182663
30.496466	2.0531478	34.289936	28.04995	42.8661	1.9733377	46.83143	39.883545	1000.0	1000.0	525000	9782.624061584473
32.957165	2.5897515	35.690147	28.314981	40.40876	1.8150929	43.27119	37.282047	1000.0	1000.0	530000	9879.092865467072
32.145706	1.9369712	35.50778	30.088366	42.395874	1.1570714	43.97636	40.73465	1000.0	1000.0	535000	9975.515406608582
31.422897	2.6618497	33.668106	26.199532	42.466167	0.9277644	44.44508	41.305836	1000.0	1000.0	540000	10072.02077960968
31.909634	1.3495196	33.434372	29.502302	41.34025	2.6275008	45.37586	38.218693	1000.0	1000.0	545000	10168.500047683716
33.43496	2.216656	36.961506	30.675177	41.837875	1.7012292	44.083355	38.98933	1000.0	1000.0	550000	10265.264083862305
31.397741	2.0655532	34.52483	28.808813	41.936756	2.4102826	45.879616	39.75665	1000.0	1000.0	555000	10362.719059705734
30.754116	1.9374045	33.17411	28.45127	42.367657	2.0020354	45.946835	40.00663	1000.0	1000.0	560000	10458.27814745903
32.892326	2.2333875	35.476986	29.756664	40.421165	1.0991787	42.727882	38.298798	1000.0	1000.0	565000	10555.208515882492
32.42785	2.3347409	36.503876	29.32588	43.446983	1.5414006	45.44914	40.114174	1000.0	1000.0	570000	10651.953397750854
32.311653	2.0141177	34.039646	28.632122	41.481953	1.5597984	43.452755	39.112514	1000.0	1000.0	575000	10748.124319791794
31.303791	1.4473666	33.25871	29.514183	43.957985	1.4693862	46.761276	41.82893	1000.0	1000.0	580000	10844.345612764359
34.016884	1.525748	36.290394	31.888416	43.43861	2.045599	46.366306	39.98139	1000.0	1000.0	585000	10940.888536453247
31.045496	1.8795314	32.506065	27.645428	42.35775	2.5644433	45.35744	38.035156	1000.0	1000.0	590000	11036.519033670425
31.788097	2.8705328	36.3923	28.160133	42.5328	0.8997808	43.80695	40.40645	1000.0	1000.0	595000	11132.849019289017
