AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
-38.179455	95.42569	40.05457	-360.96393	979.0156	3.351256	985.6758	975.2591	154.7742	1000.0	5000	15.777418375015259
-58.72867	100.37879	27.312073	-324.81104	980.9992	3.7371638	989.4314	976.1817	187.11111	1000.0	10000	32.07000374794006
-32.385742	55.871315	28.25687	-345.82892	978.5428	2.5839055	982.68787	974.44745	101.4186	1000.0	15000	48.58953547477722
-70.863144	96.487755	7.829613	-375.89813	978.9012	3.209826	983.9258	973.7245	179.65517	1000.0	20000	66.37717652320862
-94.89815	138.96754	5.304606	-411.3673	980.19104	2.733632	985.9874	976.0861	267.21054	1000.0	25000	84.17022109031677
-62.012096	92.95267	56.233845	-324.57175	863.3545	41.7401	925.47003	808.7022	423.75	1000.0	30000	179.63821578025818
138.82785	112.68429	406.87646	25.684628	848.8151	21.42891	891.25323	824.73615	575.8889	1000.0	35000	273.6652920246124
141.85872	109.72665	302.25156	-6.840369	687.0889	26.64362	752.33167	657.10767	735.3333	1000.0	40000	364.8904056549072
97.86839	62.247673	214.1474	-6.8504415	679.11456	18.30103	704.0847	654.8506	786.2857	1000.0	45000	456.73235034942627
68.75228	93.497734	213.35619	-28.415314	507.36963	39.03732	618.60895	476.1447	718.7143	1000.0	50000	550.1034345626831
27.216318	61.155094	150.0932	-48.750797	636.209	66.78181	828.0447	595.55255	804.8333	1000.0	55000	642.1637308597565
56.7244	45.48471	134.37498	3.989043	683.76624	90.119965	857.23224	577.4558	656.0	1000.0	60000	735.1558792591095
171.39479	116.59301	340.00192	23.284826	805.93286	73.94501	906.2316	715.6618	685.0	1000.0	65000	826.0044255256653
124.8936	89.61743	273.43423	-44.317074	775.42676	72.43838	928.35455	702.6461	660.375	1000.0	70000	918.8641984462738
114.03768	70.094955	254.28313	27.23444	760.4839	74.490814	927.31384	677.7142	423.33334	1000.0	75000	1012.2851514816284
203.14667	137.26382	438.9809	6.4199705	848.1081	66.08259	932.2409	716.50684	627.375	1000.0	80000	1105.6269295215607
157.98865	123.531075	426.4136	69.103775	873.2028	55.6298	958.35236	797.9995	817.3333	1000.0	85000	1201.5209724903107
187.44731	87.03274	315.16473	55.294724	842.56757	113.45129	1115.6931	701.35004	495.0	1000.0	90000	1293.6260116100311
192.41034	156.94806	440.5144	23.891058	837.20496	58.375786	918.98224	741.14575	624.75	1000.0	95000	1388.0237708091736
251.67972	163.57516	596.36865	21.800919	797.0148	438.0526	1542.8732	71.481476	604.25	812.4	100000	1479.7391629219055
240.949	129.86101	442.97467	38.657314	713.17816	384.82526	1040.2004	76.41116	740.5714	728.6	105000	1568.7450103759766
210.94269	78.84868	339.67615	81.86005	1026.9286	174.6307	1387.1156	679.8836	615.75	1000.0	110000	1660.8317515850067
272.6489	173.48503	643.39496	88.21163	746.0638	397.19492	1084.4417	113.10682	753.5714	658.5	115000	1748.7577686309814
232.5714	97.95133	323.96915	26.068472	606.81134	362.2216	1132.6492	182.82513	842.6667	532.0	120000	1838.4712808132172
391.77524	246.02376	813.382	62.202126	891.9088	343.16293	1246.6372	60.37471	752.0	827.3	125000	1930.3035068511963
299.89633	100.27994	438.5518	148.29337	706.9165	354.38843	1057.8274	35.124264	862.1667	682.9	130000	2020.5974447727203
266.3682	202.95515	775.90326	45.161972	1208.1669	319.3937	1550.5841	420.04413	458.25	920.3	135000	2110.7332475185394
286.06323	85.95507	419.08505	125.27218	825.0636	322.27936	1304.7626	224.67398	752.6667	696.3	140000	2199.6911268234253
282.8144	190.07639	714.099	14.976641	969.8014	259.50452	1249.6115	322.31992	523.0	766.6	145000	2288.1483278274536
298.84442	150.67113	509.7051	96.075615	1071.1155	330.09998	1610.8726	620.8878	467.3	866.2	150000	2377.915625333786
263.32025	97.53458	371.7023	46.370724	1474.48	306.75113	1957.2512	986.1027	746.4286	959.7	155000	2471.2844347953796
293.15363	95.923805	426.84518	155.61604	1125.4695	552.6345	2081.062	164.7724	537.6	824.7	160000	2566.258245229721
245.83865	182.47058	486.71533	11.978674	1136.634	230.85416	1621.8289	886.82117	506.44446	999.3	165000	2660.9960997104645
562.8	182.72404	847.50806	327.72818	898.36847	532.27246	1693.1865	59.193127	1000.0	682.0	170000	2749.2771162986755
349.5052	202.17722	761.75806	50.483715	1381.5813	352.61517	2036.5635	1035.9141	750.4286	948.9	175000	2844.4102885723114
386.85767	346.5494	1053.3175	12.380685	1084.2454	562.1387	2305.474	150.38368	629.75	721.4	180000	2931.5324964523315
232.62204	173.82185	476.38742	12.565636	1022.76434	495.38098	1868.8529	68.98823	634.5	822.4	185000	3022.477518081665
380.364	218.42009	676.0368	-1.4449781	1142.5334	793.72925	2268.691	95.4917	610.5	651.6	190000	3110.1903030872345
325.59637	231.66995	785.1394	14.297001	1615.9182	512.9316	2386.6414	1030.5986	596.55554	1000.0	195000	3203.540045976639
595.52466	449.16818	1460.4443	116.417755	1801.7828	423.96594	2241.2983	1093.6791	531.3333	953.2	200000	3295.7463648319244
543.7801	240.08243	1022.7915	345.6381	1288.8412	669.50934	2336.7705	210.56071	757.0	792.5	205000	3384.8333847522736
717.3622	277.04538	1032.3301	281.98062	1299.1252	661.862	2459.3135	137.37115	1000.0	908.2	210000	3473.3153536319733
536.8535	275.88507	1048.2125	85.57439	1356.8987	451.01962	2140.1794	738.0927	682.5	867.9	215000	3562.9283945560455
583.3544	442.751	1180.4039	12.41186	1415.0094	843.76904	2454.6174	75.18862	649.5714	711.6	220000	3651.172618865967
893.59247	632.92596	1942.4618	156.91989	2054.873	337.4705	2426.1797	1313.0198	684.0	1000.0	225000	3744.263099193573
599.8835	541.20154	1798.392	162.52377	1438.2125	655.22437	2466.4053	68.73531	780.1429	904.1	230000	3833.9161474704742
963.9677	675.7959	1886.7938	7.735043	1732.1674	733.1674	2563.199	11.823848	668.625	816.4	235000	3924.4277806282043
755.5519	526.5795	1823.6879	161.04143	1257.4348	508.63214	2209.3652	239.88315	634.75	843.3	240000	4012.2837269306183
729.99805	633.4349	2116.6353	235.8178	2114.3496	530.6569	2542.427	1180.8029	748.3333	911.4	245000	4105.155164241791
976.28925	708.23425	2115.5356	316.27756	1649.2458	690.9285	2386.33	227.80032	835.3333	910.8	250000	4200.558926343918
1053.3545	482.56638	1942.9156	306.7608	1617.9412	736.61163	2617.529	219.73804	831.5	820.7	255000	4290.856795310974
910.5568	589.11523	2239.4011	245.26065	2450.0256	513.5239	2843.801	950.0421	598.125	934.8	260000	4380.106453180313
1296.8142	685.2852	2203.702	120.97415	2371.3625	393.95853	2783.6548	1568.1003	773.0	961.3	265000	4472.066707372665
1159.7999	714.0146	2076.735	101.18991	2305.135	696.5414	2788.9226	783.43164	700.1429	925.5	270000	4563.895028591156
