AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
-405.0917	66.319756	-317.4883	-494.64413	-0.41146874	0.4742079	0.6157861	-1.1060318	1000.0	1000.0	5000	12.154863595962524
-333.74625	92.09351	-203.9234	-466.23746	-0.13710348	0.8238774	1.2687488	-1.3764217	1000.0	1000.0	10000	24.184882640838623
-258.17172	94.18995	-145.41153	-416.32703	-0.4637355	0.41327077	0.16961148	-1.1754951	1000.0	1000.0	15000	35.9667022228241
-291.30606	46.08556	-230.22266	-358.89587	-0.47638854	0.6761945	0.11771927	-2.0643492	1000.0	1000.0	20000	47.69824957847595
-272.89545	36.990864	-221.0082	-333.76828	-0.524098	0.98733324	2.041625	-1.4618298	1000.0	1000.0	25000	59.51776647567749
-242.25945	99.00034	-130.06075	-395.42242	-6.0280056	1.319866	-3.088025	-7.882649	1000.0	1000.0	30000	153.5909457206726
-156.37396	49.314816	-61.899242	-198.03168	241.72287	195.34718	707.32416	39.277622	1000.0	1000.0	35000	245.7286834716797
628.1261	514.7749	1434.5581	-30.579672	1936.8074	179.01505	2285.0657	1662.6444	1000.0	1000.0	40000	338.9666373729706
1922.9133	172.69609	2122.662	1717.8743	2861.817	66.186584	3022.5654	2762.7485	1000.0	1000.0	45000	434.25110149383545
2538.1316	281.41895	2854.1025	2202.1274	3420.0085	229.91081	3577.759	2769.0247	1000.0	1000.0	50000	529.1980304718018
3066.4214	90.38822	3190.572	2937.84	3882.3804	57.40657	3975.8337	3777.0928	1000.0	1000.0	55000	617.6355230808258
3520.0444	191.89622	3755.8276	3274.925	4080.7852	104.30362	4268.357	3962.4192	1000.0	1000.0	60000	705.6106631755829
3904.5417	144.20332	4089.7976	3721.7432	4402.4697	87.530304	4544.0493	4264.214	1000.0	1000.0	65000	793.7014343738556
4105.2	100.29428	4297.4824	4021.3516	4671.698	97.97331	4789.337	4472.102	1000.0	1000.0	70000	882.660472869873
4304.599	65.876236	4433.5903	4251.446	4925.1562	99.56155	5086.8213	4763.8164	1000.0	1000.0	75000	972.9425852298737
4412.3403	111.972015	4548.7344	4213.4434	5070.6143	42.946342	5129.282	5000.754	1000.0	1000.0	80000	1060.8323984146118
4566.978	100.93179	4723.44	4409.595	5128.548	93.34589	5241.4243	4960.6465	1000.0	1000.0	85000	1147.6513390541077
4755.3516	76.59726	4880.959	4662.5234	5267.9736	66.20944	5384.033	5148.555	1000.0	1000.0	90000	1232.9796109199524
4882.017	70.5467	4958.037	4787.602	5545.1904	59.859673	5640.917	5443.465	1000.0	1000.0	95000	1323.6678705215454
5003.273	111.81923	5100.7056	4838.1606	5141.2	1089.189	5584.19	1879.5746	1000.0	1000.0	100000	1411.6043787002563
5114.8364	96.26664	5244.6895	4969.0327	5756.486	99.93402	5911.7363	5598.5957	1000.0	1000.0	105000	1498.7769668102264
5203.147	51.390648	5290.3447	5145.5024	5791.028	100.97599	5932.051	5638.4385	1000.0	1000.0	110000	1589.2971153259277
5334.246	74.043106	5414.612	5237.8794	5920.0303	79.527115	6062.1724	5789.468	1000.0	1000.0	115000	1678.3127009868622
5399.036	75.65972	5536.689	5307.692	5948.448	105.606964	6160.2817	5804.335	1000.0	1000.0	120000	1767.6963386535645
4676.314	1571.4011	5662.2437	1548.1744	6141.2803	111.29455	6289.79	5936.1353	1000.0	1000.0	125000	1853.6527645587921
5582.8306	122.23748	5706.7427	5379.575	6169.7627	102.774216	6318.724	6010.0723	1000.0	1000.0	130000	1939.0480120182037
5727.076	86.52076	5868.9263	5640.3066	6197.7217	115.92012	6396.339	6032.0654	1000.0	1000.0	135000	2026.6833600997925
5778.81	88.75847	5866.546	5649.575	6350.86	146.46243	6569.1025	5997.0015	1000.0	1000.0	140000	2116.426489830017
5907.906	93.575806	6073.7124	5795.1216	6049.9175	1463.2526	6685.2627	1670.7203	1000.0	1000.0	145000	2206.5418984889984
6043.1206	48.049843	6093.124	5959.4097	6618.657	80.93676	6791.275	6500.7466	1000.0	1000.0	150000	2294.7266569137573
5958.966	117.02295	6086.103	5774.141	6773.921	143.24239	7044.041	6525.889	1000.0	1000.0	155000	2381.4501395225525
6226.4663	122.122765	6426.9434	6056.1567	6776.496	124.438866	6977.626	6583.3984	1000.0	1000.0	160000	2471.2092010974884
6239.4688	132.71597	6395.042	6035.968	6748.4385	488.59485	7076.2134	5324.6724	1000.0	1000.0	165000	2560.5177993774414
5457.905	1805.4624	6521.8623	1851.6343	6731.8438	796.6434	7219.2324	4360.7725	1000.0	1000.0	170000	2648.719938516617
6500.1113	106.4656	6618.5596	6333.1914	7021.353	86.4343	7211.5854	6862.954	1000.0	1000.0	175000	2739.104284763336
6212.2114	579.4329	6616.7383	5061.918	7138.9233	72.45831	7242.003	7017.3755	1000.0	1000.0	180000	2826.300235748291
6602.453	118.11192	6798.883	6438.838	7221.8086	107.67292	7363.1445	6961.13	1000.0	1000.0	185000	2916.3928894996643
6706.245	159.62292	6860.4233	6411.953	7311.948	77.333755	7440.5713	7137.8555	1000.0	1000.0	190000	3016.3364214897156
6814.6025	94.77286	6897.5513	6637.679	7517.315	79.111305	7678.1113	7375.555	1000.0	1000.0	195000	3117.3327186107635
6854.3643	81.30925	6953.2314	6716.2295	7414.633	104.52875	7682.053	7283.4624	1000.0	1000.0	200000	3205.88619017601
6994.353	133.3646	7167.048	6807.719	7536.044	73.22634	7661.121	7429.9395	1000.0	1000.0	205000	3298.131811618805
6427.4897	1178.1527	7239.153	4083.596	7573.874	76.53992	7690.445	7439.942	1000.0	1000.0	210000	3390.78880238533
