AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
18.46661	15.059782	142.41487	5.2620897	55.224922	2.2032807	59.362465	51.99309	22.367714	44.8	5000	2.233581781387329
18.64933	17.952648	173.58444	5.440526	52.411224	2.1112597	57.711346	50.055496	22.678734	43.3	10000	4.382246494293213
19.0653	23.501827	222.46454	4.7983136	53.440777	3.1258261	59.466923	50.05728	22.436937	43.8	15000	6.574170827865601
18.116451	16.848576	147.45549	4.9768724	53.719036	2.4026935	57.69486	50.035732	21.705627	44.0	20000	8.752025365829468
19.523512	17.247393	137.81337	4.6908674	53.36439	1.9843504	55.747746	50.23423	23.696682	43.8	25000	10.914483785629272
110.35948	73.575096	229.03911	10.896295	213.6669	0.73537534	215.75365	213.17586	59.5	99.1	30000	89.04527521133423
284.29678	34.992916	333.97452	195.72807	308.1107	1.1212566	310.58807	305.6734	129.1842	131.0	35000	165.60740613937378
271.59424	22.561651	320.5746	235.81647	262.02832	0.7974721	263.28693	260.85178	117.325584	123.3	40000	243.1878378391266
266.35455	16.027714	300.09515	220.19151	283.37283	4.8814144	288.73465	272.83917	119.71429	122.6	45000	320.71362137794495
285.7321	30.963573	334.7114	155.53516	309.3222	5.4810596	316.42395	301.04794	125.425	128.4	50000	395.54167795181274
287.12704	20.660141	335.28882	228.38475	278.792	5.702822	289.85687	273.12466	124.375	119.6	55000	471.68247747421265
301.32922	31.586126	354.35187	178.05447	1044.6501	0.9360237	1046.4595	1043.3252	134.59459	1000.0	60000	560.3106784820557
306.81775	13.715903	362.04562	278.1909	303.6291	1.4449009	307.1756	301.63428	132.0	128.0	65000	637.6999049186707
320.68732	56.541645	604.7689	269.44135	321.6302	3.7701514	328.09512	313.1365	139.16667	133.3	70000	714.96217918396
312.8346	24.935123	370.0518	252.41866	295.40378	14.75188	323.36755	280.93976	133.27026	124.4	75000	792.025472164154
304.97162	17.092878	349.71826	261.7996	358.47314	1.8373842	362.3842	356.5068	127.175	144.5	80000	869.305597782135
327.50186	20.192362	386.6924	282.7899	331.708	2.1259875	333.40604	325.65497	129.21053	132.6	85000	953.9873583316803
324.10202	22.185492	352.89172	236.3829	307.22415	1.8432146	309.32816	303.50262	129.71794	129.1	90000	1043.9967391490936
335.69208	13.250725	368.7884	308.4834	357.09174	2.0139017	361.57007	355.3396	130.02632	134.5	95000	1132.6131117343903
345.9603	15.113109	380.25153	308.29776	366.68854	2.0622146	369.70062	363.32053	132.05263	137.7	100000	1214.8365795612335
363.21402	18.3959	399.04922	312.70187	373.90814	5.673089	380.19394	364.044	134.67567	133.6	105000	1298.4317371845245
368.80884	19.863733	423.73776	330.39294	387.85648	1.1617763	389.92197	385.86133	137.10811	146.8	110000	1382.5264601707458
384.96622	18.82143	433.43976	340.85287	418.92676	2.219626	423.68442	414.75156	139.74286	145.7	115000	1465.4819431304932
411.1319	37.853508	486.88232	357.4541	512.8356	1.1988636	514.3836	511.15228	150.60606	173.7	120000	1549.3966319561005
416.8528	114.15606	536.0287	40.88867	491.0104	2.2754285	494.43796	487.6219	151.57576	167.9	125000	1633.2365899085999
475.52548	65.48199	587.8165	213.7313	473.6291	2.7788203	477.09836	469.46527	161.64516	163.3	130000	1716.0652203559875
518.5614	101.37575	700.9383	252.39154	561.6207	27.89249	598.7454	533.58026	173.2069	173.6	135000	1798.6482117176056
557.13116	90.536354	641.98773	249.76201	645.49603	2.1801288	647.76215	641.5935	175.44827	191.2	140000	1882.1999006271362
443.49988	88.97851	651.7889	307.32202	395.93958	1.9017267	399.04633	392.26984	148.54546	135.0	145000	1964.110101699829
450.6429	61.954136	608.73285	373.40317	412.50424	3.1837873	419.05347	409.3254	146.6	139.2	150000	2047.1395282745361
527.36	94.199585	656.6633	379.88718	643.36365	5.775577	651.2823	629.4812	166.24138	189.3	155000	2130.5073890686035
611.3223	51.13676	665.5588	462.4904	663.6029	1.9745694	666.20715	659.71686	188.40741	199.5	160000	2213.379361629486
596.9978	78.71742	693.39233	462.39746	548.57574	2.2753074	553.18256	545.3677	192.07692	179.8	165000	2296.9731409549713
634.22327	90.13467	763.8039	388.03003	706.5402	22.493769	725.3221	655.2685	197.72	205.2	170000	2381.8553428649902
