AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
125.82098	40.02727	294.3102	78.68631	189.6524	9.696397	206.93918	171.95976	25.030151	35.1	5000	4.496422052383423
122.1601	32.323395	231.95056	78.34471	181.8467	12.04078	214.12122	166.46765	24.202898	33.7	10000	8.932955980300903
120.877	33.301727	235.60785	78.54455	193.75832	12.257405	212.15898	171.24033	24.033653	35.9	15000	13.430602788925171
125.41226	40.300793	271.873	78.33286	191.85454	12.7828865	212.72177	169.67773	24.955	35.4	20000	17.880385637283325
121.59997	39.49977	331.9194	78.425514	188.5317	11.717538	211.28682	176.74004	24.198067	34.9	25000	22.41775369644165
200.70589	89.70201	413.82117	78.56268	99.23608	0.18364565	99.42153	98.90107	38.63566	21.0	30000	103.90469622612
315.5104	70.323166	454.81064	126.86304	346.57578	16.264353	371.60495	325.76224	59.52381	63.0	35000	187.93744468688965
384.65015	56.891796	563.99695	293.32117	488.92755	63.37851	632.85754	408.39142	71.95652	92.7	40000	273.148889541626
405.16553	82.53199	771.73535	289.07956	355.88275	33.403625	389.97205	289.63736	83.4	81.1	45000	357.188040971756
344.04562	52.14413	621.38306	256.96198	492.11987	234.17273	1174.2543	356.37335	72.86957	101.9	50000	440.73491168022156
436.71823	81.18526	755.1718	319.18866	526.42224	86.576866	766.19293	450.48972	91.01818	108.2	55000	525.0791432857513
478.1034	106.24235	829.82025	324.7961	409.56503	41.94127	488.6239	357.25305	100.14	85.9	60000	608.8066072463989
493.36954	94.541275	870.94653	369.09344	507.02124	103.675224	676.8106	382.40714	97.92	101.9	65000	692.5599067211151
534.194	122.76499	783.30994	330.6971	518.1022	50.87705	630.9045	459.88358	106.085106	97.9	70000	776.0824227333069
562.9853	147.03445	1021.2914	322.98505	559.4219	78.07682	707.8205	430.13904	113.65909	112.0	75000	861.6849458217621
654.0512	173.22237	1245.587	395.06726	626.83777	81.50306	820.7043	561.7692	129.79488	118.0	80000	948.5362513065338
595.9452	109.36268	865.22235	356.28662	691.89325	87.8792	831.38544	540.2968	122.17073	132.1	85000	1032.8810858726501
608.7096	128.57755	957.4582	412.72308	581.81433	41.758503	649.65045	516.87366	116.23256	108.7	90000	1117.538741827011
628.4551	120.57531	832.30505	379.02505	706.2728	93.23816	869.6671	577.26184	122.268295	133.5	95000	1202.652215719223
679.355	100.3559	895.78516	457.678	696.019	77.44591	796.1953	570.1544	131.92105	132.5	100000	1288.9888651371002
