AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
10.261625	14.1448345	30.361319	-6.373831	-14.201777	4.594353	-6.408514	-20.758934	1000.0	1000.0	5000	16.48147702217102
1.9384346	8.337505	17.400051	-6.056221	-12.127199	5.827916	-5.8658137	-23.56122	1000.0	1000.0	10000	33.31001567840576
1.7904632	5.347738	7.0966268	-6.1492305	-10.534127	2.6540616	-7.3491173	-16.94083	1000.0	1000.0	15000	49.60378313064575
1.2904171	9.091554	15.371565	-9.700897	-14.353053	5.250303	-5.1902356	-22.246185	1000.0	1000.0	20000	67.22397041320801
8.015548	5.9696875	15.625431	-0.99218816	-14.661944	4.826365	-6.2640553	-21.448254	1000.0	1000.0	25000	84.97696447372437
23.771519	6.6925526	32.816723	12.565668	21.58276	2.748226	26.834978	18.293066	1000.0	1000.0	30000	192.5904026031494
17.952234	10.193523	28.237762	-1.6401644	36.585335	7.4503994	40.54723	14.521553	1000.0	1000.0	35000	299.96757531166077
20.639317	7.252603	34.81851	15.072072	27.18863	6.045669	32.99522	17.161737	1000.0	1000.0	40000	406.04251408576965
32.455322	3.8118372	36.76682	25.552677	38.658875	3.7178636	44.231895	34.19139	1000.0	1000.0	45000	515.545574426651
28.573627	6.616984	35.335125	19.231554	40.325733	1.1678683	41.76056	38.309273	1000.0	1000.0	50000	624.5794944763184
35.455452	2.4328017	39.635826	32.599514	42.20484	1.2174305	44.010574	39.939655	1000.0	1000.0	55000	733.8860166072845
34.206055	1.5148735	35.92882	32.491177	39.986897	1.4841555	41.721195	37.732964	1000.0	1000.0	60000	842.6136522293091
32.917957	1.198695	35.056652	31.878365	42.20735	2.109283	45.958073	39.415134	1000.0	1000.0	65000	947.2103681564331
31.120972	1.4283712	32.38107	28.408995	40.95743	2.270542	44.573265	38.174095	1000.0	1000.0	70000	1050.5217373371124
32.134075	1.4128519	34.503464	30.174946	41.196922	1.72553	43.362366	38.542534	1000.0	1000.0	75000	1153.4205672740936
35.157646	3.6594028	38.81781	29.698065	39.38647	2.0239587	43.70544	36.885593	1000.0	1000.0	80000	1257.1838512420654
31.951359	2.5360339	35.22157	27.872871	39.337288	2.220239	43.246147	36.104115	1000.0	1000.0	85000	1357.6152687072754
31.712011	2.2708266	35.1355	29.46474	40.98082	2.9737651	44.095936	35.788635	1000.0	1000.0	90000	1460.0635867118835
31.41059	3.412478	36.773155	26.08217	40.682762	2.0005848	42.972553	37.4869	1000.0	1000.0	95000	1557.7169704437256
31.135218	2.1115642	34.08764	27.781479	38.86842	1.7448971	41.265453	36.31867	1000.0	1000.0	100000	1653.2695853710175
34.487206	2.06519	37.360153	31.877045	42.30257	2.7554471	46.10806	38.474937	1000.0	1000.0	105000	1749.7615976333618
31.947638	2.526836	35.29762	27.672068	41.90044	1.3063883	43.961693	39.370686	1000.0	1000.0	110000	1843.8418419361115
31.809362	3.1504881	36.547348	28.0105	42.264885	1.1882975	44.018654	40.116898	1000.0	1000.0	115000	1939.3633351325989
30.124893	1.3077306	32.352203	28.914577	41.71718	1.2473458	43.332176	39.204052	1000.0	1000.0	120000	2032.7080206871033
31.095621	1.9018584	34.221104	29.321716	41.46467	0.96576554	42.99798	39.98805	1000.0	1000.0	125000	2128.098365545273
30.870605	2.9907756	34.05633	25.58808	41.890255	1.3289206	45.051525	40.15368	1000.0	1000.0	130000	2222.3394706249237
31.783249	3.0852377	35.332123	26.075136	41.587097	1.7849523	44.462196	39.13347	1000.0	1000.0	135000	2311.894735097885
33.408535	1.7175875	35.540165	30.675198	43.09523	1.1747772	45.31924	41.391296	1000.0	1000.0	140000	2399.4712631702423
32.241528	1.228296	33.891968	30.897873	41.7853	1.5986373	43.598907	38.852425	1000.0	1000.0	145000	2490.112552165985
31.937983	1.6325339	35.187977	30.857822	41.171013	1.0159203	42.564114	39.721848	1000.0	1000.0	150000	2580.9913325309753
29.748648	1.1834681	31.597933	28.162664	42.51043	1.3486139	44.803978	39.692177	1000.0	1000.0	155000	2672.51500082016
29.987198	3.2978191	34.81038	25.767473	40.891582	1.3677433	42.63131	38.14575	1000.0	1000.0	160000	2761.6682579517365
31.044483	1.2437088	33.257816	29.438389	41.313488	1.8094395	44.337593	38.14311	1000.0	1000.0	165000	2860.0271706581116
29.414179	1.5584232	30.813461	26.50262	41.425255	1.3705577	44.396587	39.40897	1000.0	1000.0	170000	2965.6299600601196
32.32857	2.757835	36.315453	28.663967	41.338036	1.0175092	43.440884	39.87445	1000.0	1000.0	175000	3065.8648641109467
30.581121	0.9446928	31.801474	29.06649	41.41681	1.6384778	45.37074	39.40071	1000.0	1000.0	180000	3163.6109969615936
31.417871	1.6138943	34.20424	29.469694	41.540546	1.9262553	44.827396	39.261684	1000.0	1000.0	185000	3262.552076101303
29.734554	1.0200862	31.093098	28.357666	42.935474	1.3668233	45.495766	40.840405	1000.0	1000.0	190000	3359.9685068130493
30.177105	2.7953594	33.29167	25.95523	40.47533	2.0136588	45.125175	37.263775	1000.0	1000.0	195000	3457.5479543209076
29.46275	2.689104	33.366802	26.701866	41.071995	1.1947808	42.4961	38.511417	1000.0	1000.0	200000	3555.090206861496
33.783737	1.6244018	35.37314	30.658667	42.390907	0.92218757	43.976616	40.74142	1000.0	1000.0	205000	3651.6751852035522
31.657415	1.3839862	33.480156	29.240612	42.32569	1.9797057	44.943745	38.590874	1000.0	1000.0	210000	3748.710296869278
33.34019	2.5855682	37.00763	30.082014	42.58053	2.116423	45.736004	39.141098	1000.0	1000.0	215000	3844.8541667461395
31.35821	2.9088335	34.6361	26.137487	41.696358	2.572652	45.554592	38.24798	1000.0	1000.0	220000	3942.419089794159
32.73232	2.8348944	34.537205	27.12383	41.13525	1.9295799	44.888958	38.544014	1000.0	1000.0	225000	4039.6908333301544
30.858814	1.54744	32.601208	28.342405	43.079838	2.5321095	46.101673	38.5229	1000.0	1000.0	230000	4136.163159608841
31.244135	2.9003725	35.02573	26.18614	42.491962	1.131387	44.442474	41.117138	1000.0	1000.0	235000	4233.751579284668
33.215816	3.4237864	39.279987	29.110554	42.272648	1.2992238	44.538624	40.751827	1000.0	1000.0	240000	4331.413105964661
30.192942	1.2072657	31.27854	28.532612	40.44746	1.4588798	42.790787	38.590862	1000.0	1000.0	245000	4428.435179233551
31.34042	1.4583576	33.468018	29.638262	42.41828	1.2574813	44.5268	40.245445	1000.0	1000.0	250000	4525.671480894089
32.353146	2.5058064	36.0859	29.571993	43.15661	1.5740641	45.750233	40.345287	1000.0	1000.0	255000	4623.067755460739
