AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
1.9810257	5.8308	27.347733	-8.785161	8.9895	0.2501094	9.447907	8.602564	20.882845	34.0	5000	2.1552178859710693
2.4057105	5.6566668	30.706144	-9.264404	8.566859	0.6696662	9.940023	7.657064	20.870293	33.6	10000	4.324576139450073
2.623633	6.880043	49.39776	-11.377642	8.747917	0.40221334	9.205041	7.9844394	20.267206	33.8	15000	6.445536375045776
1.9012973	5.9988365	29.359146	-9.779584	8.79395	0.5558175	9.788332	7.906588	20.213709	33.7	20000	8.537773847579956
1.6371942	5.2293334	24.120201	-10.692255	8.540803	0.37733322	9.060019	7.8814564	20.755186	33.8	25000	10.654651641845703
215.34242	185.60439	539.2961	-35.959763	242.79045	8.42003	256.9817	230.28558	189.04	133.5	30000	84.67001700401306
246.97504	110.14047	466.25894	31.924135	411.83734	122.77677	649.9663	171.86617	193.25926	343.7	35000	163.36910104751587
261.88892	83.47266	387.83948	26.612673	316.79892	24.152363	357.27768	283.22354	185.37038	180.8	40000	240.5027368068695
304.04416	70.24729	399.0892	61.884274	575.956	275.9805	999.71564	363.73523	187.96153	466.8	45000	320.05488872528076
266.59186	81.12441	419.86276	68.38484	326.74664	48.242752	433.3745	238.51912	172.68965	223.7	50000	395.5484335422516
306.83655	81.97104	439.06918	62.159874	318.25262	7.747943	328.8519	307.45596	202.66667	179.8	55000	472.5586540699005
346.4829	123.63928	576.8478	63.342243	398.16275	14.191016	426.03384	376.2552	228.47826	199.6	60000	551.5078232288361
488.27023	157.9903	968.92474	246.0518	377.0179	66.59989	439.88068	202.63463	280.88235	163.8	65000	627.941370010376
401.0432	107.76749	558.92487	31.600254	468.83563	9.657676	477.6605	446.79333	216.04167	232.9	70000	706.450617313385
340.86536	113.41714	527.403	93.37403	551.02734	11.018794	565.86053	523.57886	199.12	300.8	75000	783.553138256073
298.22253	128.94064	685.04596	75.01799	337.33884	137.3772	567.5196	52.072426	191.5	247.4	80000	862.0796294212341
326.23206	78.58681	496.56372	160.58223	536.7938	37.67518	596.1786	487.3924	189.51852	278.7	85000	937.3037087917328
321.18588	91.235085	493.09137	172.46501	356.6222	22.801567	389.40106	309.64328	170.82759	182.6	90000	1012.8982489109039
339.18036	120.81006	593.70013	59.691628	416.08456	33.663	457.414	337.65405	181.0	178.2	95000	1089.2368721961975
367.20193	128.9463	678.1812	55.601353	442.32748	7.3083596	452.07886	426.11646	201.42308	195.1	100000	1166.628425359726
399.76675	104.54106	598.45996	106.07505	403.04437	27.219437	439.88666	352.90173	206.70833	191.6	105000	1243.7213201522827
363.0755	137.80194	590.8533	15.055321	429.26666	164.49951	604.86176	91.544685	195.42308	242.7	110000	1323.6698763370514
549.47156	188.91695	1065.0662	243.9436	544.75574	19.570347	566.69977	514.07764	297.41177	212.9	115000	1402.551664352417
412.52167	144.81042	749.98834	188.59462	479.45624	33.131687	524.12	410.8331	196.04	199.2	120000	1475.762209892273
423.92575	142.84955	705.6844	195.5281	464.14618	120.06791	695.2678	312.48135	217.26086	195.6	125000	1550.1026945114136
461.08118	102.603424	607.9822	248.88184	512.3594	145.53053	931.72235	386.6265	215.0	196.7	130000	1628.1965823173523
466.87988	151.66396	885.7006	240.81201	496.90463	123.93202	723.5114	301.4851	210.04167	195.2	135000	1707.0109913349152
435.66266	168.00882	766.66174	65.20752	392.534	23.533773	430.19876	355.33533	218.13043	194.3	140000	1782.5735080242157
481.2967	168.56317	903.8049	221.42494	432.84174	37.386204	498.83328	377.0047	216.04347	207.6	145000	1860.8815722465515
522.5825	136.73792	814.46936	253.47585	605.33594	171.64815	1019.7278	319.81967	241.80952	356.0	150000	1938.9271693229675
573.30396	156.72632	920.2995	334.04785	424.90967	94.06017	597.13696	287.64783	247.7	192.3	155000	2015.9897437095642
675.4517	399.48407	2137.6184	331.2014	445.71524	43.16898	551.90326	388.20602	288.11765	202.6	160000	2094.583286046982
568.66833	227.9392	1121.5721	71.52504	843.1343	199.04659	1167.275	449.19025	257.25	313.0	165000	2174.0359358787537
767.06683	304.3758	1392.5469	347.60388	1339.4055	535.52844	2356.0918	723.4283	352.92856	503.7	170000	2254.2456533908844
1046.3407	458.68936	2025.5583	487.3391	827.6794	619.0842	2407.0247	348.4656	419.16666	340.0	175000	2330.529961824417
775.69696	254.02977	1527.7019	482.3342	1293.0754	448.9826	1889.4033	428.85648	340.14285	847.6	180000	2413.572035074234
1145.1216	541.49365	2156.622	367.3304	1592.9996	403.19888	2140.8513	956.4395	524.3333	717.9	185000	2498.24436211586
1441.4261	460.96832	2027.3538	645.6395	1103.8074	417.74747	1943.2615	488.98834	677.0	478.3	190000	2576.4431657791138
949.0799	460.32224	1874.6285	335.03015	716.45184	140.46356	1000.3393	526.31384	415.33334	241.1	195000	2651.619039773941
877.2802	337.38446	1662.1226	463.4783	1301.8882	554.9726	2545.5718	790.45074	358.92307	442.2	200000	2732.5783286094666
884.9313	434.8091	1530.5555	303.9058	1549.0963	428.2951	2235.7605	829.1488	376.07144	566.9	205000	2815.0277783870697
1274.3448	593.68805	1947.2603	237.11017	703.92725	78.0384	882.33203	617.27216	480.4	282.8	210000	2897.64275431633
1048.9934	636.497	2703.1672	407.77893	1737.9316	626.40704	2668.9846	738.9268	418.76923	759.0	215000	2981.698903799057
1051.3586	575.0984	2568.6597	352.77765	1934.7366	509.32666	2635.6177	1075.0822	415.41666	900.7	220000	3067.7460372447968
1099.5524	758.5628	2763.65	453.1142	2247.6108	130.62926	2374.0725	1917.9026	438.27274	977.1	225000	3151.8457503318787
952.27106	484.69037	1817.8176	400.57547	1510.5232	678.14087	2297.9333	662.79987	378.69232	648.7	230000	3234.2858715057373
1173.5961	741.85876	2571.4197	468.76654	1061.9105	651.0765	2374.079	571.75824	497.66666	437.8	235000	3313.595438718796
1436.3801	858.96765	2813.2607	465.19727	2102.592	717.14264	2619.0098	586.4761	567.6	835.2	240000	3399.6950023174286
1573.1757	594.80756	2557.083	535.8194	2138.6228	579.91156	2882.308	683.57916	637.8571	829.2	245000	3486.3075132369995
1345.6854	677.7242	2290.893	438.35785	1286.2046	753.4532	3037.6294	773.27576	509.36365	478.0	250000	3566.3180372714996
1209.2893	855.5414	2496.2434	147.30647	1458.9335	689.70325	2988.512	600.4621	455.9	590.3	255000	3648.353984117508
1435.6229	787.9672	2563.3433	440.44864	819.63855	665.9815	2733.671	405.66147	555.7778	322.2	260000	3726.446507692337
1359.3605	784.76935	2969.8794	439.50827	1095.9026	482.2146	2022.2009	516.60046	485.18182	456.6	265000	3802.65411400795
1583.5505	606.2593	2350.3682	638.68713	1877.2281	886.1538	3006.2185	675.66064	579.5	715.1	270000	3883.6887233257294
1805.9773	840.8547	2760.8672	452.10828	2367.411	165.85515	2728.9194	2194.249	668.375	960.2	275000	3969.9846131801605
1842.7513	540.41254	2560.3193	873.46844	1103.3596	576.98364	2287.0552	365.1202	738.8571	455.8	280000	4048.829358816147
1228.0225	886.0718	2630.058	239.43788	2632.176	314.8114	2874.561	1712.1279	493.3	957.4	285000	4134.2809500694275
1573.7948	923.0209	2698.4717	205.27873	1912.1604	824.3361	2841.214	640.5178	613.5	703.2	290000	4216.280173540115
1369.1063	957.95447	2610.8938	72.753914	2131.9526	401.39877	2490.8787	1362.1655	531.1111	907.8	295000	4303.145900726318
1550.6188	997.5036	2754.6655	171.98413	2168.7356	526.34656	2962.7764	1405.6826	599.6667	767.6	300000	4385.812171220779
1721.458	832.26605	2659.4175	251.08658	1909.2406	684.2974	3009.041	1034.6309	689.4286	680.5	305000	4470.249947309494
2079.865	653.66565	2797.5317	1271.7698	1735.5391	735.8253	2798.4902	706.3659	764.6667	635.8	310000	4550.903725147247
2418.1228	542.30396	3033.6772	1516.6622	2529.3918	316.43933	2765.5608	1628.1047	869.3333	953.8	315000	4640.29519367218
2183.049	607.5312	2802.0916	952.89984	2193.0994	693.49176	2974.5266	926.6209	771.6667	836.8	320000	4725.208628177643
1220.2272	988.08075	2815.6191	207.10825	1935.0778	740.35175	2869.139	813.4802	458.41666	744.7	325000	4809.577953338623
2022.508	838.52045	2852.6973	586.31586	2295.0442	780.3607	2956.3354	985.7249	728.8571	803.9	330000	4893.06357717514
1380.1682	537.44556	2614.2175	846.624	1473.5966	1095.3505	2816.9927	130.03484	526.1111	562.6	335000	4972.885483503342
1050.1786	857.7204	2764.578	152.44426	2649.1265	305.7854	2851.617	1746.2509	414.41666	965.2	340000	5061.0443460941315
2132.5278	833.9843	3052.8555	791.10547	2358.4473	840.23834	2975.4058	586.2862	762.5714	842.9	345000	5146.987670660019
2138.4004	832.835	2928.984	900.65	2519.6047	448.23065	3006.9045	1560.0375	782.5	917.4	350000	5232.231645822525
2109.2485	802.1571	2955.0767	780.9729	2316.0376	756.5916	2845.583	253.27353	763.5714	861.0	355000	5315.786550998688
2187.0217	668.45105	3089.015	1070.7498	2474.473	642.72925	3060.2107	1314.7432	758.6667	838.7	360000	5401.348992586136
1745.1571	897.27936	2956.09	609.5417	2588.6099	594.6933	2887.971	815.0272	628.375	932.5	365000	5488.46490073204
2274.992	688.1388	3085.7761	1316.0094	2779.3257	695.7663	3076.1235	698.3498	782.2857	928.3	370000	5576.479909420013
2888.971	302.57285	3080.4202	2290.3953	2917.6414	15.078236	2940.4414	2889.2063	948.6	1000.0	375000	5663.03555226326
2594.0403	448.63916	3021.2004	1723.4421	2863.082	61.300156	2955.9167	2769.1016	907.6	1000.0	380000	5750.481722354889
2365.8855	759.02826	3057.749	1247.5176	2692.1836	581.52484	2969.383	956.80927	823.1667	936.0	385000	5835.737998962402
2665.8125	422.2597	3019.502	1805.3696	2843.2275	134.10555	2926.2122	2448.3628	915.5	984.3	390000	5921.738363981247
2411.723	695.888	2982.2605	1047.8455	2374.4255	672.39935	2921.953	1170.6775	834.8333	859.2	395000	6006.538312196732
2902.856	174.97778	3144.2075	2622.4329	3050.0845	192.67816	3268.1929	2551.6023	1000.0	979.6	400000	6092.429039716721
2360.056	791.7913	3051.0989	850.08545	2400.2605	652.2451	2953.239	1344.6116	832.3333	880.4	405000	6176.576447486877
2466.275	839.57654	2994.1252	798.642	3008.9607	32.65431	3091.535	2973.3547	860.8	1000.0	410000	6264.312514305115
2635.1985	296.24756	3095.43	2269.6724	2913.5024	43.65407	2971.8452	2834.0408	938.1667	1000.0	415000	6351.605027675629
2323.9495	695.10254	2966.2854	879.4479	2935.075	49.011005	2985.0774	2800.9834	806.3333	1000.0	420000	6438.306400537491
2123.4478	786.07214	3139.1326	915.3889	3000.8286	94.46458	3103.721	2797.789	804.0	994.2	425000	6524.181377410889
2156.44	824.8032	2968.913	806.3118	3025.5264	33.727985	3111.0322	2982.607	759.0	1000.0	430000	6611.500576734543
2448.3918	644.65875	3003.3967	1175.8251	3057.0388	26.742403	3106.138	3010.0166	843.6667	1000.0	435000	6698.652255058289
2725.7314	241.04918	3043.8564	2432.0847	2968.9824	482.31763	3213.8108	1526.2827	920.6	949.8	440000	6783.9989240169525
2785.2654	188.81978	3067.571	2506.1785	2889.2053	462.44775	3326.863	1586.7019	1000.0	921.0	445000	6869.911905288696
2787.577	97.54467	2883.3013	2614.541	2852.4346	450.43076	3105.4558	1636.5261	963.0	932.0	450000	6954.156163215637
2485.468	623.17944	2894.8018	1209.5374	2999.3984	41.31385	3062.9565	2942.237	877.3333	1000.0	455000	7038.785459756851
2342.3977	659.9285	2963.4705	1114.6156	2917.0708	593.3799	3472.0337	1578.0776	805.1429	888.3	460000	7122.9760410785675
2428.7708	663.806	3307.6975	1323.9335	3085.0737	298.33707	3317.5552	2256.355	788.8333	962.5	465000	7205.74410033226
2786.4888	304.80103	3206.7524	2310.1045	3209.461	82.69458	3314.638	3032.0276	903.6	1000.0	470000	7300.4713661670685
2418.655	420.141	3041.832	1716.6809	2905.9377	659.96423	3285.632	1546.5521	781.2857	888.5	475000	7385.80196928978
2084.1667	844.1578	3312.8936	995.3036	2138.8071	666.5169	3575.7275	1653.5895	691.8571	648.5	480000	7465.480517625809
2786.1575	333.80215	3029.0981	2148.3472	3109.2026	140.65234	3418.6191	2939.9202	933.2	1000.0	485000	7551.826559305191
3054.958	141.30577	3195.4485	2793.6204	3148.2065	429.29242	3398.9421	1944.8322	1000.0	941.2	490000	7636.293258190155
2430.8013	1058.2054	3216.4622	44.198017	3103.5728	35.25796	3153.4412	3044.1907	810.1429	1000.0	495000	7718.863579273224
2649.5244	998.9388	3208.0117	655.53394	3475.9368	16.477863	3506.1123	3446.2231	852.8	1000.0	500000	7802.8004949092865
3032.9788	137.62292	3185.824	2832.6345	3294.5496	6.868768	3307.9138	3285.9055	979.4	1000.0	505000	7891.438294887543
3079.7793	63.895546	3155.7097	2964.8198	3319.0679	28.921415	3354.7952	3273.097	989.0	1000.0	510000	7978.359578609467
3166.6367	131.13918	3378.9717	2976.2832	3243.8813	13.814825	3262.0286	3212.725	1000.0	1000.0	515000	8064.956669330597
2646.6985	1137.2268	3309.291	377.88495	3264.2314	75.232574	3344.542	3083.857	838.2	1000.0	520000	8150.375283956528
3139.359	106.13319	3273.9272	2989.0461	3366.7175	18.230066	3393.7957	3333.592	1000.0	1000.0	525000	8237.030054807663
3087.239	332.6737	3507.9392	2495.8633	2100.058	1083.4795	3086.335	477.29382	931.6667	739.7	530000	8321.116843938828
3180.475	162.39838	3346.1997	2881.5422	3202.8904	10.571995	3218.9863	3187.8474	1000.0	1000.0	535000	8408.347245693207
2821.7874	427.69016	3238.304	2199.3855	3378.3716	101.23534	3443.3098	3090.8447	897.4	1000.0	540000	8495.264633893967
3106.4912	134.74141	3222.5393	2850.486	2909.938	609.1743	3364.924	1574.2081	974.6	889.0	545000	8581.16126036644
2627.5588	1047.2598	3165.6887	290.0006	3119.541	49.738167	3167.269	3032.8113	854.1667	1000.0	550000	8669.05818939209
3234.9126	33.276093	3293.0237	3189.712	3149.143	78.21172	3297.3247	2985.0513	992.8	1000.0	555000	8755.519613981247
3266.4995	219.22475	3563.0771	2991.7764	3523.8542	80.17358	3591.9187	3313.7678	1000.0	1000.0	560000	8843.558717489243
2593.714	1195.5687	3481.4604	53.618217	3306.5437	56.04184	3415.0237	3242.0286	809.8333	1000.0	565000	8931.54934835434
3280.5046	95.485725	3438.4856	3176.5332	3339.7449	22.636875	3371.8555	3285.8787	1000.0	1000.0	570000	9021.552542924881
