AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
-231.48042	45.372868	-176.53938	-295.94293	0.19583338	0.8955359	1.9819075	-1.5257127	1000.0	1000.0	5000	7.748606443405151
-248.66599	70.01405	-139.38065	-335.38568	0.27249545	0.8244969	1.2893997	-1.242163	1000.0	1000.0	10000	15.46315598487854
-299.2891	43.291744	-230.01106	-350.32013	0.05717401	0.69372433	0.8523661	-1.5848522	1000.0	1000.0	15000	23.222289323806763
-305.1219	52.85594	-228.23726	-380.73328	-0.30830383	0.69589746	1.0020641	-1.1075257	1000.0	1000.0	20000	30.985982418060303
-244.1019	66.16242	-173.28764	-338.36334	-0.5103804	0.70574677	0.56779265	-1.4061857	1000.0	1000.0	25000	38.91445589065552
-481.21637	48.383766	-387.276	-518.08746	-425.83942	102.40114	-249.3007	-693.2835	1000.0	1000.0	30000	82.6079614162445
28.253407	151.33218	211.52518	-250.30429	343.49402	64.55682	411.20053	195.36134	1000.0	1000.0	35000	125.60489583015442
827.2552	404.39166	1565.3104	375.43353	1277.3169	398.83466	1800.2704	764.4108	1000.0	1000.0	40000	169.0114781856537
1754.8918	226.82918	2049.7898	1462.1683	1853.3467	320.36597	2151.318	969.8972	1000.0	1000.0	45000	212.10335636138916
2072.7563	205.45811	2391.9607	1843.9375	2017.9626	425.7711	2439.5718	868.86414	1000.0	1000.0	50000	255.23025965690613
2573.5405	203.65466	2819.0796	2318.8342	2911.411	146.74069	3123.244	2670.8386	1000.0	1000.0	55000	299.0617437362671
3088.9355	175.61455	3387.9392	2855.9001	3405.1257	142.33151	3576.4	3211.9807	1000.0	1000.0	60000	342.76062083244324
3440.7031	94.599884	3535.1438	3273.8237	3418.8555	712.2849	3790.8735	1295.6904	1000.0	1000.0	65000	386.0548143386841
3098.564	1209.7463	3771.178	681.79974	3906.743	120.13199	4041.31	3692.7227	1000.0	1000.0	70000	429.6332609653473
3983.813	153.74287	4105.9395	3706.5654	3906.5398	795.5677	4344.5527	1541.1593	1000.0	1000.0	75000	473.61457920074463
4203.1787	164.32553	4475.6343	4021.6067	4340.332	89.61625	4505.598	4191.0645	1000.0	1000.0	80000	517.4460444450378
4409.2095	101.57876	4566.939	4294.767	4516.2163	98.77528	4668.2812	4370.288	1000.0	1000.0	85000	561.0611276626587
4544.62	124.966064	4786.838	4445.996	4712.5796	115.79466	4905.4873	4529.4165	1000.0	1000.0	90000	605.1794109344482
4680.318	169.27306	4934.2324	4484.7524	4797.302	103.196106	4964.8594	4630.324	1000.0	1000.0	95000	649.4171762466431
4803.1055	78.000145	4936.314	4692.853	5134.843	148.02919	5392.0796	4830.6333	1000.0	1000.0	100000	693.6972742080688
4866.4463	112.19553	5057.872	4774.441	5080.1553	103.92437	5230.376	4914.932	1000.0	1000.0	105000	1109.564340353012
4775.1465	122.007965	4965.877	4631.78	5169.8413	82.99948	5295.1665	5023.023	1000.0	1000.0	110000	1153.771017074585
5052.63	22.475098	5088.914	5019.4575	5148.7583	59.420414	5235.4805	5054.653	1000.0	1000.0	115000	1198.0131165981293
5059.724	85.49883	5183.2744	4957.927	5276.7656	71.41315	5336.1484	5115.9663	1000.0	1000.0	120000	1242.7586450576782
5033.3555	116.70259	5224.6924	4916.9453	5207.4756	97.577705	5353.097	5009.429	1000.0	1000.0	125000	1286.782655954361
5094.593	45.550747	5153.8823	5041.1006	5326.168	73.81141	5452.8613	5225.6187	1000.0	1000.0	130000	1331.088274717331
5093.9814	80.572	5191.3857	4950.6655	5471.7817	82.64459	5593.9614	5361.019	1000.0	1000.0	135000	1375.2565388679504
5196.7036	123.48103	5360.1245	5050.2773	5391.6494	108.71805	5565.796	5187.417	1000.0	1000.0	140000	1419.3846991062164
5286.3213	27.446053	5318.6875	5241.492	5394.917	136.96857	5640.001	5252.5513	1000.0	1000.0	145000	1463.6526675224304
5289.2183	158.62827	5429.624	4988.0425	5502.5996	61.01373	5636.375	5434.9707	1000.0	1000.0	150000	1508.5239441394806
5361.1157	94.75578	5541.197	5269.467	5512.423	50.460514	5609.6094	5440.1455	1000.0	1000.0	155000	1553.0701839923859
5486.6436	41.356693	5566.476	5453.965	5631.1504	101.721985	5811.59	5472.703	1000.0	1000.0	160000	1597.7250156402588
5381.956	69.43093	5463.987	5287.274	5602.4453	84.972694	5794.5806	5457.5566	1000.0	1000.0	165000	1642.573492050171
5502.4185	96.14898	5629.8184	5356.2944	5723.7217	69.11317	5801.556	5554.3823	1000.0	1000.0	170000	1687.3501372337341
5494.3457	105.37777	5661.008	5343.8804	5702.2124	104.28281	5899.394	5563.5757	1000.0	1000.0	175000	1732.7051196098328
5495.279	32.40882	5532.0283	5447.675	5707.2993	64.490425	5793.554	5604.619	1000.0	1000.0	180000	1777.3386859893799
5593.831	74.34868	5673.049	5460.7114	5690.138	92.776	5879.9526	5560.705	1000.0	1000.0	185000	1822.3974466323853
5666.9688	45.755676	5720.9883	5602.435	5799.83	108.89911	6005.0195	5590.983	1000.0	1000.0	190000	1867.4185996055603
5676.0513	55.25855	5782.6035	5625.8306	5883.3154	127.421646	6111.5547	5730.1084	1000.0	1000.0	195000	1912.11763381958
5687.8506	77.40699	5769.0767	5555.244	5903.468	104.44037	6079.897	5778.576	1000.0	1000.0	200000	1956.9610440731049
5701.064	49.20561	5786.309	5632.616	5959.288	92.078026	6069.0874	5756.139	1000.0	1000.0	205000	2375.034144639969
5746.2646	91.83483	5893.1104	5625.9653	5950.1084	94.70711	6126.3574	5831.101	1000.0	1000.0	210000	2419.638859987259
5736.3076	59.092663	5818.1665	5666.7046	6008.43	93.32408	6125.8643	5805.653	1000.0	1000.0	215000	2464.498636484146
5818.47	39.51718	5857.7114	5770.0522	6055.818	128.29984	6278.029	5887.3867	1000.0	1000.0	220000	2509.393518924713
5888.0435	109.331184	6039.625	5719.3745	6151.4565	127.65568	6329.0913	5914.969	1000.0	1000.0	225000	2554.4236178398132
5873.116	69.743996	5938.5366	5766.384	5512.2017	1176.1521	6313.8135	2691.3281	1000.0	1000.0	230000	2599.2737607955933
5950.764	134.34206	6045.1997	5687.383	5827.9014	935.6004	6285.1875	3032.36	1000.0	1000.0	235000	2644.0724477767944
6013.8643	50.813984	6061.1055	5922.1626	6176.387	120.25443	6398.125	6006.136	1000.0	1000.0	240000	2688.3559625148773
6016.4507	109.32125	6140.827	5845.583	5211.828	2014.3575	6386.3354	433.16342	1000.0	1000.0	245000	2732.655544757843
6120.2197	91.655525	6235.948	6004.002	6267.824	175.41324	6563.65	6006.5596	1000.0	1000.0	250000	2776.6443886756897
6077.2803	82.630806	6194.094	5952.0376	5809.626	1470.0795	6575.092	1542.4086	1000.0	1000.0	255000	2820.057924747467
6121.056	131.15714	6304.0215	5955.569	6245.617	157.43346	6540.038	6011.5073	1000.0	1000.0	260000	2863.8224909305573
6185.422	55.68669	6251.763	6108.353	6403.0195	146.20586	6723.256	6141.2017	1000.0	1000.0	265000	2907.519613265991
6163.662	140.06601	6330.774	5910.675	6443.5405	154.49902	6690.266	6155.3286	1000.0	1000.0	270000	2951.406355857849
6280.8643	59.539974	6362.3916	6219.0664	6589.664	129.1285	6749.5894	6411.327	1000.0	1000.0	275000	2994.9426152706146
6163.051	95.40484	6285.626	6029.135	6633.9883	82.68911	6761.794	6475.024	1000.0	1000.0	280000	3038.7145121097565
6454.724	100.10426	6562.639	6286.458	6619.1313	81.779655	6751.1357	6498.903	1000.0	1000.0	285000	3082.6076185703278
6479.24	129.22748	6633.0767	6257.2637	6125.5244	1906.5981	6928.112	414.82422	1000.0	1000.0	290000	3126.638105392456
6527.8916	169.0427	6705.591	6234.4673	6850.4976	144.97603	7080.1265	6578.957	1000.0	1000.0	295000	3170.9711220264435
6488.5127	103.74376	6664.232	6355.393	6518.6924	1138.6267	7293.526	3246.0579	1000.0	1000.0	300000	3215.343116044998
5581.293	1864.312	6629.1055	1855.0562	6975.6196	149.27408	7119.243	6625.8833	1000.0	1000.0	305000	3634.6658437252045
6587.755	98.857086	6767.8096	6478.0566	6899.2734	336.22552	7213.518	5965.913	1000.0	1000.0	310000	3678.5571599006653
6726.612	112.27627	6924.8623	6599.821	7149.2607	207.30656	7462.876	6744.668	1000.0	1000.0	315000	3722.9042513370514
6702.089	178.67647	6840.6074	6349.9316	7063.833	124.74767	7242.56	6867.4326	1000.0	1000.0	320000	3767.026473760605
6789.846	99.97621	6860.4814	6600.988	7180.382	189.90875	7447.662	6844.0835	1000.0	1000.0	325000	3811.239077568054
6856.0264	201.3306	7127.3804	6599.128	7195.1523	379.5316	7423.309	6070.885	1000.0	1000.0	330000	3855.390562772751
6779.505	124.670235	6923.585	6553.1934	7114.682	184.25359	7330.827	6816.9346	1000.0	1000.0	335000	3899.7120842933655
6957.2046	94.569145	7101.1504	6830.826	6966.496	836.42505	7357.8906	4471.361	1000.0	1000.0	340000	3943.950946331024
6890.952	78.08807	7022.6035	6801.093	6463.47	1864.7283	7489.2285	1376.2062	1000.0	1000.0	345000	3988.5884602069855
6035.7827	1907.2844	7075.5356	2223.5466	7408.5884	135.0561	7640.768	7237.44	1000.0	1000.0	350000	4032.658504962921
7019.173	161.55734	7209.827	6820.9663	7177.346	1275.9066	7854.1836	3375.512	1000.0	1000.0	355000	4076.947818040848
7050.029	179.64024	7329.018	6854.693	7547.1045	142.1674	7832.173	7336.8315	1000.0	1000.0	360000	4122.384888887405
6555.629	1308.2137	7474.2773	3985.204	7691.302	159.09886	7941.789	7431.6953	1000.0	1000.0	365000	4169.501866817474
5771.574	2766.2244	7243.0327	240.62439	7668.9375	149.93025	7918.244	7460.986	1000.0	1000.0	370000	4214.602815151215
7047.1475	146.45457	7275.136	6815.8613	7458.0664	91.88785	7572.1836	7297.805	1000.0	1000.0	375000	4259.492644071579
7032.247	131.78079	7152.5513	6821.0957	7280.7764	1469.186	7902.0923	2877.3274	1000.0	1000.0	380000	4304.485214948654
7145.526	166.58798	7404.428	6878.448	7029.095	2058.8464	7872.4546	860.6892	1000.0	1000.0	385000	4350.747643232346
7395.0674	110.27917	7572.689	7268.7144	7620.117	122.56904	7896.0522	7486.5947	1000.0	1000.0	390000	4395.586276054382
7253.4	89.739235	7414.4873	7163.7085	7857.3174	82.8022	7992.8193	7689.9736	1000.0	1000.0	395000	4440.490073442459
7301.5127	146.53456	7523.735	7075.4604	7660.681	124.20884	7958.6963	7452.695	1000.0	1000.0	400000	4485.141638994217
7448.5093	122.36149	7635.198	7320.8374	7808.9624	192.50294	8060.245	7481.1406	1000.0	1000.0	405000	4907.136356592178
7455.4663	165.81842	7775.85	7301.3506	7796.9697	155.66145	7992.383	7490.2734	1000.0	1000.0	410000	4952.159039974213
7431.362	115.69553	7564.1733	7254.1133	7941.0923	144.35028	8120.2783	7568.4766	1000.0	1000.0	415000	4997.769793987274
7330.9053	159.41055	7545.695	7113.144	7929.1665	126.89222	8209.419	7729.5483	1000.0	1000.0	420000	5042.718656778336
7351.0454	128.15593	7492.4883	7123.014	8046.884	131.8145	8258.832	7899.9814	1000.0	1000.0	425000	5087.777330875397
7728.802	181.99568	7890.9585	7391.5903	8033.6626	149.77342	8249.81	7782.01	1000.0	1000.0	430000	5132.867239713669
7559.2554	173.90262	7767.6963	7268.1797	8181.9688	96.46968	8332.538	7981.9443	1000.0	1000.0	435000	5177.836176633835
7699.47	105.84602	7893.583	7572.2227	8152.419	110.865654	8312.266	7998.234	1000.0	1000.0	440000	5222.957572698593
7894.3022	117.27862	8114.8364	7782.1836	8260.018	96.53929	8382.804	8051.8228	1000.0	1000.0	445000	5268.20880484581
7818.0947	90.84327	7925.36	7675.58	8019.2803	171.0459	8255.718	7737.464	1000.0	1000.0	450000	5313.453402757645
7784.3228	124.66664	7913.1597	7555.3867	8146.5244	114.50274	8290.618	7971.288	1000.0	1000.0	455000	5358.525943994522
7833.999	108.64804	7974.987	7696.1465	8523.846	60.234753	8612.423	8433.912	1000.0	1000.0	460000	5403.903331756592
6873.517	1767.9498	7837.1704	3339.5203	8544.02	109.714005	8701.13	8359.01	1000.0	1000.0	465000	5449.198218584061
7990.232	93.145485	8135.255	7883.5205	8366.549	121.52779	8532.812	8132.605	1000.0	1000.0	470000	5496.762792110443
8085.325	137.26654	8266.713	7842.8926	8567.228	153.11601	8772.29	8330.842	1000.0	1000.0	475000	5546.979471206665
8036.1436	66.887695	8100.606	7924.276	8423.513	137.2369	8659.993	8147.1406	1000.0	1000.0	480000	5594.149799108505
8007.0615	116.39658	8215.846	7897.0854	8512.127	147.79662	8784.532	8242.118	1000.0	1000.0	485000	5638.928454399109
7999.721	103.62978	8153.827	7895.0615	8547.22	122.199814	8734.364	8390.397	1000.0	1000.0	490000	5683.653812646866
8120.236	152.80565	8275.874	7847.598	8483.109	123.968956	8682.072	8229.031	1000.0	1000.0	495000	5728.455878734589
7732.5	464.69717	8075.511	6819.581	8655.023	98.26093	8828.836	8515.332	1000.0	1000.0	500000	5772.236795425415
8025.431	175.51364	8237.218	7776.78	8641.988	90.351105	8765.067	8507.759	1000.0	1000.0	505000	6194.9358422756195
8117.1235	206.26846	8453.964	7826.8755	8065.2666	1541.8292	8721.328	3449.523	1000.0	1000.0	510000	6239.430820226669
8196.064	102.078606	8324.022	8022.7373	8725.417	145.6618	8940.163	8524.401	1000.0	1000.0	515000	6284.064742326736
8192.955	130.2809	8402.074	8007.854	8570.979	219.62877	8894.131	8213.334	1000.0	1000.0	520000	6329.113497257233
7890.7744	605.89044	8392.023	6699.6226	8792.78	112.22355	9058.218	8657.172	1000.0	1000.0	525000	6373.612941741943
8325.584	49.788956	8395.754	8267.63	8978.088	134.8034	9248.994	8728.91	1000.0	1000.0	530000	6418.570892095566
8335.615	141.15169	8530.927	8128.709	8857.294	101.01558	8984.466	8700.322	1000.0	1000.0	535000	6462.977321863174
8255.443	137.28557	8425.717	8071.8335	8860.422	94.63739	9036.783	8738.14	1000.0	1000.0	540000	6507.657758712769
8394.575	65.124886	8502.739	8303.761	8893.205	90.66985	8995.391	8661.658	1000.0	1000.0	545000	6552.234249353409
8450.871	86.93642	8616.5625	8360.013	8830.588	159.5048	9063.005	8595.941	1000.0	1000.0	550000	6597.150449037552
8492.172	77.07435	8609.734	8371.764	9189.184	117.20877	9376.147	8985.664	1000.0	1000.0	555000	6647.5228452682495
8516.569	30.068441	8562.698	8471.36	8922.803	117.67247	9078.027	8676.605	1000.0	1000.0	560000	6692.586704969406
8549.437	180.33012	8830.231	8319.709	8901.169	104.534805	9077.249	8746.644	1000.0	1000.0	565000	6737.451080322266
8544.107	99.91016	8657.437	8380.747	9220.489	119.936646	9436.76	9100.165	1000.0	1000.0	570000	6782.014064073563
8529.209	118.67048	8664.539	8314.844	9130.738	213.14513	9377.965	8770.11	1000.0	1000.0	575000	6826.262411594391
8463.658	139.6596	8641.021	8292.515	9325.175	158.79025	9514.7705	9001.545	1000.0	1000.0	580000	6870.442577838898
8576.151	130.93898	8818.276	8428.438	9111.113	147.94438	9326.29	8840.878	1000.0	1000.0	585000	6914.441937208176
8721.425	108.8029	8910.0625	8578.011	9302.77	132.3163	9476.841	9013.767	1000.0	1000.0	590000	6958.718463182449
8661.602	96.38319	8799.351	8511.485	9134.842	83.323166	9250.527	8980.387	1000.0	1000.0	595000	7002.985624074936
8705.793	143.70595	8899.205	8492.102	9252.44	150.73027	9558.899	8979.36	1000.0	1000.0	600000	7047.303694009781
8751.764	100.935646	8844.99	8568.087	8812.289	1105.1146	9400.595	5514.9883	1000.0	1000.0	605000	7470.091704130173
8740.373	192.50674	8968.781	8474.231	9481.197	133.72687	9639.007	9175.965	1000.0	1000.0	610000	7513.73099565506
8783.718	185.21693	8967.098	8435.615	9173.958	201.83981	9550.973	8884.763	1000.0	1000.0	615000	7561.332297086716
8677.432	279.85522	9102.387	8304.538	9317.629	164.48271	9606.4795	9129.996	1000.0	1000.0	620000	7606.397980213165
8793.332	139.4442	9027.037	8657.575	9468.778	142.3204	9694.429	9184.593	1000.0	1000.0	625000	7651.241030931473
8786.965	118.95747	8944.392	8637.621	9292.094	193.93655	9714.813	9034.621	1000.0	1000.0	630000	7696.273339271545
8875.177	173.33586	9095.832	8643.657	8703.711	2404.0422	9693.321	1500.788	1000.0	1000.0	635000	7741.645477294922
8935.246	168.92525	9146.533	8632.263	9543.497	105.09868	9743.786	9415.281	1000.0	1000.0	640000	7786.634735107422
8823.584	126.28439	9015.266	8706.676	9634.547	121.21493	9785.273	9407.626	1000.0	1000.0	645000	7831.629788160324
8908.494	54.26706	8963.907	8836.516	9340.982	95.44004	9541.845	9187.987	1000.0	1000.0	650000	7877.076684713364
8920.793	154.36078	9123.997	8646.082	9051.576	857.0813	9620.71	6523.7305	1000.0	1000.0	655000	7922.197555065155
6449.3677	3510.1	9085.641	128.55876	9628.036	202.88644	9952.308	9267.261	1000.0	1000.0	660000	7969.272618532181
8927.359	108.723625	9066.611	8731.626	9515.733	133.01562	9696.881	9222.131	1000.0	1000.0	665000	8019.991898298264
8965.691	83.747314	9072.797	8818.757	9803.42	88.70374	9979.019	9689.512	1000.0	1000.0	670000	8068.322171926498
8995.702	140.28214	9192.815	8785.117	9784.353	58.73283	9860.337	9698.733	1000.0	1000.0	675000	8113.600227117538
9088.174	103.52475	9243.81	8924.825	9033.76	2372.8896	10223.318	1944.2554	1000.0	1000.0	680000	8159.158293008804
8963.731	131.00964	9077.138	8723.113	9551.008	597.21826	9925.389	7792.3735	1000.0	1000.0	685000	8204.403688430786
9134.099	139.68217	9348.748	8915.83	9727.708	178.36961	10045.146	9463.882	1000.0	1000.0	690000	8249.605161190033
9202.092	76.33627	9352.645	9140.188	9693.846	159.11546	9957.671	9432.172	1000.0	1000.0	695000	8294.87826514244
9015.397	136.12292	9241.683	8852.915	9776.447	163.45163	10020.585	9373.82	1000.0	1000.0	700000	8339.287632703781
8649.236	990.87415	9207.673	6673.227	9148.455	2351.3083	10162.987	2111.345	1000.0	1000.0	705000	8762.470637083054
9159.057	63.12353	9249.337	9052.282	9428.716	281.96368	9827.317	8706.549	1000.0	1000.0	710000	8806.808913230896
9245.096	220.20229	9611.498	8953.779	9839.774	140.23033	10023.292	9586.24	1000.0	1000.0	715000	8852.319440364838
9374.829	153.36028	9547.75	9170.457	9970.123	109.25456	10157.797	9811.132	1000.0	1000.0	720000	8897.830064058304
8951.539	538.90784	9292.073	7877.4756	9447.83	117.08827	9695.9	9282.309	1000.0	1000.0	725000	8943.309453248978
9152.628	144.80692	9293.502	8883.546	8879.596	2669.1123	10292.7295	1453.3811	1000.0	1000.0	730000	8988.763245344162
9232.249	250.00172	9435.664	8743.573	9720.424	88.99226	9854.32	9586.27	1000.0	1000.0	735000	9034.037513017654
9236.964	147.75023	9377.622	8966.199	9946.701	113.08252	10162.335	9756.264	1000.0	1000.0	740000	9079.57301235199
9197.283	218.00203	9507.955	8863.831	10111.805	257.82404	10526.5	9669.627	1000.0	1000.0	745000	9125.167818546295
9257.343	145.68338	9462.99	9033.191	9973.089	197.49127	10293.343	9640.176	1000.0	1000.0	750000	9171.221073150635
9221.886	136.77634	9401.352	9045.551	9705.911	142.03168	9931.585	9516.0	1000.0	1000.0	755000	9216.941237449646
9420.655	161.3845	9642.171	9181.128	9913.848	126.950874	10115.525	9777.595	1000.0	1000.0	760000	9262.447046279907
9366.666	116.469376	9526.947	9220.265	9854.435	109.10759	10004.148	9692.876	1000.0	1000.0	765000	9308.0352268219
9351.682	161.31793	9549.206	9140.513	10188.202	167.4929	10361.294	9895.878	1000.0	1000.0	770000	9353.250339508057
9427.366	139.91621	9640.017	9272.314	10074.48	228.83614	10452.422	9730.434	1000.0	1000.0	775000	9399.070302963257
9370.914	116.91131	9574.405	9248.821	10143.861	96.8111	10318.646	9976.901	1000.0	1000.0	780000	9444.545859098434
9482.573	66.81476	9553.305	9368.341	10055.24	186.15004	10371.191	9819.11	1000.0	1000.0	785000	9490.310983896255
9539.755	44.23959	9603.001	9473.699	10271.902	95.64511	10384.425	10103.465	1000.0	1000.0	790000	9535.88573551178
9471.377	69.65979	9557.609	9357.043	10325.795	106.67951	10506.35	10172.397	1000.0	1000.0	795000	9581.751839399338
9523.335	79.417366	9627.925	9392.601	10165.58	96.546165	10290.149	9968.303	1000.0	1000.0	800000	9626.200664043427
9557.797	93.4822	9671.581	9394.714	10010.685	91.54543	10189.386	9860.646	1000.0	1000.0	805000	10050.114474534988
9519.498	81.80279	9642.941	9394.209	10262.497	180.35304	10686.724	9956.126	1000.0	1000.0	810000	10093.938588619232
9202.058	709.05005	9662.607	7791.5825	9527.684	163.85043	9697.476	9123.154	1000.0	1000.0	815000	10138.828135728836
9582.566	55.976875	9684.865	9529.704	10200.013	176.61528	10555.505	9926.893	1000.0	1000.0	820000	10184.696959495544
9557.628	152.48615	9709.515	9271.836	10315.124	170.05687	10520.266	10067.651	1000.0	1000.0	825000	10230.015236139297
7872.983	3283.5227	9628.317	1309.5753	10399.584	111.73998	10598.264	10245.837	1000.0	1000.0	830000	10275.458288431168
9594.298	159.04218	9763.588	9322.352	10291.99	131.24347	10566.082	10037.472	1000.0	1000.0	835000	10321.066257715225
9607.705	119.902954	9780.828	9427.231	10158.099	106.24954	10328.818	9945.819	1000.0	1000.0	840000	10366.642884731293
9661.7705	41.11031	9695.801	9582.635	10161.489	164.2679	10420.95	9810.685	1000.0	1000.0	845000	10411.786669254303
9644.141	144.44746	9744.726	9358.39	10239.778	146.56958	10523.818	10003.409	1000.0	1000.0	850000	10457.43388080597
9577.597	132.08405	9799.47	9455.433	10322.455	174.77145	10543.316	9977.921	1000.0	1000.0	855000	10503.017275094986
