AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
0.88022935	15.437651	27.003843	-12.754013	-0.78044415	8.464621	10.902153	-22.458652	1000.0	1000.0	5000	5.2643678188323975
-3.0959105	9.497879	11.946066	-11.765098	-9.157246	5.013175	0.93817294	-17.663223	1000.0	1000.0	10000	10.502132892608643
-0.37101287	10.363193	17.90886	-12.003374	-8.343473	5.6398997	-0.8505606	-19.588383	1000.0	1000.0	15000	15.774904727935791
1.5585083	9.35172	17.03718	-6.748391	-1.8871723	7.561802	11.868127	-19.832369	1000.0	1000.0	20000	21.035738229751587
0.09451838	2.595713	3.2302055	-3.8340871	-3.4907234	10.038059	12.216435	-21.420765	1000.0	1000.0	25000	26.40557861328125
29.248585	4.44108	33.361366	23.0384	25.768183	0.7375507	27.521294	24.901415	1000.0	1000.0	30000	68.99577832221985
15.131769	7.771132	22.390177	1.3724556	6.456431	11.630204	33.77552	-5.843534	1000.0	1000.0	35000	110.45589423179626
29.272451	14.152458	39.59547	1.6141329	31.708858	8.477553	38.460026	17.731173	1000.0	1000.0	40000	153.23393988609314
36.32034	4.4172907	41.821533	31.251572	32.605022	1.0638919	34.61589	30.891941	1000.0	1000.0	45000	195.2114622592926
28.301584	6.505415	35.874817	20.138556	36.793976	1.5693754	39.434032	34.934204	1000.0	1000.0	50000	237.21536231040955
39.56133	4.0709324	45.5713	33.694233	33.19835	6.7410345	41.273586	15.724587	1000.0	1000.0	55000	279.4185242652893
34.28527	4.044757	38.8438	28.169575	38.424236	3.3168643	48.233368	36.33173	1000.0	1000.0	60000	322.18446159362793
35.626114	2.1809418	38.084126	32.097836	54.976562	7.019112	64.168594	43.765724	1000.0	1000.0	65000	364.16141271591187
47.64792	16.432549	62.69829	27.554249	26.800726	12.001411	43.10045	15.829089	1000.0	1000.0	70000	405.705442905426
35.727177	18.26995	72.168976	24.662893	20.438658	1.7890882	23.215855	18.139526	1000.0	1000.0	75000	447.206351518631
25.088581	3.5919445	28.689657	19.471476	18.303574	0.91551924	20.345709	17.263655	1000.0	1000.0	80000	488.1831805706024
23.354504	8.004337	37.006546	12.663889	35.235218	3.3222053	41.207436	31.833075	1000.0	1000.0	85000	529.3585097789764
38.973866	5.324014	46.04666	32.659676	31.1526	5.260123	37.513954	20.74731	1000.0	1000.0	90000	570.5370497703552
29.114857	5.322921	36.56844	20.77774	37.49726	2.0226676	40.083015	34.21518	1000.0	1000.0	95000	611.9120593070984
38.992413	8.724233	52.172974	29.383692	44.89142	6.622828	53.11064	34.384693	1000.0	1000.0	100000	653.8697576522827
33.912468	6.288602	43.698914	26.189554	28.758045	2.8720155	32.74007	25.360163	1000.0	1000.0	105000	695.6461524963379
32.435917	5.8438563	38.37674	25.123016	40.335888	5.2437134	47.090954	32.715828	1000.0	1000.0	110000	737.2211222648621
39.58625	3.654661	45.54088	34.3859	42.587456	1.7564528	44.571693	38.837337	1000.0	1000.0	115000	778.4176898002625
42.46017	4.9065676	50.745834	36.036716	45.257633	2.9521856	49.936104	42.50006	1000.0	1000.0	120000	820.3946332931519
44.274117	2.605357	47.693443	40.743095	65.43449	9.939104	76.73867	43.43095	1000.0	1000.0	125000	862.0941915512085
41.107002	2.8559387	44.695568	37.384808	45.673687	2.9224792	51.272945	42.469612	1000.0	1000.0	130000	904.6038794517517
40.200134	2.867721	43.174152	35.12167	45.325676	2.9794798	49.698322	38.275364	1000.0	1000.0	135000	946.3572781085968
44.253613	4.6091485	51.56448	38.909554	41.968422	5.9505486	50.177494	34.922676	1000.0	1000.0	140000	988.26882147789
44.28011	1.0591565	45.25559	42.85962	48.917812	8.136096	68.62277	42.238358	1000.0	1000.0	145000	1029.481674194336
45.910576	2.2329116	48.362034	42.472363	50.58975	1.8808426	53.1129	47.743965	1000.0	1000.0	150000	1071.405954837799
45.72198	2.4555192	49.33507	43.02518	49.512547	2.2333097	55.474525	46.896297	1000.0	1000.0	155000	1113.170126914978
46.541084	2.82119	50.928715	42.898422	44.73726	2.36148	48.585354	41.32843	1000.0	1000.0	160000	1154.6897163391113
43.873405	2.3583245	47.2285	41.1657	46.317917	1.8463578	47.847706	41.25323	1000.0	1000.0	165000	1195.695770740509
49.654167	3.0243084	55.320404	46.789528	45.607994	1.4637666	48.131664	42.91994	1000.0	1000.0	170000	1237.3440430164337
44.138668	4.6768837	50.369633	36.269337	46.162743	5.285139	52.276207	39.35653	1000.0	1000.0	175000	1279.0281734466553
44.7188	2.9315543	48.431343	40.65153	46.58783	2.4492807	50.21983	42.344692	1000.0	1000.0	180000	1321.0898532867432
46.148266	4.5776224	52.774208	41.544765	47.528748	3.3327014	51.832825	41.856743	1000.0	1000.0	185000	1362.5941371917725
49.62444	2.4903972	51.32272	44.68931	50.355865	2.5539498	52.478558	43.476105	1000.0	1000.0	190000	1403.6897957324982
50.298244	1.0551708	51.711964	48.819843	49.920277	4.2306	56.49099	45.02392	1000.0	1000.0	195000	1444.9395771026611
50.063377	1.8612279	52.273754	46.743553	52.61321	3.580886	55.86527	45.788975	1000.0	1000.0	200000	1487.0718228816986
51.305473	2.772311	55.013035	46.58385	46.790127	3.3422656	51.554935	42.219208	1000.0	1000.0	205000	1529.8002660274506
48.149902	3.1133492	52.43552	44.531067	47.354256	4.6709476	53.64942	42.385593	1000.0	1000.0	210000	1571.8149206638336
45.45192	4.076763	51.02637	41.222076	50.04982	2.1326077	51.943047	44.03741	1000.0	1000.0	215000	1613.9347569942474
53.25302	1.9107949	55.510036	50.290535	45.49469	3.891337	49.56129	40.48331	1000.0	1000.0	220000	1655.375128030777
51.35856	1.7488698	54.309063	48.821724	51.759117	6.7861934	68.409546	42.638214	1000.0	1000.0	225000	1697.1358873844147
55.199238	4.46302	62.44268	50.683628	52.161327	3.3760962	55.66975	43.08696	1000.0	1000.0	230000	1739.4360337257385
55.42196	1.5230685	58.0408	53.28171	52.564568	2.2243998	55.209614	46.95387	1000.0	1000.0	235000	1781.6118476390839
53.697987	4.8174386	59.200947	44.877777	56.5113	1.9870851	60.041164	54.783035	1000.0	1000.0	240000	1823.5469827651978
52.60848	3.727784	58.619106	46.945164	51.19061	3.8815548	55.20043	44.886383	1000.0	1000.0	245000	1865.105302810669
53.837452	5.1232953	60.593323	45.57102	56.751793	5.3787055	62.48601	46.235004	1000.0	1000.0	250000	1907.0466105937958
55.162086	2.41336	59.574127	52.27694	56.510094	2.85588	63.703793	51.81111	1000.0	1000.0	255000	1948.980789899826
52.595497	5.107898	58.44972	43.053642	52.292885	3.0306034	55.875492	47.928185	1000.0	1000.0	260000	1990.6039588451385
52.663902	1.699358	55.350243	50.962505	56.852833	0.71769345	58.15506	55.773556	1000.0	1000.0	265000	2032.7744352817535
52.222046	0.68257505	53.043663	51.164104	53.427864	2.5717604	56.715816	49.472206	1000.0	1000.0	270000	2075.3807990550995
52.84783	2.013748	55.290363	49.24466	59.81568	0.68612933	60.59735	58.596577	1000.0	1000.0	275000	2116.814319372177
52.10166	3.0990636	56.018894	47.24586	55.782368	3.699513	59.94533	49.75346	1000.0	1000.0	280000	2160.171443939209
57.56659	1.271878	58.868156	55.33174	57.803547	3.2544665	61.32873	51.924854	1000.0	1000.0	285000	2202.2558546066284
52.436363	3.6761882	57.645184	47.895245	55.26287	2.7479236	59.99535	51.89139	1000.0	1000.0	290000	2244.3379123210907
55.36205	3.1002426	59.971733	50.597744	52.262627	1.4185394	55.761395	50.78928	1000.0	1000.0	295000	2286.199606657028
56.64953	2.2018738	59.104248	52.667637	55.787895	4.2661467	61.368923	45.501537	1000.0	1000.0	300000	2327.3894169330597
53.817738	2.826781	57.363377	48.91031	53.877533	3.045786	58.22721	48.901703	1000.0	1000.0	305000	2369.4663112163544
