AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
125.77185	38.669144	342.85968	83.08518	194.72314	10.771383	211.99454	179.66986	25.01005	40.7	5000	4.799941539764404
125.7487	40.01761	309.4446	78.42736	205.27408	7.9289036	219.9279	191.55159	25.095	42.4	10000	9.491415023803711
119.18425	34.67354	251.08511	78.208595	206.55803	8.710092	221.92558	196.61777	23.682465	42.7	15000	14.132197380065918
126.40042	40.085903	299.8142	83.13915	196.72302	8.197137	209.83685	178.86107	25.140703	41.1	20000	18.73544931411743
124.26257	36.08612	239.8838	78.407616	203.20801	8.599486	216.2772	188.81276	24.80597	41.9	25000	23.58707571029663
165.63141	66.2748	349.103	66.36686	246.41577	10.905094	261.23877	230.51967	32.51948	46.9	30000	91.88560342788696
183.4993	80.31278	293.3468	75.904945	81.00792	3.0778396	83.29453	76.15002	34.73611	16.7	35000	159.29535841941833
102.69384	31.651997	206.10643	75.743546	117.76389	5.7716303	125.89296	107.7985	20.104418	22.8	40000	222.18606853485107
162.923	42.564228	246.05646	93.294	106.134094	8.73929	124.67847	96.70756	30.139395	20.3	45000	288.5748119354248
192.40363	37.522545	268.22342	137.40784	262.8831	10.509266	282.59384	248.19301	34.88811	48.3	50000	357.5284352302551
192.09045	39.79382	299.28748	143.46852	200.46785	17.025742	226.18967	171.61098	35.857143	37.9	55000	425.7797546386719
196.00194	17.06021	237.97137	149.35979	229.38716	6.111378	240.27379	220.97276	37.081482	43.4	60000	493.86167192459106
205.64249	33.61256	261.08127	134.49516	166.41397	8.236363	189.01	160.28075	39.109375	33.1	65000	561.9954144954681
197.43492	14.771866	236.33925	145.53299	200.25444	5.8627944	209.55539	191.80783	37.548874	37.4	70000	631.5684554576874
224.34389	49.082558	427.46194	137.10822	501.192	88.86191	645.9922	383.99152	43.181034	107.7	75000	701.3743488788605
344.28537	55.18852	580.929	250.2319	385.96515	43.43653	465.97974	322.60388	64.50649	74.2	80000	768.7466220855713
333.42624	52.501667	499.23203	239.80812	293.71317	37.723072	359.21954	227.51915	73.0	54.8	85000	837.380854845047
309.43195	84.96364	808.5756	207.52354	371.79758	42.049213	443.0449	292.71536	59.566265	69.9	90000	906.4383153915405
324.6227	61.451733	558.12396	212.13446	232.74834	32.549816	321.46536	194.57251	63.1375	51.0	95000	974.8731408119202
288.7142	116.110306	618.7929	71.344505	329.66376	58.730072	478.22534	251.6001	57.448277	64.7	100000	1044.4679276943207
415.4433	97.01077	757.6364	253.80594	455.29727	108.70399	714.44293	293.7512	81.2459	90.3	105000	1113.7482488155365
436.14423	75.03387	722.4362	289.6533	368.77603	44.573414	429.7802	294.93942	86.74138	74.7	110000	1184.2461428642273
441.56964	106.49712	869.1986	265.67868	404.6939	87.35518	555.775	291.34897	90.09091	83.8	115000	1252.54514336586
421.6884	69.12889	622.55164	283.69125	482.4205	90.46724	661.66876	334.1766	84.79661	95.1	120000	1322.47105550766
445.28625	129.62515	894.7381	278.96213	404.62238	52.94878	462.88397	329.14627	91.25455	83.8	125000	1393.33158493042
453.54465	125.64366	858.9876	246.56847	441.76752	70.66829	598.9539	349.0585	91.2	89.9	130000	1458.6170284748077
429.39087	100.61263	855.0827	287.32886	434.95197	56.444305	527.56506	355.36472	84.94915	85.0	135000	1517.7931461334229
467.12662	84.95277	687.6219	315.54944	503.21426	101.06269	687.20575	377.25018	93.86793	100.2	140000	1576.5837166309357
428.28452	101.12583	746.2799	276.33395	469.3065	110.325005	637.3999	323.1046	86.06896	92.7	145000	1637.0045404434204
499.9098	135.9439	906.18744	277.60886	433.87808	70.537575	543.98236	299.85184	100.82	91.7	150000	1696.2863585948944
520.5809	140.19061	962.4859	279.16714	439.85455	94.13073	587.9155	320.4689	103.4375	88.4	155000	1756.3145606517792
488.93768	122.09269	904.97363	328.59344	506.95157	174.53609	969.41425	339.98477	97.90196	102.8	160000	1815.2698938846588
554.77966	131.22644	957.84985	312.81827	503.1971	89.30356	675.72485	368.51154	110.44444	103.1	165000	1875.1198387145996
510.77866	126.15927	875.3616	316.91464	550.83435	115.513885	836.01794	449.2851	101.55102	109.4	170000	1934.7964842319489
529.95844	129.86017	903.587	323.91037	476.114	110.919754	635.04913	301.2834	105.5625	95.1	175000	1994.9250435829163
561.03345	158.70815	1059.4707	332.09576	526.47986	89.80586	681.16534	403.00482	113.795456	105.1	180000	2055.1719691753387
573.741	172.69943	1182.8871	277.34082	534.37146	90.8597	669.5149	364.4799	112.52273	104.1	185000	2115.439178466797
539.1778	118.64968	779.49335	364.34027	497.63354	159.80264	908.25165	327.86383	109.28889	97.5	190000	2176.219573736191
518.9482	137.67082	938.3862	303.1701	582.67236	129.14703	823.25165	349.85895	106.604164	121.4	195000	2236.348470211029
522.054	105.01961	931.7965	352.85864	554.5397	91.9202	670.4704	422.50552	101.591835	111.2	200000	2296.2610116004944
560.0771	119.24557	934.5523	353.60074	599.08453	106.2696	753.93665	357.47302	109.32609	118.8	205000	2355.21359539032
537.19946	107.99032	976.86676	345.68823	562.644	78.02664	764.4927	467.71878	104.42553	112.8	210000	2414.680804491043
592.5973	148.24387	1042.4048	342.54416	635.73865	101.608574	841.7925	526.9732	117.39535	129.8	215000	2473.6434190273285
617.1569	146.37038	956.27997	380.26154	682.4024	170.247	955.83295	437.06842	120.809525	138.9	220000	2534.3716564178467
651.3057	164.4051	1170.8373	355.79367	512.2052	122.36254	736.3903	378.78067	130.3158	104.5	225000	2594.162355661392
570.8499	123.69928	805.8955	219.34935	655.21796	151.6705	927.88983	415.94922	113.931816	128.2	230000	2654.951411008835
650.30206	191.89722	1309.0913	386.88654	657.05884	127.42387	885.9197	466.64807	128.8718	133.8	235000	2714.4153435230255
651.1012	165.96095	1140.7607	375.04385	625.5355	159.49155	878.10345	390.97504	127.07692	127.9	240000	2775.029113292694
623.24866	144.5984	1025.301	312.58322	670.8937	151.24023	960.004	479.79913	124.05	132.8	245000	2835.5582060813904
667.03925	192.5744	1036.6449	373.36093	660.1746	112.70972	815.3522	471.7082	133.23685	128.1	250000	2895.120083093643
703.2411	176.2709	1276.2444	418.7263	699.0912	130.63155	869.7113	471.2929	139.86111	136.1	255000	2956.291827440262
713.3759	186.71434	1313.8909	491.00027	739.1554	227.46217	1174.0011	484.4189	140.82857	149.2	260000	3017.1483569145203
651.768	159.65172	1122.4574	364.01614	711.9444	102.06567	892.4101	549.29663	127.97436	137.7	265000	3077.80397105217
741.5112	256.0459	1458.0836	381.89105	620.6742	132.88795	938.05804	463.95908	148.11765	123.3	270000	3137.317623615265
756.60065	189.29901	1479.4155	469.6032	760.2445	177.0183	1060.7117	469.67926	149.72728	150.8	275000	3197.0055632591248
705.85333	172.58507	1017.15717	393.64212	678.0262	112.76774	844.9795	409.84882	138.69444	133.8	280000	3254.6798989772797
698.7846	193.9259	1242.9663	373.18723	737.25214	198.35835	1121.028	474.16467	139.72223	143.4	285000	3312.078468322754
841.25604	258.45538	1390.408	457.27313	815.038	214.09756	1195.303	554.15186	162.96774	158.9	290000	3369.3415184020996
771.9406	183.97626	1119.8263	298.05734	735.4503	156.85606	1017.4825	486.93762	150.75757	144.5	295000	3425.990001440048
843.3898	234.44853	1440.5732	440.62036	814.9666	178.62613	1269.8065	590.0174	164.56667	161.4	300000	3483.454288959503
811.68665	194.24269	1367.8096	521.653	859.74835	362.8112	1642.2556	281.0889	158.5625	168.3	305000	3541.1250801086426
827.4514	179.29892	1214.8314	521.4487	896.8579	235.05779	1311.9523	473.5671	162.16667	178.6	310000	3598.5714190006256
774.6532	174.64075	1080.1843	462.7487	865.9969	232.86105	1412.7021	608.76373	154.81818	174.7	315000	3656.275153160095
852.4203	269.83704	1561.6653	558.30664	1052.4865	190.31088	1263.7201	781.3716	169.31035	208.1	320000	3714.0327730178833
915.46014	316.7871	1877.5522	492.89343	788.98584	286.4839	1423.7087	426.36804	179.07143	161.7	325000	3769.5702288150787
