AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
1.980465	5.5731735	25.864298	-9.397099	25.143053	12.700926	49.06757	4.57098	20.137096	98.7	5000	2.8606505393981934
2.3668127	5.977349	23.925976	-11.820658	31.606268	9.903124	50.196312	13.009079	21.691305	95.6	10000	5.683640956878662
2.2740707	5.759354	28.487293	-11.280196	31.187994	12.433918	51.668037	16.141888	21.358974	90.6	15000	8.44790768623352
1.5434698	5.2092896	22.055115	-9.70779	27.528885	11.425027	49.343407	13.650538	19.677166	93.2	20000	11.431480407714844
1.8111461	5.5320935	27.803295	-10.018458	28.893509	14.911836	56.410957	11.791579	19.763779	76.9	25000	14.31025743484497
144.16408	196.50708	900.911	-21.715044	302.1158	78.827675	472.19174	157.59933	146.09091	197.0	30000	69.41126585006714
198.43906	116.1194	570.60187	-12.416195	463.9082	173.33269	821.3215	248.44205	139.67567	343.9	35000	127.84954977035522
277.0196	292.09793	1012.4353	46.064972	157.50674	96.80917	325.32477	38.36852	257.875	121.0	40000	180.96287417411804
301.62784	160.6031	1015.3449	37.998653	343.4449	121.87551	525.53925	19.082846	188.67741	184.0	45000	236.30298137664795
254.13968	94.4584	401.65738	24.037096	229.52194	55.47925	312.22977	119.30431	164.3	152.1	50000	292.69790840148926
174.16693	75.50009	330.28964	14.38238	185.06929	50.63214	300.01874	103.03837	128.76315	110.6	55000	346.2259314060211
248.59439	84.74692	392.22656	7.8075504	309.10196	50.887264	370.83807	181.38725	172.06667	165.4	60000	400.8366801738739
343.45804	54.229836	494.27875	237.38147	372.50848	21.114489	407.7363	339.1112	195.68	203.8	65000	455.7524070739746
345.22153	129.8518	720.36835	64.62305	622.14056	185.24577	902.94116	352.88522	201.68	349.7	70000	511.3027067184448
331.28265	456.13397	2220.8162	32.978428	282.49405	73.6766	382.31482	180.49023	201.12	165.0	75000	564.8079354763031
119.26739	137.96689	383.75168	-80.60761	270.04266	78.059425	398.7946	160.28967	195.38461	142.1	80000	618.2132642269135
264.546	64.4062	377.00806	150.29552	288.3087	135.04591	513.7938	-27.950247	183.26923	199.5	85000	674.7834362983704
315.14716	106.85733	463.46896	71.935455	242.71342	80.24642	396.821	116.23148	194.42308	193.6	90000	729.2626278400421
286.47424	112.89521	534.4874	31.313519	317.0698	83.461296	514.93176	215.01947	194.61539	206.4	95000	784.7285847663879
323.7751	116.25272	496.0035	64.194626	255.63484	139.23946	572.6412	69.65811	234.71428	189.2	100000	839.24520611763
424.3444	120.68665	663.0726	186.29121	466.49286	213.85812	1002.5469	269.6773	219.39131	287.1	105000	1038.5255784988403
568.5279	81.62426	799.11646	475.55164	621.598	179.68646	1077.2118	481.49832	265.1579	325.0	110000	1095.0397460460663
898.62494	297.90793	1257.4141	274.29517	1201.4226	188.29453	1519.7139	880.1475	432.63635	587.9	115000	1154.444011926651
1430.0134	547.2305	2348.0647	550.3685	720.9216	258.0434	1303.47	364.07358	636.75	394.6	120000	1213.7669167518616
1084.4756	661.07495	2290.6414	218.03146	729.38275	937.5791	2601.23	121.70011	473.45456	355.8	125000	1272.0655608177185
774.0199	448.86096	1425.4087	120.65801	857.72296	369.50183	1231.6448	110.95493	373.15384	405.2	130000	1331.3213078975677
586.3648	395.86993	1299.1787	-52.110558	350.9311	162.61848	606.19855	26.633255	304.35294	209.4	135000	1387.8929071426392
532.61255	330.56268	1032.0902	46.466797	786.1737	248.92378	1183.4701	441.0941	261.05264	338.4	140000	1444.4584879875183
778.37067	149.27441	1022.49554	536.81134	890.974	88.44252	1055.7921	783.53357	329.66666	407.1	145000	1501.1700892448425
841.46936	297.41718	1197.1265	-7.3525953	564.624	114.525	687.63257	324.90546	365.92307	263.2	150000	1561.7177922725677
881.441	285.64667	1459.4987	410.52097	1033.6396	264.2139	1466.8501	732.84216	380.7857	460.6	155000	1620.6620304584503
1049.9119	389.94217	1583.6819	171.51764	867.8805	338.50894	1370.4199	483.0898	435.45456	400.0	160000	1676.5598831176758
956.8349	366.16666	1384.1934	159.86192	747.31445	318.73557	1408.5985	494.10623	417.83334	365.6	165000	1732.7516903877258
907.2496	142.15794	1199.5248	674.39435	680.88116	207.0952	1060.1735	432.81668	363.35715	296.4	170000	1788.7510726451874
779.64703	192.10739	1071.2515	342.14395	958.4627	348.6788	1535.2965	460.86502	344.64285	448.9	175000	1846.192164182663
1095.7985	399.92773	1724.8981	544.9792	834.60254	298.6018	1355.2487	322.5325	457.0	345.6	180000	1902.6033082008362
1164.0995	427.08658	2219.311	494.7853	701.3524	159.1225	1048.983	468.61026	454.83334	292.7	185000	1959.3907458782196
851.00867	237.68817	1180.2523	237.57893	939.25977	284.9708	1522.981	472.5694	326.3125	370.3	190000	2016.8700544834137
1122.8551	222.77855	1591.1614	836.993	1647.6504	463.70526	2461.9346	1022.35425	429.0909	659.4	195000	2079.1185343265533
1353.8055	264.23703	1838.7155	979.72064	1529.6868	387.84637	2363.2441	967.46466	513.55554	584.9	200000	2138.391409635544
1610.4657	440.7623	2285.2197	1040.233	1417.098	481.67886	2352.4954	799.6161	612.55554	511.6	205000	2585.7842881679535
1293.274	568.3072	2371.9	517.04114	1176.9299	290.18414	1682.6702	798.8324	495.0	450.7	210000	2644.831398010254
1035.3262	104.57034	1246.6216	855.9096	976.1569	154.7386	1255.7416	805.5122	382.3846	350.8	215000	2704.29043841362
1260.9208	316.29083	1967.1416	870.7431	1425.678	172.40306	1792.1919	1239.7415	440.0	488.3	220000	2763.0840725898743
1330.9862	339.70483	2008.3337	909.239	1393.9095	616.9525	2622.8533	271.01584	473.2	545.6	225000	2821.562935590744
1229.3545	343.04843	1682.805	647.94446	1099.1865	725.33154	2536.4167	297.38287	469.1	510.5	230000	2879.849244594574
1411.974	501.79486	2857.001	1032.7556	1469.81	329.49533	1990.5848	770.15466	524.8	585.1	235000	2937.685480117798
1359.4829	756.0798	2671.9934	24.417406	1489.3258	478.79855	2635.519	892.756	534.55554	576.1	240000	2996.8013532161713
