Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	17.75147	16.051464	125.46658	5.099495	52.364025	1.4175234	54.39407	49.970318	21.84153	28.8	3999	15.564415	12.969276	67.76912	-27.309315	-18.627748	2.4774392	15.402768611907959
2	18.646605	15.536451	122.58705	4.5676703	44.403194	1.2577466	46.002125	42.370758	21.733696	25.2	7999	89.58484	36.71664	217.75916	-138.52356	-99.712875	43.924793	33.74439573287964
3	44.005558	60.79214	210.81956	5.9781156	183.75514	7.010809	196.09659	174.90596	32.528927	96.5	11999	252.39546	88.63723	440.36536	-278.48776	-276.58813	310.2799	54.934996604919434
4	100.55462	92.255295	401.14832	4.0478225	392.66483	64.7217	537.9461	272.50244	66.95	190.0	15999	336.9546	91.275955	598.5487	-456.3065	-354.92285	438.26575	78.53527498245239
5	272.87097	70.44998	457.02863	138.3777	321.9417	29.907982	375.14212	280.22076	129.74193	173.7	19999	395.36356	113.76403	670.05634	-446.1072	-415.33078	471.0847	100.99247193336487
6	347.47028	52.21266	486.9182	257.95786	290.76547	17.36573	317.49118	265.77414	177.54546	141.5	23999	472.8358	130.19046	714.7429	-240.48901	-493.54605	585.091	124.14250373840332
7	390.29065	73.53995	616.3509	309.78555	278.8648	10.766834	295.60794	264.8484	222.44444	131.2	27999	508.0858	143.96672	783.7778	-483.15646	-526.4515	567.543	147.10142922401428
8	292.98764	122.33003	569.11584	50.750515	261.2676	12.271081	292.11667	249.63455	151.2963	122.4	31999	537.24603	158.48671	797.2675	-321.46628	-555.6015	587.0311	170.6328887939453
9	296.3118	112.47014	568.9428	28.601097	244.52469	4.3858266	250.052	236.55688	167.56522	116.2	35999	559.0357	173.96783	862.4502	-385.2241	-576.0	612.487	192.62005639076233
10	337.4259	92.67706	606.0463	228.09525	357.1182	63.055237	508.66818	258.79227	175.09091	157.3	39999	574.00134	184.36449	873.62256	-373.8977	-590.4357	571.281	215.67678308486938
11	216.1282	154.23883	667.5922	24.170805	232.94409	18.209896	275.85565	214.65677	118.30556	132.3	43999	583.3601	198.37984	908.7982	-534.0679	-599.5978	686.13763	238.1085329055786
12	307.18246	207.76038	779.5094	40.54105	774.9616	110.802155	1012.0314	607.0995	145.07408	285.8	47999	607.9658	196.99216	923.06195	-485.19724	-624.2546	815.0489	262.08504724502563
13	560.1497	162.78294	838.0395	306.1556	278.93658	82.89847	492.96835	228.8028	218.52632	136.7	51999	630.074	200.70193	901.76624	-469.49945	-646.7622	747.02386	284.0979278087616
14	573.1143	251.81523	1023.3081	125.13976	917.0285	102.37016	1043.4209	656.6874	219.64706	326.3	55999	642.19885	206.06152	891.0651	-522.1014	-657.82526	707.81305	310.3057472705841
15	516.7977	285.35104	1054.3938	132.7406	669.2113	247.38368	987.12555	264.475	190.31818	254.0	59999	646.17065	214.18488	891.27045	-480.8726	-661.2445	674.8359	334.58695459365845
16	389.60226	367.72348	1029.1254	2.6662703	10.874542	1.0211558	12.974682	9.183315	224.66667	30.7	63999	643.7649	223.13074	905.1925	-473.85364	-658.3421	651.8991	356.9009118080139
17	165.62515	248.88918	970.2827	8.751451	644.50616	211.67688	1018.5278	351.30682	134.24	471.3	67999	639.87915	223.15196	922.17896	-735.5372	-653.6085	701.451	384.4377603530884
18	738.293	242.89433	1047.0801	455.4524	554.59235	64.78077	631.1378	392.94452	557.625	377.3	71999	632.5217	220.50783	886.7036	-596.9022	-646.0688	635.1665	409.96810960769653
19	404.43097	225.51604	809.7677	147.1758	396.77786	258.1721	1036.7908	138.11954	307.69232	304.0	75999	628.9473	214.16264	885.4749	-591.66925	-642.3036	616.9888	434.03147554397583
20	265.87152	313.2688	1313.4443	29.062634	506.47745	204.09142	935.1212	282.04797	181.04347	309.7	79999	633.08746	204.23947	885.1638	-1326.4238	-646.21265	607.5767	458.5497989654541
21	437.82742	209.6959	966.7806	174.8841	623.59406	202.13684	1033.0485	357.39713	242.33333	274.0	83999	632.9314	192.84505	875.1063	-518.9635	-645.56433	624.0366	482.2733759880066
22	523.3528	451.7533	1591.6818	8.313936	160.66411	8.708061	177.88812	148.82983	279.93332	115.6	87999	628.52423	184.42659	880.0466	-516.3888	-640.50024	566.3032	504.5972626209259
