Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-42.31447	3.2533536	-35.638577	-50.28634	-10.216644	3.1401432	-4.1585097	-14.084951	50.0	50.0	3999	-0.97270375	0.86974233	4.033791	-5.118251	0.28776258	0.02625443	10.525881052017212
2	-43.11193	3.598027	-34.64947	-52.69611	-7.2460947	3.4440892	-1.5648364	-12.197333	50.0	50.0	7999	-2.1398647	1.1331943	0.92143387	-8.117964	1.40051	0.025614811	24.023410320281982
3	-25.211397	16.77604	-4.890981	-50.30464	-6.289672	1.3923004	-4.596281	-8.800218	50.0	50.0	11999	-2.5178685	1.3176138	2.6135738	-8.8997555	1.7936324	0.03536532	42.168466091156006
4	-8.276252	2.1508942	-4.3043027	-12.140443	-7.007209	1.7641325	-4.412145	-9.38909	50.0	50.0	15999	-2.218368	1.3950292	1.9614873	-8.476075	1.6513245	0.032448012	62.44153833389282
5	-8.585207	2.7706428	-3.2006924	-15.906941	-5.2807364	2.011539	-1.8264052	-8.04057	50.0	50.0	19999	-2.0744488	1.3161266	1.7541498	-7.728604	1.6185478	0.03286262	82.6783218383789
6	-7.086624	2.0621145	-3.5395129	-11.761975	-6.8269453	2.1695948	-3.14327	-11.002884	50.0	50.0	23999	-1.9749656	1.3314351	1.8306926	-7.7111487	1.5888951	0.030328024	102.6502513885498
7	-7.8434153	1.8924661	-4.635876	-13.030692	-6.6045747	1.0556413	-4.294447	-8.045566	50.0	50.0	27999	-1.8180833	1.3906164	1.8598688	-7.960309	1.4807168	0.028563093	123.25861501693726
8	-7.1322374	1.7514168	-2.7757988	-12.628064	-5.4948835	1.8859564	-2.4858267	-8.911379	50.0	50.0	31999	-1.8004533	1.3511194	1.3225895	-8.21467	1.5026895	0.026199756	143.0417501926422
9	-6.371932	1.9666039	-3.1768587	-11.314812	-5.9783354	1.9500135	-3.8815494	-10.3219595	50.0	50.0	35999	-1.745269	1.3323994	0.7518546	-8.348453	1.4770846	0.024244659	163.2834174633026
10	-6.517372	2.0105956	-3.075196	-13.019996	-5.787141	1.3319937	-2.6392305	-7.1113667	50.0	50.0	39999	-1.7324369	1.3101166	1.1905912	-8.649573	1.4890342	0.023497017	184.27500557899475
11	-6.5459504	1.6767932	-2.9691973	-9.650209	-4.919698	2.1749341	-1.8136302	-9.072444	50.0	50.0	43999	-1.7006184	1.322197	1.3082827	-8.9913	1.4761353	0.022835499	204.48269891738892
12	-6.7130713	2.2888067	-2.5437272	-19.13888	-5.3381076	1.950173	-1.8439919	-8.366944	50.0	50.0	47999	-1.6230328	1.2943379	1.1748465	-8.824411	1.4113448	0.022134466	224.71445155143738
13	-6.492751	2.2018743	-2.3396263	-13.280545	-4.575657	1.6287726	-2.040985	-7.490865	50.0	50.0	51999	-1.5774949	1.2556065	0.7881274	-8.241599	1.3831362	0.020421587	245.49088072776794
14	-6.87063	2.377855	-2.380569	-13.587449	-3.860471	1.1333379	-1.9984357	-5.944475	50.0	50.0	55999	-1.575993	1.2669942	0.92365366	-9.305985	1.3905005	0.019621596	265.7750782966614
15	-6.347473	1.4848661	-3.3597791	-9.572055	-4.6236577	1.5554699	-2.0319097	-6.763376	50.0	50.0	59999	-1.5577826	1.2761486	0.73013735	-9.391077	1.3821292	0.019481607	285.9537649154663
16	-6.1575065	1.5992887	-2.61579	-9.353696	-5.1160293	1.9096378	-1.1039398	-7.572881	50.0	50.0	63999	-1.502891	1.2538159	0.7250552	-8.959428	1.3353684	0.01889888	306.4834780693054
