Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-1.6992316	10.940773	13.451583	-12.716169	0.9074979	13.756989	29.118204	-7.4125943	1000.0	1000.0	3999	8.140602	7.186205	39.57255	-3.1334832	-9.747693	0.10095959	22.36165165901184
2	8.15687	12.63986	21.766752	-4.677522	24.116833	6.0376763	27.968145	10.661542	1000.0	1000.0	7999	43.81972	14.149004	100.399994	10.766646	-46.4436	0.34905413	48.45457410812378
3	16.379393	9.597079	26.813246	1.665186	20.37392	6.6192784	29.26175	6.062794	1000.0	1000.0	11999	85.23358	14.601857	147.03775	35.507996	-87.68873	0.48130175	76.82204747200012
4	14.403882	2.2921522	17.225214	11.5187845	1.0808623	2.118799	5.81061	-1.455036	1000.0	1000.0	15999	102.90598	12.05358	156.89445	68.53922	-104.0229	0.3677162	106.23530435562134
5	34.698654	21.870977	70.455925	13.327276	21.154224	3.4712307	30.162426	18.339783	1000.0	1000.0	19999	100.16313	8.925809	158.8853	77.02821	-100.903366	0.27091414	136.2375524044037
6	19.641464	12.650156	33.775738	0.9686686	24.830978	6.5941796	33.042107	14.590496	1000.0	1000.0	23999	97.3008	7.5673847	152.74602	75.86292	-98.2517	0.22905265	166.67876887321472
7	23.1299	9.901853	36.713596	11.51652	29.20191	10.71517	53.744675	19.533972	1000.0	1000.0	27999	93.59304	8.737303	130.13864	71.17948	-94.17281	0.1674023	197.19937586784363
8	12.62451	15.66481	30.992352	-12.0187025	22.13111	1.2062683	23.728233	20.072346	1000.0	1000.0	31999	88.82957	7.0379095	133.65625	67.09413	-89.5721	0.15631238	227.99590706825256
9	10.106171	11.590727	25.043667	-4.817533	-7.425297	0.93084794	-5.995988	-9.015554	1000.0	1000.0	35999	85.99756	9.835864	151.36296	61.883152	-86.55649	0.1574841	258.39703607559204
10	28.993086	5.2506766	36.398964	23.653818	25.29308	0.8104751	26.373955	23.979443	1000.0	1000.0	39999	78.67628	10.355161	129.74196	56.349937	-79.01447	0.118474	288.15458035469055
11	29.670286	13.375487	42.947247	10.174489	9.584033	11.680961	27.05715	-2.184977	1000.0	1000.0	43999	70.73427	9.314346	113.622246	53.392723	-71.07235	0.09360207	317.60646963119507
12	38.49489	6.8639383	50.2135	33.642063	52.05379	2.2538517	55.55522	49.037163	1000.0	1000.0	47999	63.65691	9.457814	111.2753	46.79782	-63.9361	0.084754795	348.5631811618805
13	24.033157	15.85122	50.84451	10.842321	20.848307	16.207176	44.026417	-7.6074867	1000.0	1000.0	51999	56.83409	9.687134	104.438194	39.425087	-57.07306	0.06937458	379.0745995044708
14	34.803173	5.254798	40.27235	26.286797	41.826424	1.0684642	44.101803	40.656662	1000.0	1000.0	55999	51.016804	10.028508	95.914635	33.01593	-51.2256	0.06521309	408.0967490673065
15	41.680725	11.805592	56.57425	24.072897	50.242256	5.7450595	59.775394	41.974426	1000.0	1000.0	59999	45.53838	10.330374	86.51874	27.94834	-45.74317	0.060328297	438.7874526977539
16	34.991146	7.2452207	43.56296	27.393177	38.324593	1.254221	40.78084	36.4885	1000.0	1000.0	63999	40.92965	10.432505	79.343506	23.710512	-41.114815	0.048576783	468.74409532546997
17	35.804527	6.0539794	44.746334	27.668077	43.258904	1.4285101	44.79744	40.69106	1000.0	1000.0	67999	36.359493	10.204992	73.87583	20.117943	-36.495766	0.044585302	498.9046516418457
18	40.04775	4.073709	46.894714	36.160545	40.79129	2.646087	44.400707	36.69166	1000.0	1000.0	71999	32.05816	9.829507	71.0156	16.905954	-32.19735	0.040826507	528.2463133335114
19	31.251984	6.6906962	42.544678	25.856144	31.437557	1.6710107	33.330894	28.126305	1000.0	1000.0	75999	28.535822	9.771643	63.880093	14.605911	-28.66377	0.03452646	559.2986104488373
