Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-173.32379	350.78323	-19.364304	-2662.4258	65.48333	-0.015885388	0.7452762	2.4131172	-2.4175606	4000	-8.392334e-08	24428.24	-0.060810633	-3412.2363	7.370121	0.015843961	0.23625	16.0	6.559903860092163
1	-217.34607	517.9732	-10.534254	-2698.6943	83.145836	-14.409827	0.6471013	-7.3786173	-15.063166	8000	-2.6702882e-08	30318.947	-0.03305456	-2248.875	7.3256116	0.014745691	0.2455	9.0	12.54672384262085
2	-210.02925	521.3492	-19.644068	-2791.5854	81.32653	-22.43595	0.10339658	-19.915216	-22.4902	12000	-3.8146974e-09	28713.787	-0.0647764	-1569.5195	7.3254476	0.015670624	0.25925	29.0	18.597312927246094
3	-281.67578	567.1051	-17.899332	-2527.6304	112.8	-28.450094	0.047212645	-27.905592	-28.47335	16000	-1.9073486e-08	26058.014	-0.053446345	-1528.1777	7.3101482	0.015464175	0.231	19.0	24.506181478500366
4	-206.6468	521.8915	-15.151529	-2651.5312	84.35555	-34.20508	0.043907467	-33.615067	-34.22225	20000	7.343292e-08	23489.412	-0.06608631	-1143.5723	7.2469454	0.01651683	0.266	29.0	30.429542779922485
5	-445.39795	869.5471	-18.607126	-2586.0146	185.55	-39.2125	0.023481285	-38.844486	-39.223736	24000	-5.3405763e-08	30113.912	-0.021786636	-1838.7637	7.1687555	0.020581624	0.252	6.0	36.39203715324402
6	-175.15227	476.05167	-6.1941957	-2492.9102	76.02041	-45.350437	0.029096404	-44.953796	-45.359207	28000	2.7894973e-08	18835.271	-0.015661253	-812.4785	7.148378	0.020063655	0.225	4.0	42.326881408691406
7	-159.46445	341.01135	-16.880117	-2383.729	67.57627	-49.60602	0.025642984	-49.246094	-49.612713	32000	-4.9591065e-08	12696.63	-0.02087653	-456.11035	7.199911	0.02107778	0.27425	6.0	48.11282515525818
8	-162.74638	427.4115	-9.950095	-2311.6116	73.35294	-52.8365	0.022295725	-52.549614	-52.842514	36000	-4.2915346e-08	14228.424	-0.018603388	-571.16504	7.1525183	0.018460324	0.256	6.0	53.81863880157471
9	-282.53485	607.7585	-8.98332	-2409.0388	120.23077	-56.452168	0.016797276	-56.127773	-56.4575	40000	5.4359436e-08	19841.527	-0.016210308	-1198.9688	7.161748	0.018841106	0.246	5.0	59.63056540489197
10	-160.08875	398.62463	-13.997271	-2164.2808	74.90566	-61.671463	0.02064754	-61.3304	-61.67643	44000	3.6239623e-08	10852.072	-0.02079568	-404.33984	7.079927	0.017524017	0.2215	7.0	65.65354871749878
11	-393.44827	736.7236	-10.794557	-2336.2195	178.27272	-64.92966	0.013211081	-64.641815	-64.93308	48000	1.2159347e-08	15534.58	-0.013680484	-923.35547	7.126837	0.020817967	0.21675	4.0	71.36743426322937
