Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-633.4027	75.345665	-521.5696	-734.0519	1000.0	-0.00028495787	0.49055952	1.5243584	-1.8119268	4000	1.2969971e-07	3824.153	-0.048146334	-583.73706	5.513403	0.01564931	0.25025	17.0	7.628645181655884
1	-552.6806	37.910465	-496.10187	-601.2542	1000.0	-7.8414984	4.9603877	11.081346	-14.172257	8000	4.9591065e-08	2186.0615	-0.038051616	-855.8208	5.5414577	0.016825642	0.17325	15.0	14.871425867080688
2	-660.4021	57.06382	-569.1561	-722.7467	1000.0	-21.730276	2.1301835	9.21807	-22.50569	12000	1.2397766e-08	1945.6545	-0.038467616	-540.17664	5.475797	0.016185226	0.19825	16.0	21.673953533172607
3	-603.2681	68.33986	-512.1487	-704.7891	1000.0	-29.072927	1.2790848	-11.65501	-29.6903	16000	1.9073486e-08	1012.6788	-0.046138085	-231.5351	5.4322877	0.015104135	0.2195	25.0	27.748268365859985
4	-588.5933	107.91728	-455.2593	-753.9306	1000.0	-34.1616	0.3844317	-28.844961	-34.34839	20000	2.8610229e-08	857.06415	-0.014396243	-145.36383	5.414038	0.016094822	0.1665	6.0	34.01836848258972
5	-592.43744	82.4476	-507.3571	-693.4358	1000.0	-38.124084	0.6361696	-21.012047	-38.29423	24000	4.005432e-08	570.4494	-0.015676135	-95.81784	5.42932	0.015260434	0.17625	6.0	40.28739309310913
6	-637.85315	79.19332	-564.38995	-770.34534	1000.0	-41.54622	0.10444029	-39.046513	-41.58943	28000	1.1920929e-08	650.6499	-0.047981303	-86.54437	5.4731894	0.016115377	0.23225	25.0	46.57209324836731
7	-521.2418	30.621801	-503.04535	-574.27625	1000.0	-44.80051	0.068816856	-44.013668	-44.83316	32000	7.152557e-09	234.74046	-0.016668133	-7.3425903	5.427952	0.014255149	0.20875	6.0	52.76277232170105
8	-564.12476	93.70382	-459.61346	-715.0707	1000.0	-45.901188	0.109461516	-42.990696	-45.936928	36000	2.861023e-09	470.25592	-0.015604722	-13.797607	5.3599663	0.01625951	0.2505	6.0	58.84503650665283
9	-466.60455	27.785112	-426.51178	-494.0058	1000.0	-46.939713	2.2581775	11.8514385	-47.135605	40000	7.629395e-09	282.0575	-0.017875735	-82.973694	5.358289	0.017202718	0.193	6.0	64.2907407283783
10	-510.16345	9.808632	-495.91965	-521.8685	1000.0	-42.91327	7.574776	-2.819322	-46.900803	44000	-4.529953e-09	216.27122	-0.036687613	-47.846695	5.439834	0.015752848	0.24275	18.0	70.51396059989929
11	-555.51324	21.670864	-531.3245	-577.71967	1000.0	-46.127384	3.657488	-4.5686245	-47.42592	48000	7.152557e-09	302.67316	-0.04327588	-24.461212	5.4199963	0.015402075	0.23475	24.0	75.96906566619873
12	-476.4976	35.766544	-420.7756	-520.5933	1000.0	-46.882538	4.2356434	28.603893	-47.938313	52000	-7.629395e-09	262.6659	-0.044504493	-31.256516	5.382058	0.015583814	0.2235	24.0	81.02871489524841
13	-431.5109	40.13045	-390.2172	-492.56204	1000.0	-42.138317	6.7424254	15.182901	-47.07977	56000	-1.9073487e-09	297.67288	-0.047264177	-59.45604	5.3898797	0.015934145	0.23175	22.0	85.70563960075378
14	-444.07532	49.288006	-385.03876	-520.95374	1000.0	-41.692432	4.7726808	-0.5051813	-45.94177	60000	2.4795533e-08	349.09317	-0.04166712	-29.853119	5.313096	0.016842848	0.2055	21.0	90.3723030090332
15	-470.24677	61.6452	-385.35855	-559.5218	1000.0	-40.919197	6.22809	16.71648	-45.922546	64000	-2.0980835e-08	344.22232	-0.015395739	-30.04071	5.3454585	0.019203335	0.22425	5.0	95.06092929840088
16	-470.65616	58.06726	-385.50775	-536.9281	1000.0	-41.79509	5.651833	19.31438	-46.24148	68000	3.3378602e-09	282.35196	-0.045405842	-28.973053	5.35023	0.015620888	0.2455	24.0	99.65477919578552
17	-455.6452	20.842636	-436.1554	-490.54907	1000.0	-42.2804	4.8331137	10.867558	-45.99512	72000	2.0980835e-08	251.61319	-0.016142637	-30.816132	5.2990737	0.017974889	0.21175	6.0	104.1226007938385
18	-387.91174	64.29255	-326.56635	-495.89774	1000.0	-41.619274	3.2635639	-1.3358032	-45.709137	76000	-1.9073486e-08	244.26318	-0.04141865	-74.984375	5.348585	0.016624292	0.2115	20.0	108.76734447479248
19	-435.81262	22.998823	-406.6214	-470.70648	1000.0	-36.553562	5.0172443	-2.9143825	-44.72156	80000	-2.4080277e-08	250.05608	-0.044895593	-31.27597	5.2848234	0.016437596	0.208	21.0	113.44980120658875
20	-418.5297	45.004814	-372.17117	-478.22885	1000.0	-39.499214	4.1436887	1.7761518	-45.21519	84000	-1.525879e-08	324.23126	-0.015181099	-63.899994	5.276494	0.018349856	0.285	6.0	119.29020929336548
21	-420.39792	50.03596	-354.77863	-476.06763	1000.0	-34.988564	4.1863956	-1.17952	-45.0447	88000	-1.525879e-08	212.49846	-0.041119426	-52.12381	5.210574	0.015575472	0.192	20.0	123.9714412689209
22	-392.74963	44.714237	-320.17047	-433.42657	1000.0	-37.99304	5.853728	5.389242	-45.400005	92000	1.1444092e-08	165.41814	-0.015483158	-23.615036	5.2502365	0.017512482	0.197	6.0	128.50532865524292
