Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2.258527	2.0396094	8.785332	-0.6178737	20.613401	-0.6387611	0.3182489	0.4882982	-1.3168842	4000	-1.7166137e-08	11.520701	-0.015511181	-8.557576	2.7511322	0.012574508	0.1325	79.0	6.098135948181152
1	2.8979893	2.3482964	11.557434	-0.27789837	20.776041	-2.4877324	2.209187	4.1766357	-5.2375236	8000	-6.198883e-09	3.485715	-0.014979784	-0.7932725	2.7567065	0.015045824	0.2585	3.0	11.099854230880737
2	3.7527242	2.4931858	14.673307	0.39272067	20.080402	-2.1109517	2.6902275	5.130982	-6.17004	12000	1.4305114e-08	2.923855	-0.021837441	-0.71558356	2.7939672	0.02245089	0.29925	3.0	15.95979905128479
3	5.9125223	2.7111654	14.412346	0.20078015	15.924	-0.58543944	3.3314834	6.158341	-5.976035	16000	-5.722046e-09	3.7929406	-0.021497753	-1.0288062	2.7639523	0.042663362	0.49925	3.0	21.15814709663391
4	7.9317884	2.5044694	18.650583	1.5934209	13.078947	1.6149544	3.2805805	7.128283	-5.494623	20000	-1.9073487e-09	4.835319	-0.024946699	-2.020906	2.7514482	0.03846738	0.40875	2.0	26.156787157058716
5	9.213557	2.5044553	19.923277	2.0000758	12.359133	3.5624108	2.9283502	8.010112	-5.002794	24000	1.1444092e-08	3.478853	-0.027832212	-0.82705903	2.770872	0.053226743	0.4915	2.0	31.018741130828857
6	11.317048	3.33044	24.0229	4.0579023	13.561225	4.6042705	2.8341224	8.744013	-4.9561024	28000	-3.242493e-08	5.8476396	-0.025208186	-1.7943664	2.7773757	0.06941487	0.528	2.0	35.95298099517822
7	17.019304	11.036397	104.76748	4.288431	17.847534	6.4463725	3.3033223	13.03544	-5.1077538	32000	2.4795533e-08	93.910706	-0.014087287	-24.987907	2.7724938	0.07366844	0.50325	2.0	40.83218502998352
8	50.61202	38.68997	147.4278	9.125532	36.100918	14.631651	5.3512526	21.342485	-6.60356	36000	3.6239623e-08	956.68665	-0.00029001522	-405.5121	2.747943	0.039937112	0.3885	2.0	45.69713068008423
9	87.10692	29.633253	134.37509	12.132909	55.458332	32.78792	6.642565	35.781673	-18.751194	40000	-1.8119811e-08	622.25775	-0.017586509	-294.8425	2.7718372	0.0066102063	0.114	79.0	50.83288908004761
10	93.725174	26.30903	150.94525	14.981015	56.942856	39.130882	9.684995	46.26449	5.5219803	44000	1.66893e-08	372.9961	-0.02006043	-135.462	2.7233114	0.009363891	0.124	79.0	56.22678351402283
11	98.66966	20.69273	164.11752	31.700201	56.9	42.719112	13.870266	53.796207	10.52526	48000	-3.4332274e-08	236.46156	-0.005683053	-71.93959	2.695296	0.018083205	0.2685	4.0	60.62402272224426
12	109.97653	34.276253	174.35507	15.246546	61.875	45.975163	16.599579	59.331123	4.938122	52000	0.0	483.62427	-0.019649921	-150.21411	2.6949303	0.008695308	0.144	79.0	65.62998795509338
13	127.44032	26.697014	199.289	51.13105	67.23729	50.592026	17.611479	64.77062	9.290194	56000	-5.722046e-09	429.67557	-0.0073928633	-143.16513	2.6310318	0.014269175	0.1825	4.0	70.45454668998718
14	139.94525	39.791664	256.00992	39.123585	74.33962	59.447094	17.506567	71.58817	7.437179	60000	-1.6212464e-08	542.81165	-0.008938083	-113.7287	2.6461573	0.02152693	0.29325	4.0	75.22438502311707
15	185.2371	46.679264	236.35333	51.957737	92.06977	61.177776	19.981306	77.7719	7.39802	64000	-1.525879e-08	1156.4417	-0.0048494893	-461.56445	2.6179714	0.02926357	0.29325	3.0	80.02005338668823
16	200.95546	53.6336	255.16257	69.17245	100.51282	75.458	20.87892	88.01082	8.666582	68000	-1.0967255e-08	962.7234	-0.018659318	-223.18903	2.6623652	0.01281567	0.11925	79.0	85.11444139480591
17	211.5968	42.741955	246.50696	45.656086	102.789474	79.05097	25.651167	96.003105	9.269414	72000	-1.525879e-08	580.69116	-0.017723402	-152.37561	2.6092324	0.009268533	0.122	79.0	90.18725895881653
18	215.41983	25.834908	245.96982	130.86046	103.10526	82.89109	28.826708	103.26971	10.244332	76000	-5.9127807e-08	355.71625	-0.01734601	-99.0058	2.5417132	0.013214435	0.1285	79.0	95.33236885070801
19	225.23387	6.649161	235.06628	202.90897	106.297295	83.630554	31.71873	108.96314	10.810978	80000	-7.8201296e-08	186.2729	-0.019003496	-82.99684	2.5682578	0.0064221174	0.1225	79.0	100.56543111801147
20	221.59157	25.734863	236.61064	72.703156	102.48718	88.07967	33.62312	114.09363	11.334416	84000	3.8146974e-09	198.15079	-0.006310505	-34.12149	2.639431	0.013923878	0.21925	4.0	105.71182584762573
21	229.10028	7.122041	253.79547	215.39677	104.31579	90.33528	34.621204	117.65842	11.707196	88000	-2.9087067e-08	87.78608	-0.012594946	-37.977375	2.6110594	0.0067227115	0.0785	79.0	110.57400250434875
22	223.24078	27.792068	251.48665	108.56605	102.25641	93.59004	35.63706	121.267914	11.751761	92000	-6.6757204e-09	187.38428	-0.01654306	-20.945541	2.6088624	0.0079257665	0.12075	79.0	115.59686160087585
23	225.20778	18.596878	235.64923	112.35271	102.0	92.567795	36.204075	123.19675	12.081475	96000	-1.9073486e-08	106.57161	-0.0037898484	-12.357872	2.65435	0.024078969	0.301	3.0	120.45247483253479
24	227.8006	12.098635	253.65457	166.20287	102.68421	93.78395	36.89322	125.02792	11.730659	100000	-9.536744e-10	59.091026	-0.014852678	-12.56007	2.634968	0.008041771	0.09375	79.0	125.70071792602539
25	227.32527	14.512874	258.17996	148.36914	101.948715	94.61917	37.721786	126.85174	11.667919	104000	2.002716e-08	66.65978	-0.018845884	-12.29422	2.6356244	0.0076432046	0.12225	79.0	130.77749347686768
26	231.80815	6.0826964	250.67424	219.90895	104.289474	95.35799	38.186047	128.27045	11.577894	108000	3.242493e-08	25.89911	-0.014734831	-7.7031994	2.6533954	0.008592749	0.1065	79.0	135.81781315803528
27	235.01538	7.40339	257.04807	224.33969	106.567566	95.35811	38.70087	129.66612	11.28494	112000	2.8133393e-08	18.479458	-0.015619196	-6.5095644	2.6255236	0.009607522	0.0905	79.0	140.95160222053528
28	237.9977	8.939748	259.38037	222.12973	109.583336	96.52842	38.795326	131.02293	11.24139	116000	-1.525879e-08	17.210588	-0.017242042	-3.9791698	2.6901474	0.010723273	0.13125	79.0	146.00036334991455
29	239.89218	12.057581	263.66336	207.0231	112.314285	97.22801	38.27978	132.1185	11.258087	120000	-1.1444092e-08	43.72057	-0.0057425993	-10.343388	2.685487	0.02185432	0.253	4.0	150.92494106292725
30	248.97256	22.171263	281.51285	155.98708	124.0625	95.705154	39.176655	132.93486	10.997118	124000	3.8146974e-09	114.26087	-0.013735391	-26.566536	2.7065709	0.0072833076	0.108	79.0	156.3423523902893
31	259.7864	11.000354	282.7454	236.6433	131.2	93.824326	38.561474	133.41422	7.5061436	128000	0.0	28.245146	-0.005708741	-19.52322	2.6607897	0.015093436	0.27275	3.0	161.41817140579224
32	259.25745	12.215038	291.1358	241.17903	130.63333	97.395546	38.1638	134.26941	7.714514	132000	1.1444092e-08	9.879051	-0.005513123	-3.1729732	2.6738598	0.015890742	0.17075	7.0	166.15233898162842
33	268.53192	21.410564	315.89822	196.75754	132.16667	96.51117	38.613697	134.93933	7.4588423	136000	1.4305114e-08	159.07529	-0.020084217	-70.92967	2.7049468	0.009807545	0.1375	79.0	171.32346415519714
34	270.05307	20.366133	317.01797	240.83362	128.74193	100.90959	38.936867	136.3129	4.9367375	140000	-1.9073487e-09	125.568375	-0.0065634823	-30.817093	2.634484	0.014594969	0.238	4.0	176.24070000648499
35	286.1119	40.99276	341.8934	153.86417	132.96666	103.113396	37.73182	138.20638	6.0568523	144000	0.0	373.8463	-0.0060097654	-67.631134	2.6786163	0.017133621	0.213	4.0	181.15060663223267
36	313.0095	19.775002	345.65933	261.84906	137.65517	105.53136	39.014256	140.98288	5.3661675	148000	1.9073486e-08	290.3047	-0.0064960783	-173.66858	2.661918	0.012626948	0.17875	4.0	186.14680099487305
37	312.96896	29.700752	360.33533	241.16983	141.60715	114.18509	40.825283	147.22351	5.47737	152000	-2.2888184e-08	205.14096	-0.004810303	-38.939835	2.6369014	0.019711556	0.20425	3.0	191.12386918067932
38	323.00055	18.359678	347.45996	266.28397	145.11111	113.98491	41.565838	150.01828	-2.2733562	156000	9.536743e-09	107.553154	-0.0016984062	-29.934006	2.664513	0.017560216	0.19525	3.0	196.0719711780548
39	329.7067	27.130295	360.8685	225.71553	146.88889	116.20978	42.030434	152.74657	5.245801	160000	1.9073486e-08	137.5831	-0.0038444463	-40.20147	2.6413536	0.020094218	0.20475	4.0	201.08126831054688
40	334.39014	35.927223	367.5412	168.41302	150.15384	120.51566	43.396034	155.46185	6.354253	164000	-5.722046e-09	204.53975	-0.0059356843	-39.916245	2.693079	0.01411992	0.289	5.0	206.63790154457092
41	344.45074	15.327423	375.6725	319.47363	155.08	120.33312	42.81634	157.21347	2.2927616	168000	9.536744e-10	29.566334	-0.020413661	-17.86402	2.6680596	0.0093385	0.14225	79.0	211.84622287750244
42	333.2992	15.375425	380.18845	311.95514	146.81482	121.73967	44.260105	158.80312	1.1799011	172000	1.0490417e-08	28.519129	-0.018453633	-8.861517	2.5624685	0.012122433	0.1385	79.0	217.061785697937
43	336.09662	8.950651	360.06628	321.1671	146.03703	120.16243	46.289833	160.04364	1.9632859	176000	-7.629395e-09	23.43179	-0.01854395	-9.85499	2.626128	0.011109562	0.12925	79.0	222.22023153305054
44	326.21725	8.722192	341.00195	311.50687	136.51724	123.2968	46.76834	161.62901	1.2949371	180000	-1.9073487e-09	19.586067	-0.016538972	-5.4752035	2.6047099	0.012133109	0.12725	79.0	227.53891944885254
45	327.13235	11.778196	343.1752	283.60852	136.65517	123.24947	47.039	163.10483	2.7409034	184000	1.7166137e-08	38.24073	-0.017370466	-5.528221	2.6455567	0.013212915	0.133	79.0	232.85458874702454
