Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	96.479996	23.98572	211.72623	75.941765	19.98995	0.049215946	0.88253593	2.4598134	-2.2881598	4000	-2.2506714e-07	3386.6672	-0.064807914	-1267.6091	15.642983	0.03262585	0.36425	2.0	8.54278564453125
1	95.00779	21.694397	193.70746	71.43273	19.70297	14.901434	0.53754437	15.034377	-6.057412	8000	-5.0544738e-08	1985.0425	-0.055517267	-358.80237	15.661434	0.03342079	0.3595	3.0	14.94741177558899
2	96.16863	27.155153	259.79556	70.93091	19.840796	20.592806	0.44091144	20.648378	3.7459652	12000	3.6001204e-08	1882.1194	-0.044464603	-272.16235	15.688167	0.025016464	0.322	3.0	21.472012042999268
3	99.14777	26.064194	206.23256	71.42991	20.536083	25.512766	0.55520195	25.556376	0.13069928	16000	-5.722046e-09	1630.9371	-0.048867628	-213.99011	15.618358	0.031843558	0.33475	4.0	28.095454692840576
4	100.99258	27.763447	211.97487	71.67499	20.863874	29.963057	0.3573097	29.993666	12.15082	20000	2.002716e-08	1532.1567	-0.046545953	-173.8153	15.597014	0.032191657	0.3255	4.0	34.641695499420166
5	99.94161	25.446125	186.64583	71.50226	20.760416	33.928673	1.3245438	34.073597	-14.229133	24000	9.1552735e-08	1249.5626	-0.04565752	-121.86975	15.645009	0.03171327	0.35525	4.0	41.287368059158325
6	101.51274	27.739298	198.02379	71.60405	20.879581	36.905376	3.0972054	37.50649	-16.10873	28000	4.7683715e-09	1257.6268	-0.042335615	-140.85718	15.701863	0.02345257	0.3245	4.0	47.83615493774414
7	107.62318	32.590057	214.91608	76.24298	22.2	38.889164	5.596452	40.802475	-18.778425	32000	-4.196167e-08	1429.7319	-0.045879558	-316.54065	15.573197	0.023749225	0.34825	4.0	54.5012412071228
8	108.05755	32.95539	220.99425	71.71707	22.222221	37.78457	11.551363	44.984753	-16.771574	36000	-7.629395e-09	1164.9802	-0.042180832	-211.46484	15.555226	0.034099672	0.35725	4.0	61.12164545059204
9	110.198204	36.284664	275.09433	71.928085	22.70857	40.2138	13.542898	49.341423	-10.601124	40000	2.5749207e-08	1205.3645	-0.04038986	-200.84863	15.568422	0.0279748	0.33325	4.0	67.64324355125427
10	103.8928	29.794044	236.23677	71.630875	21.45946	41.552364	16.18672	53.567978	-11.224759	44000	3.8146974e-09	758.3802	-0.041906968	-131.74377	15.6648245	0.024666086	0.3155	4.0	74.97620177268982
11	109.286415	33.34807	248.90036	71.7665	22.59322	44.16593	16.92202	56.779766	-16.834084	48000	2.193451e-08	824.7061	-0.042988755	-150.75403	15.609834	0.028765958	0.33175	4.0	81.40282154083252
12	116.19811	33.789375	278.2612	71.93525	24.024096	46.28146	18.2825	60.065884	-17.250786	52000	1.3113022e-08	866.0404	-0.042457283	-180.81189	15.636707	0.022391008	0.3185	4.0	88.0588538646698
13	116.95122	40.262054	345.30078	71.81982	24.04217	48.553696	19.634617	63.545383	-23.933533	56000	6.008148e-08	978.5135	-0.03915174	-165.2251	15.566496	0.030042252	0.34875	4.0	94.66182661056519
14	118.037964	33.570156	250.17586	71.85354	24.337423	50.67818	20.770517	67.13223	-21.86362	60000	-1.14440915e-07	721.1595	-0.049205143	-166.52734	15.498482	0.023046784	0.3665	5.0	101.50585317611694
15	122.46611	37.51625	249.8848	71.714455	25.031446	51.283913	22.210653	70.19014	-11.177168	64000	6.389618e-08	795.0761	-0.04959774	-177.96338	15.5001	0.027917465	0.3955	5.0	107.9157726764679
16	126.136314	38.418365	258.48633	76.35814	25.805195	54.119926	22.913496	73.44868	-20.662128	68000	8.583069e-08	866.99396	-0.044074364	-238.51947	15.602037	0.02590268	0.3215	4.0	114.55893993377686
17	129.0192	39.068863	257.446	72.061615	26.324503	56.215305	24.367739	76.681595	-11.940988	72000	-3.4332274e-08	772.9996	-0.0439906	-189.2984	15.601713	0.029832166	0.327	4.0	120.94931888580322
18	131.40063	45.325073	259.94778	71.48026	26.905405	58.26148	25.24722	79.82382	-10.051979	76000	-7.104874e-08	945.2691	-0.040583372	-248.08331	15.561972	0.026780067	0.347	4.0	127.49326968193054
19	126.857635	42.710922	266.16916	76.37216	26.019608	59.341423	27.234333	83.16621	-12.395673	80000	4.9591065e-08	755.798	-0.044054765	-215.68726	15.543359	0.026667751	0.3595	4.0	133.89367842674255
20	134.32964	39.914925	227.17079	76.54094	27.108843	60.34145	27.573988	85.78862	-14.2463	84000	3.528595e-08	714.1342	-0.04584471	-228.41898	15.638289	0.02329901	0.35225	4.0	140.70968341827393
21	134.99663	43.92496	301.48447	76.424675	27.280823	62.600098	28.032217	88.45768	-20.215475	88000	-2.2888184e-08	835.938	-0.04051111	-258.0725	15.528733	0.027282925	0.348	4.0	147.24763298034668
22	134.09496	41.32001	262.15982	71.83062	27.18493	63.160686	30.389263	91.118675	-38.74374	92000	-1.9073486e-08	689.0149	-0.044401906	-214.93408	15.523054	0.03036729	0.331	4.0	153.84808921813965
23	138.43431	46.52744	299.00797	71.47692	28.021128	64.18713	30.062601	93.50079	-28.834047	96000	4.2915346e-08	832.99963	-0.043610234	-266.90143	15.49298	0.031948023	0.38575	4.0	160.36681079864502
24	159.38219	49.229885	320.64258	76.61326	32.201614	67.28701	30.177732	96.06823	-8.664575	100000	0.0	1193.4	-0.036019888	-430.91217	15.481946	0.028691743	0.29075	3.0	166.96662664413452
25	154.89511	46.085564	321.03516	76.568726	31.171875	71.522	32.677605	99.862785	-13.422663	104000	5.722046e-09	859.89197	-0.041921288	-289.93085	15.48595	0.025599193	0.35275	4.0	173.56559300422668
