Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-35.629112	11.791574	-21.046782	-53.410206	1000.0	-0.006110072	0.6237245	1.2231703	-1.2509516	4000	3.8146974e-09	22.515198	-0.014990335	-11.065934	1.8372333	0.0066464674	0.09325	79.0	7.869386672973633
1	-13.312561	18.950571	-0.10107771	-45.924976	1000.0	-2.9330335	1.2599988	0.49589494	-7.2312474	8000	7.629395e-09	35.688866	-0.01732461	-6.4311256	1.8200444	0.0054390766	0.12775	79.0	13.775035858154297
2	7.3560495	9.636576	16.670826	-6.943766	1000.0	-1.987111	1.6369727	2.3677158	-6.8234544	12000	-1.9073486e-08	25.793903	-0.005764154	-8.915617	1.8266734	0.020064846	0.2845	3.0	18.9343900680542
3	20.227615	0.7688402	21.542965	19.594597	1000.0	0.4703305	1.0567219	6.510585	-4.113266	16000	-5.722046e-09	15.754287	-0.0044507696	-11.635881	1.8159144	0.0106723895	0.16325	4.0	24.061259508132935
4	18.456923	2.877386	23.12616	15.714652	1000.0	1.2375213	2.5675237	13.325964	-1.0493144	20000	-1.525879e-08	3.3139997	-0.010556546	-1.1950989	1.789816	0.0020860392	0.0505	79.0	29.086193799972534
5	19.14329	1.9168398	22.009447	16.60937	1000.0	1.1408795	3.4681926	14.940243	-1.1485559	24000	-1.9073487e-09	2.1732275	-0.011849482	-0.8933699	1.7850161	0.0062802676	0.07375	79.0	34.032710790634155
6	21.400583	3.253473	24.681067	16.065662	1000.0	0.92721885	3.9369068	15.750669	-0.84787494	28000	1.1444092e-08	1.7594984	-0.009564151	-0.5514356	1.7326678	0.005954839	0.0435	79.0	39.03861737251282
7	20.23177	4.610542	24.725552	12.529082	1000.0	0.68812513	3.7557733	17.733715	-1.6836331	32000	7.629395e-09	1.6266351	-0.011638572	-0.63246286	1.7442641	0.0037430904	0.04325	79.0	44.11418795585632
8	21.268417	4.231276	27.480423	16.059574	1000.0	0.30094317	3.8810995	19.026892	-1.6284816	36000	1.525879e-08	0.64021873	-0.009971236	-0.19032377	1.7146382	0.0025514415	0.04525	79.0	49.17633771896362
9	18.65883	1.8729404	21.75212	17.099037	1000.0	1.3672837	4.263463	19.075323	-1.0741186	40000	-4.5776368e-08	2.6978076	-0.016367266	-1.9074998	1.7191441	0.011089269	0.06875	79.0	54.25413966178894
10	18.961353	1.9670556	20.977602	15.724458	1000.0	0.106571294	2.9885767	18.619024	-1.1696252	44000	-1.1444092e-08	0.8503272	-0.0134839425	-0.5257232	1.7340975	0.004996932	0.053	79.0	60.265376329422
11	21.149	1.0516515	22.834114	19.936554	1000.0	-0.19529288	3.2547634	20.493017	-1.576216	48000	-2.4318695e-08	0.5320571	-0.008686797	-0.27760732	1.7098908	0.0054584085	0.033	79.0	65.09096026420593
12	23.389238	3.1231499	27.769833	19.785622	1000.0	0.13406855	3.3688264	21.461449	-1.2427518	52000	-4.7683715e-09	0.5136914	-0.004812214	-0.17880926	1.7186053	0.009900707	0.102	4.0	69.70466685295105
13	17.084166	3.4137938	22.441837	13.602155	1000.0	0.14629233	3.709042	22.409935	-1.477036	56000	-1.9073486e-08	0.51151085	-0.0100345565	-0.19363263	1.7356174	0.006930839	0.065	79.0	74.68863081932068
14	19.454994	4.2564564	22.877487	12.352666	1000.0	-0.009948754	3.6165822	22.425367	-1.4835914	60000	-3.8146974e-09	0.34512383	-0.009654236	-0.02243048	1.6917247	0.0025368303	0.06175	79.0	79.5303566455841
15	19.80012	1.1166042	21.038443	18.01979	1000.0	-0.37467426	3.2380393	22.48139	-1.5750653	64000	5.722046e-09	0.39933404	-0.009916145	-0.120761275	1.6657462	0.007150809	0.07675	79.0	84.32198882102966
16	19.883095	3.8474174	25.75957	15.086918	1000.0	0.031742614	3.9367576	24.156935	-1.6800121	68000	1.9073487e-09	0.3525888	-0.010362299	-0.10374065	1.6088616	0.008191206	0.0675	79.0	89.23324680328369
17	19.609087	1.8226832	20.999731	16.536684	1000.0	-0.080599055	3.408389	22.965744	-1.6661431	72000	-1.2397766e-08	0.5815419	-0.012819	-0.13107708	1.5768896	0.0067212144	0.09975	79.0	94.086261510849
18	23.456451	3.4474738	28.590137	18.874594	1000.0	-0.09400099	3.541967	23.451193	-1.7692953	76000	-2.6702882e-08	0.377221	-0.0020291137	-0.18902218	1.5955442	0.018839031	0.318	2.0	98.67804336547852
19	26.60592	3.2632308	30.787783	21.630669	1000.0	-0.071576536	3.579627	23.519863	-1.9436624	80000	-7.629395e-09	0.703704	-0.002096573	-0.2981084	1.5631325	0.016789323	0.329	2.0	103.2415406703949
20	27.236835	4.6865215	33.006744	22.491205	1000.0	0.43762815	3.490397	23.583876	-1.9035102	84000	-5.722046e-09	0.6095564	-0.0067258836	-0.18990901	1.5736296	0.010615804	0.16225	3.0	108.29645919799805
21	29.55449	2.827155	32.732388	25.782143	1000.0	0.5326795	3.8420506	23.507639	-2.6342788	88000	1.1444092e-08	1.0434512	-0.0061376994	-0.38892877	1.5701354	0.01663463	0.22925	3.0	112.97465395927429
22	32.80082	3.7608123	36.534054	26.884184	1000.0	0.57360435	3.5088875	23.457277	-2.9925823	92000	3.194809e-08	0.99977076	-0.0036173244	-0.3931023	1.5934594	0.020109221	0.2985	2.0	117.57336044311523
23	35.55317	4.1674614	40.90299	29.75497	1000.0	0.78108656	3.4920745	23.382072	-3.6600008	96000	1.3351441e-08	0.84185576	-0.00288667	-0.3070389	1.5600723	0.020289935	0.26975	2.0	122.17100524902344
