Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1.4161235	4.7516346	16.998087	-8.904227	21.28877	-0.24327567	0.9171442	2.715947	-2.581269	4000	7.629395e-09	24.941994	-0.01875943	-10.123242	5.4740143	0.02071962	0.3325	2.0	8.253352403640747
1	0.2839886	5.911124	20.930683	-9.110832	23.362574	-2.5940683	1.5031099	3.7733207	-5.9862695	8000	6.6757204e-09	19.998116	-0.018932542	-3.4337177	5.478512	0.029140983	0.37225	4.0	15.580893993377686
2	5.7870913	8.5549755	55.509235	-6.7037435	31.15625	-1.7264193	2.1211777	5.7861342	-7.443685	12000	6.198883e-09	52.220844	-0.015639547	-15.156605	5.5017967	0.023480942	0.354	5.0	22.906697034835815
3	14.15082	16.52629	84.67688	-8.271658	38.21154	1.697264	3.5664046	11.878987	-9.81365	16000	1.9073486e-08	143.80069	-0.01715553	-44.945206	5.5429735	0.020793963	0.32225	6.0	30.273869514465332
4	20.737595	19.18858	78.3443	-27.984657	49.825	6.382727	6.3168736	20.287386	-20.079584	20000	-2.3841858e-08	120.010704	-0.014176435	-27.7622	5.4856396	0.020536399	0.238	5.0	37.601858377456665
5	34.067432	37.06433	163.08913	-2.1815572	65.75	7.643108	9.38043	24.79713	-24.897951	24000	-3.8146974e-09	434.0247	-0.01244368	-124.68594	5.477292	0.01974308	0.277	5.0	45.010599851608276
6	53.48733	67.240585	285.2541	-0.15783821	84.04256	13.806574	15.058682	36.445744	-31.74699	28000	3.051758e-08	971.8913	-0.05448363	-277.74835	5.470923	0.015025121	0.24975	56.0	52.393611431121826
7	84.935936	85.248604	314.96664	2.7321243	102.86842	26.17432	20.944532	50.051342	-33.74478	32000	-1.9073486e-08	1194.0139	-0.015891993	-274.16742	5.41785	0.015820011	0.21175	6.0	59.84108543395996
8	75.78021	75.272156	297.4931	-7.5431705	114.47059	28.549604	26.642227	59.025192	-42.89217	36000	2.861023e-09	810.33856	-0.039079808	-129.00458	5.428531	0.016100058	0.19775	25.0	66.94133591651917
9	105.266655	97.16163	366.9509	9.146493	119.63636	33.59693	26.829762	63.71682	-25.694407	40000	-2.861023e-09	1193.6855	-0.066458434	-240.77087	5.405593	0.014589588	0.315	79.0	74.85220289230347
10	174.1035	133.69765	497.3535	-20.517914	150.84616	45.271717	28.83586	72.221954	-27.174059	44000	-1.3113022e-08	1827.477	-0.058820147	-745.32227	5.3439093	0.015203165	0.28275	57.0	83.65841293334961
11	132.99931	100.514755	295.70575	5.0921826	138.10715	51.99964	34.8997	85.51851	-27.482624	48000	-3.4570693e-09	1015.74536	-0.06427089	-313.909	5.282067	0.014933943	0.313	65.0	91.40181922912598
