Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-45.282154	67.62631	17.445038	-350.94556	-108.721886	107.9778	-7.4564457	-321.46045	107.08108	626.4	3999	4.91105	5.0166326	30.105515	-9.004866	4.910658	5.0170684	31.324308	-9.741762	-3.5057738	2.2697902	20.839785	-14.7059	-6.2419662	0.39920345	0.39653158	42.998335123062134
2	-87.75082	147.95013	39.991177	-392.703	-203.80403	478.31808	-15.70816	-1637.1433	265.73334	135.2	7999	26.804728	12.605384	81.97926	-9.980865	26.804958	12.611112	81.40471	-9.342221	0.8328949	4.0675635	30.692953	-16.430725	-29.628183	1.9615495	1.893665	87.71632814407349
3	-70.391335	209.67628	17.344234	-1315.355	-262.52188	241.5351	35.171017	-549.24774	100.525	541.5	11999	79.851036	20.298134	144.1219	-20.166464	79.85246	20.335026	150.34473	-31.287474	4.464615	5.4382358	41.474205	-15.591652	-84.15496	9.710848	9.17626	146.9623966217041
4	-135.69798	203.58206	8.202461	-657.523	86.32784	105.69377	345.45502	-11.211939	282.2857	452.0	15999	92.56346	11.397472	137.7986	-86.19389	92.56403	11.42286	135.37389	-62.943527	0.09153437	3.535605	39.249756	-17.668934	-93.95758	8.416069	8.165356	209.12350416183472
5	-53.67393	103.836075	29.831951	-310.0168	619.1789	202.64442	809.32697	104.35022	302.53845	923.3	19999	79.3982	9.931415	117.533554	-68.604706	79.39829	9.932167	119.548996	-47.59017	-1.2073228	2.7968986	32.95939	-16.054262	-80.3365	4.772102	4.666533	286.9330337047577
6	-19.448696	62.7951	58.53698	-113.37708	808.2951	38.648964	854.1284	749.14636	577.5	1000.0	23999	67.09441	8.442559	104.20389	-46.981163	67.09451	8.43273	102.19201	-43.909283	-2.0062306	2.4658854	26.186033	-16.54393	-67.87583	3.109201	3.097672	369.4271924495697
7	46.68793	42.51694	116.059044	-1.6104913	804.0831	38.67045	857.33325	752.8105	527.0	1000.0	27999	58.02604	7.4612455	90.04084	-56.417694	58.026684	7.4588346	92.56966	-48.20428	-2.4764748	2.2355316	24.55014	-15.440762	-58.761578	2.3512514	2.2832363	453.3087491989136
8	106.13871	86.64274	279.6627	8.813869	787.6729	107.16857	920.76483	494.34332	651.8571	1000.0	31999	52.000816	7.026994	83.044525	-35.75781	52.001434	7.031297	85.05406	-40.21747	-2.7692132	2.0959694	22.347803	-16.074612	-52.70834	1.891742	1.8292534	537.3262157440186
9	182.595	110.7809	336.41425	16.916992	811.838	93.30396	956.6539	649.9012	805.2	1000.0	35999	48.591064	6.7705994	78.4452	-41.99012	48.590744	6.7737994	79.88498	-31.418701	-2.9294736	1.9862783	25.484787	-14.697723	-49.29397	1.5689049	1.5426801	621.3653893470764
10	167.6024	90.57883	306.76767	19.371376	910.5526	17.099892	954.4667	894.58185	482.875	1000.0	39999	47.37241	6.5259194	79.46349	-37.132736	47.371796	6.5296216	77.6148	-27.679592	-2.9926414	1.9084616	34.85949	-16.235235	-48.06985	1.5021611	1.4910125	705.0625967979431
