Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-275.9755	81.75931	-187.09483	-396.78152	-91.04575	4.324786	-82.26688	-100.67462	1000.0	1000.0	3999	4.012457	2.961467	18.833364	-4.4045053	4.012211	2.9622865	19.320799	-4.81182	-2.9995294	1.6265247	17.706144	-12.2553835	-4.9143176	0.15873852	0.15613276	45.19665479660034
2	-371.8379	75.68137	-304.78354	-489.35916	-428.0647	229.26859	-50.644936	-849.4315	1000.0	1000.0	7999	17.062136	7.0358567	45.001904	-3.8752553	17.061926	7.035643	44.83933	-4.6410923	-0.7485139	2.930923	17.621822	-11.9492855	-18.49104	0.4690078	0.47446057	103.35518336296082
3	-226.01462	40.966274	-155.91025	-258.60477	56.422783	99.240005	272.6715	-124.476006	1000.0	1000.0	11999	37.512356	9.3151045	69.464676	10.242324	37.511467	9.316882	70.599144	9.716643	0.25218982	3.3225255	24.025473	-12.513967	-39.106068	0.8826293	0.88934386	164.90755605697632
4	260.19617	307.38983	592.24713	-57.75435	1042.6512	20.868792	1075.2354	1004.9414	1000.0	1000.0	15999	45.09341	13.163684	76.82441	20.626825	45.09267	13.164781	81.82812	20.756	-1.955387	2.3559105	15.267707	-12.560761	-45.878654	0.73242646	0.75398177	231.5452527999878
5	644.85956	214.28877	941.55005	401.08295	1656.9166	71.57656	1784.5352	1549.5471	1000.0	1000.0	19999	49.416325	15.052658	85.74809	21.521776	49.416054	15.052834	86.3544	21.270716	-2.296201	2.1032205	18.852983	-13.260521	-50.044518	0.69394326	0.70734626	300.94463777542114
6	1398.1777	208.96779	1614.2903	1083.3173	2304.5396	100.427444	2451.7803	2170.8013	1000.0	1000.0	23999	55.917965	18.514044	106.63252	21.659431	55.917946	18.513908	105.90985	20.842869	-1.8911878	2.3624914	19.32872	-13.711481	-56.571766	0.9084939	0.9221281	370.9551773071289
7	2016.9888	219.90518	2275.4314	1681.5189	2603.6926	569.2454	3056.5554	1368.167	1000.0	1000.0	27999	67.97308	23.830013	136.4969	23.56914	67.97251	23.829344	136.00453	23.637495	-1.2280606	2.7241898	19.288103	-14.219137	-68.66543	1.2421399	1.27734	441.2371859550476
8	2772.4558	188.02261	2950.1885	2486.5676	3732.2063	62.120617	3843.067	3622.8872	1000.0	1000.0	31999	84.89567	31.424465	161.45259	24.06816	84.89532	31.424385	161.9157	22.909445	-0.4933599	3.136361	21.424908	-14.288384	-85.66239	1.6193676	1.6651124	510.8156096935272
9	3299.799	107.82786	3470.8054	3198.192	3983.5386	138.59174	4284.969	3789.4534	1000.0	1000.0	35999	105.98748	40.052277	194.88103	23.832256	105.9867	40.052307	195.05261	24.30095	0.16356587	3.4259536	25.292423	-14.157226	-106.795654	2.0679326	2.118085	580.0075736045837
10	3761.455	174.23642	3930.513	3469.7512	4212.085	277.885	4453.1787	3400.663	1000.0	1000.0	39999	129.42346	48.849106	234.67361	23.593441	129.42278	48.849655	235.89806	24.205341	0.7076697	3.6157718	24.358286	-14.148468	-130.21985	2.5509307	2.633198	649.7337477207184
