Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	19.915588	25.654816	233.8384	3.717904	39.619408	1.1377134	41.886124	38.249126	23.526627	22.6	3999	10.323189	8.218245	56.097313	-12.410183	10.323257	8.218031	55.749077	-11.940658	0.112680264	2.1082516	15.133417	-11.292931	-11.6916065	0.31793824	0.31863514	33.65837383270264
2	19.491573	19.269497	154.55705	4.430363	17.366411	0.7719553	18.98095	16.841984	22.561798	13.2	7999	62.886574	33.53525	179.5836	-41.54334	62.886955	33.537983	178.10835	-49.335407	3.2865555	2.5955334	30.62897	-11.890233	-70.471596	7.9311986	7.9533453	77.9923951625824
3	53.355206	77.612236	271.13953	6.5763116	172.17921	8.636742	185.12427	157.8184	36.73148	88.2	11999	192.08656	71.06761	331.87744	-133.31354	192.08766	71.06474	328.9768	-147.77748	4.82403	3.191019	44.198402	-11.277782	-209.75752	50.008953	52.512875	129.0137734413147
4	50.162262	84.245094	341.0604	0.04490753	207.38484	118.576805	410.29193	90.37833	53.27027	226.2	15999	257.1732	73.66281	528.58685	-170.92667	257.17502	73.63989	507.20844	-160.42703	3.9475513	4.010077	52.503067	-12.349978	-269.40518	88.4821	95.38959	187.23605680465698
5	314.97162	142.31912	852.2973	67.59254	260.1346	1.236779	261.7557	257.96927	193.33333	127.1	19999	278.68832	81.11081	491.73917	-197.99004	278.6919	81.064575	485.84753	-238.07803	4.3751826	3.8508546	60.17255	-11.504749	-290.95593	95.77297	103.30433	244.3712453842163
6	325.91452	51.638096	504.28918	265.18396	285.9334	4.7841215	293.45206	277.86673	136.03448	118.0	23999	315.80624	101.305855	529.1687	-227.91469	315.81012	101.26755	524.8259	-175.41574	4.223287	3.6204932	48.72371	-11.6516	-327.5523	90.07227	95.12353	301.7044677734375
7	270.42535	15.382412	291.10306	230.05591	301.15656	21.927753	321.32556	273.0666	112.361115	127.4	27999	320.05377	112.04852	496.99454	-189.26622	320.0666	112.016655	495.99945	-208.71756	3.8581433	3.578384	50.207703	-13.079884	-329.73492	79.93984	84.26783	359.0437138080597
8	300.0602	114.33179	835.93134	102.34394	994.00134	0.53471565	994.6211	993.03955	146.18518	1000.0	31999	300.11325	119.012375	466.3938	-253.29744	300.1228	118.96963	465.75085	-228.79987	3.544433	3.735311	73.53196	-13.352266	-308.06454	67.04564	70.671684	434.9924461841583
9	318.6677	173.78856	1007.3321	98.24631	239.82414	5.125185	248.8798	231.11447	183.86363	125.9	35999	280.40225	118.84712	445.25375	-188.46143	280.4078	118.80741	445.9236	-264.1683	3.2189655	3.526788	54.308872	-12.835553	-287.11633	55.425014	58.77351	492.16590881347656
10	370.34094	160.01813	1037.0956	242.7432	477.89325	62.078983	600.7789	419.23233	191.28572	182.2	39999	251.48322	113.69642	409.57962	-183.78459	251.48747	113.671455	406.48343	-158.33078	2.6627862	3.3833354	65.55915	-12.545335	-256.74033	44.82267	45.74226	550.3871598243713
11	385.1667	118.601715	571.66754	110.49655	991.70276	1.0588768	993.1019	989.68665	201.3	1000.0	43999	226.41347	102.87144	377.1951	-177.33812	226.41652	102.84324	388.86087	-192.39668	2.4362166	3.3725753	54.199066	-14.294716	-230.75543	37.457905	38.993416	625.8635568618774
12	808.49756	318.29727	1144.5715	419.46976	1085.0317	18.489075	1110.8265	1053.7183	681.0	1000.0	47999	210.72772	88.2802	352.31152	-143.95651	210.72966	88.27136	352.90662	-217.9791	2.3394296	3.1368937	66.29849	-10.543993	-214.56844	28.470512	28.583023	701.3478219509125
13	861.7463	234.48082	1058.7394	502.75095	836.14026	145.8869	996.9919	476.86777	817.4	788.0	51999	203.10316	76.2766	330.3615	-194.48524	203.10419	76.266685	331.3869	-185.30266	2.402108	3.0299435	46.208668	-12.747114	-206.6558	23.585382	24.7731	772.5308647155762
14	661.4069	427.00443	1137.7041	56.615044	1237.5056	2.7360415	1243.0497	1232.0153	551.2857	1000.0	55999	199.0161	68.31292	304.329	-158.36055	199.01628	68.29879	304.67813	-164.71135	2.3426807	2.945949	43.78051	-13.292182	-202.29053	20.71618	20.997484	847.7341854572296
15	958.11456	140.62401	1097.2944	742.44366	1035.6594	0.79222155	1036.8538	1034.3728	736.6	1000.0	59999	190.26036	59.913525	294.12158	-321.9533	190.26193	59.896873	295.91382	-190.1409	1.8571584	2.888411	43.495354	-13.195567	-192.93744	18.141924	18.06571	923.018105506897
16	1137.1215	64.871376	1244.0239	1076.3759	1057.7555	3.2967758	1062.7329	1051.9197	1000.0	1000.0	63999	180.22331	51.804005	284.54727	-146.44052	180.22485	51.78939	279.3311	-168.76796	1.3425783	2.805577	57.952896	-11.587371	-182.45581	14.900154	15.281987	998.5177028179169
17	620.0918	238.47484	1086.5757	328.2041	427.0833	11.885828	443.6225	411.85965	329.66666	153.1	67999	171.58714	45.461502	260.65363	-123.11533	171.5865	45.45617	256.4263	-141.39531	0.9999447	2.6933584	57.41166	-12.211561	-173.43501	12.687008	12.815506	1056.2533493041992
18	435.24487	108.59626	673.6119	275.05103	603.7325	109.417625	664.0112	383.93558	156.84	199.8	71999	164.49918	44.685715	250.9185	-109.48378	164.4996	44.67615	252.33022	-122.23502	1.0910707	2.5659747	57.402977	-12.262272	-166.24272	11.613427	11.894408	1114.9391798973083
19	561.3099	161.89398	1010.7366	348.3092	366.33365	27.93665	393.2816	301.11227	204.1	155.3	75999	162.58176	45.607845	261.53534	-148.58002	162.58269	45.595364	266.76883	-182.43565	1.1689111	2.5786972	56.075165	-10.912639	-164.34587	11.093607	11.083944	1173.20157289505
