Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-43.17127	3.7020102	-34.768986	-52.86515	-8.162739	2.0634792	-5.737672	-12.032918	50.0	50.0	3999	-2.875047	1.2058914	0.91744506	-7.9748836	-2.8758342	1.2058666	0.059271336	-8.355054	-0.3494298	0.86322933	17.909367	-10.500744	2.3468292	0.043505512	0.04016651	28.980193376541138
2	-43.988262	3.854856	-34.386654	-55.054993	-9.614211	3.3212883	-2.8317342	-13.227544	50.0	50.0	7999	-5.239732	1.700913	1.9213396	-12.171659	-5.2398033	1.7010639	1.8275889	-11.993538	-0.28458223	0.8658541	2.8573132	-13.5640545	4.642249	0.09988866	0.098710105	69.79230785369873
3	-30.563793	14.115544	-11.572441	-53.189457	-7.6284075	2.1536262	-4.4232535	-12.324634	50.0	50.0	11999	-5.581776	2.1731615	3.396331	-13.480908	-5.58165	2.1734622	3.1474493	-13.6635685	-0.18169826	0.90809786	5.2906857	-10.121199	4.9492755	0.13430707	0.13617931	115.45010113716125
4	-17.400417	3.9276714	-9.66035	-29.40728	-9.515132	3.3348308	-5.195216	-15.141918	50.0	50.0	15999	-5.4995294	2.0723014	2.3223941	-13.409126	-5.4993095	2.072094	1.9076053	-13.709745	-0.20768334	0.8881172	4.761996	-11.2914505	5.058751	0.13396774	0.13474508	164.37045311927795
5	-18.408043	2.980241	-12.671785	-26.081062	-10.81395	4.533337	-4.8706183	-21.544422	50.0	50.0	19999	-6.515329	1.992954	1.8526086	-14.617419	-6.5154433	1.9933368	1.5832465	-14.498136	-0.22455533	0.8932878	5.7436523	-10.056531	6.199653	0.20242351	0.20146558	213.50978660583496
6	-18.448917	3.5355828	-11.792787	-32.391956	-10.6328535	2.5548499	-7.3791523	-15.92534	50.0	50.0	23999	-7.404442	2.1755016	1.8052163	-15.6103945	-7.404353	2.1755533	1.6924243	-16.007332	-0.21688788	0.89803314	8.512313	-10.429571	7.1653914	0.2624864	0.26287347	262.08801794052124
7	-19.35104	4.601429	-12.093821	-42.490307	-8.011009	1.5557246	-5.6032686	-10.9304495	50.0	50.0	27999	-7.931769	2.4290872	3.6527886	-20.15851	-7.9317017	2.4290204	2.4794629	-18.2971	-0.17503072	0.9160652	6.3183646	-8.474998	7.7315125	0.31216517	0.3102563	311.2617094516754
8	-17.107828	3.1250315	-10.177972	-25.640034	-7.026371	1.9136245	-3.0846004	-10.1546545	50.0	50.0	31999	-8.054656	2.5765471	2.344454	-19.138124	-8.054407	2.5782604	3.5972507	-17.151266	-0.11634472	0.9301239	7.598901	-12.065281	7.878196	0.32352635	0.32286504	360.6567759513855
9	-18.311396	3.2375638	-11.040286	-26.90309	-11.074634	2.7534742	-6.5290937	-15.685471	50.0	50.0	35999	-8.16711	2.5222003	4.384811	-18.713278	-8.167199	2.5223007	2.027712	-17.4073	-0.10558528	0.92934024	11.003174	-10.629589	8.01692	0.3362729	0.33489197	409.90193939208984
10	-18.592974	2.835079	-12.943344	-25.30288	-10.008679	2.9997306	-4.975906	-13.816867	50.0	50.0	39999	-8.395923	2.5667307	4.464626	-18.652414	-8.396045	2.5664053	5.8040705	-17.23078	-0.10324837	0.92751235	10.083847	-11.61063	8.276654	0.37430435	0.3706582	458.7755057811737
