Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-3.7589903	9.869654	8.900032	-14.2983265	-23.051474	0.61045855	24.661001	22.831234	1000.0	1000.0	3999	4.803904	4.2444606	26.771887	-2.991219	4.8037767	4.2440095	26.865955	-2.8842657	0.09522261	1.4742892	5.4099245	-11.264786	-5.673536	0.037665572	0.03960001	44.52953743934631
2	-5.6272	5.8116775	3.239365	-12.800214	-23.051474	1.3651958	23.295403	18.474667	1000.0	1000.0	7999	21.103922	6.796044	45.33295	4.1114993	21.103912	6.79568	45.430016	4.0595665	0.3458853	1.4216913	7.365877	-10.2713585	-22.11742	0.06289631	0.063975126	104.72866153717041
3	23.417006	14.362934	36.542076	-0.7770964	-23.051474	5.7167954	33.954685	18.587013	1000.0	1000.0	11999	32.76355	7.458026	66.97616	9.5819235	32.763668	7.4576125	66.507744	9.274736	-0.05654041	1.3304344	5.867236	-9.610541	-33.426243	0.057813082	0.056295644	167.89001846313477
4	29.311699	5.9942083	36.804165	20.12666	44.18461	3.1163116	47.895	38.055588	1000.0	1000.0	15999	38.624207	7.3668666	67.565285	15.199049	38.62428	7.366455	67.677475	15.222962	-0.44815755	1.2115387	5.4908986	-9.661846	-39.082455	0.045636248	0.0457816	233.44002103805542
5	29.536156	2.7437325	32.23021	24.979351	25.03371	9.015032	39.00325	17.178888	1000.0	1000.0	19999	38.772396	7.1821575	66.75216	21.935804	38.77243	7.1820364	66.46673	21.9889	-0.74527586	1.0368505	5.103927	-9.184465	-39.11132	0.032237418	0.03289879	299.67015838623047
6	31.87559	2.136717	34.81725	28.853594	30.15216	0.9518939	32.463116	29.021051	1000.0	1000.0	23999	37.974747	6.8062615	64.96541	24.608194	37.974773	6.8060284	65.008965	24.60289	-0.85839266	0.9483498	3.7878191	-10.33728	-38.273056	0.025262874	0.024807854	365.2020330429077
7	29.771338	2.0734231	31.849447	26.954758	40.710686	2.5182328	44.508953	36.30129	1000.0	1000.0	27999	36.52759	6.932354	62.577717	24.542286	36.527584	6.9321876	62.385654	24.498346	-0.90961844	0.90427744	3.4938965	-8.824472	-36.817017	0.021711173	0.02154094	431.30198669433594
8	30.87417	1.5580517	33.538967	29.626898	41.714607	1.2003053	43.313156	39.54262	1000.0	1000.0	31999	34.80344	7.258909	60.83198	24.130566	34.803482	7.2587557	60.659424	24.146927	-0.9768975	0.84713686	3.0006056	-8.65214	-35.079163	0.01759597	0.017670924	497.7397801876068
9	30.1466	3.7436688	34.431515	24.284988	36.568306	2.5117812	42.451458	33.401318	1000.0	1000.0	35999	33.419376	7.362727	60.722908	23.468216	33.419395	7.362583	60.990437	23.476938	-1.0141555	0.81407124	2.9341197	-8.732521	-33.688168	0.015752353	0.015868485	563.7048349380493
10	32.865036	1.5384735	34.9358	30.844606	40.917397	2.1535218	44.971416	38.07872	1000.0	1000.0	39999	32.300877	7.3381395	60.758644	23.143652	32.3009	7.3380857	60.919365	22.900167	-1.0434723	0.7827099	3.3987699	-10.931883	-32.560375	0.014526	0.0144869955	629.4394595623016
