Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	998.6382	39.764446	20.969278	-141.15176	-113.39317	205.45671	-23.34835	-724.62915	89.17647	313.3	3999	-0.4613846	2.7242987	20.670132	-15.194903	-0.460997	2.7233124	21.289173	-14.745542	-0.77808535	0.5216795	30.11062502861023
2	998.6382	108.160835	19.108147	-364.2451	-53.894665	23.955782	-25.352583	-95.66721	189.92308	26.1	7999	7.121492	6.251893	41.417847	-14.6136675	7.12088	6.252794	40.782333	-14.17831	-10.729464	2.7665443	61.09784293174744
3	998.6382	453.56082	12.35344	-2062.7395	-271.00613	425.8553	-1.8742272	-1419.4626	172.95238	340.5	11999	21.642853	7.054698	52.094055	-14.696517	21.642088	7.062236	54.51219	-15.032734	-26.164629	8.487985	105.09591245651245
4	998.6382	161.2488	145.167	-548.7972	69.670654	194.78973	641.49554	-52.417084	348.91666	257.2	15999	23.329802	6.2681346	52.860126	-7.8199086	23.329325	6.2750306	51.75727	-12.165613	-26.27591	6.196641	151.38284873962402
5	23.60094	49.123783	136.24538	-32.17744	136.50165	151.12051	511.7481	2.1105828	295.9091	420.0	19999	21.91986	5.8763113	52.61108	-18.81173	21.91869	5.884163	52.632233	-10.359442	-24.41912	4.870297	201.73823523521423
6	147.0259	115.58619	322.4636	8.3344345	450.50797	261.13034	745.10236	27.42325	608.7143	811.2	23999	19.740032	5.413879	49.192696	-15.654497	19.739761	5.421202	49.11676	-13.3076315	-21.90539	3.9793704	263.6793727874756
7	254.39384	188.04135	494.88504	5.3926344	590.4928	194.57603	732.69885	21.817623	617.8571	903.0	27999	18.67323	5.268725	47.72099	-15.473178	18.672796	5.270579	47.308403	-15.896072	-20.673866	3.489417	328.32071566581726
8	287.6999	209.0109	540.2997	15.607762	243.43633	294.85583	794.02563	12.7484665	580.4286	377.4	31999	18.723902	5.0507493	46.19129	-23.09368	18.723574	5.0552487	50.623295	-17.00775	-20.678562	3.349202	378.4651894569397
9	142.44646	142.0354	515.01184	6.625678	201.21892	200.35431	661.39044	0.40808398	322.33334	338.1	35999	18.702532	4.9160175	45.797413	-22.769335	18.702038	4.920993	47.364742	-19.857298	-20.672434	3.529727	426.80265855789185
10	224.39828	251.90033	660.76984	-10.381735	452.11798	279.92905	741.75586	36.890625	392.8	683.7	39999	18.705605	4.9195976	45.499485	-19.613768	18.705618	4.9231114	45.571465	-18.82339	-20.57041	3.4812279	485.03557658195496
11	500.5922	159.29855	630.28595	223.53918	529.76526	264.78387	772.1253	2.2584348	847.2	810.3	43999	19.063828	4.974674	44.354607	-15.528855	19.063618	4.975914	44.06279	-14.249547	-20.859774	3.2475414	546.8579750061035
12	384.10083	170.3596	636.25226	159.35912	435.47592	316.94742	864.9921	19.020535	665.8333	631.1	47999	19.620438	5.165381	45.507263	-14.708703	19.62021	5.1661496	45.10763	-13.928486	-21.3542	3.114522	604.1017603874207
13	467.50073	218.25255	608.4689	33.19065	419.10596	308.81058	839.4326	28.979874	806.8	632.0	51999	20.203867	5.4060087	50.33642	-13.280366	20.20356	5.4085402	46.554443	-14.34679	-21.929333	3.106749	661.2025420665741
14	358.69617	222.35301	693.928	7.638164	505.7784	265.85458	768.3921	39.441242	707.0	739.7	55999	20.46242	5.7953525	47.789608	-15.360051	20.462292	5.797844	47.513733	-13.331843	-22.126469	3.2218664	721.5623621940613
15	480.43347	276.20737	745.6121	61.60283	492.53604	306.52292	803.55457	12.028746	773.5	710.5	59999	20.796368	6.2104616	46.85603	-15.23917	20.796057	6.211172	46.74445	-13.520131	-22.445278	3.1633813	781.3657143115997
16	347.10318	282.91077	758.7139	26.29742	301.19052	350.55804	847.59515	-249.62941	498.8889	551.4	63999	21.517626	6.3862047	50.278046	-16.29968	21.517757	6.387011	51.39888	-15.854505	-23.106886	3.1794238	836.5473260879517
