Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-283.2406	52.586777	-211.35434	-354.8544	-517.173	1.6131587	-513.2073	-519.6146	1000.0	1000.0	3999	0.30020082	1.9105166	10.226169	-6.9055305	0.30030146	1.9120396	10.565836	-6.972317	-1.024219	0.3547084	37.56482815742493
2	-285.46027	68.97136	-201.287	-379.04083	-211.40918	59.26844	-120.795616	-332.4081	1000.0	1000.0	7999	2.828078	5.1358566	25.793093	-8.705999	2.827791	5.137702	25.27577	-8.723804	-4.2583904	0.6728124	78.6890242099762
3	-258.68365	19.374216	-225.60335	-274.9594	-557.50525	34.608597	-493.64694	-598.54956	1000.0	1000.0	11999	10.929611	8.966862	49.04431	-7.8767276	10.929813	8.96888	47.165592	-8.341602	-12.65585	1.8831265	127.40617895126343
4	-176.71106	332.73947	398.1962	-400.51425	197.1384	179.75597	528.62476	-124.31703	1000.0	1000.0	15999	13.641204	13.1502495	59.778614	-9.794948	13.6413	13.152846	58.85683	-9.901328	-15.014264	2.7860978	179.83767700195312
5	1347.9126	506.9978	1817.433	568.14606	1644.722	742.23083	2106.8733	-537.03436	1000.0	1000.0	19999	18.15634	17.747585	75.28133	-11.632074	18.156284	17.74866	75.292114	-11.051478	-19.450687	3.3055542	233.31282925605774
6	1805.3595	334.34747	2154.9824	1336.0693	2506.066	89.99302	2627.0996	2290.2502	1000.0	1000.0	23999	29.399477	24.38561	103.815125	-12.380671	29.400225	24.386393	103.80936	-10.41077	-30.936272	5.2051454	286.4818022251129
7	2371.3557	556.97845	3120.786	1551.3239	835.52264	736.47766	2227.2944	-55.268257	1000.0	1000.0	27999	41.322987	31.692976	127.617744	-13.88254	41.323677	31.694208	129.98203	-10.589904	-42.91396	7.772951	339.76224970817566
8	1826.1251	1263.0996	3114.9053	562.83716	2141.2456	1041.6832	3401.5781	614.87164	1000.0	1000.0	31999	53.924755	40.872574	148.60437	-12.28657	53.925797	40.87368	150.46167	-13.008175	-55.75925	10.404579	390.3998761177063
9	2832.293	875.8283	3461.887	1325.6936	2719.3843	909.8741	3653.4438	1093.6964	1000.0	1000.0	35999	66.23521	49.94207	167.10237	-17.449728	66.23574	49.943382	167.24983	-16.92566	-68.20912	13.615111	443.15744948387146
10	2705.3208	1345.6971	3646.0042	397.86447	3905.4575	100.72227	4028.376	3643.2375	1000.0	1000.0	39999	82.15909	57.7829	183.69623	-17.243195	82.15979	57.784035	181.04948	-18.036829	-84.153755	15.94781	496.3076739311218
11	3498.527	285.55524	3852.9912	3055.5635	3918.8438	100.3807	4095.6868	3700.4297	1000.0	1000.0	43999	95.27184	65.192116	205.45984	-18.296545	95.27203	65.193146	204.57115	-18.999279	-97.36209	17.925882	548.7732300758362
12	3958.2595	208.3215	4133.54	3607.3464	3928.099	63.60381	4041.9783	3837.058	1000.0	1000.0	47999	112.09222	70.88148	221.35846	-21.162937	112.09261	70.88156	226.22757	-20.437191	-114.24378	18.274796	602.1087367534637
13	4178.2046	34.461006	4206.638	4120.4263	4278.503	148.94199	4503.2666	4043.304	1000.0	1000.0	51999	129.26607	75.91136	237.45265	-21.293837	129.26624	75.91167	237.31589	-22.781036	-131.44946	16.98282	654.9498484134674
14	4324.4844	92.07317	4483.6226	4262.053	4435.134	48.177685	4515.537	4346.628	1000.0	1000.0	55999	145.61491	80.83318	259.5127	-22.974558	145.61491	80.83388	263.4897	-24.867369	-147.97105	17.565256	707.4284901618958
15	4716.1504	279.50586	5103.344	4345.543	5064.561	68.29865	5224.0693	5001.4165	1000.0	1000.0	59999	161.79253	85.55447	279.75235	-21.075182	161.7927	85.5553	278.04886	-26.321985	-164.22084	19.851604	759.6634228229523
16	4900.791	106.99358	5020.3257	4754.744	4981.563	125.50579	5153.566	4706.4375	1000.0	1000.0	63999	178.1764	90.24014	296.33023	-20.948215	178.17645	90.24086	297.36383	-25.992409	-180.55875	21.138554	811.8544688224792
17	4992.375	48.318573	5062.3647	4926.2314	5133.2354	78.927216	5288.6455	5009.456	1000.0	1000.0	67999	194.6028	94.41406	316.30087	-28.725922	194.60274	94.415276	317.85718	-23.554163	-197.10469	22.60627	864.4333941936493
18	5208.662	74.458046	5326.3135	5119.8115	5602.471	130.133	5803.325	5409.7354	1000.0	1000.0	71999	210.25098	98.41671	334.93677	-23.31474	210.25105	98.417366	334.79416	-28.290941	-212.89459	23.339117	918.3173205852509
19	5320.2695	189.14383	5504.581	5018.112	5625.8335	54.688213	5731.6567	5531.217	1000.0	1000.0	75999	225.37636	102.2033	349.08328	-28.449951	225.37663	102.20462	351.11542	-25.487806	-227.68512	25.630133	971.8863077163696
20	5380.044	174.90292	5567.259	5159.2275	5785.3994	55.45217	5865.551	5674.479	1000.0	1000.0	79999	240.3621	105.3356	365.28247	-25.903425	240.36237	105.33615	365.47696	-33.31083	-243.02675	26.769302	1024.7769136428833
21	5433.4663	239.36908	5770.4956	5094.305	5940.624	159.42242	6108.954	5586.725	1000.0	1000.0	83999	254.90186	107.9909	377.13126	-23.46938	254.90182	107.991936	377.1601	-32.22504	-257.1889	28.108047	1078.3650674819946
22	5638.414	177.39168	5816.6606	5348.6016	6213.408	185.26593	6558.7114	5940.003	1000.0	1000.0	87999	268.20963	110.55237	394.19232	-27.012268	268.21027	110.553444	393.9983	-24.716507	-270.71338	29.25835	1131.7017166614532
23	6092.943	164.10422	6229.376	5813.549	6267.6084	80.410934	6385.083	6086.379	1000.0	1000.0	91999	282.03943	113.115105	421.19534	-32.91108	282.03973	113.116356	416.49484	-32.17687	-284.59088	30.698336	1184.3222880363464
24	6279.581	175.65923	6576.2373	6129.8374	6469.46	767.8741	6884.2964	4179.13	1000.0	1000.0	95999	295.462	115.87047	436.5657	-31.027782	295.462	115.872314	435.8541	-41.233963	-298.16367	32.00528	1237.4462580680847
25	5492.508	1643.0544	6582.034	2651.5837	7014.2	143.80168	7208.8657	6767.35	1000.0	1000.0	99999	307.0518	120.63342	450.15393	-66.31089	307.05212	120.6344	449.43445	-56.988037	-309.7478	34.002506	1290.6900453567505
26	6449.418	144.38728	6590.2925	6209.1074	6935.0537	127.66267	7148.62	6781.102	1000.0	1000.0	103999	319.6861	124.22218	464.75015	-53.14416	319.68597	124.22301	466.1644	-55.058132	-322.3661	37.48479	1343.9285669326782
27	6370.7246	229.78821	6698.1934	6081.568	7175.3857	119.26332	7388.899	6962.6533	1000.0	1000.0	107999	333.06235	126.95999	478.55612	-60.633286	333.0622	126.961136	479.01736	-61.431534	-336.02335	40.081264	1397.5843663215637
28	6439.3486	181.04047	6612.4443	6159.9614	6906.221	226.29166	7218.423	6489.368	1000.0	1000.0	111999	345.85825	129.24864	493.39136	-56.568012	345.85776	129.2503	496.9468	-64.2137	-348.60782	44.364998	1450.6611466407776
29	6531.751	76.9177	6616.1934	6410.946	7087.453	116.07093	7258.038	6908.861	1000.0	1000.0	115999	358.87384	131.09741	506.08755	-57.774174	358.8741	131.09915	505.08456	-63.14516	-362.14575	46.134964	1504.1988468170166
30	6500.8164	110.91152	6652.3115	6361.7217	7063.21	87.19142	7185.345	6934.157	1000.0	1000.0	119999	370.34818	133.05702	517.43835	-57.372013	370.34787	133.05852	518.84973	-56.78967	-373.19397	46.500183	1557.5158262252808
31	6563.2217	80.01015	6663.8154	6456.339	7045.7056	504.362	7430.3477	5599.6504	1000.0	1000.0	123999	380.79028	134.8197	526.6969	-53.588474	380.79028	134.82085	528.9212	-44.86029	-383.607	46.3364	1610.415447473526
