Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	123.85578	36.603397	261.34784	78.38761	73.72683	2.266858	75.829506	70.84841	24.62963	15.6	3999	19.583305	9.933341	45.007328	-6.3835616	19.580875	9.937334	44.030865	-12.505728	-19.981482	3.3058503	23.383151054382324
2	119.41959	32.876682	260.18442	78.41687	274.2124	12.80757	290.86072	253.70041	23.77381	50.7	7999	47.947445	19.462767	95.92972	-23.378702	47.94685	19.461504	94.96435	-18.459045	-49.872383	6.9341893	53.85306930541992
3	175.42163	76.95951	328.48862	83.20823	269.8178	8.542512	279.1729	251.93262	33.64407	49.4	11999	85.64207	34.21767	146.07361	-20.406048	85.64191	34.217667	145.58464	-17.435148	-90.7129	19.672508	88.08942580223083
4	281.0308	9.872332	306.3274	262.1173	272.9875	7.431183	283.71478	262.48245	51.07595	50.0	15999	108.53984	44.814507	173.17877	-17.263136	108.5396	44.815746	174.4698	-12.995539	-111.65	16.417967	126.99698853492737
5	281.4329	9.730579	303.2305	258.02762	277.01715	8.277866	288.5862	262.9377	51.192307	50.7	19999	124.27945	57.84923	211.6771	-12.714938	124.27853	57.850674	216.86115	-19.738176	-128.26573	21.290077	167.44463562965393
6	278.4791	12.35449	302.56235	252.8678	273.39102	8.015617	284.4188	261.81473	50.63291	50.1	23999	134.21826	68.04368	263.39944	-16.697166	134.21828	68.04426	255.9812	-23.873583	-138.95387	28.437687	210.62150740623474
7	279.5579	9.765924	312.1199	257.70624	275.75348	9.28039	289.01755	262.86868	50.833332	50.5	27999	137.89845	73.78965	292.43054	-23.521473	137.8975	73.790985	301.97244	-24.621283	-142.27272	31.96809	254.61641001701355
8	281.14084	10.12795	306.73758	260.77887	273.67337	7.378641	284.98065	262.60364	51.101265	50.1	31999	135.33339	73.618576	306.50677	-20.516888	135.33356	73.61866	312.6654	-22.09521	-138.87697	32.45111	301.82391452789307
9	279.66232	11.331208	301.48602	243.75754	275.1406	9.560065	289.2384	261.8036	50.846153	50.4	35999	130.81622	69.07062	324.3525	-15.004661	130.81622	69.06859	308.15182	-23.656845	-133.19438	28.323742	349.50602293014526
10	280.4993	11.580123	306.17676	246.0438	275.08514	8.066	295.18732	267.69632	51.02532	50.3	39999	128.80444	66.544556	298.73065	-20.211462	128.80412	66.54535	303.12695	-22.441328	-131.29881	23.662033	397.7682764530182
11	278.96472	10.032697	307.05093	256.7968	272.8076	9.6454935	288.7376	256.79263	50.72152	50.0	43999	128.18338	65.56648	297.09573	-22.18287	128.18332	65.56656	295.51523	-22.83094	-130.4632	20.324528	446.0365676879883
12	281.00134	10.28062	303.34192	249.4615	274.23495	9.000855	290.12314	262.87277	51.102566	50.2	47999	127.8327	64.57242	297.5626	-15.543315	127.83267	64.57241	301.26596	-20.38285	-129.96822	17.900614	494.79277515411377
