Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-5.5463214	12.884633	15.303409	-16.81561	23.082558	4.679793	35.649136	18.167572	1000.0	1000.0	3999	2.094163	2.552816	18.713974	-3.0002778	2.0942461	2.5528746	18.81232	-3.1073449	-3.0625508	0.081010066	37.33226418495178
2	1.5317678	14.847383	22.377459	-19.187252	21.016562	6.317767	28.245834	12.198613	1000.0	1000.0	7999	11.12811	5.1320806	32.494164	-1.6063658	11.128028	5.132479	32.463024	-1.6130717	-12.700089	0.22558272	82.4444363117218
3	14.604324	11.593538	29.00801	1.8455391	38.573284	3.2738345	44.621456	34.977913	1000.0	1000.0	11999	22.887163	5.3844995	45.101246	6.795409	22.8871	5.3845444	45.498634	7.25045	-24.32763	0.28737223	131.25188326835632
4	35.00584	6.6799045	43.562206	24.815615	28.745203	7.4191394	34.57404	13.651424	1000.0	1000.0	15999	28.788183	6.5743856	53.590458	11.120685	28.788218	6.5746427	53.738995	10.3529	-29.621847	0.2592421	184.24122047424316
5	20.818316	11.903138	36.610607	3.8844802	13.925466	3.8018923	19.006529	7.907382	1000.0	1000.0	19999	29.54351	8.831265	62.4311	11.094188	29.54359	8.831374	60.25789	11.023123	-30.241829	0.22641474	236.9084870815277
6	30.732132	17.178131	52.660885	5.1901	34.95507	4.219702	40.37818	28.970194	1000.0	1000.0	23999	31.529337	9.019464	59.684353	11.281117	31.52932	9.019425	59.024742	10.627969	-32.07311	0.15553856	290.28503489494324
7	27.21598	2.8923683	32.004562	24.23636	24.462488	0.583854	25.07168	23.434084	1000.0	1000.0	27999	32.419548	8.500282	61.098583	12.714171	32.419533	8.500564	60.883316	12.852597	-32.935204	0.13653797	343.4555468559265
8	3.9134264	7.4725785	12.600908	-7.9644003	-3.6307197	10.847218	28.417898	-10.952703	1000.0	1000.0	31999	33.37612	9.549081	88.39635	15.504161	33.376114	9.549064	88.40627	15.6688595	-33.72722	0.13407046	397.09779047966003
9	32.839165	18.20518	58.82772	9.752453	45.544346	3.7319016	52.375713	38.720734	1000.0	1000.0	35999	34.030487	11.257624	86.00996	15.502685	34.03047	11.257716	85.87596	15.63648	-34.41932	0.115323365	450.79645442962646
10	49.71173	5.0356774	56.543804	42.424076	47.12951	1.3200758	49.326042	44.33256	1000.0	1000.0	39999	32.68638	9.99514	77.31682	15.831231	32.68638	9.995248	77.36208	16.18158	-32.947582	0.09000829	504.74628472328186
11	41.325752	0.47681195	41.733	40.517933	45.10842	1.1622877	47.142605	42.607216	1000.0	1000.0	43999	30.668182	9.071618	69.43126	15.100674	30.668167	9.071596	69.48223	14.943864	-30.898745	0.07056506	558.5045824050903
12	38.705036	3.7526617	44.438934	34.28485	42.2519	2.0919409	44.501408	37.414078	1000.0	1000.0	47999	28.73977	8.763408	62.524334	14.174821	28.739725	8.763412	62.61054	14.049394	-28.959238	0.06297817	611.66565990448
13	41.253662	5.1199164	48.778526	34.71531	34.8984	0.63915914	35.933643	33.89583	1000.0	1000.0	51999	26.917608	8.722781	56.313698	12.783336	26.917597	8.722806	56.28084	12.7889	-27.099602	0.055146683	665.2019386291504
14	38.70663	3.0765371	42.29596	33.863953	40.68598	0.5581076	41.693924	39.945404	1000.0	1000.0	55999	25.241728	8.529639	52.132874	11.473382	25.24174	8.529635	52.302044	11.561912	-25.388035	0.050829798	718.8013536930084
15	37.394836	1.1673268	39.213722	36.034946	42.075294	2.4193888	44.484398	37.056786	1000.0	1000.0	59999	23.559853	8.376817	52.699135	11.0427265	23.559853	8.376838	52.615173	10.999941	-23.711164	0.04618578	772.5235223770142
16	40.421196	4.7594285	46.080845	35.048008	45.85549	5.7512507	53.854023	39.30754	1000.0	1000.0	63999	21.818207	8.280871	49.576416	10.005445	21.818205	8.280904	49.57318	10.054944	-21.968716	0.044960354	826.4270257949829
17	43.477253	0.8883879	44.615402	42.12673	44.52586	2.5160263	47.80701	41.72976	1000.0	1000.0	67999	20.348629	8.345191	49.541725	9.079612	20.348604	8.345132	49.80258	9.151851	-20.464216	0.040974632	880.0222735404968
18	47.102444	2.6413097	49.063725	42.564465	51.230774	0.4927802	51.867657	50.15397	1000.0	1000.0	71999	18.975805	8.282126	48.745518	8.317662	18.975838	8.2821245	48.92116	8.524166	-19.11261	0.03822102	933.6010279655457
19	47.28662	1.6928267	50.1682	45.98064	53.100838	1.1359802	54.387997	49.878044	1000.0	1000.0	75999	17.69369	8.301927	49.151726	7.940055	17.693674	8.301984	49.011566	7.9103317	-17.840992	0.03716292	987.4980454444885
20	48.614174	0.5895581	49.5094	47.90806	47.403103	1.7904327	49.483154	44.207825	1000.0	1000.0	79999	16.53481	8.301818	46.70693	6.7475886	16.534824	8.301812	46.70628	7.154944	-16.65713	0.038331453	1041.1373329162598
21	48.698895	0.8648374	49.578693	47.264397	53.001488	0.9728918	54.2868	50.973827	1000.0	1000.0	83999	15.597613	8.493312	46.273617	6.1590285	15.597631	8.493264	46.559025	6.1999264	-15.699069	0.038270004	1094.480529308319
22	51.414856	1.0996126	52.59194	49.864273	52.161755	0.65657175	53.251442	51.098648	1000.0	1000.0	87999	14.6357765	8.533454	45.648926	6.261312	14.635775	8.533505	45.73634	6.159261	-14.743701	0.03323862	1147.8776848316193
23	46.134815	2.6075776	49.13799	43.20808	41.53471	1.2737495	43.940372	39.647167	1000.0	1000.0	91999	13.72895	8.561695	45.347904	5.794582	13.72894	8.561705	45.51679	5.7653313	-13.838422	0.033515714	1201.6705317497253
24	43.369087	2.0498736	46.17991	40.51062	44.86613	0.9413262	47.030018	43.614746	1000.0	1000.0	95999	12.934235	8.548004	45.388275	5.4998474	12.934229	8.548008	45.155453	5.7301188	-13.037751	0.033453304	1255.0595638751984
25	44.778324	0.9919205	46.382435	43.678265	42.100525	2.183007	45.0654	39.367805	1000.0	1000.0	99999	12.179285	8.48291	47.61931	5.2258844	12.179275	8.482926	47.73031	5.432725	-12.264428	0.03590195	1308.6537096500397
26	43.695652	2.4301386	47.675285	41.09299	44.196835	1.8312938	46.736404	42.064846	1000.0	1000.0	103999	11.632542	8.506827	47.745617	5.119601	11.632554	8.5068245	47.591007	5.1732965	-11.755388	0.031842746	1362.4214961528778
27	46.641636	4.631643	53.753525	41.752037	48.56309	1.2766371	50.682453	46.496227	1000.0	1000.0	107999	11.164214	8.475909	45.42931	4.591852	11.16419	8.475936	45.321365	4.4886017	-11.268713	0.03320536	1416.1899287700653
28	44.325832	0.92254114	45.386974	43.017254	42.613632	5.748005	46.637127	30.27483	1000.0	1000.0	111999	10.68942	8.637709	46.931313	3.848321	10.68942	8.637687	47.021534	4.0004954	-10.778414	0.03609809	1469.7887213230133
29	46.130875	1.7346836	48.501747	43.680508	29.615902	9.248536	48.14478	23.162123	1000.0	1000.0	115999	10.148603	8.818592	47.402046	3.1170905	10.148622	8.818525	47.6447	3.2290998	-10.246335	0.03449157	1523.663899421692
30	35.33759	7.219672	46.758347	29.078636	28.11121	11.1679	44.579372	15.412174	1000.0	1000.0	119999	9.70695	8.90235	47.153694	2.9548495	9.706962	8.902331	47.26922	2.9168372	-9.80802	0.031386983	1577.499916791916
31	38.385277	3.338823	44.012753	35.503166	33.096138	6.4070625	47.02781	28.363487	1000.0	1000.0	123999	9.483357	8.826641	46.94552	2.3534877	9.483358	8.826652	47.171764	2.2257028	-9.606551	0.030198291	1630.944781780243
32	49.174652	3.206271	53.715923	44.8533	48.437546	3.8978179	50.990257	40.497917	1000.0	1000.0	127999	9.097815	8.689995	48.02074	1.8377113	9.097822	8.689998	47.827877	1.7846661	-9.170028	0.03009053	1684.5911870002747
33	42.59935	10.476591	52.01438	25.049257	34.28637	11.7333765	46.756096	19.878218	1000.0	1000.0	131999	8.661347	8.441047	43.1298	1.5021734	8.661322	8.441085	43.03797	1.3846552	-8.738961	0.029602386	1737.9823021888733
34	35.00064	9.077061	41.35671	19.349663	50.438972	4.6869164	56.016468	41.84921	1000.0	1000.0	135999	8.448927	8.416766	45.60885	1.6153259	8.448932	8.41677	45.900352	1.538518	-8.514656	0.03091232	1791.8142037391663
35	43.557045	5.110627	52.38577	40.01362	35.181755	1.4872116	38.006737	33.266685	1000.0	1000.0	139999	8.214232	8.2508135	44.136364	1.6025312	8.21424	8.250813	44.278343	1.6291686	-8.29837	0.028843267	1845.5153188705444
36	41.26785	2.383924	44.80349	38.080242	43.309254	0.6851842	44.40096	42.012215	1000.0	1000.0	143999	7.9641857	8.039358	42.74388	1.6622188	7.9641786	8.039388	42.597343	1.678032	-8.047181	0.02702666	1899.1817934513092
37	36.45234	4.3621774	42.89093	30.92174	39.8019	1.4663404	41.51157	37.676	1000.0	1000.0	147999	7.7144833	8.025437	42.892174	1.5236096	7.714484	8.0253935	42.853	1.462831	-7.7978454	0.025536293	1952.8979506492615
38	43.125137	5.685668	50.95808	34.995388	56.57032	8.312805	66.86537	42.40844	1000.0	1000.0	151999	7.561814	7.842286	41.753403	1.3661327	7.561815	7.8422837	41.686543	1.3630185	-7.649371	0.02458619	2005.9062042236328
39	46.65188	1.8647422	49.766815	44.814445	48.419228	2.9446595	54.74023	42.243637	1000.0	1000.0	155999	7.299417	7.690581	41.525387	1.3477042	7.299431	7.6905766	41.46371	1.4348587	-7.377394	0.023512077	2059.432752609253
40	59.487427	10.175078	69.98005	44.369007	80.76843	16.057241	97.4528	42.05101	1000.0	1000.0	159999	7.049011	7.680541	42.15995	1.3936853	7.049021	7.6805353	42.198494	1.3473231	-7.116572	0.02298262	2112.7298259735107
41	61.035416	11.128255	72.384834	43.504642	49.254993	9.111881	65.15872	41.215225	1000.0	1000.0	163999	6.674475	7.5907784	42.08401	1.2236086	6.6744714	7.59081	41.98591	1.230624	-6.7456665	0.022890957	2166.131106853485
42	56.362953	4.4036217	62.33281	51.907597	46.42713	3.3554363	56.244976	44.014637	1000.0	1000.0	167999	6.416365	7.5172706	41.707424	1.2237962	6.4163537	7.5172515	41.699154	1.1681259	-6.459731	0.021366308	2219.0064737796783
43	65.89936	9.695295	76.512146	50.163074	75.91838	3.35017	81.552444	71.34079	1000.0	1000.0	171999	6.180218	7.42628	40.66631	0.9511502	6.180213	7.426291	40.661602	1.1178892	-6.259279	0.021511588	2271.939900636673
44	62.8704	5.3040147	70.625984	56.66073	52.752033	3.3969777	58.692528	47.843525	1000.0	1000.0	175999	6.0080566	7.309612	41.109383	0.84599	6.0080724	7.3096013	40.879337	0.93169487	-6.0558944	0.02035791	2325.2199716567993
45	45.154186	2.6890314	48.01218	40.924103	46.83558	0.6032721	47.902473	45.92508	1000.0	1000.0	179999	5.882449	7.2890644	40.66887	0.7061256	5.882441	7.2891088	40.474064	0.83190125	-5.9390373	0.02326921	2378.2684977054596
46	44.9065	2.4237494	47.92024	42.216274	43.885994	1.0760475	44.596287	40.785053	1000.0	1000.0	183999	5.7799964	7.3166294	39.663044	0.8302151	5.7799964	7.3166056	40.484364	0.8817364	-5.858826	0.020714603	2432.0456116199493
47	47.09957	3.3776083	52.778404	44.54371	44.58972	0.52473646	45.545277	43.498592	1000.0	1000.0	187999	5.6060643	7.23239	39.626804	0.7155498	5.606058	7.2323656	39.867523	0.620427	-5.6485295	0.019643173	2485.393010854721
48	45.37532	1.6008688	47.188843	42.794174	45.960793	2.083275	51.826572	43.94201	1000.0	1000.0	191999	5.4795823	7.2734914	39.769833	0.56838846	5.47959	7.2734833	39.618713	0.6835136	-5.549489	0.020972202	2539.390763282776
49	44.00572	0.92344457	45.3028	42.696907	43.750755	1.7351619	48.607037	42.42229	1000.0	1000.0	195999	5.279016	7.164876	40.122974	0.31104362	5.2790117	7.1648393	40.417377	0.49657905	-5.3139806	0.01965459	2593.0527279376984
50	43.955357	1.1495479	45.394287	42.19417	43.67051	1.0237708	45.177586	42.139286	1000.0	1000.0	199999	5.1320295	7.105536	40.035416	0.46389386	5.1320567	7.105528	40.58856	0.39671856	-5.181156	0.019185087	2646.5703508853912
51	44.296318	0.88205594	45.316338	43.1433	44.672478	1.0213069	46.432575	43.193745	1000.0	1000.0	203999	4.9745827	7.0274744	39.62792	0.3999956	4.974587	7.027471	39.80213	0.36591297	-5.021704	0.018572059	2699.6625871658325
