Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	2.267773	6.9089704	40.266064	-7.125257	-9.917658	2.225276	-7.3464417	-13.987624	20.151516	68.8	3999	5.0949264	5.026141	26.13092	-6.312403	5.095917	5.0274076	26.035017	-6.1195755	-7.8394217	0.7039593	24.67629337310791
2	1.3334509	5.013978	20.336979	-10.136051	-14.047937	2.463993	-9.904085	-17.12219	20.553846	70.5	7999	27.78342	13.686919	87.76641	-23.082499	27.783283	13.685914	87.43326	-24.67337	-34.43375	6.9591756	57.42169952392578
3	7.579815	32.886585	261.5955	-100.55187	106.96499	56.098778	251.39049	49.572777	32.487602	117.6	11999	78.42465	29.283276	196.67593	-50.560074	78.42494	29.27116	200.93349	-60.16148	-91.51184	58.26739	94.75821256637573
4	171.16998	128.00781	553.63586	-35.119846	-15.494675	23.60901	30.308245	-40.420265	156.3077	121.4	15999	116.86048	31.113441	193.273	-56.946465	116.86191	31.114815	191.78835	-58.981316	-126.67851	96.99119	135.4522361755371
5	541.30975	424.66635	915.7005	20.681337	396.0187	303.0206	995.9709	199.2382	645.2	333.8	19999	120.82064	29.03175	186.48227	-57.831223	120.81946	29.052708	189.46559	-68.656586	-127.81208	74.61176	180.76831698417664
6	180.48842	217.82251	982.09424	-67.50459	226.44756	140.83154	511.44525	43.165203	218.4762	347.6	23999	122.97826	28.436888	202.23892	-109.84578	122.98082	28.440155	206.9434	-82.25475	-130.0516	66.209175	226.36161398887634
7	234.72234	177.51782	952.06494	4.06642	111.700966	120.4506	385.30176	20.74189	177.95653	139.2	27999	129.9762	28.132723	202.81757	-65.84941	129.97598	28.158175	201.58444	-76.23248	-136.99683	76.82791	267.71575450897217
8	167.2215	90.276146	296.40677	18.696787	133.07956	94.28811	344.79474	33.775738	124.030304	169.6	31999	135.43561	27.543467	191.30336	-64.23294	135.43579	27.560514	192.01251	-101.20189	-141.56566	76.00281	309.80070543289185
9	118.10696	95.09692	312.15112	-5.857275	211.43501	97.76144	433.9127	96.48553	134.82759	161.3	35999	132.02545	28.465782	183.47794	-65.1452	132.02658	28.487562	186.05832	-77.39196	-137.20091	73.19573	351.69850492477417
10	234.33559	127.4736	462.08014	-10.699475	286.7027	40.722816	360.18564	227.96057	182.22728	143.4	39999	124.97563	30.088049	176.09105	-84.3927	124.97536	30.100225	179.26505	-69.88101	-129.40607	67.614655	393.5950517654419
11	255.53206	94.881325	445.26932	52.653103	304.7465	57.98282	415.24835	239.80556	176.30435	197.4	43999	121.53577	30.648382	176.74669	-93.86384	121.53473	30.658669	176.32541	-75.175735	-125.97051	61.047775	436.09572649002075
12	234.39706	162.91457	524.4813	22.862974	127.16118	100.99185	325.6021	-2.9702954	229.35294	210.2	47999	119.21329	30.345562	178.1791	-67.22587	119.21232	30.362774	176.13826	-73.57347	-123.28426	56.561985	478.94269132614136
13	216.4679	127.45908	394.5345	-1.2168814	331.4521	33.584274	388.89212	278.04913	161.2	149.7	51999	115.89946	30.093441	173.153	-81.08606	115.89936	30.102627	175.96655	-75.710526	-119.71203	57.0701	520.5578019618988
14	289.4031	141.71776	682.5528	8.806357	446.2448	368.7303	965.1287	1.9918048	168.66667	549.1	55999	113.21723	30.69205	171.28723	-95.15405	113.21724	30.700275	170.91856	-101.64244	-116.89666	51.378384	570.5379674434662
15	245.26724	147.98238	516.43384	35.452988	323.68152	135.3795	560.03064	59.28883	193.0	169.8	59999	110.74948	31.691828	167.98793	-102.083374	110.75077	31.692524	170.99992	-96.646835	-114.35295	48.88833	612.7208166122437
16	312.14905	158.5815	504.7437	11.000821	405.06854	73.688385	534.6307	290.20654	197.71428	196.6	63999	108.36226	32.844425	166.51619	-69.49247	108.36383	32.840965	167.61275	-85.57036	-111.78979	47.37119	655.2344698905945
17	153.55542	204.07556	696.2793	5.759663	359.01523	101.56113	565.81854	262.8428	104.89189	201.3	67999	106.54019	33.776436	166.62357	-62.855896	106.542	33.77576	165.92186	-96.74589	-109.964714	51.481094	698.1083693504333
18	290.26477	55.800392	415.57373	172.93472	292.56964	83.40692	541.4577	248.8154	147.17857	118.1	71999	105.37435	33.836357	168.04875	-101.62798	105.37523	33.838047	166.83488	-76.47672	-108.61547	45.556866	738.911052942276
19	280.5475	52.228123	427.0547	209.13995	337.71017	75.451096	466.55457	240.83505	132.03334	148.6	75999	104.56262	34.612312	164.00511	-54.960426	104.56306	34.61584	163.58934	-81.01226	-107.53906	41.293976	780.8202631473541
20	339.63672	101.74171	736.29407	239.42938	251.696	11.476386	269.11743	235.72137	164.91667	116.3	79999	104.26385	35.40351	162.80441	-63.105007	104.26433	35.40762	163.8907	-73.04105	-107.22736	38.2059	821.6796951293945
21	276.22635	96.492294	399.48578	1.0392668	359.1263	55.608482	448.27	294.8373	134.86667	173.5	83999	105.09293	36.107517	167.54626	-117.942825	105.09349	36.110806	167.00208	-88.52991	-108.036285	37.288864	863.7296807765961
22	307.20013	99.112564	595.4648	169.95375	311.7361	83.45481	533.5408	237.37804	150.57692	147.1	87999	105.87646	36.45551	164.87657	-83.21903	105.87715	36.457783	164.82974	-75.28517	-108.86103	37.98394	905.5919156074524
23	311.77042	60.773426	453.54465	201.41127	272.8656	63.87764	442.46918	207.36359	162.24	141.8	91999	106.99494	36.50095	181.53003	-87.63631	106.99547	36.50459	179.55086	-77.32452	-109.93494	37.5561	947.4102244377136
24	309.34555	77.21357	487.521	64.81892	362.36917	74.97302	493.6124	258.9567	164.875	183.1	95999	107.55642	36.791374	185.8509	-73.67292	107.55639	36.790737	185.0718	-85.30516	-110.23028	38.13244	989.6130545139313
25	330.92825	129.22409	809.52515	37.189297	305.12982	124.597664	655.1274	201.82231	160.84	143.8	99999	107.45749	36.43883	189.93324	-79.69247	107.45888	36.438145	192.9721	-85.99802	-110.04647	35.058178	1031.2224929332733
26	351.5714	115.10327	525.4526	149.14384	304.8083	117.84221	578.0072	99.16037	203.95	197.8	103999	107.31469	35.929672	186.05971	-68.74603	107.3158	35.92742	185.17143	-72.08613	-109.85255	32.59179	1074.1287398338318
27	323.55563	161.6659	618.4743	40.42611	358.52396	106.66166	552.136	164.23105	225.25	200.5	107999	107.37295	35.906376	181.89915	-115.7059	107.37333	35.90437	180.7516	-70.156715	-109.87309	33.15057	1116.7818326950073
28	355.85245	142.00247	568.5938	47.22102	248.99153	37.520912	344.3439	208.95668	222.0	126.4	111999	106.73694	36.173977	177.81754	-105.24429	106.738	36.175003	174.61923	-76.92582	-109.17153	32.548622	1158.0116157531738
29	324.17444	156.54077	850.3488	125.30896	241.24187	97.80174	374.46402	44.85489	210.2	202.2	115999	105.98116	36.539574	164.84302	-77.27285	105.98232	36.534805	166.3939	-121.77343	-108.37204	32.913456	1200.8158481121063
30	290.56567	189.64789	945.58386	2.6472428	177.89145	38.848083	260.41058	148.9661	205.94737	115.3	119999	105.53935	36.53883	160.35579	-80.82551	105.54012	36.539223	158.78232	-83.87795	-107.876015	33.287457	1242.0258464813232
31	336.10657	154.9351	702.04486	157.32451	194.0435	49.047165	315.70715	157.82314	225.27777	117.5	123999	104.64602	36.64663	159.77751	-79.85584	104.6465	36.644924	160.48306	-82.67455	-106.93365	32.425484	1283.0676894187927
32	273.20734	186.85358	1001.945	63.642124	381.65833	206.11041	790.47723	152.69563	183.45454	256.9	127999	103.86422	37.15903	161.47435	-88.39987	103.86521	37.154552	159.22032	-103.82273	-106.09105	34.34792	1326.5818331241608
33	301.50806	141.53638	627.5744	30.29912	389.6966	90.78757	518.0072	250.94563	188.45	209.4	131999	103.52852	37.209538	162.20952	-86.00824	103.52922	37.204468	159.87541	-90.665276	-105.79078	35.272335	1369.2584931850433
34	326.17365	195.71423	655.52594	57.86101	320.69357	62.04579	413.85538	219.97939	263.375	183.3	135999	102.80149	36.94345	160.44975	-74.426765	102.80119	36.94194	159.3988	-74.16165	-104.99947	35.691273	1411.9223623275757
35	290.25992	140.62354	521.08234	38.478954	393.8001	119.32354	717.3165	274.5181	196.25	163.3	139999	101.71886	37.003143	160.58687	-83.238884	101.71935	37.00379	162.23947	-85.342865	-103.78692	34.631153	1453.90194439888
36	331.89847	111.62863	616.6788	138.4222	317.86557	100.8616	549.58167	122.88327	163.64	163.6	143999	100.64314	37.279976	163.99301	-79.25993	100.64317	37.282063	166.46855	-85.709854	-102.80209	34.805515	1495.9142038822174
37	397.48233	233.5384	1330.9061	193.50362	371.6458	105.00421	629.1741	302.35736	178.59091	165.0	147999	100.27326	37.85394	168.95207	-83.77841	100.2735	37.854347	166.09824	-84.08636	-102.30183	34.486156	1537.851732492447
38	413.38446	185.98914	1065.4015	206.55518	362.9743	55.5376	475.4396	300.7031	203.9	166.4	151999	100.0296	38.361782	167.7733	-88.51265	100.02945	38.365463	170.0349	-95.022446	-102.11066	34.556984	1580.1037497520447
39	389.29797	132.81895	746.82983	222.00829	367.3891	205.45897	785.9366	45.34981	193.8421	211.8	155999	100.07791	38.8812	167.00232	-86.638725	100.0782	38.880024	169.08382	-80.11243	-102.25064	33.415516	1622.7538964748383
40	350.90402	272.35037	1136.5865	31.942705	178.98244	158.98357	530.8848	30.440548	175.70833	111.8	159999	100.58501	39.228916	167.71227	-86.66289	100.58521	39.230404	168.95404	-89.46348	-102.71128	33.00361	1663.9628524780273
41	397.72238	181.45483	736.6965	45.424656	706.55945	322.59976	1186.862	306.25922	195.2381	344.4	163999	100.60203	39.817406	169.38483	-89.81447	100.60164	39.8167	169.44644	-88.532135	-102.69793	33.158455	1710.212019443512
42	504.49808	187.30315	1139.6173	294.66177	515.6836	118.65158	757.2785	416.15158	243.3125	226.2	167999	101.2068	39.663574	165.9675	-100.112915	101.20774	39.667347	167.4523	-89.94761	-103.18904	34.976673	1753.8289699554443
43	444.86163	104.36875	618.16565	169.28856	608.40265	254.69794	1056.0742	363.70547	209.26315	273.2	171999	101.57438	40.121033	166.19221	-97.85226	101.5744	40.12268	166.69116	-90.73212	-103.514984	34.05336	1798.6681456565857
44	679.41095	270.8591	1211.8706	312.94577	755.9881	517.94434	1856.7333	47.462887	323.58334	401.9	175999	102.51156	40.24523	168.62762	-95.935646	102.512	40.248383	169.66815	-114.103294	-104.57158	34.515766	1846.1297585964203
45	736.3372	348.60483	1382.6268	355.51834	469.5381	217.14934	933.4943	249.26318	321.3846	201.4	179999	103.8401	40.78128	174.78589	-87.18292	103.84054	40.785156	172.32126	-104.80258	-105.89767	36.393078	1889.1252400875092
46	454.7331	244.27832	1391.3893	238.53682	743.3125	246.07301	1165.9728	343.10672	194.7	272.3	183999	104.98648	41.474987	177.5686	-89.631424	104.98599	41.47407	177.97418	-79.00414	-107.18808	36.210476	1933.3362114429474
47	498.90033	278.94702	1196.729	191.8652	285.69403	138.57614	678.767	188.58151	198.42857	129.5	187999	106.36232	41.97605	177.90608	-84.54005	106.36303	41.979965	179.69063	-81.23375	-108.60261	36.197628	1974.7520017623901
48	520.0356	256.85144	1439.2654	240.39552	560.80536	292.14362	1266.0768	194.08215	204.6842	229.3	191999	107.53035	43.172955	184.90746	-106.371124	107.53084	43.173626	186.08057	-112.53904	-109.788605	37.033234	2018.4010179042816
49	554.2057	221.66338	1168.6901	253.75401	1965.9187	604.3024	2540.5745	564.09204	210.78947	805.6	195999	108.80004	44.629074	189.55806	-134.81471	108.79929	44.632614	192.54747	-141.97968	-111.11227	38.411594	2073.8208673000336
