Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	18.745037	16.0761	129.30316	4.48573	173.99173	1.3458337	175.57133	171.0259	21.98895	85.9	3999	12.225701	9.699471	57.080837	-25.462313	-14.202843	1.0539218	15.631057739257812
2	18.74844	19.881615	155.81702	4.755372	24.049362	3.769063	25.604136	12.757175	22.198895	16.4	7999	75.67526	40.27796	267.18442	-184.13403	-85.20378	25.7574	33.564738512039185
3	40.718765	59.35008	348.13513	4.6673517	220.70044	1.3537705	223.56813	218.64876	29.85821	107.4	11999	279.0899	126.550095	681.0164	-235.6401	-309.18454	306.51794	54.288177728652954
4	223.69992	135.21571	582.95294	24.785065	605.3727	41.837463	681.19977	553.6565	100.871796	204.6	15999	520.7252	144.72754	857.6542	-340.90738	-551.88165	873.1603	77.46784901618958
5	360.52414	156.47755	830.0466	18.832804	333.4935	11.464315	355.03067	312.76312	148.7037	160.4	19999	647.81793	177.05139	948.9342	-815.0626	-680.11725	1177.9902	100.33328533172607
6	342.6385	256.36096	898.158	8.882232	12.4802885	0.24526577	12.925462	11.991453	155.15384	45.5	23999	735.7547	203.73982	1047.8691	-427.10226	-765.7048	1273.9048	122.53825855255127
7	37.661823	110.67888	765.231	7.752777	14.15108	0.3654027	14.651611	13.561439	69.85965	44.3	27999	775.3316	227.7234	1178.5848	-522.66296	-805.9722	1484.6287	144.94744515419006
8	212.57817	190.0383	611.6656	14.769055	476.03915	102.881996	692.77856	318.44595	168.13043	238.7	31999	866.79456	248.34006	1405.9143	-538.05005	-898.9049	1634.2535	167.97215747833252
9	420.0549	189.18729	812.26587	53.386894	406.00616	191.1195	703.7112	221.77042	211.36842	185.7	35999	940.8942	269.56238	1516.7548	-589.0286	-971.753	1726.546	189.72767782211304
10	100.668076	174.37921	821.31573	-0.5340102	231.49326	7.6945095	247.21283	216.43022	84.20408	112.6	39999	984.40765	289.4504	1541.9836	-654.9213	-1015.07965	2010.0525	212.31354808807373
11	221.84706	51.92913	386.19266	148.82188	307.82166	33.45276	392.49384	269.00476	104.39474	128.9	43999	1033.2869	322.7067	1559.0322	-581.4964	-1066.142	2187.78	236.59003925323486
12	297.74142	143.56543	661.22095	81.302376	882.27167	138.44562	995.86414	704.0186	138.11539	695.9	47999	1065.9916	331.10233	1530.9795	-573.1324	-1097.5189	2290.4062	265.7309875488281
13	548.47577	278.67673	1167.4006	22.29046	389.38812	38.8669	457.88065	358.23077	260.64706	180.9	51999	1084.7506	331.32925	1611.0781	-703.8084	-1114.3339	2112.3665	289.36097240448
14	482.85132	67.15736	584.3216	297.7262	672.4636	283.5439	1105.6818	14.159543	180.41176	787.9	55999	1105.5967	350.8124	1651.8832	-580.43787	-1135.5186	2021.009	320.49935030937195
15	448.0348	416.66156	1298.7675	99.51174	306.67953	219.7538	642.1655	95.83066	382.0	181.3	59999	1114.0492	348.75034	1686.8276	-817.8869	-1141.1372	1900.589	343.56366515159607
16	400.06577	225.10915	953.30615	97.98488	319.91922	181.09695	754.4276	191.94484	171.95653	139.0	63999	1112.9924	346.55545	1662.8184	-938.8012	-1139.9973	1915.2323	366.4124972820282
17	370.84067	268.7374	922.14996	138.04428	599.43884	67.958954	802.23456	566.35925	162.33333	236.5	67999	1118.7162	349.4796	1636.4668	-1254.916	-1145.1176	1919.388	389.405722618103
18	581.59766	210.93346	895.60583	202.51064	1568.3026	509.18646	2752.755	672.7289	217.6842	514.0	71999	1120.6592	344.0406	1607.1276	-1109.3018	-1145.1079	1702.7935	415.72632002830505
19	611.3023	283.55685	1229.8801	123.87998	676.6456	203.85147	1171.1772	423.69495	222.66667	343.6	75999	1101.385	342.97247	1557.4514	-1073.9164	-1124.4777	1586.1836	441.2618908882141
20	114.0957	249.50882	1342.7622	7.726736	48.40273	5.6489987	58.856087	41.254395	100.28205	83.4	79999	1076.8632	344.36505	1539.9777	-814.25525	-1099.8413	1491.3091	463.8437385559082
21	465.18994	448.12967	1374.1055	27.322075	481.99472	349.73807	1466.2275	199.35016	354.81818	265.8	83999	1064.9457	340.76816	1501.8684	-771.45935	-1087.0303	1560.2383	487.8005928993225
22	486.2507	272.22742	1003.56805	23.405104	153.91063	24.371054	196.94164	118.49865	256.0	152.0	87999	1037.0306	328.43082	1484.242	-601.9881	-1057.6014	1479.2245	510.15341234207153
23	313.71335	374.2386	1721.8054	38.729168	27.854574	2.621751	34.132446	25.35773	198.6	62.5	91999	1025.6697	316.31473	1465.3834	-754.19476	-1045.9888	1355.4115	532.9208960533142
24	118.852715	194.11565	838.61816	14.251938	1132.883	616.5924	2744.9084	743.2351	142.77777	396.6	95999	1010.0731	314.2716	1461.5743	-823.3096	-1029.4851	1378.9473	557.9334723949432
25	1151.0105	486.6059	2239.0857	590.5145	1144.4203	362.54382	1825.5361	678.61255	445.8	419.4	99999	1002.62384	302.33105	1466.2188	-611.45636	-1021.82263	1321.6252	583.5823557376862
26	856.97577	310.52524	1531.5238	396.15387	414.57062	133.54236	536.64197	246.27539	329.75	174.4	103999	993.989	300.77957	1488.0887	-679.2913	-1012.6441	1274.689	606.1327080726624
27	656.2436	304.52838	1281.599	313.02325	1598.0784	390.86847	2102.347	861.2568	248.35715	645.9	107999	979.2036	297.38428	1465.7542	-1098.3555	-997.3596	1237.0991	634.1289522647858
28	1017.17993	643.0326	2451.4238	453.5544	491.11768	153.4608	745.0736	276.25156	488.44446	339.3	111999	966.73975	294.9218	1456.0605	-774.18713	-984.53156	1178.1522	658.2284898757935
29	736.7615	291.61017	1197.7344	204.80984	717.0724	327.77753	1593.429	515.6329	461.22223	447.9	115999	952.6724	292.33908	1455.157	-503.12527	-969.2642	1096.1053	686.0701062679291
30	595.4982	377.34714	1318.3381	114.26053	558.3506	259.64487	1242.4724	377.59433	312.6154	246.1	119999	930.88086	283.9138	1461.6481	-625.2703	-946.5289	1078.1195	709.3787004947662
31	589.82434	477.5107	2034.3842	60.62233	1163.4968	464.58618	2010.2612	694.98047	303.69232	569.5	123999	907.58185	282.69147	1425.8632	-989.51056	-922.8519	1039.003	736.8912873268127
32	715.44415	411.9456	1608.2152	241.24225	272.03375	3.232587	278.8313	268.30148	349.0	136.0	127999	888.6999	275.33884	1363.2551	-795.3124	-903.3391	951.54205	760.0221574306488
33	1444.1107	589.8744	2129.4968	681.2406	1251.7224	499.6023	1924.4294	347.12204	652.6667	674.3	131999	870.1397	272.08865	1284.8503	-635.6346	-884.25714	931.1244	788.0267765522003
34	498.83633	243.57321	935.8662	189.15292	601.9668	238.80042	1204.7252	347.84415	235.76471	342.7	135999	846.6182	263.57452	1236.2081	-880.7988	-859.63086	850.60803	812.2104732990265
35	833.96875	747.1287	2035.5198	75.49299	174.33345	81.160645	327.24533	70.02981	431.33334	157.5	139999	819.0126	248.60303	1185.3754	-614.6641	-831.1524	780.06616	835.6515159606934
36	444.76398	496.48975	2103.4849	84.69871	325.61685	123.54621	506.30115	194.43355	252.82353	162.8	143999	793.2979	235.78966	1159.3491	-427.817	-804.9166	746.3004	858.5848681926727
37	279.3177	358.61652	1472.7097	41.03008	1584.8892	1029.804	2728.984	159.65979	181.4	755.8	147999	769.72736	225.86559	1136.3444	-519.00366	-781.0637	735.8255	890.2401740550995
38	622.9485	440.24197	1514.5662	70.823296	1042.3286	155.04903	1231.1519	737.4624	310.07693	423.2	151999	754.22375	216.01376	1109.1215	-457.15137	-765.0689	681.3425	916.5905673503876
39	933.3596	381.47656	1998.2789	594.8349	916.2507	364.93924	1556.8175	375.11618	363.58334	350.4	155999	734.4711	206.88002	1093.9684	-658.314	-744.79736	618.1102	941.2131905555725
40	630.232	440.7156	2016.0197	51.74385	795.64624	534.5757	2370.7002	465.43665	248.8125	312.3	159999	715.97766	199.7226	1029.8918	-709.292	-726.05206	609.7251	967.8992183208466
41	615.037	432.03476	1616.6484	87.378975	904.32385	440.55984	1707.9971	418.47516	219.9375	345.3	163999	693.34375	193.4457	1000.36523	-439.38205	-702.6281	544.48724	993.5096695423126
42	1373.6821	654.7076	2422.4639	680.63513	1140.5552	327.75095	2058.9202	804.75305	478.44446	400.9	167999	674.1463	189.65846	974.556	-752.42114	-683.224	504.87692	1019.7772481441498
43	930.6967	851.5551	2701.2576	64.035866	449.08603	437.17432	1590.3342	96.56992	350.0909	271.0	171999	658.16547	186.76147	973.6465	-583.99817	-667.1853	478.09857	1043.812890291214
44	1038.888	270.52475	1440.1019	606.1227	827.03046	309.9775	1441.9717	449.53406	444.1	380.4	175999	651.14526	184.26474	909.01025	-333.839	-660.2971	465.24017	1068.9725382328033
45	788.85443	174.62451	1112.6559	509.7574	765.6214	330.6482	1452.5446	476.6665	346.8	308.3	179999	643.72205	180.97029	863.265	-422.32898	-652.4616	447.4135	1092.759039402008
46	793.27765	254.66525	1470.2091	337.83005	941.90155	439.3622	1617.7155	257.4056	348.15384	476.9	183999	627.84076	176.4062	854.05695	-385.94016	-635.90564	425.84683	1117.7330436706543
47	758.433	273.42108	1342.9148	333.38788	637.7309	170.61433	993.5161	424.70645	289.3846	255.6	187999	610.2864	170.92206	848.8468	-465.81116	-617.86884	374.68362	1140.7607538700104
48	991.39453	577.21246	1956.0493	131.08238	1285.9462	628.0522	2701.709	559.76685	423.9	493.1	191999	600.2212	167.02248	834.01184	-394.35052	-608.47845	400.1471	1166.9067823886871
49	758.73676	357.60333	1678.9989	362.49136	1339.5256	424.6271	2118.7861	639.5837	293.6154	548.2	195999	597.2873	165.30124	823.51514	-519.5346	-604.9305	358.35318	1193.6198117733002
