Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.21292353	15.839537	10.963735	-27.05221	13.59823	10.840979	28.525785	0.28554899	1000.0	1000.0	3999	7.883176	6.5369496	30.259626	-2.3111794	-9.363071	0.08677251	22.72396159172058
2	2.13772	14.801489	27.465483	-9.9454775	29.705322	0.6723216	30.512312	28.745146	1000.0	1000.0	7999	34.27103	9.077126	72.86505	6.236447	-35.811436	0.33874395	49.273035526275635
3	9.879823	6.4925857	16.951548	0.49867168	6.094455	7.976565	29.32823	2.046716	1000.0	1000.0	11999	48.252113	7.7395725	78.63334	20.760033	-48.934273	0.202979	77.98869562149048
4	27.68435	8.111205	39.030415	16.091423	31.627365	2.94768	35.17755	27.826397	1000.0	1000.0	15999	52.190365	8.2446375	78.670784	28.614594	-52.96198	0.13155976	108.56581592559814
5	37.98855	8.536116	50.381878	26.303246	47.484074	2.7965205	52.49766	43.954002	1000.0	1000.0	19999	54.84711	9.372057	82.97352	29.715353	-55.384705	0.110544294	139.04405879974365
6	32.528908	8.655108	37.657127	17.538774	31.939468	2.9309673	35.27084	27.040043	1000.0	1000.0	23999	54.81677	8.090842	89.02773	30.428211	-55.30031	0.12958057	169.6459641456604
7	35.152527	5.2565427	40.09241	27.300112	47.080647	4.089437	53.822968	37.62638	1000.0	1000.0	27999	52.945335	8.472788	84.90143	29.23542	-53.3169	0.08811605	199.70229148864746
8	39.437122	2.6959248	42.927307	35.491573	33.0662	1.7301648	37.142365	30.955236	1000.0	1000.0	31999	48.447723	8.837125	83.29892	28.83025	-48.686172	0.068762876	230.33616876602173
9	36.3907	3.692088	40.56369	31.439695	39.10963	2.0837905	41.94823	36.031654	1000.0	1000.0	35999	42.5408	9.203079	73.700226	26.236172	-42.71104	0.048976146	260.76635098457336
10	40.248493	3.423904	42.775723	34.415165	42.38148	0.73936063	43.39995	41.286522	1000.0	1000.0	39999	37.37446	9.713734	69.31116	23.811071	-37.546623	0.041766226	291.59047865867615
11	42.88107	5.069895	50.360977	37.019554	37.32966	1.8475348	40.848186	33.868374	1000.0	1000.0	43999	32.90039	10.286136	69.73358	19.640764	-33.04307	0.036552683	322.1242415904999
12	42.131348	3.84708	47.405827	37.65241	39.128773	2.5123758	45.14093	35.999115	1000.0	1000.0	47999	29.357716	10.864012	66.80778	16.471582	-29.526964	0.03237569	353.55956506729126
13	43.574444	7.1019716	54.437237	35.489098	48.36133	8.701401	59.301037	35.65652	1000.0	1000.0	51999	26.61874	11.546099	66.78369	14.08378	-26.755283	0.030162528	384.29542446136475
14	19.75736	6.591543	25.416967	8.523139	52.211964	2.6433454	56.517105	47.681145	1000.0	1000.0	55999	24.4883	11.316614	67.02853	12.277929	-24.612318	0.030947758	415.3614284992218
15	38.38617	11.972901	54.437466	21.601185	35.896507	1.2422826	38.164127	33.922096	1000.0	1000.0	59999	23.239468	10.939344	66.11835	11.089497	-23.399305	0.030831063	446.12279176712036
16	34.46292	2.9954531	36.663258	29.31334	38.943634	1.5343823	41.619312	37.3925	1000.0	1000.0	63999	22.23537	10.852746	60.20608	10.077752	-22.390846	0.028893422	477.22297525405884
17	40.366962	0.65998226	40.813667	39.22616	36.49482	1.23872	38.238647	34.09316	1000.0	1000.0	67999	20.735071	10.626429	59.488586	8.660947	-20.844439	0.02477383	507.91081404685974
18	44.18841	11.27812	62.166294	31.945541	34.82867	3.9861324	41.635838	28.944597	1000.0	1000.0	71999	19.018854	10.069647	57.23222	8.078866	-19.13514	0.02338971	538.9793663024902
19	43.41554	8.4394455	55.30641	32.631264	29.71185	1.0328549	31.41032	27.712292	1000.0	1000.0	75999	17.85043	9.630295	55.65184	7.4502535	-17.96336	0.021901065	569.7102465629578
20	40.704277	5.9290404	50.615227	34.870975	57.506256	1.0713451	59.293987	55.25325	1000.0	1000.0	79999	16.626297	9.4856	52.90298	6.3389945	-16.727886	0.019620758	600.2264673709869
21	42.93204	3.5844882	47.109444	37.453793	41.26618	1.2724823	42.635746	39.084682	1000.0	1000.0	83999	15.4613	9.428115	50.641857	5.1737413	-15.552386	0.019219516	631.0556492805481
22	40.99909	3.2279887	44.127335	35.60527	38.256054	2.1907754	40.66565	35.17827	1000.0	1000.0	87999	14.294551	9.322946	49.71358	4.3578386	-14.38313	0.018894536	662.2368638515472
23	44.22122	4.104891	51.084732	40.396328	41.55392	3.9488032	48.52392	36.758068	1000.0	1000.0	91999	13.266192	9.335136	48.19208	3.2779174	-13.349162	0.01799126	692.5384864807129
24	46.74311	5.918025	56.81582	42.243793	38.391617	0.6632615	39.43228	37.457886	1000.0	1000.0	95999	12.485171	9.169865	46.65403	3.6794848	-12.569043	0.017913712	723.2329099178314
