Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	1.4805149	5.7220745	37.583836	-8.126787	80.94	18.750263	109.8806	52.067154	19.955	194.5	3999	17.775095	15.713341	68.08598	-31.18333	-22.445934	2.759288	15.907678127288818
2	1.3255081	4.9810805	26.785044	-9.173913	0.108145736	0.8559436	1.3965892	-1.7055069	19.177034	29.2	7999	116.74939	58.03699	342.11496	-139.76474	-133.48541	101.48824	33.56207227706909
3	-0.043397184	35.42266	254.07141	-19.377714	-17.941883	0.12735373	-17.699278	-18.12406	21.483871	12.0	11999	367.2073	129.14705	680.3743	-277.04675	-405.61826	719.21674	53.10303282737732
4	-4.8669896	122.835945	1042.0034	-24.058247	1025.2224	3.256764	1031.1703	1021.7793	27.818182	1000.0	15999	501.92032	164.62672	792.2386	-352.46524	-535.8344	1207.5684	85.85080790519714
5	-0.11213762	108.99152	882.46704	-47.77719	-15.435503	0.39373237	-14.418779	-15.829092	60.074627	23.9	19999	476.76953	133.4704	766.40186	-277.18097	-500.21753	758.4974	108.3574492931366
6	13.99003	64.439835	334.48572	-17.15125	239.23189	14.0592985	263.9646	221.15244	38.82524	186.0	23999	434.4141	162.89018	924.06354	-313.50217	-460.39236	744.6924	131.84622478485107
7	50.652	83.922455	341.99045	1.4616652	238.81999	14.979036	267.8575	216.14857	154.56	168.1	27999	458.41727	194.48892	881.87524	-314.34186	-484.309	691.3944	154.45044684410095
8	345.1312	303.00696	952.4409	44.945885	1.3528954	81.02725	223.54918	-53.180763	368.36365	168.3	31999	413.03436	156.04102	759.1175	-271.7645	-432.90408	535.3745	177.75980520248413
9	27.042845	175.40112	820.17883	-106.01352	-22.319775	39.889027	74.86523	-84.607185	159.4	145.1	35999	473.273	149.07297	876.5975	-313.3888	-497.2912	614.0209	201.07406663894653
10	27.016226	56.11727	159.51266	-105.467834	-16.265646	0.92276716	-14.124139	-17.418167	135.2	75.3	39999	501.32904	150.942	870.5965	-277.42596	-520.60785	620.7015	223.51971626281738
11	25.462008	83.50268	320.70273	-59.183643	80.87075	65.11541	165.62633	-47.802967	85.347824	117.0	43999	589.11255	169.14166	991.78394	-282.50516	-617.7171	1085.791	246.57866668701172
12	55.854755	95.69319	228.44983	-89.91854	182.8183	87.88881	332.68713	77.05122	136.26666	121.2	47999	669.7084	193.0056	1139.5077	-343.14023	-697.23663	1230.7577	269.17639684677124
13	135.90773	131.46156	493.2654	-115.2135	100.79594	64.14774	214.44029	15.504019	147.51852	149.5	51999	791.9896	224.65407	1328.9995	-419.3256	-825.22833	1607.9052	292.7487840652466
14	22.079992	90.62952	322.79858	-107.23226	-26.817083	82.849976	174.31012	-132.18501	107.55556	201.9	55999	874.1476	237.06572	1432.9486	-434.46405	-905.7222	1831.1846	318.08210849761963
15	66.97671	80.922905	302.16083	-61.156937	105.62703	69.95493	207.12407	13.774909	110.45946	201.8	59999	945.92017	261.89664	1536.5688	-543.91736	-979.47955	2192.299	341.4869644641876
16	161.22102	118.21217	457.5471	13.62059	107.65538	56.988247	233.22202	58.556973	165.875	93.2	63999	1009.2671	276.1583	1564.393	-817.45245	-1042.0775	2385.93	364.09421157836914
17	169.95175	89.884674	314.70303	-11.935483	175.06584	74.126045	294.27927	17.841839	178.0	150.6	67999	1051.5328	285.6149	1617.8932	-653.4028	-1084.5084	2333.437	387.1391429901123
18	47.337894	129.7613	375.88284	-106.46483	39.872566	54.55963	183.45787	5.760865	161.8	48.7	71999	1079.8254	292.8763	1614.9121	-594.6321	-1112.9264	2427.795	409.15488266944885
19	128.71481	107.816696	369.80472	-40.85618	89.77692	82.650246	317.0612	26.253418	145.5	122.5	75999	1115.7847	307.72293	1656.4625	-844.8332	-1149.7485	2514.9883	431.64621663093567
20	70.23317	101.16086	335.97928	-6.274966	119.5443	87.997856	259.53796	-99.98542	91.53658	136.5	79999	1143.2902	321.04797	1735.4285	-637.58813	-1176.409	2676.8196	455.1683294773102
21	105.05832	120.391106	356.80307	-190.28413	84.64297	121.53572	416.89563	-31.785772	179.125	181.1	83999	1149.0999	313.96155	1730.093	-781.0462	-1180.5295	2895.257	478.9401853084564
22	22.426285	79.64108	197.55594	-122.76801	88.58622	76.17815	282.7509	-1.5815722	138.03448	117.3	87999	1140.4119	317.98148	1735.9624	-614.34717	-1170.1233	2700.713	501.99040603637695
23	105.3124	123.556404	366.0804	-59.985966	87.07997	135.1703	408.29034	-92.96289	138.78572	196.8	91999	1127.7943	320.77716	1692.4135	-591.7646	-1157.035	2813.8694	526.1994922161102
24	109.80846	116.57483	308.24658	-149.18181	202.65366	131.73203	460.96103	12.867389	161.76	153.4	95999	1111.2407	320.6381	1673.4563	-817.0921	-1139.2693	2641.18	550.1459550857544
