Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-180.5633	459.5303	-8.60347	-2386.1616	76.18367	0.036482606	0.52861506	1.480416	-1.6316985	4000	1.6593933e-07	29114.115	-0.06877646	-3777.8691	7.3133345	0.015781486	0.29625	25.0	6.948307275772095
1	-185.39333	495.60834	-17.475657	-2279.2244	81.21622	-13.568935	0.61847997	-8.641461	-14.200727	8000	0.0	28820.756	-0.056157075	-2228.5566	7.272656	0.015724652	0.22375	21.0	12.999967813491821
2	-272.93326	581.03424	-13.501826	-2345.0962	117.89286	-21.217228	0.10730284	-19.788	-21.27485	12000	-5.0544738e-08	27512.717	-0.022206964	-1691.791	7.2896934	0.018771453	0.23575	7.0	18.869635820388794
3	-162.46425	417.61972	-17.852802	-2181.4006	75.28571	-27.221746	0.09621059	-25.785254	-27.257002	16000	0.0	16753.486	-0.06490814	-867.92676	7.2734556	0.015662547	0.2625	29.0	24.94559645652771
4	-182.17772	437.7626	-17.906334	-2127.0325	84.97561	-31.62318	0.065198846	-30.554636	-31.643305	20000	-2.3841858e-08	16828.492	-0.019083655	-911.1592	7.257999	0.016003646	0.216	6.0	30.617265462875366
5	-193.06909	451.7625	-20.972015	-2097.8044	93.189186	-36.12175	0.05528336	-35.08571	-36.135635	24000	1.13487246e-07	16173.991	-0.020766638	-906.44727	7.2042484	0.017054848	0.22625	6.0	36.39146304130554
6	-161.9854	398.16354	-11.432485	-2111.3977	83.25	-40.682	0.05371481	-39.9057	-40.69625	28000	5.7220458e-08	11819.137	-0.04385957	-553.63086	7.1906166	0.0151411705	0.1765	16.0	42.51802086830139
7	-174.79167	433.52112	-18.001558	-2043.9628	86.947365	-44.380287	0.046946358	-43.51509	-44.391235	32000	7.2479246e-08	13540.344	-0.018505894	-753.5615	7.181331	0.020952135	0.254	5.0	48.34726405143738
8	-187.42966	424.2477	-19.403042	-1871.5173	99.20588	-48.668453	0.040047657	-47.866135	-48.677402	36000	8.34465e-08	10676.274	-0.01803798	-605.39746	7.1306243	0.018679056	0.21325	6.0	54.370224475860596
9	-112.87933	254.04317	-15.179585	-1876.7634	61.339622	-52.633724	0.046419885	-51.843197	-52.643402	40000	0.0	7791.358	-0.06695914	-271.1621	7.1927905	0.01585671	0.26475	31.0	60.45739150047302
10	-128.2082	331.2946	2.7493753	-1856.2532	68.25926	-55.408127	0.042529486	-54.76584	-55.416683	44000	-1.1444092e-08	8063.125	-0.018957626	-315.39258	7.123704	0.017104758	0.22075	6.0	66.76162934303284
11	-101.941345	202.48729	-10.637542	-1725.619	54.71233	-58.37602	0.048792284	-57.62335	-58.38577	48000	-1.859665e-08	4054.5405	-0.07524057	-44.76123	7.0844207	0.0149844885	0.314	41.0	72.75787544250488
12	-190.42235	431.53836	-16.083498	-1817.0441	105.76667	-59.6504	0.031751234	-58.949127	-59.657406	52000	5.0544738e-08	8110.6934	-0.054960355	-478.71484	7.0379066	0.015167479	0.23075	21.0	78.83914494514465
13	-281.5227	549.9722	-18.089703	-1774.5374	158.8	-63.359226	0.026814785	-62.806606	-63.365417	56000	-1.9073487e-09	8549.103	-0.023343857	-547.0845	7.0329413	0.017065212	0.259	7.0	84.72505021095276
