Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	107.879234	30.70008	220.34076	76.348434	22.116667	0.05850998	0.8151087	2.6984627	-2.4335248	4000	1.4305114e-08	4299.4556	-0.0656025	-1519.4277	15.578533	0.03817831	0.387	2.0	8.83691930770874
1	109.96866	33.808834	241.50987	71.79173	22.548023	15.788027	0.7896408	15.923349	-12.18962	8000	-1.9073486e-08	3026.087	-0.055376578	-465.90332	15.624404	0.032040145	0.373	3.0	15.217926502227783
2	109.65472	33.876198	224.62642	76.55057	22.466291	21.741404	0.38104218	21.777966	5.6620398	12000	4.5776368e-08	2545.8684	-0.046670906	-334.5974	15.623999	0.028751181	0.3235	3.0	21.630969285964966
3	107.69313	30.976822	212.7946	71.9817	22.022099	26.705347	0.5945031	26.74497	-0.45589876	16000	4.005432e-08	2036.1396	-0.047505945	-239.53027	15.534059	0.027485447	0.36775	4.0	27.993536472320557
4	113.71238	35.265495	308.3269	76.39017	23.269007	30.950542	1.0078584	31.03751	-1.2845538	20000	-3.242493e-08	2169.3164	-0.047988996	-232.27393	15.713821	0.02860319	0.36275	4.0	34.19817304611206
5	121.75006	39.38633	256.7994	76.390434	24.73292	35.09979	1.9458025	35.317116	-15.269926	24000	3.8146972e-08	2362.6062	-0.039003216	-250.89575	15.656703	0.024722511	0.26325	3.0	40.51519751548767
6	119.47679	38.55821	259.14276	76.5051	24.337423	39.23659	3.2093675	39.765755	-11.517702	28000	4.1007997e-08	2055.6262	-0.044073362	-240.18689	15.56416	0.030948026	0.38525	4.0	46.80858373641968
7	119.356766	35.883606	248.26181	76.414085	24.337423	41.457924	6.8350096	43.765755	-26.694855	32000	-6.866455e-08	1765.5935	-0.043346222	-334.2854	15.655948	0.02249033	0.29025	4.0	52.98470973968506
8	121.24045	41.20936	315.86957	72.14011	24.592592	40.748985	11.781426	47.737602	-7.209304	36000	-8.4877016e-08	1710.906	-0.041046727	-248.05505	15.654663	0.024809247	0.31775	4.0	59.35992455482483
9	129.4271	40.608	271.48825	76.245636	26.39735	43.336906	14.14145	51.999657	-8.578854	40000	2.8610229e-08	1647.4468	-0.04623113	-249.57361	15.81658	0.025699561	0.32725	4.0	65.57315826416016
10	124.963776	38.32696	249.25204	76.39775	25.6	45.80078	16.022474	56.29173	-22.010284	44000	1.525879e-08	1280.8579	-0.042947236	-202.1648	15.609948	0.030822335	0.32375	4.0	73.27149271965027
11	124.41588	38.223324	288.6991	76.527756	25.4586	48.173405	17.517365	60.016155	-17.390537	48000	-7.629395e-09	1134.9817	-0.040531587	-188.19727	15.570037	0.029056557	0.312	4.0	79.45927906036377
12	128.68115	40.278545	261.479	76.458015	26.217106	49.696156	19.149153	63.3798	-19.092447	52000	-2.8610229e-08	1155.5342	-0.050772153	-203.99017	15.706802	0.03067968	0.39675	5.0	85.63216352462769
13	140.80069	44.809525	285.25473	76.435776	28.647482	52.33147	19.753891	66.780334	-4.000229	56000	9.8228455e-08	1418.0317	-0.0500908	-248.73755	15.63959	0.026430953	0.38275	5.0	91.92047595977783
14	141.81946	43.380276	277.75507	76.64865	28.905798	55.939377	21.13993	70.72881	-15.435099	60000	2.4795533e-08	1267.2487	-0.047836926	-240.7804	15.540126	0.027723912	0.32375	4.0	98.28387188911438
15	138.78194	45.831413	278.55148	76.31863	28.333334	56.69781	23.710556	74.37946	-11.089087	64000	-8.392334e-08	1151.7261	-0.042171	-219.05493	15.70101	0.028961547	0.35425	4.0	104.49851560592651
