Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	6.5226426	3.0394952	10.387585	2.040018	1000.0	-0.009509376	0.42810625	1.0676792	-1.1681533	4000	-4.768372e-10	7.0843735	-0.016472977	-1.3815355	1.857413	0.011930459	0.127	79.0	5.542056083679199
1	15.399947	6.0009775	24.010267	8.526914	1000.0	0.94591296	0.6131537	2.7055933	-0.92883164	8000	5.722046e-09	22.209133	-0.009607573	-10.97349	1.8328031	0.022436135	0.231	4.0	10.169614791870117
2	11.930518	11.17449	25.146795	-2.7125573	1000.0	1.0704219	5.003163	7.308486	-6.8780923	12000	-6.6757204e-09	58.358063	-0.0056083775	-31.92216	1.8204262	0.034850057	0.418	3.0	14.913939714431763
3	20.240997	6.4731255	27.324102	11.206749	1000.0	0.031985458	1.4950027	6.914529	-2.2310839	16000	2.2888184e-08	10.9735	-0.0033763198	-5.7146635	1.8524318	0.03281984	0.4045	2.0	19.750616312026978
4	21.561165	2.4311426	24.758183	19.051813	1000.0	0.53114146	1.9515971	10.197035	-1.390274	20000	1.9073487e-09	4.2352104	0.00025576304	-2.1441967	1.8412659	0.02931406	0.3805	2.0	24.44886589050293
5	20.491352	3.9938524	23.980507	13.777877	1000.0	0.51838887	2.3187435	11.091532	-0.8123542	24000	1.1444092e-08	3.8452067	0.00030749512	-2.0849762	1.8177663	0.019973464	0.34825	3.0	29.222527027130127
6	22.712637	1.3103138	23.672178	20.455532	1000.0	0.5715784	3.175525	15.301851	-0.87996435	28000	0.0	2.950815	-0.0044708746	-1.7185807	1.853653	0.013661108	0.196	5.0	33.88816809654236
7	19.923729	2.9119143	24.185635	16.957792	1000.0	0.37435332	3.1188476	17.15179	-1.0289894	32000	7.629395e-09	1.1350691	-0.0053180424	-0.42298567	1.8438209	0.015041492	0.25025	6.0	38.63591742515564
8	18.001768	4.3404894	25.239098	14.082976	1000.0	0.02758155	3.5533705	17.841164	-1.8803363	36000	9.536743e-09	1.3827693	-0.011846658	-0.5483935	1.8470562	0.005748319	0.11425	79.0	43.57065963745117
9	16.973625	3.1848733	19.558779	11.565003	1000.0	0.23048483	3.818682	19.153004	-1.8163873	40000	7.629395e-09	1.031185	-0.0049119378	-0.34881353	1.8058131	0.015838368	0.23625	4.0	48.28396034240723
10	22.452227	3.7072883	26.708868	17.137627	1000.0	0.7461914	4.0232806	20.411951	-2.1380637	44000	0.0	0.98276234	-0.0039752806	-0.4771477	1.8148595	0.015476827	0.28625	4.0	53.26057720184326
11	32.24543	1.6693592	34.246357	29.610594	1000.0	0.5168382	3.2811086	20.209888	-1.6403824	48000	-2.8610229e-08	1.0753535	-0.0051467745	-0.53894293	1.8132614	0.013469841	0.28575	4.0	57.787262201309204
12	29.271872	7.9112315	37.022976	18.786495	1000.0	2.2749155	3.7034829	21.369225	-1.2096763	52000	-2.6702882e-08	3.6552968	-0.015515991	-2.2407775	1.771821	0.009959923	0.11625	79.0	62.745659828186035
13	35.914314	2.5047307	39.269447	32.278515	1000.0	1.2861601	2.8241315	20.114319	-1.0232316	56000	1.3351441e-08	0.89059705	-0.01383035	-0.23117584	1.7868869	0.01029981	0.087	79.0	67.71127319335938
14	32.530636	5.4521513	36.187546	23.104258	1000.0	0.8982659	3.173461	20.513348	-2.3809168	60000	-7.629395e-09	1.3236753	-0.0140830185	-0.85986376	1.7394694	0.0064298115	0.09925	79.0	72.69426703453064
15	32.38537	7.106989	43.917324	25.302225	1000.0	0.76691014	3.033334	21.269066	-1.4277295	64000	-1.9073486e-08	1.3865426	-0.0071763075	-0.77892864	1.6923043	0.027905254	0.35225	3.0	77.38798356056213
16	35.141678	1.8068461	37.648457	32.802845	1000.0	1.4904902	2.7060854	20.308455	-0.23554438	68000	1.9073487e-09	0.78522325	-0.0038349915	-0.43898675	1.7041069	0.022206204	0.30925	3.0	81.96629500389099
17	35.02144	4.0439343	39.88679	30.424168	1000.0	1.2044924	2.9936929	23.106617	-0.82779324	72000	5.2452087e-09	0.6272619	-0.013863849	-0.13619357	1.7089797	0.0030880107	0.0805	79.0	86.90289998054504
18	34.040833	1.5461628	36.694828	32.927303	1000.0	1.1318184	3.09133	23.117754	-1.45485	76000	-4.7683715e-09	0.6222351	-0.0134125175	-0.33434707	1.744878	0.006871529	0.09425	79.0	91.90865516662598
19	37.01361	1.2042257	38.22204	35.345917	1000.0	0.9978478	3.0993876	23.39042	-0.54194707	80000	-1.0967255e-08	0.3503066	-0.011111987	-0.15619376	1.6838037	0.004777793	0.068	79.0	97.03354811668396
20	34.768265	1.6992371	36.875137	32.495125	1000.0	1.5690988	3.083974	24.114016	0.07134524	84000	-2.193451e-08	0.24269247	-0.007905808	-0.09625144	1.6394894	0.0028785882	0.042	79.0	102.1940176486969
21	34.950813	1.9018174	36.16674	31.65935	1000.0	1.25452	3.1377397	24.04254	-0.37504774	88000	-6.6757204e-09	0.16773197	-0.010191156	-0.023660272	1.6282761	0.006320062	0.05775	79.0	107.24401617050171
22	36.325047	0.9158747	37.832775	35.35881	1000.0	1.1268646	3.1215286	23.913708	-0.20567192	92000	7.629395e-09	0.23397548	-0.002745859	-0.08307606	1.6054806	0.020891747	0.2415	2.0	112.03981804847717
23	39.848618	1.0306786	41.391468	38.580727	1000.0	1.6013234	3.2612948	24.309895	-0.12671328	96000	6.6757204e-09	0.17966169	-0.009691972	-0.04237199	1.5881282	0.006976323	0.059	79.0	116.95884442329407
24	38.66764	1.9854243	40.47199	35.313416	1000.0	1.5215263	3.0350761	24.472685	-0.15118401	100000	-6.6757204e-09	0.21364704	-0.0099910125	-0.029550716	1.6082524	0.010501974	0.08825	79.0	121.82514953613281
25	40.08034	0.9439386	41.389206	38.76222	1000.0	1.3944275	3.0612757	24.518688	-0.08486683	104000	7.629395e-09	0.28212985	-0.008218172	-0.10795124	1.548427	0.005822623	0.054	79.0	126.79177713394165
26	39.860157	1.8120799	41.39163	36.796627	1000.0	1.6933701	3.1645253	25.339128	-0.38690704	108000	1.1444092e-08	0.24535015	-0.007892423	-0.06503169	1.5638521	0.005350093	0.05475	79.0	131.6465926170349
27	39.824856	0.9024798	41.19849	38.9045	1000.0	1.4896913	3.11149	24.973421	0.059400745	112000	1.6212464e-08	0.14703304	-0.010298093	-0.059217438	1.5493288	0.0063855867	0.04325	79.0	136.68437957763672
28	40.08243	0.67617035	41.19209	39.363064	1000.0	1.6419209	3.1504178	25.634377	-0.46871582	116000	0.0	0.14397903	-0.009989662	-0.024544612	1.5214685	0.0054855	0.0685	79.0	141.6695098876953
29	40.51727	1.0252651	41.433228	38.9316	1000.0	1.5489144	3.0910783	25.32392	-0.21949835	120000	3.8146974e-09	0.22055613	-0.010473656	-0.027714059	1.5050627	0.007074354	0.05125	79.0	146.69150590896606
30	39.373886	0.8832191	40.05442	37.860138	1000.0	1.4036671	3.2959988	25.648342	-0.60631585	124000	5.2452087e-09	0.2439432	-0.011244424	-0.10307382	1.501302	0.006090073	0.067	79.0	152.92706561088562
31	40.769325	1.1566567	42.28736	39.320183	1000.0	1.8275491	3.2001514	25.577206	-0.35851356	128000	4.7683715e-09	0.2070466	-0.0041104984	-0.054656625	1.4572816	0.010690439	0.10575	2.0	157.66782689094543
32	41.815193	0.485078	42.627045	41.341034	1000.0	1.6904318	3.161559	25.781017	-0.09825112	132000	-5.722046e-09	0.14074807	-0.010553885	-0.02034679	1.45924	0.008125872	0.047	79.0	162.60750913619995
33	39.679874	1.3798529	41.751884	37.94655	1000.0	1.6806016	3.2406926	25.632792	-0.41558477	136000	-2.2888184e-08	0.24488781	-0.010198302	-0.052313447	1.411659	0.0065574786	0.053	79.0	167.54635047912598
34	39.82623	1.4031414	40.79345	37.41085	1000.0	1.3461643	3.2857952	25.99724	-1.3919163	140000	6.9141386e-09	0.18801391	-0.013672145	-0.03743936	1.4007747	0.009671922	0.078	79.0	172.51118421554565
35	39.4724	0.73377883	40.324806	38.323273	1000.0	1.8291445	3.3482425	26.016804	-0.26054728	144000	-3.194809e-08	0.21634445	-0.012462698	-0.13104033	1.3881773	0.0075531635	0.066	79.0	177.4843397140503
36	40.266617	2.4904933	44.53247	38.50445	1000.0	1.4828564	3.0581717	26.04037	-0.41130066	148000	-3.8146974e-09	0.253234	-0.011567894	-0.04726036	1.4008303	0.009213	0.0675	79.0	182.40587520599365
37	39.151787	3.137373	42.984116	34.35025	1000.0	1.428439	3.1474836	26.016354	-1.2161758	152000	-1.4781952e-08	0.41825232	-0.0102273375	-0.22178978	1.3005474	0.00473501	0.0445	79.0	187.45747542381287
38	38.68171	3.133937	42.688286	35.451405	1000.0	1.3961	3.2926443	26.308083	-1.2629478	156000	1.525879e-08	0.26708564	-0.009829208	-0.037455216	1.358404	0.0063203494	0.0665	79.0	192.42350339889526
39	40.023407	1.7157946	42.91968	38.446934	1000.0	1.3643416	3.1985364	25.861317	-1.2417663	160000	-7.152557e-09	0.12562747	-0.010446387	-0.033742823	1.323337	0.005798308	0.078	79.0	197.4699409008026
40	42.8549	2.0948396	45.71375	40.609287	1000.0	1.6077049	3.3480396	26.530697	-0.7736401	164000	-1.2397766e-08	0.15003231	-0.009512821	-0.051563896	1.2639512	0.003056608	0.071	79.0	203.41915893554688
41	41.086987	2.885144	44.387463	36.45015	1000.0	1.9651595	3.325233	26.808094	-0.24382068	168000	-3.8146974e-09	0.38857526	-0.01145879	-0.16714095	1.2313116	0.010773005	0.0655	79.0	208.33271884918213
