Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-5.4333715	3.1671927	3.6129596	-13.3599415	12.057402	0.36196288	0.6987841	2.1822815	-1.6787143	4000	-9.441376e-08	40.42002	-0.025789639	-33.47338	5.5043516	0.031575732	0.351	2.0	8.435530185699463
1	-3.6242638	3.1041121	12.999406	-11.076169	12.155015	-4.6036935	1.6287829	3.9249923	-8.539063	8000	4.7683715e-09	6.9911923	-0.023059828	-1.8463116	5.5367045	0.03521729	0.38125	3.0	15.768169641494751
2	-1.7532152	3.0618904	14.509635	-9.379504	11.684211	-3.8189085	1.8274996	3.3687148	-7.9154334	12000	-1.1444092e-08	6.594404	-0.032716017	-1.9896283	5.5471435	0.02973978	0.389	3.0	23.09894585609436
3	-0.5318882	3.5747318	11.537956	-10.793468	12.757189	-2.5536537	1.5683448	3.5444703	-6.912913	16000	3.6239623e-08	6.3403273	-0.031311166	-0.7333441	5.5156355	0.03875387	0.39775	3.0	30.424556970596313
4	1.3471731	3.6861053	21.966295	-8.156325	13.341137	-1.8068606	1.5060327	3.4891949	-6.789887	20000	-2.026558e-08	9.650879	-0.025490453	-2.219903	5.5120754	0.03856893	0.398	3.0	37.83826231956482
5	3.5508199	5.352659	36.91261	-3.9646373	15.865079	-0.45820346	1.536219	5.227651	-5.3192525	24000	-2.2888184e-08	19.543222	-0.025023242	-3.5376892	5.507832	0.042424545	0.40625	3.0	45.08737897872925
6	7.6190863	10.616729	90.9359	-33.185287	23.529411	1.1911279	2.383148	8.564661	-6.238517	28000	0.0	95.61241	-0.010574688	-31.404533	5.5054383	0.03085678	0.3215	3.0	52.183786153793335
7	14.058572	13.691181	78.43718	-17.439407	34.198277	2.8409603	6.343488	18.133194	-19.27176	32000	-1.001358e-08	95.31889	-0.00941591	-22.639084	5.5111785	0.022800159	0.32025	5.0	59.522048234939575
8	27.526972	34.909542	210.31287	-16.068771	54.01351	4.8882036	9.217847	22.61276	-22.041317	36000	-8.5830685e-09	450.12442	-0.017322168	-133.07123	5.512686	0.015011993	0.2445	9.0	66.47088170051575
9	37.253525	50.646816	293.167	-37.531036	88.111115	7.2251453	15.549276	35.85031	-33.033665	40000	5.722046e-09	496.66528	-0.05737074	-109.90854	5.4427853	0.015365109	0.2795	65.0	74.2656900882721
10	66.76494	84.73035	333.07544	-23.785416	112.34286	15.45878	20.937159	46.10211	-37.389595	44000	2.8610229e-08	977.18823	-0.046903066	-282.52155	5.4339504	0.015236426	0.228	32.0	82.67744255065918
11	71.45109	77.38792	268.3151	-4.685327	102.38461	24.176905	26.283432	60.476543	-37.358475	48000	-3.051758e-08	832.3395	-0.021433806	-177.18414	5.352352	0.015965993	0.23075	8.0	90.07831048965454
12	94.09162	99.85256	358.1957	-10.455821	110.0	37.32309	27.881495	67.48394	-28.319365	52000	-4.7683715e-09	1281.1652	-0.042022184	-322.9135	5.381792	0.015504821	0.23175	27.0	97.58846044540405
13	107.070145	85.687256	309.639	-24.243479	154.16	28.956652	30.486042	74.2217	-23.806602	56000	9.536743e-09	898.6911	-0.025567587	-249.03247	5.351498	0.015547349	0.1635	13.0	104.98237228393555
14	123.544754	107.13089	342.27087	10.204417	155.36	36.7056	31.61918	76.54575	-26.299414	60000	2.4795533e-08	1016.04315	-0.014577227	-267.7425	5.361702	0.02031256	0.21925	5.0	112.25116610527039
15	151.2062	126.907684	364.7228	-8.073887	193.7	34.135452	36.90769	83.18917	-27.449467	64000	-7.629395e-09	914.0074	-0.04201585	-327.80945	5.3597703	0.015517974	0.235	26.0	118.80986642837524
16	169.86333	134.13544	377.37912	4.0766263	193.0	42.427925	41.590134	93.82518	-28.745832	68000	2.0980835e-08	881.3461	-0.05922991	-299.5323	5.2720833	0.012274089	0.28225	79.0	125.62161564826965
17	144.84633	125.888435	380.87955	5.0383253	175.86363	41.489986	41.471893	101.203575	-30.32262	72000	-9.536743e-09	803.5103	-0.031401917	-243.11798	5.303264	0.015306061	0.19625	16.0	130.9874050617218
18	297.49982	149.55113	702.0257	53.270187	235.29411	69.003	36.31071	104.7153	-27.710386	76000	2.6702882e-08	1297.3015	-0.038588226	-595.39923	5.2552404	0.01588696	0.20125	22.0	136.06421303749084
19	287.43887	176.76326	591.23724	12.648522	245.66667	80.33683	35.598766	108.779366	-29.058475	80000	1.2397766e-08	918.4775	-0.04114168	-269.63995	5.2790174	0.015992207	0.225	25.0	141.08508038520813
20	251.86612	129.88547	466.26303	31.956867	228.41176	71.21094	45.41106	110.37234	-30.56978	84000	-2.0980835e-08	817.32196	-0.044015747	-255.11041	5.278833	0.015720913	0.26925	27.0	147.436532497406
