Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-35.382843	77.901024	56.68399	-350.45273	-20.19196	94.68633	148.71442	-151.67116	126.92	625.0	3999	5.423397	4.746696	36.259235	-8.515278	5.423498	4.744576	35.454384	-9.05782	-3.8423026	2.115374	12.941536	-15.426449	-6.6662917	0.31595805	0.32097656	45.29710555076599
2	-85.29495	115.57973	16.31971	-353.8245	-88.36994	163.17673	-4.608206	-574.0956	229.04762	145.1	7999	25.135197	10.145503	75.62531	-6.3833923	25.135677	10.143095	76.466835	-6.703803	-0.5040268	3.3381047	20.222162	-15.125483	-27.29459	1.3630848	1.379217	91.75305652618408
3	-143.42813	244.9303	-6.109817	-820.9133	-24.932564	24.417837	9.371016	-67.285286	240.0625	69.0	11999	55.94179	11.572782	104.12138	-15.584088	55.94266	11.5675955	107.19145	-19.593388	0.9861132	4.003799	27.641088	-16.623137	-58.391888	3.4823837	3.4986637	141.41605186462402
4	-72.8532	104.41401	1.9571742	-392.34094	234.09537	208.5928	713.4437	-6.343905	193.26315	593.3	15999	61.18463	8.916927	100.981995	-26.26503	61.18543	8.921676	102.48265	-29.664629	-1.5853918	2.7709408	22.823763	-15.330071	-62.184227	3.7268198	3.6637168	208.01922965049744
5	-75.00461	120.50366	18.321527	-318.77716	391.28894	111.98793	549.9957	193.82326	442.5	840.1	19999	54.03504	8.9999695	93.94119	-29.03381	54.035416	9.002184	95.0306	-33.786526	-2.062928	2.4344888	25.329346	-15.504681	-54.851883	2.5999978	2.5480142	283.4121427536011
6	-52.860188	75.48639	16.834856	-216.82188	643.1177	286.49002	900.438	63.10823	448.1	831.4	23999	48.10725	8.963378	85.0835	-30.344666	48.10836	8.963239	87.852516	-24.706367	-2.4036326	2.237602	22.270773	-15.671446	-48.80162	2.1516373	2.1109507	361.00066113471985
7	22.791267	58.12279	121.02597	-123.69439	589.2755	347.6616	884.99347	26.168684	341.84616	723.3	27999	43.50009	8.446241	80.734215	-29.250696	43.50067	8.44721	80.65105	-31.146994	-2.6276097	2.134638	20.927801	-15.617508	-44.14521	1.9131892	1.8820581	436.9688057899475
8	53.76365	53.461617	140.52882	-18.522417	699.9136	45.185196	827.5765	667.70593	487.375	1000.0	31999	40.607334	7.854936	74.4578	-19.938215	40.607994	7.8520136	79.22087	-29.507486	-2.7743518	2.0528324	22.229855	-14.505966	-41.218266	1.8079054	1.8114603	520.4451267719269
9	41.636616	78.7194	200.99446	-101.69527	756.2152	73.58157	874.92426	607.91486	371.4	1000.0	35999	38.83191	7.3157225	70.79955	-22.030527	38.83255	7.3130264	72.88681	-23.372532	-2.8711529	2.007156	25.112272	-15.340871	-39.444595	1.6649832	1.6370472	603.9626581668854
10	140.0546	77.20752	262.55997	8.247084	793.15125	63.33791	866.36053	715.4312	472.75	1000.0	39999	38.466946	7.0076265	72.03738	-24.102848	38.467636	7.0091352	72.46979	-33.287655	-2.8947685	1.9643242	24.133417	-14.9967785	-39.065422	1.6067015	1.5796802	687.1621742248535
11	161.06201	113.364235	312.14624	12.3654	719.6515	114.78813	871.25	482.80124	624.5	1000.0	43999	38.97748	6.645971	69.793625	-21.894493	38.978104	6.647124	72.428665	-29.38569	-2.924165	1.9567333	21.996744	-14.371554	-39.581573	1.4511043	1.422252	770.4859552383423
12	172.49973	145.78848	503.27026	9.763847	772.91705	56.555183	891.7885	698.66187	442.45456	1000.0	47999	40.056145	6.4589915	70.45972	-31.607672	40.056534	6.459413	72.77455	-33.959995	-2.955226	1.9377321	21.018867	-14.7589855	-40.65966	1.4585066	1.449847	853.418182849884
13	125.01092	108.60159	378.77045	12.622776	724.372	234.2903	924.6513	38.421963	345.36365	903.1	51999	41.728256	6.6429257	74.16793	-28.579311	41.72872	6.645497	73.49647	-25.582342	-2.9180946	1.9512213	22.078564	-14.626005	-42.31721	1.5903714	1.5531574	934.1581237316132
14	107.78386	90.98341	305.64713	-5.0852838	782.58563	40.682068	854.85614	731.1362	375.54544	1000.0	55999	43.26003	6.837042	76.108475	-39.66859	43.2605	6.83835	75.28511	-24.761845	-2.8928254	1.9819907	26.75405	-15.1932125	-43.85955	1.5574434	1.5366739	1017.5416045188904
15	130.28972	84.58505	312.15347	30.258406	865.4079	88.456024	1049.1947	724.7684	283.9091	1000.0	59999	45.22367	7.1239567	77.048584	-28.706501	45.223995	7.125127	75.18993	-34.067944	-2.9158044	1.9739003	33.674015	-15.405062	-45.806488	1.6615497	1.6477044	1100.8490436077118
16	225.54155	177.03131	502.52112	6.470723	927.6053	45.2843	1013.53644	863.2755	448.2	1000.0	63999	47.081726	7.4159	77.21563	-28.636768	47.081566	7.414653	78.36833	-33.21709	-2.918298	1.9880732	25.7967	-15.806821	-47.68434	1.5995061	1.5852093	1184.5277450084686
17	182.32478	138.8615	434.00006	19.143223	607.68884	366.42395	999.09436	22.222576	548.25	719.7	67999	49.12137	7.5117507	81.22139	-42.84052	49.1215	7.5106463	78.580734	-24.99695	-2.9062722	2.00261	32.026405	-15.787006	-49.717266	1.5170898	1.5068648	1260.7283554077148
18	144.72835	117.08957	344.12543	28.479666	838.53064	270.0946	1327.1747	359.82596	326.8	852.3	71999	51.12792	7.611226	83.45099	-41.484535	51.12818	7.6120186	84.62047	-39.90366	-2.9205334	2.0512855	29.735575	-15.677388	-51.73296	1.6271597	1.614816	1339.5707786083221
19	163.99312	140.41634	433.59152	19.5605	716.05743	431.7994	1160.3922	9.568909	589.5714	713.7	75999	53.222095	7.634229	87.175934	-33.27446	53.222225	7.6374173	83.732895	-36.35135	-2.9428284	2.047839	28.501572	-15.2272	-53.82633	1.5384288	1.5072274	1415.6490278244019
20	236.02278	132.73431	470.73642	58.683136	852.0509	320.82233	1288.1528	188.32143	645.7143	840.5	79999	55.179955	7.6407766	86.29513	-44.918457	55.180035	7.644354	86.31653	-24.594387	-2.953294	2.0621476	33.497448	-13.610138	-55.78793	1.5353225	1.4986333	1495.2399101257324
21	200.33884	189.45735	668.9576	2.056582	1048.05	423.2304	1451.8745	42.368492	395.5	833.2	83999	56.967194	7.697683	88.090256	-30.194088	56.96709	7.6990786	88.77682	-31.510319	-2.9766934	2.0623155	29.92057	-17.897038	-57.578842	1.5801146	1.5749807	1574.7190227508545
22	274.5043	131.24803	484.1084	119.33283	923.3507	173.15344	1164.6844	546.197	583.1667	935.9	87999	58.851006	7.779199	89.49546	-35.458744	58.85113	7.7817807	90.82264	-36.11623	-2.929655	2.0898113	25.381508	-15.085352	-59.467594	1.6099576	1.5820261	1656.6850848197937
23	241.96248	172.73897	511.0973	38.366177	848.55334	283.9857	1137.9823	235.87418	603.5714	836.0	91999	60.71827	7.750605	91.41484	-29.315691	60.71846	7.755164	92.35229	-47.449287	-2.9297488	2.0988128	36.60253	-14.669871	-61.32875	1.6215152	1.6292716	1736.6318068504333
24	407.71747	288.61166	972.0057	158.74255	840.9377	73.069954	927.84717	734.3729	829.8	950.6	95999	62.370884	7.759896	93.11367	-41.119614	62.370815	7.762067	93.39447	-27.88969	-2.9661043	2.1010013	34.48967	-16.266317	-62.981384	1.5148059	1.4709084	1819.2330658435822
25	331.6908	104.7899	517.21216	211.16745	814.6685	420.88107	1238.4696	122.91295	735.2	671.5	99999	64.118195	7.989767	96.01494	-36.089363	64.11826	7.9914575	96.29922	-44.93334	-2.9279523	2.1309028	40.17891	-14.5337925	-64.73374	1.5590951	1.5421035	1894.0173482894897
26	338.08624	226.26758	748.325	37.702625	733.70325	396.92944	1231.2095	103.06382	694.1667	658.9	103999	65.74846	8.183214	96.53249	-56.430565	65.748726	8.1882515	98.483154	-35.267254	-2.9500332	2.1283429	30.308308	-15.560676	-66.364624	1.6197003	1.5620034	1968.902013540268
