Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-304.7326	84.89762	-191.39133	-430.51685	-600.82874	86.316	-487.23227	-762.7652	1000.0	1000.0	3999	3.6152136	3.7878788	21.755133	-5.8471417	3.6148272	3.7869604	21.788317	-6.0716896	-2.6310854	1.8469962	28.496113	-12.019165	-4.6273427	0.22037305	0.22542293	45.01611685752869
2	-228.92014	18.785973	-201.16656	-251.78676	-253.639	9.15373	-232.53398	-266.88382	1000.0	1000.0	7999	21.321344	9.499232	55.99295	-5.6014485	21.32028	9.499615	57.23686	-4.9198055	0.3197858	3.3438373	24.606688	-13.679859	-23.181767	0.9126612	0.93139875	103.53468561172485
3	-177.8932	115.6617	13.056697	-274.24945	272.09122	92.33052	446.06442	88.642494	1000.0	1000.0	11999	49.578846	10.050213	90.3104	16.78038	49.57896	10.049995	90.887314	17.895636	0.9759694	3.7848542	26.29207	-14.053157	-51.385735	1.4301574	1.43623	164.99325942993164
4	437.90845	355.79147	869.48145	-115.51492	1133.0881	197.44366	1430.4537	796.9461	1000.0	1000.0	15999	55.995056	12.17089	93.05748	23.381853	55.996075	12.168954	91.58192	23.639963	-1.6836703	2.4041603	18.765247	-12.349623	-56.698742	1.0962859	1.0743647	230.83488082885742
5	1310.7205	253.26256	1630.9252	960.65094	2235.122	79.095695	2321.1292	2076.532	1000.0	1000.0	19999	60.388233	15.069123	108.771774	22.390526	60.388546	15.069695	110.50231	23.87245	-1.6274339	2.3676145	16.94574	-13.793502	-60.98107	1.1284152	1.0966891	299.38966846466064
6	1962.3984	189.10672	2146.179	1707.7621	2946.271	121.90444	3105.4446	2783.1133	1000.0	1000.0	23999	70.10117	19.351658	127.95273	24.314054	70.10162	19.352383	128.80142	24.71768	-0.9611037	2.722141	17.980314	-12.82242	-70.72954	1.3810313	1.362905	369.27072930336
7	2651.452	337.35815	3124.905	2203.2175	3384.4136	184.40965	3701.481	3119.9377	1000.0	1000.0	27999	85.35967	25.092577	153.85558	25.8061	85.3596	25.09228	153.1166	25.061779	-0.18571897	3.0465791	22.689787	-13.6695175	-86.06014	1.8408735	1.8436576	439.5716769695282
8	2254.195	1381.1844	3492.97	-86.91987	3635.9304	100.54299	3787.7263	3447.9482	1000.0	1000.0	31999	103.22266	32.650078	184.19284	24.575817	103.22272	32.649803	183.89253	25.636705	0.3655625	3.2691379	23.295134	-16.425856	-103.98723	2.303882	2.3230817	510.23513627052307
9	3104.4775	270.87827	3532.429	2835.303	3574.2954	71.886826	3748.9683	3505.1567	1000.0	1000.0	35999	123.4292	41.178345	212.48282	19.168804	123.42963	41.17614	215.84683	19.922424	0.7888618	3.4462557	23.58657	-13.376173	-124.20386	2.952453	3.001613	580.6289587020874
10	3666.0671	74.965065	3751.831	3548.416	4367.4346	112.48053	4582.925	4123.2295	1000.0	1000.0	39999	145.11905	48.09965	239.80733	15.049572	145.11913	48.09709	239.25095	14.93007	1.1167879	3.4940634	23.803936	-15.582764	-145.84479	3.5234404	3.617838	650.6452934741974
11	3927.2205	98.89788	4091.036	3842.6865	4549.8994	128.2336	4811.4355	4292.861	1000.0	1000.0	43999	167.34625	53.35093	265.99832	13.600477	167.34692	53.348335	264.25998	14.59515	1.5656508	3.6076396	25.447613	-13.849332	-168.04906	3.9293716	4.003206	721.2332103252411
12	4184.0	60.846245	4247.2026	4088.6157	4877.287	116.31974	5021.096	4652.7725	1000.0	1000.0	47999	188.85556	57.9754	289.8754	14.8130665	188.85535	57.973892	290.59222	11.3489485	1.7932497	3.6540282	24.971739	-13.65288	-189.46544	4.1866345	4.2450414	791.8333756923676
13	4340.3584	99.72105	4507.585	4246.5957	5112.7876	88.990005	5278.4395	4939.431	1000.0	1000.0	51999	208.554	62.170868	308.3122	12.440967	208.55412	62.169327	310.01965	10.870622	1.9884008	3.6805496	24.163347	-14.009886	-209.08163	4.30354	4.390416	862.5366373062134
14	4575.308	83.416275	4711.5864	4504.2993	5083.361	81.92165	5240.313	4975.4233	1000.0	1000.0	55999	227.59624	65.640144	334.084	10.178575	227.59668	65.63842	337.09915	6.828594	2.176677	3.736046	29.802105	-13.984539	-228.10362	4.514874	4.597169	932.9102184772491
15	4654.7676	107.39208	4773.3843	4490.8076	5270.749	92.82865	5403.143	5108.976	1000.0	1000.0	59999	245.21588	68.28558	349.25864	12.865787	245.21602	68.28412	350.5807	9.081684	2.4374757	3.823803	40.948277	-14.061956	-245.6653	4.840607	4.868499	1003.8113851547241
16	4942.1924	111.883286	5102.341	4817.956	5489.2627	70.91305	5616.029	5388.013	1000.0	1000.0	63999	261.9668	70.729485	367.70462	11.59462	261.96707	70.72821	367.49255	6.8428473	2.557897	3.8727157	26.46436	-15.242571	-262.36615	4.886199	4.9364142	1074.1840991973877
