Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	124.84424	38.043217	285.2647	83.32736	344.18756	15.088817	370.9348	319.26135	24.807453	77.6	3999	45.46851	26.968796	120.83582	-32.326912	45.467472	26.967127	122.73571	-32.31985	-7.1284723	8.020921	348.29495	-21.002308	-48.344448	3.609723	3.7367594	37.61813282966614
2	118.55947	32.76541	228.72316	78.622795	188.19937	3.3670895	196.26227	184.70514	23.662722	33.4	7999	148.73717	75.52367	343.12296	-46.823746	148.7363	75.53094	349.9016	-53.182533	1.087709	4.4452944	25.186687	-21.57604	-160.46925	14.703334	14.1628065	85.57830905914307
3	166.34499	93.439735	550.7965	83.16221	360.3537	23.128532	396.467	326.2188	33.411766	76.6	11999	330.35406	159.02768	640.98157	-118.19703	330.35077	159.04253	645.42944	-107.9336	6.309873	5.551653	39.533257	-18.914682	-355.59747	89.09542	87.89488	142.39139223098755
4	340.968	62.79132	529.8654	205.90063	463.92056	78.16062	657.2045	390.8276	67.42373	89.8	15999	384.25955	190.8541	674.4135	-284.4399	384.2535	190.89206	688.4346	-273.6204	3.4368374	6.495148	44.084564	-19.29056	-398.04547	153.7704	148.60213	204.0805320739746
5	410.26053	109.86574	827.58655	235.19168	313.29425	19.553972	348.03656	291.88867	83.25	68.6	19999	298.3804	172.12129	595.6795	-149.94266	298.3782	172.1284	597.29034	-119.23718	0.86561406	6.201391	36.21301	-20.569826	-305.93445	99.39478	96.38775	265.60079622268677
6	392.77777	67.48403	539.88477	254.66232	367.71274	72.833725	496.65472	275.97903	79.3	70.0	23999	233.091	140.52763	490.1654	-93.03865	233.09552	140.54204	488.4456	-55.120617	-0.96983886	5.652192	28.765123	-22.579813	-237.62248	62.016632	57.81428	326.9259946346283
7	421.0303	102.80147	756.1777	197.52235	457.3917	76.68248	600.98444	360.40585	86.106384	98.4	27999	190.50572	114.18833	407.4171	-43.085278	190.50793	114.19583	409.81873	-42.934837	-3.195715	4.9717665	26.010563	-22.728271	-193.51984	39.695984	37.90455	389.47771310806274
8	466.73633	94.89704	720.196	305.0091	427.61288	48.66168	512.0384	360.64758	95.833336	87.6	31999	172.163	95.84976	351.10748	-37.776154	172.16457	95.85614	356.37497	-36.673805	-4.3833523	4.361012	25.371449	-21.884333	-174.69255	27.781696	26.686602	451.5368022918701
9	473.66397	98.668625	696.72437	269.82715	610.76074	136.17572	826.0958	448.61017	94.190475	118.6	35999	171.37236	89.25454	315.06903	-36.007095	171.37404	89.258484	318.29297	-37.024345	-5.130882	4.1230364	24.122145	-21.681454	-173.79375	20.934887	20.131369	514.8478326797485
10	502.33368	138.40742	938.43317	314.5124	469.49536	70.97933	613.8431	398.59274	100.975	86.4	39999	177.14708	89.6203	315.80298	-25.442776	177.14934	89.62521	317.83218	-23.181164	-5.4968257	4.102605	22.743992	-22.285086	-179.40222	18.863297	18.080305	576.6764078140259
