Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-42.172615	3.471332	-33.33944	-50.03417	-10.263765	2.4539485	-7.1869116	-16.298143	50.0	50.0	3999	-2.8464916	1.1539028	1.1287031	-8.110803	-2.8477528	1.1529646	0.08949177	-8.134506	-0.35042185	0.8573046	10.929142	-9.368828	2.326597	0.045217264	0.041469555	33.87463068962097
2	-42.784153	4.3025928	-30.447626	-51.89191	-18.834286	12.568527	-5.1591883	-41.179295	50.0	50.0	7999	-5.0674195	1.6988257	0.5808388	-11.816765	-5.067659	1.6990665	1.415222	-11.953161	-0.27053893	0.8741989	4.8737783	-10.103502	4.4828854	0.105962574	0.104932725	81.03999495506287
3	-29.86759	13.183062	-12.747015	-54.3493	-9.48086	2.389488	-6.306951	-14.105988	50.0	50.0	11999	-5.869305	1.9403632	0.9151682	-13.46308	-5.8693175	1.9420143	1.0279458	-13.637239	-0.22664514	0.90266365	6.0594068	-9.932982	5.295615	0.15150943	0.14631009	131.86518549919128
4	-18.209017	3.371375	-13.318553	-31.74389	-9.10957	1.2499502	-7.5745106	-10.928135	50.0	50.0	15999	-6.378025	1.9659363	1.528883	-13.79958	-6.3780355	1.9674206	1.1910012	-13.931901	-0.21900213	0.8969662	8.9767275	-10.222889	5.978717	0.18541627	0.18237756	186.32071781158447
5	-18.890163	3.2453284	-10.767939	-27.299984	-11.720762	1.8593836	-9.493933	-15.704855	50.0	50.0	19999	-7.148107	2.1403015	1.8713253	-16.179632	-7.14834	2.140852	1.4170138	-15.744261	-0.19441098	0.9183737	11.815087	-10.549943	6.8498755	0.23885077	0.23579177	241.13106870651245
6	-19.007807	3.3939312	-12.243525	-25.60563	-9.490453	2.9512622	-6.600592	-16.459278	50.0	50.0	23999	-7.652949	2.3200004	2.4775753	-15.627365	-7.6531806	2.3198268	2.0067465	-16.065165	-0.17016406	0.9194645	9.862824	-11.158705	7.4157248	0.2768641	0.27593896	295.9952356815338
7	-18.763157	3.6237602	-13.548388	-30.134678	-9.1496525	3.9221175	-3.8950644	-19.04188	50.0	50.0	27999	-7.9795127	2.408449	3.7531943	-15.995684	-7.9796095	2.4083548	2.1293945	-15.996727	-0.15480609	0.9401515	10.992849	-11.26372	7.786707	0.31072766	0.3103251	350.90567660331726
8	-20.131277	4.296776	-12.416278	-34.2086	-12.265631	2.055974	-9.129316	-15.589319	50.0	50.0	31999	-8.385829	2.4406424	3.6618752	-16.662085	-8.385768	2.4403024	2.500071	-16.8117	-0.14863917	0.93851453	12.077919	-10.464759	8.226352	0.35206664	0.3511684	405.416836977005
9	-16.93683	3.8848739	-9.764117	-25.722908	-9.190418	2.9518895	-5.580881	-15.572364	50.0	50.0	35999	-8.649209	2.5094259	4.4053454	-17.868631	-8.649641	2.5085015	3.714641	-18.156239	-0.10934976	0.94372946	15.476057	-10.922175	8.511596	0.39598408	0.39514342	460.2078609466553
10	-16.382381	3.5543616	-9.329071	-26.919842	-8.406406	2.092493	-4.7366004	-11.761632	50.0	50.0	39999	-8.9033165	2.5446842	5.0567055	-18.270105	-8.903302	2.5441973	4.2962403	-18.080868	-0.095340185	0.94486135	13.7530155	-10.838616	8.7977915	0.42382765	0.42358357	515.0341725349426
11	-16.451147	4.652017	-9.565713	-30.736359	-10.983393	4.778069	-3.8952506	-19.10776	50.0	50.0	43999	-9.106886	2.664627	6.31722	-18.820122	-9.107126	2.6646693	6.759176	-18.861515	-0.07136916	0.95060766	21.077297	-12.027071	9.01967	0.44801447	0.44498098	569.6725192070007
12	-17.32045	4.8127995	-8.777197	-30.419386	-7.4003425	3.0884323	-3.7505112	-14.007985	50.0	50.0	47999	-9.194844	2.699295	7.3749495	-19.08916	-9.194987	2.6982884	9.613842	-19.612164	-0.07329008	0.9471939	16.520031	-9.323411	9.12459	0.46198148	0.46301994	624.4253761768341
13	-16.285107	5.3521934	-8.954433	-45.711857	-6.650894	2.7503843	-2.6567116	-10.906781	50.0	50.0	51999	-9.302681	2.6920407	5.626311	-19.612352	-9.302922	2.6920776	9.475009	-18.977781	-0.07188735	0.9403213	16.03305	-10.993533	9.243487	0.48472613	0.48075175	679.4056560993195
14	-16.375574	3.5551455	-8.611591	-26.335594	-8.202063	2.8607585	-3.2402818	-12.158468	50.0	50.0	55999	-9.37326	2.705858	4.5289454	-19.093527	-9.37349	2.7059548	3.5904155	-19.23903	-0.055538233	0.9434643	14.645237	-10.549896	9.322442	0.49461573	0.49291408	734.1736726760864
15	-15.661581	3.6023357	-8.7813	-24.773277	-6.387413	1.9060414	-3.9593916	-9.320633	50.0	50.0	59999	-9.350441	2.718284	6.327858	-22.20411	-9.350602	2.7183363	6.1183534	-21.944519	-0.04491235	0.9509384	23.924442	-12.154674	9.303642	0.5003204	0.4992868	788.8306360244751
16	-15.346212	3.4259005	-8.98927	-23.3825	-8.565011	3.786124	-3.4114258	-14.970621	50.0	50.0	63999	-9.267466	2.7380426	5.593871	-22.265793	-9.267553	2.738223	6.0499854	-20.069405	-0.021383237	0.9461042	22.18333	-9.1083355	9.225939	0.49336892	0.49178934	843.873304605484
17	-15.880545	3.749205	-7.7375865	-26.995525	-7.2800813	2.8654115	-2.928259	-13.160238	50.0	50.0	67999	-9.204621	2.748708	6.2743993	-19.505304	-9.204689	2.7489712	8.07944	-24.731386	-0.02124162	0.9496692	20.575577	-10.963552	9.172828	0.48773047	0.48569286	898.6704549789429
18	-15.305511	4.0215774	-8.399747	-24.721226	-8.135728	1.8393646	-5.9367237	-11.401334	50.0	50.0	71999	-9.172052	2.7332377	3.2302818	-20.281015	-9.172332	2.734432	5.612319	-19.811203	-0.019525746	0.94582736	15.251123	-10.359767	9.148118	0.49109417	0.4860751	953.4495983123779
19	-15.542361	4.0581226	-8.886432	-29.043617	-10.733207	5.7544494	-4.8181276	-22.611797	50.0	50.0	75999	-9.140321	2.7625766	3.5418844	-20.563627	-9.14055	2.7648957	6.3110027	-19.41541	-0.018130625	0.9428756	14.631326	-10.987659	9.122786	0.48870617	0.48352808	1008.3918497562408
20	-15.387357	4.528855	-8.200807	-30.956532	-6.7990217	2.2144556	-3.1508746	-10.120634	50.0	50.0	79999	-9.112811	2.748537	6.1568747	-19.78246	-9.11277	2.7509778	8.42437	-19.543797	-0.0044721747	0.9441671	15.232603	-10.780036	9.098698	0.47761676	0.47616833	1063.1646330356598
21	-14.48732	2.8247836	-7.5850596	-20.684525	-5.2365294	1.8540068	-3.38184	-8.930208	50.0	50.0	83999	-9.14258	2.7375987	4.158225	-19.620731	-9.142762	2.7372065	5.2896256	-19.734049	-0.0039500063	0.94551545	14.215423	-10.236402	9.132879	0.49050933	0.48875442	1118.1328740119934
22	-14.792334	2.8688574	-9.487302	-22.941505	-5.1118755	1.7791665	-3.0619051	-8.775603	50.0	50.0	87999	-9.105506	2.7726974	6.05575	-21.620106	-9.10552	2.7730277	5.7949233	-19.70958	0.0025747125	0.9415352	13.826433	-9.830038	9.09704	0.48979357	0.49087927	1173.5314576625824
23	-14.5629	3.190625	-8.445429	-28.39605	-7.797288	2.130398	-3.4404616	-10.759084	50.0	50.0	91999	-9.058612	2.8223577	5.8619833	-20.298231	-9.058843	2.821568	7.9310184	-21.18665	-0.00014232597	0.9417612	14.903473	-10.133832	9.055145	0.48189437	0.4832256	1228.691598892212
24	-14.4841585	3.236589	-9.36067	-27.992662	-6.609844	2.0359335	-3.788194	-10.722616	50.0	50.0	95999	-8.961385	2.7818382	6.3467054	-20.818584	-8.961737	2.781768	4.889084	-20.408932	-0.008103124	0.93809867	14.213514	-9.471872	8.960621	0.47191414	0.47062823	1283.2287924289703
25	-14.635569	2.7655187	-8.966526	-23.948175	-5.167354	1.446575	-3.390212	-8.444661	50.0	50.0	99999	-8.967629	2.7565057	5.029338	-20.962225	-8.96794	2.7561953	5.0137463	-21.042103	-0.013991241	0.9380015	20.28486	-10.105131	8.972809	0.4746765	0.47652477	1338.4541029930115
26	-14.168396	2.6644466	-9.771605	-21.63049	-7.229356	2.5707576	-2.7752175	-11.344302	50.0	50.0	103999	-8.924853	2.7512047	9.054017	-23.994312	-8.924956	2.750567	7.0717635	-23.807287	-0.01122841	0.937905	18.83976	-9.629884	8.931298	0.46991953	0.4718979	1393.6188695430756
27	-13.897769	2.3459017	-8.99728	-19.856762	-5.977465	1.8955793	-3.5928104	-10.279392	50.0	50.0	107999	-8.921414	2.7369623	5.545887	-18.592701	-8.9216	2.7357805	10.306454	-20.46998	-0.010614573	0.93466914	24.157206	-10.476112	8.928806	0.469012	0.47128448	1448.3814010620117
28	-14.053836	2.58358	-8.351036	-20.823294	-5.376541	1.8537391	-2.7979496	-8.187927	50.0	50.0	111999	-8.896866	2.739805	6.377293	-19.752625	-8.89694	2.7389066	11.839917	-18.886147	-0.013492845	0.9339936	13.652243	-10.216428	8.907792	0.46339977	0.46543205	1503.8881142139435
29	-14.297958	2.206432	-8.444957	-20.612528	-6.667887	1.977178	-3.2624054	-8.626057	50.0	50.0	115999	-8.852964	2.7422826	5.518658	-19.829699	-8.853036	2.7424412	12.048566	-20.237131	1.1396847e-05	0.93103933	9.283428	-10.920019	8.865306	0.46606782	0.46643454	1558.981819152832
30	-14.287994	2.3774884	-9.55801	-19.86284	-6.1886625	1.7707039	-3.2358484	-9.987942	50.0	50.0	119999	-8.849818	2.7594628	7.970948	-20.499466	-8.85008	2.759346	10.142129	-21.128548	-0.006999926	0.9330627	11.425219	-11.22828	8.8650055	0.45671898	0.45585215	1613.8940393924713
