Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	-4.84935	2.3353343	-1.5257683	-7.449742	-23.051474	2.4080741	27.976336	20.065792	1000.0	1000.0	3999	5.447078	4.9861803	36.494453	-4.020612	5.4470615	4.9862523	36.592224	-3.836858	0.23750547	1.5037926	5.515206	-13.807065	-6.436899	0.04198809	0.04183611	47.035481214523315
2	-4.415545	10.918119	6.6649437	-15.537859	-23.051474	2.852352	41.125923	32.304344	1000.0	1000.0	7999	22.465702	7.3504286	53.795376	4.116043	22.46561	7.350497	54.139153	3.9857776	0.4026153	1.50811	6.4451723	-14.208105	-23.544664	0.07283798	0.07316722	109.56697869300842
3	14.6471815	11.937615	27.540768	0.77889305	-23.051474	0.8408609	31.365236	28.827934	1000.0	1000.0	11999	38.15166	11.40819	79.27214	11.117954	38.15157	11.40865	78.3852	11.359692	0.34894058	1.5776781	6.6846	-11.762629	-39.199814	0.07494816	0.07594487	174.58124351501465
4	16.260006	13.521868	30.85755	-1.3235962	2.4347541	1.7505397	6.00906	-0.014682186	1000.0	1000.0	15999	52.046886	13.268144	129.70781	14.306925	52.04688	13.268148	129.36653	14.148054	-0.12803029	1.4218175	5.4172173	-10.152429	-52.783092	0.061330665	0.061889008	243.2023687362671
5	13.839138	10.060774	30.76431	4.6285405	12.327733	0.8788291	13.779482	11.079448	1000.0	1000.0	19999	58.284077	16.310987	123.66893	14.777148	58.284103	16.310936	123.46589	14.878096	-0.66807026	1.0872658	4.0480003	-10.264568	-58.655197	0.042646315	0.042636827	312.2974145412445
6	35.623196	4.2393174	39.909264	30.193419	32.14757	1.2746199	34.384388	29.656301	1000.0	1000.0	23999	55.72746	13.613407	102.937416	16.002533	55.727467	13.613353	103.03956	15.719233	-0.84983397	0.9543171	4.4366865	-8.361016	-56.016163	0.03210688	0.032887798	380.4115717411041
7	33.303894	5.155952	39.24698	25.07313	36.403385	1.17104	38.120975	34.372017	1000.0	1000.0	27999	51.710194	11.304303	88.2881	17.20076	51.71022	11.304263	88.22937	17.438368	-0.8705773	0.93658996	4.207473	-8.179447	-52.000935	0.027408788	0.027737468	448.679381608963
8	33.359535	2.3988316	37.28197	30.93029	38.52907	1.3753493	41.257233	36.414803	1000.0	1000.0	31999	47.71845	10.076213	81.77521	18.491676	47.718475	10.07618	81.7797	18.496372	-0.94452804	0.8741599	4.2664413	-10.281197	-47.99774	0.021543931	0.022275353	517.7733688354492
9	34.668613	3.1430063	39.319736	30.806133	36.9746	1.0677513	38.989258	35.37681	1000.0	1000.0	35999	44.085594	9.308486	76.32935	18.754845	44.08561	9.308472	76.54436	18.921597	-1.0047389	0.814401	2.6094441	-9.444397	-44.3487	0.017963523	0.017604344	586.6171069145203
10	33.940643	2.4805028	38.00855	31.724688	37.67301	0.9451939	39.143394	36.010822	1000.0	1000.0	39999	41.074936	8.726267	72.20219	19.374386	41.07496	8.726277	72.56098	19.165071	-1.0264403	0.7921872	2.7431803	-8.415878	-41.338882	0.015675772	0.015210528	654.9452748298645
11	31.534428	3.0940158	36.647438	28.513155	36.784622	1.120067	38.951527	35.326214	1000.0	1000.0	43999	38.69115	8.355091	68.84498	20.020351	38.69116	8.35511	68.79872	19.99775	-1.0372292	0.78792477	2.692771	-8.367972	-38.95492	0.014764759	0.015095084	723.9974567890167
12	31.709448	1.8823394	34.039635	28.787443	39.32658	1.1437759	41.059353	37.443516	1000.0	1000.0	47999	36.771458	8.1638975	67.303795	21.352818	36.771454	8.163906	67.09108	21.452923	-1.0533991	0.7686753	2.8326516	-8.2832775	-37.03312	0.01411582	0.014130824	792.5765538215637
13	30.272747	2.3538663	33.041134	27.69383	38.750275	2.0608833	43.39264	36.270927	1000.0	1000.0	51999	35.1918	8.038411	65.0675	21.905045	35.19179	8.038415	65.20084	21.530483	-1.074423	0.7448157	3.1779957	-7.948966	-35.456036	0.01293561	0.0128083415	862.326459646225
