Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	2.000808	6.512348	34.379517	-9.646779	242.42046	121.0408	460.8397	97.451744	20.37755	238.2	3999	10.643428	9.004297	36.96258	-9.746682	10.643291	9.00512	37.624916	-10.395305	0.3809796	2.9765701	33.046688	-12.699993	-13.16757	0.5707433	0.57266945	39.31783652305603
2	2.4411244	5.58071	28.148903	-8.513005	867.395	183.15002	944.0614	318.91138	20.776041	919.4	7999	43.642784	17.281544	86.58371	-33.373848	43.64171	17.288828	85.87661	-35.32029	2.516129	3.7559967	31.051498	-13.440159	-48.568966	3.5397537	3.4834077	101.45677089691162
3	0.8110219	26.879816	231.25229	-65.1553	107.51599	126.7155	472.37933	14.542689	34.99115	263.6	11999	82.91033	23.316437	133.7136	-52.92764	82.9089	23.320795	134.18451	-50.66191	2.8806863	4.8341284	50.40885	-13.221658	-89.40169	10.048125	10.231033	156.46464204788208
4	105.50843	101.42439	353.34155	-12.572207	356.71698	313.30118	932.5881	8.751019	135.82143	454.7	15999	98.15374	24.83217	155.0507	-54.9135	98.15432	24.816954	157.01117	-50.91709	0.9361364	4.503321	45.612137	-13.590757	-103.03013	13.007668	13.393094	218.4733166694641
5	153.47879	118.46814	341.59543	-33.291996	264.94098	55.23732	340.6561	194.51778	183.30435	229.9	19999	100.46096	26.53213	166.04703	-51.293194	100.45877	26.529146	168.37631	-46.616455	0.6978989	4.174364	50.310463	-13.801218	-104.17642	11.52465	11.717926	276.0482065677643
6	155.70387	96.65645	327.82373	19.515879	260.30396	74.503624	464.1817	208.53737	182.42857	169.0	23999	98.55748	27.896698	173.88364	-210.33553	98.55656	27.895205	172.34282	-141.61072	0.37929884	4.0740848	81.920105	-17.854664	-101.57488	10.827178	10.91833	332.5206241607666
7	165.52182	104.84333	453.5117	-5.620911	298.5721	105.933304	429.95026	115.40966	157.53847	237.9	27999	96.56237	27.85897	188.8714	-55.398937	96.56194	27.8554	185.40157	-63.744427	0.13474798	4.0612035	80.32222	-13.375303	-99.115906	10.640079	10.743214	390.5370845794678
8	203.19101	108.742226	457.79236	14.650742	389.67862	24.36487	446.29657	371.36777	177.0	246.5	31999	94.79689	28.07922	175.94797	-77.78836	94.79771	28.079922	175.72212	-66.51055	0.031217337	4.0216475	66.88011	-13.91288	-96.92694	9.9676285	10.020931	448.3007752895355
9	319.35986	153.74692	753.92145	150.28462	275.27533	11.159235	298.10336	258.34418	256.86667	161.4	35999	94.81841	28.669249	182.88159	-60.715523	94.81791	28.666134	181.60097	-51.51146	0.28551608	3.9779115	57.95369	-16.305502	-96.86337	9.507606	9.516716	504.58662271499634
10	285.5925	138.90005	607.3508	61.81062	239.92648	4.9130917	246.94832	228.94672	241.70589	129.9	39999	97.07312	29.585487	207.74889	-69.27218	97.07421	29.578596	210.99306	-54.27764	0.14060116	3.9580567	52.96441	-13.697449	-98.96927	9.573212	9.537285	560.5084924697876
