Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	118.623566	31.966969	220.10817	78.36666	209.77878	12.92367	223.76314	188.57684	23.621302	46.4	3999	20.973974	10.222056	46.674988	-5.1148596	20.973587	10.2199135	46.436634	-9.012091	-21.608686	3.5842988	22.242051601409912
2	123.22226	35.555	274.15878	83.25375	240.17783	9.439873	252.44823	224.57584	24.588957	49.3	7999	53.078144	20.954012	100.214745	-28.593122	53.078243	20.953962	100.66405	-27.081383	-55.73839	8.875775	52.12102007865906
3	161.01157	67.02082	268.90866	78.36364	235.698	13.213916	254.55869	213.74532	32.30081	48.2	11999	86.95933	37.63157	153.21465	-17.16216	86.95922	37.63023	154.40186	-18.246323	-92.17092	24.622524	86.59095215797424
4	252.17737	10.586756	279.6007	226.48247	241.15515	9.906254	257.88818	224.36476	50.93671	49.5	15999	109.314	48.393555	180.53937	-23.57367	109.31416	48.39573	181.55344	-20.61842	-113.18274	26.852877	125.77379035949707
5	251.24403	11.580779	276.83316	214.3639	241.63419	10.581285	255.01437	216.77528	50.74359	49.4	19999	119.33909	58.69414	213.12135	-22.521845	119.3394	58.694622	217.80594	-27.213713	-123.312515	26.465488	166.11158299446106
6	252.74236	9.783912	272.74927	222.80731	241.39058	9.842365	256.0087	218.42757	50.962025	49.7	23999	122.30526	66.12384	245.02876	-23.4671	122.30573	66.12508	248.72127	-20.5641	-125.77087	29.66323	209.20854830741882
7	252.14159	11.949673	277.4069	216.22768	238.95366	8.328155	247.58876	219.43929	50.83544	49.1	27999	119.85484	68.29916	268.67294	-30.506548	119.85509	68.29836	267.9613	-25.520866	-123.055756	32.662136	254.2580325603485
8	253.89125	10.371349	275.60452	232.52876	240.24948	11.727073	257.98584	221.8109	51.23077	49.0	31999	113.92269	63.86443	268.7686	-27.788857	113.9223	63.866356	282.66617	-26.109938	-116.05979	29.161308	301.2514069080353
9	250.12515	10.866692	271.40527	227.45555	235.6329	12.650155	257.78226	215.42482	50.58228	48.4	35999	109.52625	58.429676	265.46542	-21.325182	109.52604	58.42964	269.528	-20.720724	-111.40777	22.48377	350.2379035949707
10	248.04361	11.979268	269.29156	213.00034	236.21297	11.217321	257.84415	211.74232	50.240505	48.8	39999	108.31084	57.122734	267.52145	-52.863228	108.31084	57.121567	262.77292	-22.096958	-110.108864	18.741245	399.34533977508545
