AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
998.6382	61.315224	24.204819	-288.25168	115.85294	4000	1.6813275814056396
998.6382	124.78753	-6.0191073	-361.83838	235.94118	8000	11.605592489242554
998.6382	90.21102	10.449065	-346.9608	142.08	12000	21.852203607559204
998.6382	116.09509	0.5205143	-379.917	189.39131	16000	32.32653546333313
998.6382	95.13544	32.3298	-318.5107	216.0	20000	42.23860573768616
998.6382	106.15364	-3.6111958	-355.3645	234.52632	24000	43.939356088638306
74.96336	328.68265	899.5938	-336.8602	286.2857	28000	69.59354639053345
679.0101	92.04298	780.30383	534.6392	1000.0	32000	99.27312016487122
613.6188	130.54759	789.42474	423.83704	1000.0	36000	129.17553806304932
455.59775	106.82657	564.3885	278.75793	807.75	40000	158.87851810455322
144.77127	169.32959	416.0432	-73.45904	832.2	44000	181.3582215309143
332.37808	206.20723	573.0484	31.67127	704.5	48000	211.2455861568451
604.9266	51.734787	672.648	527.1924	1000.0	52000	241.1658787727356
453.40186	215.7743	690.71906	187.87877	847.0	56000	271.22128915786743
674.2279	35.86271	714.3223	626.74457	1000.0	60000	301.53981161117554
634.05005	137.61604	766.6195	375.72455	918.0	64000	324.2962577342987
275.04166	225.98991	570.058	-8.751074	623.1667	68000	354.2753643989563
458.45337	259.32162	655.6	13.77824	1000.0	72000	383.83407282829285
182.50006	157.82565	509.71655	46.730373	759.5	76000	413.32707810401917
396.0397	259.18362	626.98755	66.216995	652.2	80000	443.45361042022705
490.9851	148.54872	648.61523	214.72363	866.6	84000	466.00930166244507
524.05585	89.73953	669.46655	435.09897	920.75	88000	496.0750091075897
534.73804	211.65955	736.8762	198.34312	1000.0	92000	526.5683553218842
561.6069	246.65547	745.52155	136.95448	1000.0	96000	556.4955475330353
711.96735	34.356052	751.49164	665.37897	1000.0	100000	586.297922372818
567.29663	279.38287	754.4897	11.331727	805.8	104000	608.9123148918152
457.03064	257.66382	654.8452	3.3905509	741.0	108000	638.5617880821228
693.5097	51.882263	743.43756	606.43506	1000.0	112000	668.6089181900024
555.73206	263.92194	815.04846	145.13194	1000.0	116000	698.5939674377441
245.26408	637.27893	819.3647	-803.0743	1000.0	120000	728.1008086204529
792.561	57.26603	874.5109	732.0364	1000.0	124000	750.5048334598541
778.8059	69.7099	852.8773	687.8854	1000.0	128000	779.6500523090363
856.7715	32.735207	893.5016	805.7722	1000.0	132000	808.8845522403717
880.2565	30.516878	924.5016	847.0156	1000.0	136000	837.9301142692566
756.56213	235.5411	918.09235	291.06607	869.8	140000	865.6566123962402
684.01917	286.56744	870.8475	189.2586	809.75	144000	888.5812935829163
944.75275	73.83254	1043.1987	856.85736	1000.0	148000	918.7999999523163
924.0461	26.990608	946.90643	880.4535	1000.0	152000	948.6350917816162
899.1982	54.080048	975.4794	823.1823	1000.0	156000	978.6900060176849
602.6519	395.41177	969.69904	37.3914	809.6	160000	1007.4422867298126
747.56244	158.55473	896.00433	481.899	1000.0	164000	1029.0069327354431
684.0528	258.71857	959.2549	271.70178	1000.0	168000	1057.5794110298157
854.46716	92.43546	937.543	698.2706	1000.0	172000	1086.3461828231812
812.53284	177.70677	965.1039	509.94006	1000.0	176000	1114.8956575393677
598.792	453.8131	940.23083	-181.19739	955.25	180000	1143.3345289230347
879.80316	85.84798	959.96906	751.1825	1000.0	184000	1164.4903512001038
993.8301	28.714098	1035.9579	955.52045	1000.0	188000	1193.609638929367
