AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
118.30862	31.019398	247.45941	83.27173	23.579882	4000	1.9868988990783691
119.75479	36.472668	304.47174	78.52014	23.839285	8000	4.3214476108551025
120.12758	36.7799	258.05737	78.70367	23.869047	12000	6.736440896987915
123.54203	37.350113	307.7317	78.29708	24.617285	16000	9.072415113449097
122.612686	34.01075	243.25781	78.40326	24.30303	20000	11.428595304489136
118.17696	31.558247	216.04784	78.53512	23.505882	24000	13.398934125900269
146.23253	94.24867	448.18823	66.19983	29.466667	28000	38.22111535072327
166.03835	89.97798	568.1829	66.37371	32.379032	32000	70.9515163898468
200.06828	64.60104	499.71518	106.70565	41.572918	36000	105.16344547271729
219.64487	108.130875	578.3605	91.05893	48.256096	40000	139.6255271434784
330.58734	66.86574	578.1774	177.49864	66.63934	44000	172.81927847862244
345.37442	85.4693	573.12897	221.64299	68.75862	48000	206.96514129638672
269.67355	30.099306	391.87033	222.99307	52.0	52000	240.5958821773529
278.2399	67.420166	775.74	127.1506	51.675323	56000	275.3376431465149
253.93568	29.944918	420.73947	214.90063	47.857143	60000	309.47497057914734
347.1765	31.196106	418.3777	289.4486	70.92857	64000	341.79728960990906
301.171	64.85817	442.23227	209.16422	61.49231	68000	376.0866024494171
327.24448	34.274372	395.69037	234.99525	63.809525	72000	409.8157241344452
314.38895	96.60866	630.4225	112.66775	61.49231	76000	444.50653052330017
208.91783	62.23306	369.46896	87.249985	40.565655	80000	477.4922833442688
238.19432	40.551907	303.17618	87.24622	46.186047	84000	509.96426010131836
230.06358	18.72301	275.2068	191.52148	42.28421	88000	542.9668967723846
253.91515	26.410435	312.04276	202.29288	46.8	92000	576.2170579433441
290.19098	41.65028	395.14606	208.98949	56.40845	96000	610.4168734550476
218.28468	39.370308	331.94263	143.7936	42.08421	100000	642.8811542987823
204.88176	28.159155	299.92276	150.2844	39.94	104000	674.8672225475311
320.62323	83.96556	545.0008	205.82881	67.38333	108000	708.9179630279541
341.1758	77.066666	647.578	236.75214	69.333336	112000	742.6031515598297
367.22528	69.21833	548.6601	261.22034	74.86793	116000	777.8930637836456
308.09674	75.13523	448.26718	155.54388	64.38095	120000	813.6798303127289
261.5299	46.16225	392.8591	159.12093	52.75	124000	847.5370790958405
279.4216	34.724895	380.05	214.48584	56.771427	128000	880.8467049598694
366.77744	63.090374	555.8761	264.4161	72.836365	132000	915.9579739570618
385.2764	89.38487	773.2002	255.5005	78.98039	136000	952.054929971695
383.10043	103.501114	703.94855	229.97458	79.84	140000	986.5767641067505
308.1043	68.39829	531.78156	219.08742	62.5625	144000	1018.8176145553589
263.56204	62.34948	485.47916	125.77802	53.04	148000	1051.4843044281006
191.42355	53.05318	357.44812	93.71667	38.095238	152000	1085.4975888729095
272.85352	91.584694	633.9154	145.82442	55.36111	156000	1119.9803204536438
373.6689	118.6448	739.8852	136.8613	76.96154	160000	1153.8709781169891
369.2247	83.32432	578.1657	232.71217	80.06	164000	1185.5390224456787
348.6685	97.35834	688.19855	209.54178	74.35185	168000	1219.156420469284
304.3374	68.97351	487.43506	169.36143	62.5	172000	1253.8131110668182
327.34842	101.30697	897.28076	175.48485	67.38983	176000	1287.528945684433
344.14868	70.758865	505.1868	196.45781	67.98305	180000	1321.5593883991241
365.04095	96.23483	658.83624	210.24834	75.15094	184000	1355.128019809723
400.1728	107.24174	705.3155	255.58046	85.17021	188000	1390.0737781524658
364.99576	78.91245	624.34845	222.89366	74.12963	192000	1424.522670507431
374.1284	77.959236	597.54297	235.83372	76.28302	196000	1459.1837804317474
361.71512	103.763535	701.8141	233.31682	76.76923	200000	1495.4486076831818
381.69492	122.407234	838.5688	167.95477	79.3	204000	1528.7005059719086
390.32956	105.85395	729.2892	187.89763	80.92	208000	1562.001466035843
