AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
-42.4159	4.172452	-34.647324	-54.066162	50.0	4000	0.4585549831390381
-43.186382	4.1556954	-34.4353	-54.43546	50.0	8000	1.202946424484253
-43.16744	3.7869718	-33.214233	-53.506947	50.0	12000	1.9878909587860107
-42.889885	3.6036077	-35.141354	-50.74012	50.0	16000	2.7531089782714844
-42.093796	3.7384903	-30.520376	-50.782715	50.0	20000	3.5469350814819336
-42.88737	3.6534214	-33.866432	-50.45692	50.0	24000	4.046806573867798
-32.156487	29.993635	-6.5424824	-102.46378	50.0	28000	22.368009567260742
-11.184216	2.1952963	-5.709332	-15.076244	50.0	32000	46.718512535095215
-10.566641	2.3286576	-6.0726357	-16.35348	50.0	36000	71.28700757026672
-10.439459	3.0172615	-5.091251	-17.433205	50.0	40000	96.10237550735474
-10.876658	3.0883436	-6.235478	-18.321478	50.0	44000	120.31127762794495
-10.843427	3.5902302	-6.0655484	-19.248756	50.0	48000	144.52046394348145
-11.099218	3.4135444	-6.069611	-20.28687	50.0	52000	168.6786069869995
-10.301561	2.8688653	-5.994366	-16.301292	50.0	56000	192.76506638526917
-10.094048	2.8769686	-6.0198383	-16.192057	50.0	60000	217.02023005485535
-10.126015	2.6338031	-5.6919093	-15.789916	50.0	64000	240.97622871398926
-9.831884	2.6908011	-6.2695756	-16.447037	50.0	68000	265.3697900772095
-10.665568	2.7308736	-6.6273155	-16.295925	50.0	72000	289.86564588546753
-10.233728	2.5265534	-6.2667794	-15.9554405	50.0	76000	314.3055064678192
-10.43825	2.2078817	-6.5293474	-16.059921	50.0	80000	338.3938419818878
-9.887387	2.459043	-5.310117	-16.60809	50.0	84000	362.61974358558655
-10.468737	2.4808395	-5.418346	-15.783584	50.0	88000	387.3310387134552
-9.806709	2.410988	-6.448901	-15.346186	50.0	92000	411.70369386672974
-9.924124	2.3883832	-6.1123466	-14.862882	50.0	96000	435.8781578540802
-10.552461	2.39004	-6.4451914	-15.779599	50.0	100000	460.66636848449707
-9.713796	2.582793	-6.055434	-15.096653	50.0	104000	484.5630450248718
-10.054675	2.4714403	-6.208314	-15.245511	50.0	108000	509.31956481933594
-10.159886	2.1612682	-6.2138176	-14.877009	50.0	112000	533.800005197525
-10.143616	2.1485136	-6.1206946	-14.733507	50.0	116000	558.19047498703
-10.086495	2.1341991	-6.164063	-14.680682	50.0	120000	583.0661640167236
-9.963034	2.184422	-6.204957	-15.339647	50.0	124000	607.1299862861633
-9.957666	2.3371224	-6.2156796	-15.22884	50.0	128000	631.6488823890686
-9.737194	2.256666	-6.0013113	-15.312736	50.0	132000	656.1571576595306
-10.131277	2.2449164	-6.423703	-14.763473	50.0	136000	680.591169834137
-10.140918	2.2317815	-6.0549283	-15.808255	50.0	140000	705.0992138385773
-9.774036	2.3720713	-6.198271	-16.132421	50.0	144000	729.1406223773956
-10.359385	2.4566865	-5.8786583	-15.127983	50.0	148000	753.7438809871674
-9.956696	2.3324618	-6.325054	-15.707142	50.0	152000	778.4299976825714
-9.644684	2.362233	-5.8738117	-15.022232	50.0	156000	802.8014452457428
-10.544522	2.5928373	-6.5688014	-15.515782	50.0	160000	827.362532377243
-10.033354	2.2056792	-6.0580153	-14.902327	50.0	164000	851.5147609710693
-9.628202	2.0865564	-6.391084	-15.079474	50.0	168000	876.0400519371033
-9.844671	2.3572705	-6.380603	-14.498146	50.0	172000	900.4078516960144
-9.77574	2.3213253	-6.442966	-14.678379	50.0	176000	924.7554616928101
-9.580804	2.1903553	-6.1512723	-15.056794	50.0	180000	949.1575102806091
-9.981601	2.0471375	-6.297769	-14.761363	50.0	184000	973.585736989975
-10.345055	2.2334616	-6.200336	-14.708783	50.0	188000	997.917768239975
-10.674934	2.4132607	-6.559695	-15.090949	50.0	192000	1022.3296911716461
-9.975763	2.289735	-6.3050795	-14.752336	50.0	196000	1046.8651943206787
-9.886183	2.346333	-6.044369	-14.395597	50.0	200000	1071.4543426036835
-10.472441	2.480328	-6.5022836	-15.539485	50.0	204000	1095.4020466804504
-9.96317	2.2361646	-5.7522893	-14.431334	50.0	208000	1120.05641913414
-10.353299	2.063702	-6.5259366	-14.239585	50.0	212000	1144.6382195949554
-9.861448	2.0840428	-5.9029274	-14.081106	50.0	216000	1169.0738158226013
-10.435216	2.2083278	-6.258758	-14.811887	50.0	220000	1193.4700479507446
-10.585642	2.2276592	-6.1932855	-14.837624	50.0	224000	1217.7317712306976
-10.508049	2.1871896	-6.1143565	-14.849705	50.0	228000	1242.1679689884186
-10.176207	2.0041523	-6.0822086	-14.007317	50.0	232000	1266.8337984085083
-9.844537	2.169505	-5.85471	-14.634113	50.0	236000	1291.3288567066193
-10.342023	2.2315404	-6.510607	-13.860563	50.0	240000	1315.9811024665833
-10.600808	2.0280166	-6.5888762	-15.068477	50.0	244000	1340.6200354099274
-9.837898	2.0613708	-6.044121	-15.20112	50.0	248000	1365.1855654716492
-9.857054	2.1748734	-5.90378	-14.426692	50.0	252000	1389.794689655304
-9.961961	1.8745667	-6.18403	-13.936708	50.0	256000	1414.4942035675049
-9.991114	2.2595215	-6.442925	-15.271848	50.0	260000	1438.6272852420807
-9.904439	2.0120833	-6.0672045	-14.742242	50.0	264000	1462.5016355514526
-10.258337	2.3636465	-6.2204785	-15.297855	50.0	268000	1487.1459922790527
-10.317495	1.9666401	-6.6186194	-15.299929	50.0	272000	1511.269427061081
-9.754552	2.225378	-6.3110046	-15.14944	50.0	276000	1535.8637228012085
-10.1881695	2.15298	-6.0005617	-14.869362	50.0	280000	1560.3400495052338
-10.041713	2.016985	-5.9483705	-14.289744	50.0	284000	1584.3725209236145
-10.479526	2.3097374	-5.964499	-14.538562	50.0	288000	1608.903968334198
-10.217583	2.0674503	-6.247749	-14.968381	50.0	292000	1633.4680597782135
-10.138233	2.2542229	-6.015656	-14.475823	50.0	296000	1658.141229391098
-10.073318	2.1693335	-6.0289307	-14.253504	50.0	300000	1682.6388835906982
-10.125305	2.1489282	-6.6471186	-14.468323	50.0	304000	1706.8335156440735
-10.345693	2.2131026	-6.353358	-14.867714	50.0	308000	1731.0383281707764
-10.109854	2.1127055	-5.9624114	-14.214882	50.0	312000	1755.3473751544952
-10.739824	2.1612298	-6.3106694	-14.856854	50.0	316000	1780.0853934288025
-10.737513	2.3166807	-5.7795806	-14.924268	50.0	320000	1804.695665359497
-10.451793	2.169707	-6.1347375	-14.761956	50.0	324000	1828.709293603897
-10.339357	1.9858862	-6.3811493	-14.802715	50.0	328000	1853.0875685214996
-10.4410305	2.0787444	-6.524271	-14.970151	50.0	332000	1877.522049665451
-10.083155	2.330711	-6.2281013	-15.189711	50.0	336000	1902.1245741844177
-10.356186	2.2629333	-6.0491257	-14.794684	50.0	340000	1926.5523931980133
-10.442278	2.1476767	-6.1386313	-14.904499	50.0	344000	1950.6150605678558
-10.189242	2.2821965	-6.597376	-15.346705	50.0	348000	1974.8839411735535
-9.960412	2.2611687	-6.0326724	-14.767424	50.0	352000	1999.1042737960815
-10.199716	2.178228	-6.552255	-14.887002	50.0	356000	2023.2422728538513
-10.16395	2.291409	-6.1711364	-14.762052	50.0	360000	2047.4085147380829
-10.105761	2.0592453	-6.3903055	-14.93844	50.0	364000	2071.7012004852295
-10.244866	2.2647347	-6.154407	-15.599838	50.0	368000	2096.016432762146
-10.344095	2.155616	-6.457058	-15.229827	50.0	372000	2120.201020002365
-9.933186	2.1703703	-5.829644	-14.54126	50.0	376000	2144.6185286045074
-10.060587	2.123938	-6.279801	-14.878503	50.0	380000	2169.2198317050934
-10.384546	2.2366462	-5.9219036	-14.642398	50.0	384000	2192.976667165756
-10.462858	2.305985	-6.1648397	-15.124125	50.0	388000	2217.353246450424
-10.224388	2.3916936	-5.9822226	-15.180701	50.0	392000	2241.764848470688
-10.337133	2.459003	-6.21817	-14.886207	50.0	396000	2266.0855934619904
-9.885829	2.331278	-5.7290797	-14.722208	50.0	400000	2290.4831097126007
-10.024992	2.2656474	-6.1815453	-15.038386	50.0	404000	2314.5382301807404
-9.606766	2.460433	-5.9696274	-14.561557	50.0	408000	2338.8997094631195
-10.052785	2.3671424	-6.0486283	-14.740218	50.0	412000	2363.486410856247
-10.013889	2.3670537	-5.6424007	-14.826226	50.0	416000	2388.061869621277
-9.948519	2.4326682	-5.639026	-14.925827	50.0	420000	2412.3917231559753
-9.928827	2.441735	-5.613554	-15.745038	50.0	424000	2436.6820261478424
-9.761775	2.3464415	-5.6728663	-14.495622	50.0	428000	2461.1199448108673
-9.859369	2.220206	-5.882586	-14.577586	50.0	432000	2485.693729162216
-9.81635	2.4725177	-5.406624	-14.549449	50.0	436000	2510.0092356204987
-9.844203	2.4496195	-5.9883885	-14.330711	50.0	440000	2534.436088323593
-9.766724	2.3880494	-5.819411	-14.8318205	50.0	444000	2558.8690237998962
-10.00305	2.2755818	-6.368731	-14.511986	50.0	448000	2583.5171020030975
-10.279448	2.6695435	-5.779103	-14.665613	50.0	452000	2607.7131853103638
-9.82593	2.384878	-5.8497624	-14.481013	50.0	456000	2632.158629179001
-9.98501	2.365995	-5.8196917	-15.203626	50.0	460000	2656.6406695842743
-9.678568	2.3505638	-5.563237	-13.944233	50.0	464000	2681.0217158794403
-10.52295	2.4441655	-5.9178386	-14.663733	50.0	468000	2705.297637462616
-9.603643	2.2088132	-5.553824	-14.879917	50.0	472000	2729.873089313507
-9.616249	2.4077876	-5.7223907	-14.638465	50.0	476000	2754.2879061698914
-9.177604	2.0348818	-5.8578386	-14.883101	50.0	480000	2778.6591761112213
-9.74455	2.2775173	-5.851216	-14.373249	50.0	484000	2802.863361597061
-9.783626	2.4884307	-6.029127	-14.8459	50.0	488000	2827.2842965126038
-9.817852	2.3668594	-5.5051208	-14.2173605	50.0	492000	2851.9583897590637
-9.4338045	2.2923737	-5.748506	-14.183583	50.0	496000	2876.400292158127
-9.754236	2.2110996	-5.751085	-14.992601	50.0	500000	2900.9542167186737
-10.057088	2.4681623	-5.9036436	-14.732876	50.0	504000	2925.0730986595154
-9.970507	2.4813359	-6.254273	-15.304678	50.0	508000	2949.434191465378
-9.688301	2.433272	-5.8640223	-14.3566065	50.0	512000	2973.874895334244
-9.68686	2.207064	-5.933797	-14.374953	50.0	516000	2998.433012485504
-9.522707	2.2860587	-5.914501	-15.301405	50.0	520000	3022.926739215851
-9.978264	2.3001306	-5.934703	-14.595867	50.0	524000	3047.1323397159576
-9.371722	2.3263958	-5.859375	-14.892034	50.0	528000	3071.7233984470367
-10.140276	2.4218764	-5.9177713	-14.687848	50.0	532000	3096.1364979743958
-10.208629	2.6758852	-6.1581135	-15.008965	50.0	536000	3120.639724969864
-10.18436	2.536165	-5.9419155	-14.857446	50.0	540000	3144.9819841384888
-9.778883	2.266623	-5.629697	-14.546592	50.0	544000	3169.312055826187
-9.956233	2.6092048	-6.1004887	-14.797879	50.0	548000	3193.853595495224
-9.619377	2.3711824	-5.669173	-15.282506	50.0	552000	3218.1764476299286
-9.632525	2.3525097	-5.90642	-14.470228	50.0	556000	3242.817820072174
-9.671312	2.5260205	-5.9210267	-14.698345	50.0	560000	3267.0242376327515
-9.664471	2.4236763	-6.0545278	-14.189956	50.0	564000	3291.097529411316
-10.089915	2.3359182	-6.169477	-14.679397	50.0	568000	3315.428090572357
-9.744004	2.6205208	-5.907465	-14.524531	50.0	572000	3339.8276369571686
-9.764569	2.4598038	-5.4638886	-15.0956335	50.0	576000	3364.1643075942993
-9.663367	2.2123563	-5.756923	-14.38322	50.0	580000	3388.7180337905884
-10.017029	2.4382272	-5.9628563	-14.794941	50.0	584000	3412.9860615730286
-9.945168	2.2841074	-6.1305118	-15.052619	50.0	588000	3437.7638342380524
-9.537405	2.2878714	-5.679349	-15.0537815	50.0	592000	3462.3956253528595
-9.912325	2.179293	-5.913174	-14.395993	50.0	596000	3486.9418811798096
-9.657926	2.233028	-5.9421744	-14.520397	50.0	600000	3511.2312972545624
-9.642439	2.2830293	-6.1294985	-14.769993	50.0	604000	3535.5785343647003
-10.550415	2.4806309	-5.825482	-15.072575	50.0	608000	3560.325549840927
-9.633255	2.5654683	-5.943327	-14.94497	50.0	612000	3584.811186313629
-9.844276	2.57892	-5.818505	-15.507913	50.0	616000	3609.626518011093
-9.948693	2.5444849	-6.3711166	-15.100808	50.0	620000	3634.088631629944
-9.755794	2.4701385	-5.5565095	-14.768438	50.0	624000	3658.6484065055847
-9.724836	2.2718067	-5.6835055	-15.355213	50.0	628000	3683.0657217502594
-9.710576	2.3171837	-5.9933443	-15.044699	50.0	632000	3707.5410616397858
-10.1660185	2.5353525	-6.0329366	-15.102982	50.0	636000	3731.944667339325
-9.932455	2.2115273	-6.132093	-14.8941765	50.0	640000	3756.6221947669983
-9.961882	2.2408156	-5.683709	-13.796188	50.0	644000	3780.8817546367645
-9.6781645	2.5420785	-6.1620016	-15.163901	50.0	648000	3805.153078317642
-9.839554	2.5191727	-6.061448	-15.142635	50.0	652000	3829.6861369609833
-9.806089	2.4985087	-6.1243534	-15.516134	50.0	656000	3853.9711492061615
-9.6849	2.4331133	-5.8808484	-15.121548	50.0	660000	3878.819305896759
-10.40886	2.6117015	-5.9112186	-16.012308	50.0	664000	3902.815596818924
-10.630362	2.8197017	-6.1348066	-17.472294	50.0	668000	3927.1732091903687
-11.312418	3.2317708	-6.118411	-17.940147	50.0	672000	3952.1527228355408
-10.718489	3.0346901	-6.446335	-16.606236	50.0	676000	3976.383255958557
-10.442365	2.9036436	-6.1162143	-17.264948	50.0	680000	4000.790384531021
-10.000287	2.7618158	-5.4881454	-16.791214	50.0	684000	4025.3677504062653
-10.300013	2.7767885	-6.3995943	-16.044407	50.0	688000	4049.7079095840454
-10.624491	3.0438416	-6.0617094	-18.254545	50.0	692000	4074.272992372513
-9.903193	2.6567204	-6.096782	-16.056381	50.0	696000	4098.9383454322815
-9.7250805	2.3417277	-6.0994663	-15.70959	50.0	700000	4123.154530286789
-9.992615	2.8272574	-6.2678504	-16.595066	50.0	704000	4147.338265180588
-10.1822405	2.6266098	-5.9480653	-16.101837	50.0	708000	4172.097115039825
-10.084402	2.5569053	-6.078058	-15.5115595	50.0	712000	4196.657195091248
-10.701314	2.6583586	-6.1079025	-17.143185	50.0	716000	4221.271371841431
-10.677635	2.6640127	-5.6187267	-16.771477	50.0	720000	4245.751181602478
-10.678714	3.1981924	-5.9916773	-22.712229	50.0	724000	4270.398388385773
-11.17724	2.677837	-6.455091	-16.919674	50.0	728000	4294.977479696274
-10.117505	2.6703765	-6.486366	-17.690945	50.0	732000	4319.844018697739
-11.350528	3.1304963	-5.9318123	-17.624807	50.0	736000	4344.652262926102
-10.282487	2.5492103	-6.225976	-15.705445	50.0	740000	4369.357889413834
-10.093676	2.500696	-6.052209	-15.662239	50.0	744000	4393.811057567596
-10.621836	2.8060334	-6.025932	-17.053473	50.0	748000	4418.370759963989
-11.087129	4.6895623	-6.2261662	-31.669785	50.0	752000	4442.89004778862
-11.354776	3.1557636	-6.4963393	-17.015575	50.0	756000	4467.652574777603
-10.228083	2.9461772	-6.0756464	-17.551928	50.0	760000	4492.01861000061
-10.862315	3.0546842	-6.1258845	-18.306799	50.0	764000	4516.113797664642
-11.185389	2.9256616	-6.3212667	-17.344326	50.0	768000	4541.1006009578705
-10.845499	3.45314	-6.4544673	-18.382788	50.0	772000	4565.64159989357
-11.081462	3.0284379	-6.639166	-17.35925	50.0	776000	4590.002650499344
-10.619157	3.1472418	-5.9645033	-17.579243	50.0	780000	4614.5055775642395
-10.678063	3.1174066	-5.983123	-17.984703	50.0	784000	4638.7524399757385
-10.376132	2.5885298	-6.631435	-16.714287	50.0	788000	4663.390592575073
-10.614073	2.8706455	-6.3912234	-16.94648	50.0	792000	4687.860637664795
-18.129644	14.0268135	-5.7440825	-51.162506	50.0	796000	4712.719073057175
-10.420583	2.723033	-6.328447	-17.4056	50.0	800000	4737.20187664032
-10.581721	3.0922034	-6.3011293	-16.78243	50.0	804000	4761.704406499863
-10.508656	2.882467	-5.9250865	-16.440758	50.0	808000	4786.455602645874
-11.361002	3.270274	-6.2845964	-17.775053	50.0	812000	4811.256891965866
-10.58806	3.005291	-6.2731805	-17.190384	50.0	816000	4835.4900233745575
-10.723696	3.1000228	-6.2386594	-17.148397	50.0	820000	4859.998675823212
-10.912467	2.968771	-6.3358955	-17.585215	50.0	824000	4884.536669969559
-10.130839	2.8780336	-6.2940454	-17.685595	50.0	828000	4908.985988378525
-10.529238	3.0859034	-6.5272837	-18.322096	50.0	832000	4933.634595870972
-9.904994	2.907291	-6.2811894	-17.218344	50.0	836000	4958.325110435486
-10.5878935	2.455125	-6.1898417	-15.509948	50.0	840000	4982.615950345993
-10.541128	2.7449584	-6.435289	-16.197695	50.0	844000	5006.922324180603
-10.935849	2.3064253	-6.7998943	-16.454824	50.0	848000	5031.5168197155
-10.683138	2.7401896	-6.5963545	-17.300978	50.0	852000	5056.368422746658
-11.1692095	2.8735058	-6.759219	-22.344545	50.0	856000	5080.758227586746
-11.10096	4.758565	-5.773975	-35.128944	50.0	860000	5105.160097837448
-11.100011	3.1004746	-6.259456	-21.783134	50.0	864000	5129.546783208847
-10.217079	2.461358	-6.377211	-15.853533	50.0	868000	5154.074739694595
-10.043741	2.6062837	-6.2300916	-15.617697	50.0	872000	5178.405209779739
-10.831513	2.8190656	-6.025634	-17.276667	50.0	876000	5202.73722743988
-10.535441	2.867106	-6.203036	-16.973478	50.0	880000	5227.39172911644
-9.744368	2.6871035	-5.8520017	-16.113083	50.0	884000	5251.384124040604
-10.27891	2.3572257	-6.117601	-15.986386	50.0	888000	5275.944295167923
-10.68954	2.5728996	-5.797907	-16.59725	50.0	892000	5300.583626747131
-10.447863	2.3637884	-6.650107	-15.310321	50.0	896000	5325.137056350708
-10.430954	2.5022697	-5.8062735	-15.379429	50.0	900000	5349.70605301857
-10.753524	2.468687	-6.531652	-16.058897	50.0	904000	5374.243664741516
-11.317892	2.656312	-6.1476316	-16.189604	50.0	908000	5398.891692399979
-10.523892	2.3786018	-6.5031476	-15.50559	50.0	912000	5423.800842046738
-10.767584	2.2351809	-6.278625	-16.215197	50.0	916000	5448.460702419281
-10.4222	2.469078	-5.9372106	-15.4005	50.0	920000	5472.827441692352
-10.324789	2.6281593	-6.090491	-15.45027	50.0	924000	5497.392658948898
-13.943128	9.303704	-6.32947	-52.044735	50.0	928000	5521.885271549225
-10.9593525	2.1649435	-6.242218	-15.444311	50.0	932000	5546.615700244904
-10.561392	2.3155057	-6.3457665	-15.763785	50.0	936000	5570.960848331451
-10.422833	2.0252724	-6.545192	-15.74002	50.0	940000	5595.787558794022
-10.49951	1.9665109	-6.100997	-15.390106	50.0	944000	5620.210665225983
-10.434979	2.203683	-7.244015	-15.429832	50.0	948000	5644.817992448807
-10.593878	2.0311716	-6.106256	-15.086652	50.0	952000	5669.605222463608
-10.202497	2.4369688	-6.180039	-15.119448	50.0	956000	5694.243492603302
-10.23804	2.4867127	-6.164758	-16.246574	50.0	960000	5718.621623516083
-10.194084	2.4796944	-6.4918904	-16.004398	50.0	964000	5742.954435348511
-10.539899	2.6847537	-5.6557765	-15.941883	50.0	968000	5767.887079954147
-10.78217	2.7738636	-5.8609786	-19.77723	50.0	972000	5792.654465675354
-10.350194	2.450884	-5.965006	-15.008577	50.0	976000	5818.250128746033
-11.357935	4.8174243	-5.998775	-33.648975	50.0	980000	5843.822968482971
-11.175943	2.1477656	-6.695754	-15.235061	50.0	984000	5868.515985012054
-10.422084	2.182935	-6.729148	-15.291659	50.0	988000	5893.17138171196
-10.486026	2.09699	-6.5971236	-15.230231	50.0	992000	5918.176073074341
-10.948343	2.328168	-7.1713777	-15.494979	50.0	996000	5942.261772155762
-10.593377	2.2671595	-5.8516693	-15.164173	50.0	1000000	5965.315810203552
