AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
1.6779411	6.354089	34.003056	-11.225487	20.137056	4000	0.8293716907501221
1.8816223	5.606291	27.357922	-9.939084	21.221052	8000	1.7632546424865723
1.995545	5.586038	30.77193	-9.2823105	20.358974	12000	2.703284502029419
1.9668401	6.871924	49.993465	-8.911461	20.221106	16000	3.639197587966919
3.1604078	6.0786543	36.012367	-7.5837955	21.411764	20000	4.561716794967651
1.9619656	6.25438	40.312534	-9.124802	20.828125	24000	5.397402763366699
32.098427	76.659164	346.62616	-13.809569	51.733334	28000	33.397247552871704
4.04158	53.691616	333.8632	-37.65426	50.5679	32000	62.02912783622742
64.220604	109.00099	433.91934	-14.370893	115.0	36000	89.17429304122925
130.32047	128.08604	533.2746	-71.116905	161.16	40000	114.4735655784607
185.57335	106.87925	446.19193	20.50184	142.21428	44000	139.14450025558472
141.48428	93.77745	309.41263	-100.01425	139.17241	48000	164.2666757106781
137.52316	74.47682	302.39447	-45.669262	126.96774	52000	189.5051624774933
188.74995	79.93889	306.84348	-41.870358	140.3793	56000	215.83031582832336
166.9263	120.647804	395.13797	0.3028447	131.96552	60000	242.10030841827393
233.43135	124.23132	423.72894	4.976659	207.95	64000	267.3914043903351
271.61902	170.72568	681.1451	41.94808	206.36842	68000	294.755886554718
333.533	242.1903	857.96484	-14.30028	249.25	72000	322.818687915802
215.82187	138.76408	438.8135	35.01163	355.27274	76000	349.52384066581726
314.98758	226.88495	805.4679	-8.021448	327.53845	80000	376.98502826690674
293.8825	180.14899	894.8281	113.39308	242.26666	84000	402.60235500335693
250.22876	177.15488	863.7398	48.658466	239.16667	88000	429.10653948783875
191.85794	108.45543	485.3948	-6.3773293	151.6923	92000	456.24628710746765
248.1915	272.03357	1056.2147	-45.26214	274.35715	96000	485.0367715358734
247.61658	224.03561	680.60205	-29.027468	260.125	100000	512.2620527744293
284.02368	289.34424	991.1362	-133.41031	374.0	104000	537.797532081604
209.99225	157.06342	799.6485	-0.9660075	170.43478	108000	565.4921007156372
215.38245	120.41818	747.0458	110.1587	148.40741	112000	591.9293320178986
267.84296	168.70988	651.9517	86.971985	222.94444	116000	618.0085918903351
232.2151	115.05549	497.05594	47.38529	178.86363	120000	644.7887239456177
249.40118	141.46378	564.72833	28.203478	172.09091	124000	670.2377617359161
229.40416	88.90016	454.0477	135.8959	168.45833	128000	695.9646501541138
258.432	146.147	590.76105	84.716385	170.76	132000	722.7446415424347
275.42712	117.75596	532.05725	100.02494	168.13043	136000	749.5641705989838
299.50427	226.29622	884.819	11.709279	217.21053	140000	775.4886426925659
332.95572	273.3907	912.20404	111.28246	325.5	144000	801.2095882892609
353.53342	192.25214	601.5395	61.487453	331.08334	148000	829.4297137260437
200.74452	199.3253	684.3965	-52.333954	237.0	152000	856.872300863266
415.9529	285.52103	914.8409	118.93986	361.36365	156000	883.6407837867737
305.4359	269.4001	979.18677	10.280816	342.0	160000	910.9752953052521
287.48044	125.424065	551.069	128.1219	227.25	164000	936.7822759151459
500.3322	323.22388	963.5573	63.96196	485.4	168000	963.2340199947357
331.15155	190.97821	924.48883	71.125206	205.9	172000	989.9981081485748
249.0089	152.22366	480.24576	-12.460073	189.6842	176000	1016.9518942832947
438.6747	236.42389	955.5261	31.221394	307.08334	180000	1044.2202441692352
376.50104	237.35658	1003.9037	110.46254	224.38095	184000	1069.7138154506683
468.0198	143.74045	688.6993	264.52765	253.58333	188000	1097.0698592662811
418.19376	223.91243	904.34357	14.752607	224.81818	192000	1124.4205775260925
470.13956	255.17764	1285.126	190.30196	241.1875	196000	1150.7048316001892
436.94296	252.5832	951.6594	15.321633	206.85	200000	1177.527647972107
436.5789	285.79037	1082.275	116.25118	197.78947	204000	1202.8384478092194
676.4555	405.94247	1587.6083	23.74998	283.8	208000	1229.6725015640259
581.2914	507.81168	1782.4231	34.104893	259.0	212000	1258.1016421318054
449.33948	360.25513	1465.2633	28.52333	191.19048	216000	1285.9490358829498
430.32608	364.15442	1367.2566	44.979782	189.09525	220000	1314.0994362831116
885.1646	692.1175	2454.8667	122.01067	342.0909	224000	1339.593858242035
836.78406	634.3265	2197.374	169.20772	309.5	228000	1367.526165008545
557.79047	463.90283	1870.448	101.58463	244.0625	232000	1394.6118581295013
630.4006	847.1516	2827.5032	108.83935	284.64285	236000	1422.3941147327423
925.7656	746.8683	2720.765	75.317856	390.0	240000	1451.1859304904938
