AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
-83.34634	125.473236	13.332986	-349.19727	234.58824	4000	1.7525980472564697
-51.799267	87.02515	12.148072	-323.46704	173.31818	8000	13.287026643753052
-51.922485	93.93573	24.20923	-323.30438	146.70833	12000	25.48770236968994
-58.66738	104.37384	70.36322	-364.4815	173.28	16000	39.517473220825195
-126.85615	138.06071	-3.0032375	-370.21774	356.5	20000	54.23541021347046
-50.986904	78.65162	26.56091	-303.9438	159.68	24000	55.95010590553284
365.48395	425.27286	773.8617	-279.93826	1000.0	28000	91.28263139724731
784.4026	63.29047	887.13434	727.9603	1000.0	32000	134.39708709716797
788.2178	57.13073	834.0513	692.91174	1000.0	36000	176.1499810218811
234.89014	223.57089	566.63745	9.55387	539.2857	40000	213.68574452400208
370.12955	118.51844	542.9946	157.20554	693.3333	44000	242.3031439781189
389.63388	163.73193	619.25073	146.19057	720.8	48000	278.9445652961731
434.3396	237.6381	718.37805	15.877101	718.3333	52000	319.80135679244995
639.7103	53.084286	716.86707	568.0341	1000.0	56000	356.830117225647
551.23285	154.83145	766.4369	348.34015	867.5	60000	397.2004816532135
634.6358	292.95224	835.4303	70.19573	821.0	64000	425.47366762161255
686.10626	129.4465	863.14935	511.42075	954.5	68000	465.77275800704956
688.1876	332.53473	863.6801	23.241688	806.4	72000	507.3438820838928
748.68225	204.62941	885.19543	340.99387	871.8	76000	547.4451401233673
700.3382	349.20416	893.3623	2.348337	802.2	80000	587.3256936073303
605.49713	305.2434	864.8665	63.810905	817.2	84000	615.5048718452454
821.90485	38.980938	885.0321	778.8774	1000.0	88000	655.5824058055878
795.0566	81.6525	898.2509	669.5726	1000.0	92000	696.7888300418854
779.6743	51.12832	859.56024	724.73083	1000.0	96000	738.9376068115234
624.42004	266.19357	883.3962	149.03578	831.4	100000	777.7568142414093
504.72733	325.24615	864.39185	23.887484	691.5	104000	805.8576011657715
848.3872	25.559258	868.8009	804.6497	1000.0	108000	842.5029802322388
641.1618	314.05032	874.4584	56.89481	738.6	112000	883.0401122570038
862.6964	27.392782	889.48456	823.1948	1000.0	116000	923.0963771343231
855.94946	10.422721	872.0326	846.39685	1000.0	120000	963.426515340805
