AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
-330.75464	75.43718	-218.60876	-421.6396	1000.0	4000	0.47329092025756836
-342.83615	59.511505	-253.45093	-417.90924	1000.0	8000	6.878233909606934
-285.88638	51.83055	-208.36728	-352.9679	1000.0	12000	13.964994192123413
-309.86316	60.5166	-217.35066	-376.5331	1000.0	16000	21.426034450531006
-243.95697	20.405128	-229.62857	-279.1791	1000.0	20000	28.916244745254517
-332.7777	52.4648	-248.40033	-392.69467	1000.0	24000	29.382694244384766
-391.39905	61.798443	-295.71487	-466.4915	1000.0	28000	59.88203835487366
-430.18198	55.14389	-344.43246	-498.25812	1000.0	32000	100.68585205078125
-324.912	64.99608	-247.35483	-423.98636	1000.0	36000	137.5967824459076
317.9029	637.2897	1078.582	-555.1172	1000.0	40000	174.66831159591675
1872.5181	185.24774	2126.2932	1643.2583	1000.0	44000	202.74381136894226
2033.9891	179.91507	2257.9473	1836.9597	1000.0	48000	239.71393537521362
2485.1833	181.6488	2730.8174	2228.2036	1000.0	52000	276.71167397499084
2684.3643	140.41042	2880.4678	2529.8845	1000.0	56000	313.7108254432678
2515.142	856.96533	3143.276	1038.2098	1000.0	60000	350.7678174972534
3169.6829	141.14641	3397.5461	3010.8733	1000.0	64000	378.77341389656067
2467.2932	1539.9395	3611.827	-182.33432	1000.0	68000	417.03287506103516
3383.456	340.23904	3678.558	2804.8074	1000.0	72000	454.4236173629761
3006.3909	1108.9296	3681.8806	1087.0901	1000.0	76000	491.54835748672485
3718.4167	63.3943	3790.3271	3649.0847	1000.0	80000	528.5696182250977
3718.7722	91.71048	3849.954	3591.072	1000.0	84000	558.3285355567932
3774.438	149.48332	3904.9893	3540.4429	1000.0	88000	595.3267891407013
4045.5059	42.532513	4113.851	4006.2554	1000.0	92000	632.1304960250854
4053.2488	94.80722	4178.5986	3953.8508	1000.0	96000	669.2767565250397
3244.1982	1546.527	4287.149	570.5312	1000.0	100000	706.3901121616364
4317.109	108.08045	4432.7173	4156.948	1000.0	104000	734.2118463516235
4376.698	103.264755	4554.7754	4308.607	1000.0	108000	770.9255628585815
4444.482	60.988316	4518.5835	4351.841	1000.0	112000	807.753091096878
4588.723	123.34546	4730.279	4442.231	1000.0	116000	844.7641708850861
3622.1218	1748.2566	4724.4463	595.6827	1000.0	120000	882.1723167896271
4659.826	35.53983	4713.834	4616.711	1000.0	124000	910.0935122966766
4658.2383	92.063995	4766.098	4551.5	1000.0	128000	947.1967360973358
4748.444	106.59036	4831.312	4569.849	1000.0	132000	984.4661257266998
4854.9463	124.31117	4988.1353	4721.5557	1000.0	136000	1022.8238251209259
4922.666	106.226974	5078.572	4784.3555	1000.0	140000	1061.124187707901
4851.384	109.69864	5024.171	4725.1597	1000.0	144000	1089.1394073963165
5092.956	131.35207	5251.043	4900.7695	1000.0	148000	1126.127684354782
5023.111	80.083466	5094.4165	4898.949	1000.0	152000	1163.5626258850098
5108.217	56.144302	5192.458	5048.5684	1000.0	156000	1200.3682134151459
5220.962	126.16538	5324.655	5008.0156	1000.0	160000	1237.4940087795258
5212.7646	71.529106	5284.054	5109.572	1000.0	164000	1265.5551352500916
3981.9714	2124.6223	5267.16	303.1348	1000.0	168000	1302.6123020648956
5409.7715	78.318794	5537.3643	5335.864	1000.0	172000	1339.7801909446716
5618.4526	73.32403	5723.0625	5519.0366	1000.0	176000	1376.6453771591187
5605.1865	82.64156	5727.081	5493.815	1000.0	180000	1413.3884778022766
5578.92	117.09504	5755.0703	5443.5728	1000.0	184000	1441.353682756424
5714.195	112.89151	5818.338	5540.9854	1000.0	188000	1478.090734243393
5808.909	50.41542	5883.8564	5744.657	1000.0	192000	1514.6245293617249
5641.836	180.83096	5814.3174	5373.4497	1000.0	196000	1551.1671724319458
5800.3774	153.49603	5984.151	5585.166	1000.0	200000	1587.8070964813232
5806.293	131.30627	5903.4087	5582.0034	1000.0	204000	1615.8826909065247
5969.1484	95.87174	6083.662	5818.46	1000.0	208000	1652.298523426056
6008.959	102.00166	6090.526	5834.02	1000.0	212000	1688.647446155548
6121.761	121.13574	6270.4062	5933.5566	1000.0	216000	1725.7183103561401
6194.389	116.73682	6370.1025	6041.5454	1000.0	220000	1762.8564534187317
6266.885	114.20995	6454.0576	6144.2393	1000.0	224000	1791.1104669570923
5001.7964	2062.954	6292.181	1430.3765	1000.0	228000	1828.3323419094086
6350.4834	120.89509	6518.868	6190.3823	1000.0	232000	1865.4301812648773
6249.6973	108.839005	6406.8203	6123.7593	1000.0	236000	1902.3377878665924
6415.872	103.789185	6557.593	6312.1724	1000.0	240000	1939.4961042404175
6412.1777	194.41121	6610.9614	6090.2275	1000.0	244000	1967.7396171092987
6485.3115	198.41855	6799.751	6256.323	1000.0	248000	2006.0842843055725
6564.422	57.748714	6638.5806	6489.1562	1000.0	252000	2043.5481016635895
6518.9243	85.742455	6605.688	6382.9033	1000.0	256000	2081.321449279785
6689.1196	108.189606	6842.5503	6536.638	1000.0	260000	2118.6951179504395
6670.109	160.81013	6838.4634	6405.9937	1000.0	264000	2147.147338628769
6822.3887	214.85913	7086.141	6521.1987	1000.0	268000	2184.6989657878876
6846.6924	202.35902	7069.154	6627.572	1000.0	272000	2222.2643327713013
6862.4893	81.73156	6989.41	6785.0454	1000.0	276000	2259.7730560302734
7048.7666	140.47763	7279.6577	6920.0405	1000.0	280000	2297.1191861629486
6763.226	57.122524	6821.9067	6702.272	1000.0	284000	2326.021423101425
6834.556	89.882835	6955.8564	6716.646	1000.0	288000	2363.320302963257
7056.386	163.63885	7212.4805	6784.268	1000.0	292000	2400.6411764621735
7144.5864	89.160545	7264.73	7013.6504	1000.0	296000	2438.233452320099
6966.8477	111.765076	7141.636	6860.056	1000.0	300000	2475.89394903183
7057.1396	138.0427	7250.4585	6901.8066	1000.0	304000	2504.5448141098022
7110.327	77.65344	7231.9634	7015.664	1000.0	308000	2541.617292165756
7213.212	115.28559	7387.5938	7084.5127	1000.0	312000	2578.387262582779
7348.3125	45.749073	7426.935	7315.7485	1000.0	316000	2615.3993294239044
7328.0303	175.68158	7619.3413	7150.2734	1000.0	320000	2652.2809245586395
7165.409	102.521194	7288.0415	7003.8325	1000.0	324000	2680.2054278850555
7410.326	53.100376	7486.7886	7339.29	1000.0	328000	2717.5777406692505
7396.817	79.22467	7514.729	7318.771	1000.0	332000	2754.874727487564
7410.492	87.111984	7529.04	7282.9795	1000.0	336000	2791.918011188507
7465.6406	171.85603	7712.871	7235.1167	1000.0	340000	2829.0028204917908
7494.267	100.87149	7658.693	7399.1514	1000.0	344000	2857.108072280884
7463.1084	111.02007	7646.3267	7348.509	1000.0	348000	2894.1291620731354
7616.1177	91.64543	7765.286	7536.136	1000.0	352000	2930.699976205826
7614.7295	94.15957	7713.0625	7465.372	1000.0	356000	2967.8820848464966
7546.744	75.1406	7668.9927	7463.9077	1000.0	360000	3004.9272208213806
7750.8496	182.10744	7995.415	7529.2925	1000.0	364000	3033.665602684021
7684.681	62.26786	7760.653	7598.611	1000.0	368000	3070.5202565193176
7799.799	84.965294	7918.403	7678.1255	1000.0	372000	3107.5732288360596
7629.3623	153.16788	7803.99	7385.9224	1000.0	376000	3144.9649229049683
7757.547	37.28838	7819.4707	7725.4614	1000.0	380000	3182.1314396858215
7787.8193	126.49293	7998.283	7661.1	1000.0	384000	3210.6963160037994
7763.8877	106.70212	7885.1865	7593.565	1000.0	388000	3247.613510131836
7949.725	118.62344	8071.198	7760.09	1000.0	392000	3284.224741458893
7871.412	94.071045	7982.746	7742.438	1000.0	396000	3320.954273700714
7878.885	85.75123	8002.4116	7763.7183	1000.0	400000	3357.936167240143
7957.043	136.46507	8191.9424	7858.9688	1000.0	404000	3386.9880363941193
8021.6206	65.97495	8071.6187	7909.867	1000.0	408000	3423.926123380661
7907.3213	101.24496	8030.228	7749.387	1000.0	412000	3461.034339904785
8011.9688	74.09912	8084.3877	7897.653	1000.0	416000	3497.911304950714
7931.0664	114.403625	8089.3257	7770.2256	1000.0	420000	3534.414256334305
8019.0474	154.71738	8281.163	7881.7593	1000.0	424000	3562.4396002292633
8096.3	84.37154	8181.324	7993.575	1000.0	428000	3599.39271235466
8081.3535	109.76447	8233.244	7931.624	1000.0	432000	3637.0091302394867
8138.6855	159.0083	8301.6045	7959.082	1000.0	436000	3674.485621213913
8181.4976	79.08995	8274.085	8096.349	1000.0	440000	3711.435766220093
8267.139	102.19298	8370.588	8101.2188	1000.0	444000	3739.1688318252563
8318.276	91.309364	8439.511	8192.96	1000.0	448000	3776.1360461711884
8045.008	86.42846	8159.4673	7916.5103	1000.0	452000	3813.1319255828857
8323.501	57.326717	8410.059	8253.985	1000.0	456000	3850.073273420334
8246.658	99.01192	8397.651	8121.5806	1000.0	460000	3887.1481335163116
8333.031	91.37824	8475.635	8228.274	1000.0	464000	3915.519426345825
8261.283	129.95648	8439.169	8072.198	1000.0	468000	3952.4609286785126
8379.877	95.23835	8450.476	8215.981	1000.0	472000	3989.3924643993378
8489.44	70.935875	8580.927	8382.13	1000.0	476000	4026.0890204906464
8454.719	113.52922	8635.375	8321.672	1000.0	480000	4062.547611474991
8498.628	200.67255	8746.705	8255.763	1000.0	484000	4090.358772277832
8588.311	87.20616	8717.183	8472.144	1000.0	488000	4127.13822388649
8330.592	49.44026	8376.507	8256.4375	1000.0	492000	4164.072101354599
8527.938	106.687645	8662.023	8365.067	1000.0	496000	4201.130245923996
8574.957	99.39246	8724.842	8476.51	1000.0	500000	4238.200190067291
8634.414	96.214584	8774.94	8519.81	1000.0	504000	4266.704430341721
8590.965	105.66822	8773.325	8515.971	1000.0	508000	4304.018740653992
8618.818	105.42162	8764.902	8511.972	1000.0	512000	4341.541168212891
8732.913	58.54617	8833.194	8685.364	1000.0	516000	4379.5763392448425
8820.463	53.367294	8879.922	8745.729	1000.0	520000	4416.74728345871
8743.188	103.16098	8860.866	8577.46	1000.0	524000	4446.071920633316
8764.746	223.00687	8965.869	8387.02	1000.0	528000	4483.765757322311
8768.226	91.02191	8916.243	8670.748	1000.0	532000	4521.615483283997
8746.49	198.2504	8945.558	8465.922	1000.0	536000	4559.111450433731
8793.723	157.83664	9060.073	8646.964	1000.0	540000	4596.796045541763
8804.076	221.75424	8992.748	8429.104	1000.0	544000	4625.079970598221
9091.924	136.31123	9285.265	8905.918	1000.0	548000	4663.007272720337
8851.922	264.23984	9065.878	8399.307	1000.0	552000	4701.562059164047
9027.863	203.88565	9167.624	8675.675	1000.0	556000	4740.226197719574
8936.74	108.9574	9063.767	8768.071	1000.0	560000	4777.932096242905
8966.242	170.58624	9129.535	8686.874	1000.0	564000	4806.185722827911
9035.412	83.92957	9153.573	8918.076	1000.0	568000	4843.96008515358
8948.945	51.85727	9014.404	8891.109	1000.0	572000	4881.747497081757
9049.975	150.90768	9274.243	8866.899	1000.0	576000	4919.507159948349
9086.195	137.98459	9272.643	8884.937	1000.0	580000	4957.117929458618
9178.7295	100.7547	9278.566	9051.175	1000.0	584000	4985.162694454193
9166.887	30.965544	9210.046	9126.148	1000.0	588000	5023.349097967148
8986.447	126.457596	9108.895	8810.502	1000.0	592000	5061.250435352325
9034.964	112.496445	9152.403	8850.42	1000.0	596000	5098.87982749939
9253.072	108.85794	9441.607	9188.207	1000.0	600000	5136.507854938507
9240.717	132.49403	9385.047	9030.047	1000.0	604000	5164.867958784103
9385.626	112.00935	9574.385	9280.956	1000.0	608000	5203.846452713013
9390.677	60.560463	9441.911	9290.698	1000.0	612000	5241.699525356293
9203.348	130.2355	9352.186	8998.149	1000.0	616000	5280.2033524513245
9203.234	150.4503	9393.693	9008.54	1000.0	620000	5317.845076084137
9289.077	114.42029	9474.801	9175.296	1000.0	624000	5345.765290021896
9396.817	153.98032	9541.329	9153.026	1000.0	628000	5383.288768291473
9278.053	141.66652	9406.548	9054.889	1000.0	632000	5421.221978664398
9336.932	141.32262	9564.197	9196.361	1000.0	636000	5458.865236282349
9381.817	198.74706	9611.057	9140.717	1000.0	640000	5496.712986707687
9471.776	198.65987	9771.29	9217.54	1000.0	644000	5524.875438451767
9462.577	118.27527	9563.841	9260.953	1000.0	648000	5562.793124198914
9130.24	398.8483	9494.241	8458.946	1000.0	652000	5601.079761266708
9408.837	117.54682	9578.825	9252.668	1000.0	656000	5639.056632041931
9511.417	76.919075	9585.812	9392.479	1000.0	660000	5676.77473783493
9458.513	75.48713	9551.56	9343.765	1000.0	664000	5704.5969145298
9362.638	199.67221	9509.328	9018.5	1000.0	668000	5742.350855350494
9501.478	156.35098	9712.406	9291.974	1000.0	672000	5780.126948833466
9421.049	153.28726	9635.045	9273.09	1000.0	676000	5817.81591963768
7563.6567	3415.5923	9605.559	1648.4554	1000.0	680000	5855.6626760959625
