AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
20.41635	19.985638	168.4413	5.5841413	23.75	4000	0.7841715812683105
16.979195	14.504581	124.54555	4.082703	20.859375	8000	1.9744653701782227
18.08966	14.300536	112.100044	4.410066	21.627028	12000	3.249889373779297
17.838459	19.161192	182.15991	5.0102053	21.621622	16000	4.520843029022217
18.44888	19.104345	183.14908	4.112045	22.862068	20000	5.7954466342926025
22.32881	26.3527	192.89688	5.0497575	24.813665	24000	6.592871189117432
30.831173	40.549614	164.13625	-1.6474832	26.858109	28000	29.092926502227783
154.80066	28.35043	201.35869	99.35383	80.38	32000	59.51829123497009
206.2299	11.7639265	229.76869	179.979	95.2619	36000	90.44437074661255
183.33481	9.56829	213.41896	167.42194	88.422226	40000	120.57819247245789
184.34099	8.52802	199.1778	158.75401	90.77273	44000	151.8964614868164
205.48897	44.7154	360.84933	61.381645	104.0	48000	183.5723009109497
258.05548	66.54263	390.31918	52.895573	130.83333	52000	213.8904345035553
383.51505	144.6033	682.32886	59.92817	168.41667	56000	244.4404022693634
334.54446	57.602356	538.40765	251.97379	148.37038	60000	274.65502405166626
246.759	62.643986	330.47882	143.02867	109.5	64000	303.8817825317383
259.0328	22.94297	281.90338	163.20421	116.77143	68000	334.1424751281738
272.64075	19.431875	321.34802	238.31274	115.70588	72000	364.6172502040863
232.69687	11.858239	254.66647	208.62198	107.4054	76000	394.86297130584717
255.50114	69.82932	404.47116	25.640295	111.583336	80000	424.95946192741394
358.30255	40.95472	417.1319	281.29453	140.27586	84000	453.8929297924042
325.8111	46.332626	469.8768	268.173	137.44827	88000	484.4997661113739
355.01254	47.26366	498.75293	267.58005	143.39285	92000	515.8074431419373
375.9017	51.564323	472.43924	268.67828	143.14285	96000	546.3983252048492
374.5511	46.894897	487.36972	299.93393	142.64285	100000	576.7590103149414
357.94302	21.521505	440.61337	326.4219	127.70968	104000	605.9871792793274
365.3651	38.14056	442.34485	299.242	134.66667	108000	636.4283092021942
