AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
122.478836	38.4727	301.52353	78.62072	24.453987	4000	2.05592942237854
123.63044	32.9856	245.05594	78.272354	24.570553	8000	4.39119029045105
119.684975	34.647957	272.6132	78.69649	23.892216	12000	6.665726184844971
127.340004	36.833088	260.39954	78.49103	25.335443	16000	8.983879566192627
121.00452	35.265087	249.09482	78.62244	24.186747	20000	11.281526803970337
123.45442	36.060974	233.4716	78.45747	24.533743	24000	13.369988441467285
199.7087	72.43637	320.79306	78.74986	38.747574	28000	36.7013840675354
121.41085	103.758224	538.2748	75.81852	25.0	32000	68.15415215492249
179.29881	128.34431	415.6559	70.99201	35.55263	36000	101.18817329406738
87.85076	11.857596	129.46365	75.7633	17.737778	40000	131.27480483055115
79.310936	5.9339747	103.66104	75.69489	16.42213	44000	160.9142894744873
93.15596	17.375864	127.85528	76.09446	18.55814	48000	192.2209987640381
112.99637	4.0154004	121.742355	102.527306	21.73913	52000	223.198655128479
109.56612	4.276279	120.95121	101.23334	21.269842	56000	254.2511694431305
117.3483	22.818335	352.41797	101.75334	22.65341	60000	286.8006865978241
195.86731	73.244934	329.5499	75.83477	37.42056	64000	318.3403694629669
252.9242	35.038815	341.73087	164.53087	47.38095	68000	350.3621859550476
256.76764	27.67484	392.8718	207.16129	47.892857	72000	383.2167081832886
363.09433	58.34028	546.8044	279.84256	68.67242	76000	415.38888001441956
344.19794	76.58081	673.1365	199.89865	65.916664	80000	448.1247007846832
325.93024	86.464386	522.14124	125.502174	62.56923	84000	478.8381164073944
398.84183	95.059525	868.31635	276.3399	76.28846	88000	511.27717089653015
401.6729	72.78752	650.10486	291.8651	80.0	92000	543.344135761261
418.7639	71.464264	643.36725	293.4466	85.914894	96000	575.0994172096252
424.9744	101.805466	765.8357	265.41718	86.12766	100000	607.7115018367767
392.90323	102.81073	608.8339	223.17775	81.10204	104000	638.3980855941772
397.7068	113.983	748.5115	271.00146	84.04256	108000	670.2203223705292
464.89294	132.84982	1085.7247	233.00188	95.16279	112000	701.9489693641663
436.46268	104.817	780.80316	269.76172	88.066666	116000	733.0364429950714
487.07745	96.784134	868.92834	320.38116	98.925	120000	764.9082143306732
476.45972	103.07967	771.55536	267.4978	95.61905	124000	795.24565076828
447.57074	75.55179	610.09973	269.69955	90.244446	128000	826.5968606472015
516.77747	123.06671	938.9158	306.76862	102.69231	132000	858.3365824222565
441.84332	99.662224	824.0761	238.90611	87.73333	136000	890.1108021736145
486.20242	80.88276	691.4976	329.18307	95.40476	140000	921.5435748100281
560.6156	129.06487	923.11005	367.69495	114.37143	144000	951.6837842464447
570.31445	165.129	1118.5881	391.76102	113.91428	148000	984.1967012882233
568.0657	125.80699	874.3084	359.6917	111.138885	152000	1015.1573112010956
561.7759	182.18558	1440.465	386.1495	109.297295	156000	1046.397747516632
575.8301	112.731155	926.0678	378.65915	112.42857	160000	1078.5924549102783
536.60254	153.58582	1156.9335	294.07593	107.02631	164000	1109.2551820278168
608.987	195.58571	1304.842	384.5254	124.67742	168000	1141.1754269599915
585.00165	143.40245	1081.8276	425.70956	120.72727	172000	1173.3189334869385
629.4948	109.8401	872.33606	461.707	126.030304	176000	1205.643785238266
630.54297	159.73479	1015.7646	375.00616	125.0	180000	1237.9117722511292
592.43805	189.0159	1033.8616	316.82565	121.21212	184000	1268.2250618934631
571.9825	176.13649	1012.1019	272.43076	117.29412	188000	1300.2309634685516
638.40326	120.795815	966.416	443.98148	132.7	192000	1332.5422990322113
736.36694	156.52078	966.39484	443.5128	145.88889	196000	1364.919584274292
636.39014	219.5679	1369.6384	321.67267	125.78125	200000	1396.8945136070251
666.6316	191.37122	1037.35	384.64066	135.3	204000	1427.0024874210358
635.559	163.12921	966.4399	318.09592	125.03125	208000	1458.8010244369507
643.89417	155.68591	1067.3247	418.46738	127.129036	212000	1493.2440257072449
621.77295	130.55188	997.6855	412.96835	126.3871	216000	1529.4582796096802
692.9344	172.69923	1210.6995	391.60287	139.82759	220000	1562.7962481975555
