AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
11.740553	10.758347	25.487553	-1.6697338	1000.0	4000	0.4452981948852539
3.6029549	10.178206	20.06912	-6.9976153	1000.0	8000	8.04740023612976
2.9578242	9.315874	16.029623	-9.843214	1000.0	12000	15.562664270401001
-4.638468	4.634234	-1.024875	-12.467576	1000.0	16000	23.41256308555603
1.3414836	14.548365	25.767809	-12.619255	1000.0	20000	32.11428999900818
5.4823675	7.803491	15.031481	-5.0914993	1000.0	24000	32.541786432266235
25.56517	16.795418	45.121628	0.78710306	1000.0	28000	64.68953323364258
28.052807	7.337858	36.45352	20.501097	1000.0	32000	103.39946556091309
19.492493	9.19299	29.47777	4.998869	1000.0	36000	141.70526909828186
38.20125	1.5329819	40.12309	35.981453	1000.0	40000	180.11230564117432
38.407192	2.678562	41.24789	34.538692	1000.0	44000	209.39168691635132
39.04791	2.2479997	41.33329	35.655224	1000.0	48000	248.20193481445312
36.139244	2.7217526	38.40447	31.486612	1000.0	52000	286.6369891166687
36.79787	10.489716	52.39129	26.13732	1000.0	56000	324.9857249259949
29.357944	4.3029675	36.383	25.080317	1000.0	60000	363.5863621234894
35.96153	1.291834	37.354958	33.908833	1000.0	64000	392.71344351768494
38.8774	1.5856826	41.241894	37.18602	1000.0	68000	431.55072259902954
31.394283	6.9695287	38.695847	21.40643	1000.0	72000	470.2765009403229
32.937836	7.7575536	43.707054	24.015514	1000.0	76000	508.75658988952637
27.41828	4.815521	33.00286	22.277006	1000.0	80000	546.6325378417969
37.31725	3.1565652	41.849903	32.944378	1000.0	84000	575.7193524837494
34.981873	1.1573331	36.500397	33.584995	1000.0	88000	613.8676505088806
37.368195	2.1343703	40.618046	34.959293	1000.0	92000	651.8798551559448
36.625877	1.1423582	38.524555	35.471134	1000.0	96000	690.8516416549683
35.312172	1.5724083	37.467533	33.025497	1000.0	100000	728.7248184680939
37.752037	1.8150233	40.31942	35.446003	1000.0	104000	757.0729913711548
39.81875	4.8811455	46.293297	33.05091	1000.0	108000	795.194794178009
34.85979	5.6618547	40.817814	25.562523	1000.0	112000	833.7146549224854
34.918213	10.150483	43.66418	18.726406	1000.0	116000	872.3348004817963
38.433228	4.8982363	42.322884	30.086723	1000.0	120000	910.6162545681
34.80051	5.250281	38.86061	25.81145	1000.0	124000	939.1322636604309
38.62797	5.2713	47.225628	34.2232	1000.0	128000	977.2369194030762
39.283794	0.5650196	40.14355	38.77116	1000.0	132000	1019.4502527713776
