AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
-56.358593	109.85722	21.486044	-339.02762	990.4005	2.4877415	994.1438	987.4488	193.40909	1000.0	5000	12.442355871200562
-66.67718	111.876724	32.400234	-390.39417	990.32684	2.4614902	995.4013	986.41125	200.46428	1000.0	10000	24.990291118621826
-50.6666	89.246155	22.426844	-383.66098	991.9619	1.3517839	994.2986	990.4824	142.0	1000.0	15000	37.55759334564209
-59.26144	112.78856	55.617893	-357.3996	991.37415	4.0026956	998.21844	983.24115	190.23334	1000.0	20000	50.14556932449341
-96.46074	142.42873	9.128368	-421.39297	991.50037	2.2479258	995.062	988.5977	311.3125	1000.0	25000	62.99480867385864
364.64728	428.90073	733.65216	-460.7654	647.8968	234.50159	822.70325	24.254929	1000.0	1000.0	30000	111.18467283248901
97.699486	154.33604	264.2074	-175.04639	-59.588837	91.8109	61.849384	-220.065	1000.0	661.1	35000	155.9658646583557
-141.90892	198.46307	9.675398	-549.88403	-184.61569	157.78139	20.589172	-412.3283	411.91666	628.9	40000	199.48279786109924
-74.98868	149.20296	67.82493	-383.1167	143.71646	146.0064	385.6163	-149.33887	391.15384	763.1	45000	245.50795888900757
43.0684	78.59099	254.44765	-85.72139	282.37714	206.17795	597.8361	8.089742	325.85715	669.0	50000	288.65778851509094
240.04984	136.04866	404.12405	49.505066	398.80405	301.6534	733.2389	26.803205	762.1429	656.8	55000	332.03895473480225
103.17303	105.56841	338.95544	4.4329147	120.44961	137.75327	426.39853	-48.61492	338.26666	653.8	60000	375.9645745754242
160.1583	150.67052	421.59634	10.769824	219.17622	275.39536	744.0485	5.083557	463.1	374.1	65000	416.6248016357422
208.40236	198.05711	525.64197	19.136044	287.9912	211.98251	785.4814	18.034964	441.72726	647.3	70000	459.7197425365448
120.22081	127.49481	462.49142	-4.8154893	430.23657	251.96536	846.4411	37.00657	326.0	817.2	75000	506.79475808143616
154.63359	154.08658	423.94693	20.504473	348.34207	311.23227	866.5457	14.239308	455.18182	536.7	80000	549.6154799461365
293.07132	190.92464	546.1225	-12.211631	152.46646	225.45952	616.59515	1.9191902	589.44446	251.8	85000	587.4564082622528
149.02855	170.40161	487.91623	0.030943116	271.24203	260.4571	651.19867	15.581801	367.91666	461.8	90000	631.5352008342743
276.93655	202.60112	494.7379	15.709578	330.4653	312.30954	788.01575	32.572704	604.25	484.2	95000	672.1927027702332
176.02458	200.26804	560.3118	-7.43399	327.68356	269.6201	799.4137	24.463917	343.875	654.7	100000	710.7536864280701
239.35738	228.95082	653.8382	12.031645	381.46164	307.01053	834.1355	-60.17555	442.45456	807.4	105000	1186.0725994110107
306.54224	189.23044	550.937	22.247828	308.2929	264.88644	766.6036	20.924673	633.5714	537.9	110000	1226.850792646408
225.04623	245.68105	617.0732	-1.970663	355.0709	294.4067	815.785	10.200213	412.42856	563.2	115000	1266.8727066516876
268.02753	225.7428	613.08154	7.803295	391.1865	298.61844	792.88916	5.804088	572.625	627.7	120000	1308.3786327838898
194.21927	219.63121	611.40405	8.041461	449.01074	267.5845	815.43	80.800766	331.375	690.0	125000	1350.6644849777222
313.45993	227.8138	628.6221	15.644059	408.13315	315.90018	780.411	5.981754	617.5714	616.6	130000	1392.7516644001007
332.9557	228.94756	602.5637	11.714678	460.2535	287.74686	722.3514	9.612536	591.5	658.8	135000	1435.6523177623749
416.41086	230.12231	687.9091	86.319046	369.7437	280.62244	664.8567	11.186893	675.7143	610.8	140000	1477.360226392746
475.42368	235.12746	647.1555	25.129658	184.46977	230.77472	660.746	24.173151	760.2857	293.3	145000	1514.9536249637604
186.38464	211.6561	614.2854	14.861149	574.96136	344.1163	868.27905	27.26168	293.85715	721.9	150000	1558.2732174396515
281.13983	281.2002	658.94977	-8.119909	392.4773	351.43668	799.37933	-3.3449857	461.25	529.2	155000	1599.3437943458557
194.57626	224.44565	608.2524	5.726132	253.4412	296.4773	772.5695	-5.6958113	331.0	453.5	160000	1639.4080934524536
358.34787	264.59836	668.1513	30.293217	383.48105	305.4514	829.82605	14.932314	584.8889	561.3	165000	1680.560473203659
186.10448	235.42105	665.4321	-2.0308466	300.91064	313.21823	759.26825	7.798026	290.46667	461.2	170000	1724.4569871425629
230.46103	266.7433	653.2021	4.142591	341.08954	325.48755	875.9336	4.6044436	382.33334	510.4	175000	1765.1972949504852
245.4659	259.29904	705.44934	5.877448	367.89258	312.0219	771.0749	24.796835	386.46155	546.4	180000	1806.16051030159
373.37418	263.26578	665.07825	41.80791	167.58096	147.82114	533.3971	24.647245	629.2857	212.4	185000	1842.7968790531158
490.88184	183.41904	667.02216	114.26603	318.46637	299.7599	890.1737	20.205841	850.5	469.8	190000	1881.9868228435516
476.00638	195.1625	712.3265	103.54558	444.27246	294.06088	740.55927	10.172926	894.8333	646.3	195000	1922.935763835907
272.87143	266.92337	687.55743	6.2286077	382.5255	336.82782	844.23114	-4.4786468	503.1	543.6	200000	1960.4836852550507
285.5738	249.1808	711.72266	12.860237	355.86823	304.55344	825.202	5.867015	542.0	553.2	205000	2470.078801870346
326.40756	224.4869	699.71185	34.92	692.03033	71.39332	783.96326	541.71466	570.1	1000.0	210000	2516.4711306095123
375.20108	248.51071	702.44934	71.95984	451.29034	341.34128	967.11206	72.01635	563.6667	549.0	215000	2556.2889523506165
216.29713	264.4047	735.24554	-34.899693	422.556	308.32513	847.7474	45.468204	434.36365	573.1	220000	2597.3018956184387
311.10602	284.19006	711.7991	28.88034	164.8286	349.93695	733.5366	-497.36368	474.6	541.1	225000	2637.7499706745148
210.2254	196.16498	633.4762	14.641486	284.26465	270.04083	737.1374	8.160926	376.83334	456.4	230000	2677.5082359313965
370.96326	256.8097	679.89746	43.73414	406.30334	314.14008	773.36005	-1.3188246	611.55554	624.6	235000	2719.0907537937164
497.1679	233.97342	735.8689	41.624393	194.8783	217.51611	620.611	35.91001	761.8571	274.6	240000	2756.315321445465
159.74883	201.62166	693.81854	4.630464	431.0582	277.3993	818.549	22.84488	272.5	656.1	245000	2798.3851566314697
354.49823	278.56955	696.6865	16.022665	547.5692	344.83725	1043.016	64.16442	547.6	652.7	250000	2839.87060379982
583.48346	240.94835	767.90344	67.8203	321.82455	277.57675	775.9977	55.828724	852.8333	466.3	255000	2881.8382003307343
369.22983	301.96323	790.7248	12.399008	365.26212	298.50604	710.33203	0.34538898	502.33334	541.0	260000	2922.5989723205566
582.18225	67.46224	667.6723	478.5004	556.1855	297.5003	973.8836	142.00748	1000.0	627.6	265000	2964.232764005661
357.68564	290.3872	714.6956	15.552869	381.49664	229.14876	728.17224	50.0354	541.2	645.4	270000	3006.5706169605255
521.34326	219.5654	661.2919	40.630558	417.4935	286.24146	799.3015	20.191397	839.1667	631.9	275000	3048.7970888614655
283.9681	229.99516	626.6024	27.847488	370.57486	251.02768	682.9111	39.005085	469.7	566.7	280000	3089.5922770500183
420.33762	267.88278	737.3731	63.460682	470.4428	272.58997	864.4847	54.946545	573.75	587.2	285000	3130.3055069446564
382.6214	217.32416	673.76917	78.96041	302.78867	278.43533	692.42596	24.721777	674.625	461.7	290000	3168.768414735794
326.372	278.09656	759.6814	2.543209	55.00254	416.0916	685.60706	-663.2091	498.7	521.9	295000	3205.9918892383575
238.18742	231.00488	641.82745	1.2399725	383.4362	296.76343	928.47845	55.678276	385.0	635.6	300000	3243.153505086899
368.54562	226.42734	648.8111	55.79746	493.77167	199.3461	741.07306	161.28293	605.8889	724.6	305000	3747.271973133087
370.41046	226.97958	690.4158	23.876287	244.51077	222.94003	635.8809	1.1402265	557.2222	392.3	310000	3786.0580627918243
305.4364	230.77495	629.91095	17.397924	466.64886	279.46414	905.8605	53.88113	463.55554	651.5	315000	3828.6932895183563
343.3075	220.25284	632.96216	12.295565	467.75278	280.2608	771.31714	54.232216	647.625	608.3	320000	3870.4958662986755
250.7578	258.92752	746.13586	-3.8597898	448.69806	306.8955	928.0007	24.568596	358.0	521.0	325000	3911.263203382492
217.44531	199.57034	552.31116	4.1821785	484.80536	250.67157	978.7185	69.12956	407.0	668.0	330000	3953.567949295044
215.63036	174.09592	519.808	2.123188	566.21814	251.06673	851.52185	10.675091	321.92856	812.9	335000	3997.9782304763794
276.18835	278.19675	846.6444	1.9502463	421.48187	271.0866	973.2258	98.08501	484.72726	666.4	340000	4040.0813341140747
326.11578	239.6817	717.8212	8.345082	516.6462	325.21326	1077.4417	118.9986	606.4286	908.8	345000	4085.175492286682
411.22327	217.97264	701.29456	62.35402	383.9152	298.6034	790.7312	16.140837	654.44446	480.3	350000	4125.5017993450165
344.32874	171.51793	588.96356	46.962177	378.77005	240.54665	749.8575	34.723484	586.125	651.2	355000	4167.8593871593475
262.27814	181.71336	565.0491	48.193836	394.02792	244.0276	742.48505	43.85848	459.72726	632.7	360000	4210.2862200737
351.33255	74.85109	455.80872	269.52756	329.78387	248.79442	816.45935	69.5	757.8333	484.8	365000	4250.780045509338
294.50632	182.78198	522.77356	4.729044	620.61414	243.43585	1103.6438	235.25676	584.55554	829.8	370000	4295.952167272568
335.1007	169.83136	562.17255	28.498356	427.51923	277.70874	839.9739	21.472883	681.125	597.6	375000	4337.944360733032
557.04034	274.72733	753.58386	35.08706	510.60284	224.17865	858.0775	11.086981	811.0	689.7	380000	4379.460259437561
