AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
-279.4062	32.928314	-223.12625	-318.67108	-0.40633827	0.65536183	0.7093708	-1.2348722	1000.0	1000.0	5000	9.23489785194397
-298.02414	37.6859	-225.3488	-329.5144	-0.37248975	0.5796291	0.72064453	-1.1672221	1000.0	1000.0	10000	18.4982590675354
-319.69775	41.147766	-252.81549	-380.21536	-0.6522068	0.7895504	0.7985314	-1.7366117	1000.0	1000.0	15000	27.655584812164307
-312.3119	99.453224	-198.75836	-456.5758	-0.19828391	0.8440213	0.7595355	-1.6509223	1000.0	1000.0	20000	36.06555438041687
-227.59756	55.7278	-165.77937	-308.0297	-0.8022521	0.74321127	0.5177014	-1.8491724	1000.0	1000.0	25000	46.364675760269165
-516.8353	64.31148	-425.24045	-609.8675	-681.6497	81.86871	-616.6079	-850.50757	1000.0	1000.0	30000	98.83056640625
-252.62979	265.46976	198.9995	-534.8279	59.492027	326.31793	672.77295	-457.81693	1000.0	1000.0	35000	150.216162443161
414.79306	660.49774	1200.1826	-403.19104	848.8449	546.1292	1354.0793	-139.07059	1000.0	1000.0	40000	203.51518058776855
1523.1317	464.6328	1974.1606	628.69415	2020.0739	45.3098	2073.9265	1948.9875	1000.0	1000.0	45000	257.5685052871704
2084.5034	202.90956	2384.2832	1829.7676	2406.922	194.4359	2776.337	1989.8275	1000.0	1000.0	50000	309.7338435649872
2442.2524	781.57135	3194.483	930.473	2638.6526	1068.3262	3560.217	322.65067	1000.0	1000.0	55000	362.1554412841797
2637.109	1439.844	3468.9612	-239.73727	3405.8027	574.567	3868.628	1736.6438	1000.0	1000.0	60000	416.2658269405365
2902.9568	1338.9974	3727.2917	231.92403	3177.0623	845.70294	3863.8472	854.95325	1000.0	1000.0	65000	467.53398871421814
2921.5454	1049.6116	3717.8735	848.9869	3268.7	847.79663	3743.475	747.0052	1000.0	1000.0	70000	521.030725479126
3222.9	859.68317	3900.8442	1523.5314	3868.2563	147.67097	4156.132	3640.8828	1000.0	1000.0	75000	571.9822585582733
2955.7935	1545.7338	3792.6025	-133.66412	3857.857	201.9751	4098.6313	3389.0896	1000.0	1000.0	80000	623.9799392223358
3081.0034	1491.0487	4051.866	109.4937	4002.4453	132.10631	4226.0835	3793.5479	1000.0	1000.0	85000	676.4560306072235
3874.054	75.543236	3960.9639	3748.5337	4054.6008	131.4032	4252.4824	3755.7195	1000.0	1000.0	90000	729.4478380680084
4018.3452	160.45772	4279.8057	3796.6853	3621.9207	1196.3368	4375.918	1023.8208	1000.0	1000.0	95000	779.1661949157715
4256.0957	97.7533	4434.3413	4151.8794	4427.7026	83.907875	4548.5156	4256.668	1000.0	1000.0	100000	827.6172788143158
4325.7354	210.7164	4578.83	3956.757	3997.8267	1643.6105	4827.5645	-729.6705	1000.0	1000.0	105000	1314.1047558784485
4560.602	190.9087	4741.171	4204.54	4746.825	157.67957	4932.678	4452.7363	1000.0	1000.0	110000	1363.1313498020172
4669.907	71.52512	4787.6567	4586.259	4345.3906	1644.6836	5059.1567	-578.6208	1000.0	1000.0	115000	1413.9504063129425
4727.701	88.38731	4819.678	4562.1396	4966.729	69.91875	5100.722	4900.015	1000.0	1000.0	120000	1466.336437702179
4085.782	1403.9143	4992.1357	1287.1425	5090.184	74.70799	5177.0767	4953.2275	1000.0	1000.0	125000	1518.2099282741547
4799.6377	144.0398	4928.0093	4521.0977	5069.738	42.25581	5144.923	4996.2163	1000.0	1000.0	130000	1569.8104248046875
4687.8384	370.17554	5023.8066	4208.6694	5211.5127	64.371635	5327.985	5123.8633	1000.0	1000.0	135000	1623.2400386333466
5017.099	77.52293	5115.923	4915.0435	5230.181	123.32212	5387.578	4934.4243	1000.0	1000.0	140000	1675.8949921131134
5092.6123	62.19954	5192.482	5004.5703	4715.278	1400.7794	5338.0093	522.68365	1000.0	1000.0	145000	1727.9902923107147
5138.841	75.50174	5222.035	5029.492	5380.385	73.49144	5514.5005	5238.2397	1000.0	1000.0	150000	1778.7492351531982
5192.612	50.4493	5261.2046	5127.2295	5363.7637	86.332756	5575.793	5254.1694	1000.0	1000.0	155000	1831.6677510738373
5009.574	460.60806	5298.857	4092.7227	5375.6377	600.6604	5693.1343	3615.9844	1000.0	1000.0	160000	1886.335282087326
5298.4263	95.329475	5418.24	5125.263	4646.0654	1224.9515	5548.7764	2085.307	1000.0	1000.0	165000	1937.8062436580658
4955.85	868.2756	5519.4385	3238.6033	5290.4834	637.3694	5915.0654	4299.7134	1000.0	1000.0	170000	1989.1887288093567
5358.972	197.36769	5613.854	5097.9917	5190.504	538.0012	5746.976	4368.064	1000.0	1000.0	175000	2038.70831656456
4849.98	1191.0842	5555.2197	2484.3684	5546.8726	181.50977	5885.291	5123.977	1000.0	1000.0	180000	2088.40034866333
5158.6753	676.4739	5576.8276	3810.5662	5524.751	218.7387	5824.483	5034.6694	1000.0	1000.0	185000	2138.8174018859863
5496.3516	244.78337	5756.375	5032.9937	5470.639	1093.4731	6121.4834	2213.8235	1000.0	1000.0	190000	2187.897556066513
5588.1865	207.70757	5769.579	5206.3433	5963.504	339.77267	6543.233	5267.9077	1000.0	1000.0	195000	2237.228390932083
5714.646	100.15374	5842.7046	5597.64	5858.6953	252.79091	6070.737	5147.416	1000.0	1000.0	200000	2284.8421862125397
5685.867	161.93643	5968.8413	5535.3643	5952.833	265.0966	6352.242	5502.3066	1000.0	1000.0	205000	2783.9685072898865
5599.046	228.22064	5874.4116	5324.1455	6061.593	376.00864	6506.738	5067.3843	1000.0	1000.0	210000	2836.627241373062
6040.292	56.38737	6110.113	5945.43	6305.8506	312.1267	6657.4824	5668.7007	1000.0	1000.0	215000	2890.967509508133
5995.7705	93.92254	6146.518	5851.362	6498.376	126.82917	6691.345	6228.008	1000.0	1000.0	220000	2942.779554605484
5991.6978	546.9602	6457.1147	4948.7266	6547.8696	138.5299	6746.456	6316.7534	1000.0	1000.0	225000	2995.6897847652435
6319.167	149.2345	6494.8774	6110.02	6621.909	148.60228	6903.612	6313.8916	1000.0	1000.0	230000	3050.0791347026825
6083.301	577.2878	6421.9014	4929.947	6698.964	218.11453	7022.9507	6232.8594	1000.0	1000.0	235000	3103.2835898399353
6519.73	78.35631	6664.885	6434.731	6641.022	516.42664	7169.245	5274.8467	1000.0	1000.0	240000	3158.6157290935516
6623.596	123.69666	6834.2305	6520.8057	6117.2275	1113.556	6871.113	2902.1396	1000.0	1000.0	245000	3211.060878753662
