AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
17.372915	11.601303	85.43529	5.126913	25.325258	0.29742926	25.781502	24.545338	22.29148	29.9	5000	1.2379333972930908
18.70852	18.021421	129.20885	2.8947878	25.306087	0.2025691	25.52743	24.786707	22.881279	29.9	10000	2.473240613937378
18.247646	16.695833	155.5676	5.165798	25.363832	0.17258647	25.577961	24.999628	22.053097	30.0	15000	3.644326686859131
19.773441	19.159025	138.96419	5.7457185	25.361023	0.16755667	25.716433	25.037312	22.383928	30.0	20000	4.841561555862427
19.55341	17.243612	119.67461	4.823297	25.210941	0.3001736	25.695131	24.5743	22.399103	29.8	25000	6.097226142883301
66.89981	73.47278	182.7382	-1.7475566	175.13892	1.2381347	176.85472	173.37846	39.72222	86.9	30000	44.88571548461914
172.84157	94.16531	590.48224	5.902827	243.80171	2.6906419	247.04018	237.86502	86.55173	107.0	35000	84.42656469345093
232.51747	27.802706	299.67136	164.2219	264.00034	2.618656	269.45175	259.74503	113.15909	128.2	40000	124.44133639335632
297.1074	86.575455	578.4999	193.88159	564.6331	339.43726	1094.592	310.20444	131.80556	414.0	45000	166.4551432132721
375.34573	276.21265	1055.7701	145.49731	247.40645	2.9608226	253.64467	243.43422	258.75	113.6	50000	205.96599578857422
238.98975	39.8814	318.97433	134.59721	332.4351	48.770092	445.67603	257.7434	107.891304	149.0	55000	245.5624873638153
273.52267	27.623888	341.42603	210.6399	262.0286	7.807067	273.13333	251.25339	130.71794	125.9	60000	284.8973665237427
107.451355	121.32102	345.2	7.209866	9.527062	0.11606603	9.784991	9.358626	74.088234	39.8	65000	323.89455819129944
213.97182	130.6437	654.1812	9.110118	259.48636	10.1914425	279.45245	246.77519	130.1842	129.1	70000	362.98491621017456
334.94226	168.17741	1001.6168	102.835655	425.96762	146.14447	849.29315	342.71967	206.875	343.3	75000	403.9264841079712
508.93506	321.16708	1050.2875	161.50273	359.09888	19.49245	398.06647	331.67017	454.0	216.2	80000	443.3293545246124
510.04428	227.85675	953.2095	182.09079	499.74512	243.85692	969.38104	134.17528	418.3846	428.9	85000	484.2022194862366
343.1172	132.30151	687.52625	139.77261	332.60748	32.90071	413.62134	289.12485	208.95833	177.1	90000	522.8293447494507
233.41106	177.31181	841.46985	20.063963	252.54094	6.327523	262.082	241.47125	194.65384	130.1	95000	561.0417912006378
404.6657	226.60869	1124.111	153.466	324.65057	84.86813	484.69037	243.07747	225.86363	161.7	100000	600.0282442569733
450.09177	203.87607	982.6404	169.59517	575.4525	217.88777	983.664	320.2071	219.95454	334.8	105000	640.075032711029
