AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
117.33255	31.10432	257.49982	83.159966	60.821503	2.163211	62.329597	57.504738	23.504717	12.7	5000	4.183831691741943
121.90022	37.23278	295.76797	78.75369	60.853508	2.2398012	62.4392	57.376205	24.291262	12.7	10000	8.294961929321289
121.24205	35.355854	277.61804	78.39522	60.78772	2.2099602	62.455967	57.30937	24.091347	12.7	15000	12.412212371826172
122.56201	36.187298	249.80956	78.14107	60.365906	2.2796981	62.501644	57.54861	24.360975	12.6	20000	16.600045442581177
122.55959	33.739185	253.71779	78.33243	60.79413	2.1318204	62.37235	57.468197	24.346342	12.7	25000	20.794896602630615
142.9271	64.27039	269.1461	66.22612	248.06035	8.255909	259.46603	234.0011	28.855492	47.8	30000	73.71737408638
238.12961	20.336796	287.23016	188.51228	217.33432	6.656886	227.28279	204.00047	46.50926	43.8	35000	127.23715782165527
186.25787	137.75252	912.1544	75.76155	78.45844	2.2728877	80.73415	75.539696	38.091602	16.6	40000	179.1791126728058
102.51364	47.207294	265.4471	74.13124	187.21407	18.439562	222.87541	168.33926	21.221277	37.7	45000	231.33044505119324
384.26602	133.63672	762.20374	189.14001	414.362	69.93475	536.0558	318.1872	80.0	90.5	50000	286.5844557285309
128.2657	114.687	547.12866	71.0384	75.72896	0.1058112	75.889595	75.56933	27.026737	16.0	55000	338.4506504535675
74.46628	2.4177234	86.46403	70.947624	75.63982	0.10753125	75.82494	75.43839	15.673982	16.0	60000	388.98872423171997
122.10959	82.22528	343.62418	71.19121	294.73828	6.5269356	308.12854	287.3788	24.655172	57.7	65000	440.98061633110046
276.40997	41.890923	429.52768	176.32503	215.93564	10.86778	243.58728	203.84828	53.591396	42.2	70000	494.1084203720093
418.7479	118.331245	806.85913	191.89806	342.9173	36.607357	417.87326	274.05624	90.07273	75.2	75000	548.2105982303619
255.82576	121.52301	705.3492	81.15635	343.1341	91.26492	502.91852	216.90608	53.457447	64.9	80000	601.5718760490417
271.46234	85.87105	519.712	166.80342	245.32796	25.61411	286.1847	216.08168	55.922222	53.4	85000	654.3994126319885
332.4575	75.139275	599.39545	190.84491	275.70782	62.96767	425.60394	193.09236	66.62666	53.9	90000	706.7339723110199
289.43512	105.86345	771.7642	134.7709	203.28209	25.583677	248.8932	173.5262	59.42857	39.3	95000	758.3197853565216
312.4496	72.339905	530.3794	176.58218	321.32806	64.97385	400.0666	208.93735	61.493828	63.6	100000	809.6101806163788
331.3476	93.14582	676.47504	205.22937	379.84152	111.148865	614.84216	251.13081	69.138885	77.2	105000	922.1384446620941
345.61722	109.0522	794.97754	166.3417	449.00043	91.97527	673.3212	324.1375	69.34722	90.4	110000	974.3297765254974
407.88245	104.66653	768.5593	216.61105	404.50116	101.19512	605.7361	278.58322	81.564514	85.6	115000	1027.7021977901459
393.07678	87.667015	612.1379	210.4852	371.13684	84.772606	542.84467	234.14705	79.0	73.4	120000	1079.392571926117
368.65448	91.83794	689.5516	231.50603	405.2082	99.98449	551.0361	263.35776	74.92538	84.4	125000	1130.8386034965515
400.88522	115.46121	750.21765	221.38853	403.56183	129.76573	718.5149	232.10992	80.803276	84.4	130000	1182.7281966209412
431.75455	119.67147	719.66187	207.43443	491.29053	67.88734	604.47253	341.98776	88.8421	98.8	135000	1236.0394384860992
436.2626	122.46176	845.0105	214.8262	420.63068	110.8401	627.95795	296.40903	89.58929	87.2	140000	1288.985167980194
396.58057	95.94488	644.9847	174.13284	488.42496	149.88927	746.325	286.07547	80.77049	101.4	145000	1342.4611666202545
368.5391	100.78485	758.7224	143.05702	368.1293	91.16846	588.5488	224.92734	73.838234	74.3	150000	1394.0657768249512
455.10193	153.92744	1144.5608	252.16801	449.5374	74.19191	545.80896	308.34308	91.836365	91.5	155000	1447.6995482444763
