AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
5.138026	8.146899	13.515274	-8.437008	6.660548	16.189512	26.061668	-22.249676	1000.0	1000.0	5000	16.676586627960205
0.5634181	5.657706	7.050065	-7.3913693	-2.4302619	19.753044	24.832533	-26.144245	1000.0	1000.0	10000	24.501676321029663
-5.577667	8.510264	0.92401433	-22.216312	-3.465165	18.66872	24.439054	-23.538908	1000.0	1000.0	15000	32.2968065738678
1.9160486	11.153084	13.741571	-17.674242	-6.9370475	17.167013	21.997278	-25.612106	1000.0	1000.0	20000	40.01556897163391
-8.54879	8.772557	4.93232	-18.448755	-9.49563	14.551741	22.633759	-24.45544	1000.0	1000.0	25000	48.08607339859009
26.9286	2.4639199	29.941608	24.506325	23.533333	2.7443132	29.469475	20.245977	1000.0	1000.0	30000	91.73721528053284
9.343245	13.984595	25.285677	-15.529834	17.95232	0.93546337	19.986319	16.239887	1000.0	1000.0	35000	135.05563235282898
30.437042	6.2919173	41.07144	22.961195	13.89752	2.0925808	18.019804	10.915957	1000.0	1000.0	40000	178.13536500930786
23.762278	10.343867	35.31637	6.169756	23.225317	0.6445231	24.259706	22.035736	1000.0	1000.0	45000	221.62748861312866
29.46909	4.7778354	35.071033	22.249071	47.36513	4.9262137	54.25985	38.513397	1000.0	1000.0	50000	264.6702926158905
31.379559	9.888313	42.313072	16.919947	25.233578	1.6814308	27.509089	22.072718	1000.0	1000.0	55000	309.51479744911194
33.773285	4.4311833	40.565327	26.65821	56.70749	1.6341789	59.072548	53.766785	1000.0	1000.0	60000	354.0163435935974
25.151768	12.280164	44.333057	7.413892	45.89862	0.7020563	46.86515	44.62289	1000.0	1000.0	65000	397.73180747032166
46.27691	8.372963	54.67859	34.41605	38.511295	2.9239402	42.370903	34.880497	1000.0	1000.0	70000	442.02800846099854
33.938107	7.016699	41.931614	23.442442	32.289963	1.179044	34.23186	30.928265	1000.0	1000.0	75000	486.9136517047882
24.335217	12.312269	39.64927	3.2549467	26.164032	0.6715202	27.057228	25.000698	1000.0	1000.0	80000	531.2552380561829
17.922878	9.769545	36.8096	10.508534	13.921994	1.3370383	15.384852	11.0211525	1000.0	1000.0	85000	580.5502698421478
5.830823	2.654805	10.58803	3.3249567	41.1593	6.8354154	44.74334	20.763847	1000.0	1000.0	90000	630.7691380977631
25.409214	9.341324	32.722298	7.1845155	18.943026	4.9556108	30.036892	13.804468	1000.0	1000.0	95000	679.8885765075684
34.358395	11.7846	47.758324	19.852314	49.52573	0.77204746	50.798607	48.325783	1000.0	1000.0	100000	723.9939625263214
28.37688	9.226074	46.553207	20.768919	31.563885	1.1153249	33.252613	28.97692	1000.0	1000.0	105000	768.611453294754
28.455105	5.343123	37.277832	21.291695	27.567078	2.9971938	33.65623	24.523996	1000.0	1000.0	110000	813.804705619812
46.075912	7.104183	55.0598	37.003838	42.222374	3.4819062	45.838467	36.911762	1000.0	1000.0	115000	858.2987065315247
43.51291	2.730552	47.02309	39.02919	39.151787	1.2453985	42.16559	37.396667	1000.0	1000.0	120000	903.0786156654358
47.621124	4.471725	51.978836	39.00257	47.116165	1.1537856	49.589104	45.574337	1000.0	1000.0	125000	948.1016597747803
