AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
2.170978	6.37852	43.001408	-12.521257	25.143053	12.700926	49.06757	4.57098	21.246809	98.7	5000	2.930715560913086
1.515155	5.0900154	24.457954	-11.622012	31.606268	9.903124	50.196312	13.009079	19.607843	95.6	10000	5.6273558139801025
1.8802414	5.727667	28.14704	-9.413332	31.187994	12.433918	51.668037	16.141888	19.38372	90.6	15000	8.23582673072815
1.9810702	5.40565	26.41519	-9.626888	27.528885	11.425027	49.343407	13.650538	20.367348	93.2	20000	10.95222282409668
2.1413355	6.361573	52.611336	-10.06497	28.893509	14.911836	56.410957	11.791579	21.3547	76.9	25000	13.730668067932129
104.99355	159.72733	498.60632	-80.251144	767.4442	142.4336	882.77997	421.5811	160.63333	950.6	30000	75.99896574020386
53.85838	118.70425	454.5669	-50.178753	212.44507	50.286594	317.2355	161.27437	124.83784	115.1	35000	128.23913645744324
193.22208	127.04116	529.49426	-58.535843	-28.630545	58.479958	138.11774	-78.1792	178.25807	136.2	40000	180.64678931236267
88.00859	117.45024	264.16507	-128.45807	54.649414	133.19531	312.03052	-172.49889	175.46428	284.3	45000	233.84309220314026
95.05111	97.83308	330.3364	-45.692955	34.363663	90.289314	206.45998	-100.54067	174.27586	215.1	50000	286.4113326072693
113.77624	136.8217	420.5238	-99.92722	101.85998	117.663605	290.6778	-83.978004	179.42857	184.9	55000	339.77344250679016
119.39004	105.88099	375.36243	-60.086807	121.290855	126.35577	338.96155	-9.215083	147.94118	145.8	60000	391.2742896080017
29.340399	94.531975	388.74323	-163.12418	61.681335	64.49896	158.88567	-16.039742	106.57447	136.9	65000	444.05376744270325
103.104195	134.97421	399.12225	-70.525986	76.8852	104.55785	228.51233	-43.93813	148.60606	135.1	70000	496.86759066581726
66.37861	125.15392	351.52216	-91.85218	128.47253	122.56723	347.8127	-28.02743	169.56667	183.3	75000	548.9150309562683
137.80319	122.11149	404.36453	-69.16447	130.11325	74.14704	251.01457	23.863462	231.57143	220.8	80000	601.6259324550629
170.31787	166.56035	729.1571	-42.48693	178.33336	45.7187	277.47546	117.71523	206.6	141.0	85000	654.6271181106567
118.72991	111.81689	412.82733	-87.5662	-24.508259	46.652855	48.708115	-107.62133	236.09525	165.7	90000	707.1918816566467
102.56959	130.12624	473.41794	-35.297905	143.86392	252.87262	875.26886	-9.648175	220.27272	156.2	95000	760.362051486969
151.13527	204.16075	832.27814	-109.30804	35.227745	58.20848	142.98819	-40.43001	231.3158	172.7	100000	812.9963338375092
156.73242	199.51807	753.8421	-50.345684	-7.307508	74.78113	187.12283	-107.03558	263.7143	119.8	105000	1037.7360649108887
105.01303	170.11234	489.01352	-224.17899	373.3322	332.5912	864.12946	-149.84756	237.71428	526.9	110000	1095.211986064911
